Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2021-12-08_16-40-08_UTC,2021-12-08 10:40:08,,1731,32,"Rebox hexohm v3
.
.
Bosen sama body mod yg gitu2 aja? Ganti baju solusinya
Info lebih lanjut hubungi dokter
Eh dm / wa maksudnya
.
#boxmod #boxmodindonesia #boxmods #custommade #customvape #hexohm #hexohmsecond #hexohmindonesia #vape #customboxmod #vapelife #boxmodbyresinworks #customvape","['#boxmod', '#boxmodindonesia', '#boxmods', '#custommade', '#customvape', '#hexohm', '#hexohmsecond', '#hexohmindonesia', '#vape', '#customboxmod', '#vapelife', '#boxmodbyresinworks', '#customvape']",[]
2021-12-23_05-14-07_UTC,2021-12-22 23:14:07,,1744,111,"Rebox tesla i3
.
Customer di bela-belain beli tesla i3 dulu terus bajunya di ganti biar tambah kece 🤭
.
.
Custom? Langsung wa/dm
.
#boxmod #custom #cnc #cncmilling #engraving #rebox #customvape #vapeindonesia #boxmods #customboxmod #customvapeculture #boxmodbyresinworks #vapenation #customvape","['#boxmod', '#custom', '#cnc', '#cncmilling', '#engraving', '#rebox', '#customvape', '#vapeindonesia', '#boxmods', '#customboxmod', '#customvapeculture', '#boxmodbyresinworks', '#vapenation', '#customvape']",[]
2022-02-12_03-14-14_UTC,2022-02-11 21:14:14,,1431,21,"Pesanan khusus dari customer
Stabwood series chipset okl t20
.
.
.
Konsultasi? Silahkan dm/wa
.
#customboxmod #vape #boxmods #customvape #stabwood #stabwoodindonesia #diycrafts #diy #dıy #hexohmsecond #boxmod #boxmodbyresinworks #boxmod #boxmods #stabwood","['#customboxmod', '#vape', '#boxmods', '#customvape', '#stabwood', '#stabwoodindonesia', '#diycrafts', '#diy', '#dıy', '#hexohmsecond', '#boxmod', '#boxmodbyresinworks', '#boxmod', '#boxmods', '#stabwood']",[]
2022-02-20_06-14-18_UTC,2022-02-20 00:14:18,,886,15,"Rebox tesla i3
Customer udah gasabar pengen cepet dipake, jadi request polosan biar cepet 🤭
.
.
Konsultasi? Dm/wa
.
#boxmodindonesia #cnc #cncmilling #boxmods #black #tesla #boxmodbyresinworks #customvape #liquid #customvape #custommade #custom #custommod #vapeart #vapeartist #boxmod #boxmods","['#boxmodindonesia', '#cnc', '#cncmilling', '#boxmods', '#black', '#tesla', '#boxmodbyresinworks', '#customvape', '#liquid', '#customvape', '#custommade', '#custom', '#custommod', '#vapeart', '#vapeartist', '#boxmod', '#boxmods']",[]
2022-02-24_05-02-06_UTC,2022-02-23 23:02:06,,936,4,"Iseng2 custom potensio, ternyata keren juga 🤭 
.

#boxmodbyresinworks #customvape #custommod #diyboxmodindonesia #vapeword #vape #vapeindonesia #custom #customvapes #vapeartist #indonesianvape #boxmodbyresinworks #boxmod #boxmods","['#boxmodbyresinworks', '#customvape', '#custommod', '#diyboxmodindonesia', '#vapeword', '#vape', '#vapeindonesia', '#custom', '#customvapes', '#vapeartist', '#indonesianvape', '#boxmodbyresinworks', '#boxmod', '#boxmods']",[]
2022-03-16_08-29-03_UTC,2022-03-16 03:29:03,,531,27,"Sudah mau lebaran nih saatnya ganti baju 🤭
.
.
.
Pengen kaya gini juga? Cus dm / wa mimin aja
.
#dovpomvv2 #custom #cnc #cncmilling #boxmodindonesia #customvape #limitededition #customvape #boxmodbyresinworks #boxmod #boxmods","['#dovpomvv2', '#custom', '#cnc', '#cncmilling', '#boxmodindonesia', '#customvape', '#limitededition', '#customvape', '#boxmodbyresinworks', '#boxmod', '#boxmods']",[]
2022-11-01_14-41-23_UTC,2022-11-01 09:41:23,,572,3,"Repaint Alexa Boxmod
.
.
Check In Youtube
https://youtu.be/PGkRlUdhwVM
.
.
OplosanRete @yalskie 
Our art repaint and repair @boculautos 
#repaint #repaintrda #alexaz #inhale #inhalealexarda #alexarda #alexazrda #alexaz #alexa #beeingarealxavage #triangelisus
#inhalecoils #inhale #alexanation #carirasapakairda
#boxmod #alexaboxmodnewcolor","['#repaint', '#repaintrda', '#alexaz', '#inhale', '#inhalealexarda', '#alexarda', '#alexazrda', '#alexaz', '#alexa', '#beeingarealxavage', '#triangelisus', '#inhalecoils', '#inhale', '#alexanation', '#carirasapakairda', '#boxmod', '#alexaboxmodnewcolor']","['@yalskie', '@boculautos']"
2022-11-28_12-54-38_UTC,2022-11-28 06:54:38,,1449,6,"apa beda nya kita sama anak sekolahan?

kalo anak sekolahan nulisnya pake tinta kalo kita nulisnya pake cinta jiah🤭🤣

oh ya buat yang nanya aku pake mod apa, aku lagi pake BOXMOD V.1 by @coil.gear & @vapeoi_id 

yang keren lagi mod nya juga bisa custome nama laser huhuy mantap bukan🙌🏻🫶🏻

oh ya buat kalian yang mau beli BOXMOD V.1 by @coil.gear ini bakal launching di bulan Desember jangan sampe ketinggalan ya💕🫶🏻🔥

🔥SPECIFICATIONS

• Size: 48mm x 26mm x 87.2mm
• Material: Zinc Alloy
• Threaded Connection: 510
• Output Power: 5.0W - 220.0W
• Working Voltage: 6.4V - 8.4V
• Suggested Resistance: 0.07Ω - 3.5Ω
• Charging Mode: USB Type-C
• Charging Current: 2000 mAh
• Battery: Dual 18650 Battery

🔥 PACKAGE CONTENTS

1 Gear Box Mod
1 USB Type-C Cable 1 Instruction Manual

#coilgear #vapeoi #mod #boxmod","['#coilgear', '#vapeoi', '#mod', '#boxmod']","['@coil', '@vapeoi_id', '@coil']"
2023-01-13_08-08-50_UTC,2023-01-13 02:08:50,Bandung,15,0,"Bismillah 🤲

www.katajiworkshop.id
https://taplink.cc/kwsboxmod

#katajiworkshop
#katajifamilia
#supportyourlocal
#supportyourlocalproduct
#janganlupaduasetengahpersen 
#sabartawakalamanah #jagaamanah #kwsboxmod #kwseliquid #kwsstabwood #kwshandmade #kaoskws 
#katajicotton #bandungkreative #boxmodlive #diyboxmod #boxmodindonesia #boxmodinternational #boxmod #customboxmod #boxmodlife #vapeindo  #supportyourlocalkws #produktifdirumah #localpride #vapeindo #vapeindonesia","['#katajiworkshop', '#katajifamilia', '#supportyourlocal', '#supportyourlocalproduct', '#janganlupaduasetengahpersen', '#sabartawakalamanah', '#jagaamanah', '#kwsboxmod', '#kwseliquid', '#kwsstabwood', '#kwshandmade', '#kaoskws', '#katajicotton', '#bandungkreative', '#boxmodlive', '#diyboxmod', '#boxmodindonesia', '#boxmodinternational', '#boxmod', '#customboxmod', '#boxmodlife', '#vapeindo', '#supportyourlocalkws', '#produktifdirumah', '#localpride', '#vapeindo', '#vapeindonesia']",[]
2023-02-19_00-44-05_UTC,2023-02-18 18:44:05,,16,3,"Repost @gepettomods⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
Hashtag #vapeinfocus⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
----------------------------------⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣Follow for more 😤😤😤⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@vapormedia⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@instavaperz⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@vapepictures⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@vaporgram⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@worldwidevapers⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@vapers⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@vape4you⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@driptricks⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@vapeagency⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@dripgram⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
@⁣⁣⁣⁣⁣⁣⁣⁣⁣ukvapers⁣⁣
@kungfubuild⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
.⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
.⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
.⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣
#vaperazzi #vapegear #boxmod #gepettomods #vapelove #vapejunkies #vapelife #vapergram #vapesociety #vapedaily #vapecommunity #vapenation #worldwidevapers #vapormedia #vapeagency #vape4you #vaporgram","['#vapeinfocus', '#vaperazzi', '#vapegear', '#boxmod', '#gepettomods', '#vapelove', '#vapejunkies', '#vapelife', '#vapergram', '#vapesociety', '#vapedaily', '#vapecommunity', '#vapenation', '#worldwidevapers', '#vapormedia', '#vapeagency', '#vape4you', '#vaporgram']","['@gepettomods', '@vapormedia', '@instavaperz', '@vapepictures', '@vaporgram', '@worldwidevapers', '@vapers', '@vape4you', '@driptricks', '@vapeagency', '@dripgram', '@kungfubuild']"
