Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-10-12_21-51-57_UTC,2022-10-12 16:51:57,,796,11,"Check up 💁💁👇👇
@elfbar_middle_east

#elfbar oul #elfbareburguer #vape #disposablevape #algerie #vapeflavour #vapedaily #algeria #ukvape #vapecommunity #vapelife #vapelifestyle #algerianstyle #vapephotography #vaping #vapefam","['#elfbar', '#elfbareburguer', '#vape', '#disposablevape', '#algerie', '#vapeflavour', '#vapedaily', '#algeria', '#ukvape', '#vapecommunity', '#vapelife', '#vapelifestyle', '#algerianstyle', '#vapephotography', '#vaping', '#vapefam']",['@elfbar_middle_east']
2022-10-14_21-05-38_UTC,2022-10-14 16:05:38,,822,27,"Geek vape 💥

#elfbar oul #elfbareburguer #vape #disposablevape #algerie #vapeflavour #vapedaily #algeria #ukvape #vapecommunity #vapelife #vapelifestyle #algerianstyle #vapephotography #vaping #vapefam","['#elfbar', '#elfbareburguer', '#vape', '#disposablevape', '#algerie', '#vapeflavour', '#vapedaily', '#algeria', '#ukvape', '#vapecommunity', '#vapelife', '#vapelifestyle', '#algerianstyle', '#vapephotography', '#vaping', '#vapefam']",[]
2022-10-25_12-01-06_UTC,2022-10-25 07:01:06,,682,9,"🔥🔥❤
@elfbar_middle_east",[],['@elfbar_middle_east']
2022-11-03_18-53-41_UTC,2022-11-03 13:53:41,Italy,1523,49,"🟢▪️•Wotofo NEXPOD •▪️🟢
•
•
•
Welcome back @wotofoofficial @wotofo_fan 😍 
They are back with an unparalleled novelty, a pod with disposable cartridges with wonderful tastes!  I have tried several and one is better than the other 🤤🤤🤤 This is the NEXPOD, once you try it you will never leave it 😍😍
•
•
•
Features:
👉Powered by nexCHIP, 0.001s response speed
👉Equipped with nexMESH technology, provides an excellent and stable flavor
👉POD Capacity: 8ml
👉Puff Count: 3500 puffs/POD
👉Battery Capacity: 650mAh
👉Charging Port: Type-C
👉Adjustable Airflow
•
•
•
#wotofo #wotofonexpod #wotofoofficial #vapewotofo #vapepod #vapedisposable #disposablevape #vapesystem #vapeshop #vapephoto #vapeshot #vapeinsta #vapestars #svapo #svapoitalia #vapemania #vapecomunity #vaperscommunity","['#wotofo', '#wotofonexpod', '#wotofoofficial', '#vapewotofo', '#vapepod', '#vapedisposable', '#disposablevape', '#vapesystem', '#vapeshop', '#vapephoto', '#vapeshot', '#vapeinsta', '#vapestars', '#svapo', '#svapoitalia', '#vapemania', '#vapecomunity', '#vaperscommunity']","['@wotofoofficial', '@wotofo_fan']"
2022-11-23_04-07-48_UTC,2022-11-22 22:07:48,,708,32,"L-one bar disposables by @boldvapemalaysia

#boldvapedubai #boldvapemalaysia #boldvapethailand #boldvapevietnam #boldvapeglobal #boldvapeindonesia #vape #vapers #vaporizer #vapor #fyp #vapingtricks #vapingmedia #vapingislife #vapeon #vapefamily #lone #closepodsystem #openpodsystem #disposablevape","['#boldvapedubai', '#boldvapemalaysia', '#boldvapethailand', '#boldvapevietnam', '#boldvapeglobal', '#boldvapeindonesia', '#vape', '#vapers', '#vaporizer', '#vapor', '#fyp', '#vapingtricks', '#vapingmedia', '#vapingislife', '#vapeon', '#vapefamily', '#lone', '#closepodsystem', '#openpodsystem', '#disposablevape']",['@boldvapemalaysia']
2023-01-31_16-03-29_UTC,2023-01-31 10:03:29,,863,80,"First try happyness are never fails 💝

#vaper #harmless #outdoor #elfbar #photography #travel #landscape #disposable #adventure #bc5000 #outdoors #mountains #snow #naturephotography #strawberry #disposablevape #love #captionplus #sky #bestflavour #beautiful #wanderlust #explore #kiwi #forest #sun #vape #ecigratte #vaping #vapefam","['#vaper', '#harmless', '#outdoor', '#elfbar', '#photography', '#travel', '#landscape', '#disposable', '#adventure', '#bc5000', '#outdoors', '#mountains', '#snow', '#naturephotography', '#strawberry', '#disposablevape', '#love', '#captionplus', '#sky', '#bestflavour', '#beautiful', '#wanderlust', '#explore', '#kiwi', '#forest', '#sun', '#vape', '#ecigratte', '#vaping', '#vapefam']",[]
2023-02-22_04-32-33_UTC,2023-02-21 22:32:33,"London, United Kingdom",2461,8,"Ini nih disposable vape yg jadi andalan gw selama di London, Designnya sleek, enak banget dibawa bawa untuk travelling… ditambah udara disini yang dingin banget, jadi pas bgt bawa Waka ini.
Waka ini juga populer di UK dan sekarang sudah tersedia di Indonesia harganya cuma 150rb aja dengan 1800 puffs, worth it bgt kan!?
Kepoin Instagram dan Official websitenya ya!

No hassle, no worries, free to use! @WAKA_INDONESIA
#wakaup #wakaindonesia #wakaindo #disposablevape #wakawaka #waka #nosmoke","['#wakaup', '#wakaindonesia', '#wakaindo', '#disposablevape', '#wakawaka', '#waka', '#nosmoke']",['@WAKA_INDONESIA']
2023-02-28_09-17-42_UTC,2023-02-28 03:17:42,,5,0,"Hey guys! Big news! 🎉Our Hawaiian e-cigarette brand is about to drop a new line of eco-friendly and wallet-friendly products. 🥰Sustainability and taking care of our environment are super important to us, so you know these babies are going to be good for you AND the planet🌍 We're all about providing you with quality stuff that won't break the bank or harm our precious earth.🌱Thanks for being part of our journey!❤️ Mahalo!

#vape #disposablevape #ukvapers #vaping","['#vape', '#disposablevape', '#ukvapers', '#vaping']",[]
2023-02-28_18-33-01_UTC,2023-02-28 12:33:01,,120,31,"❤️ Amazing #biffbarlux flavors - I don't know which one is better ❤️

#biffbarvape #biffbarlux #biffbar #biffbarvapes #disposablevape #vapeoholic #vapepicoftheday #vapepicsdaily #vapepic #vapepictures #vapephoto #vapephotos #vapephotographer #vapephotoshoot #vapecroatia🇭🇷 #vapewithattitude #vapewithstyle","['#biffbarlux', '#biffbarvape', '#biffbarlux', '#biffbar', '#biffbarvapes', '#disposablevape', '#vapeoholic', '#vapepicoftheday', '#vapepicsdaily', '#vapepic', '#vapepictures', '#vapephoto', '#vapephotos', '#vapephotographer', '#vapephotoshoot', '#vapecroatia', '#vapewithattitude', '#vapewithstyle']",[]
2023-03-01_02-27-19_UTC,2023-02-28 20:27:19,,2,0,"Coolest R&M MAGIC 8000 is booming.🔥🔥🔥

#disposablevape #vape #electroniccigarette #rmultimate #rmswith #rmlegend #crystal #rmboxpro #rmbar #rmmonster #rmmagic
#rmparadise #600puffs #3000puffs #5000puffs #6000puffs #7000puffs #8000puffs #9000puffs #10000puffs #elfbar #escobar #kangvape #tpdvape #hyde #elux #lostmary #subohm #elfbar #Geekbar #rastafari","['#disposablevape', '#vape', '#electroniccigarette', '#rmultimate', '#rmswith', '#rmlegend', '#crystal', '#rmboxpro', '#rmbar', '#rmmonster', '#rmmagic', '#rmparadise', '#600puffs', '#3000puffs', '#5000puffs', '#6000puffs', '#7000puffs', '#8000puffs', '#9000puffs', '#10000puffs', '#elfbar', '#escobar', '#kangvape', '#tpdvape', '#hyde', '#elux', '#lostmary', '#subohm', '#elfbar', '#Geekbar', '#rastafari']",[]
