Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2021-05-28_14-31-13_UTC,2021-05-28 09:31:13,,3526,17,"Вече джетвам  БЕЗ НИКОТИН с 𝔹𝕆́ 𝕁𝔼𝕋 ! 4️⃣0️⃣0️⃣ дръпки САМО за 1️⃣0️⃣ лева!
Всички видове 𝔹𝕆́ 𝕁𝔼𝕋  можете да откриете в сайта на @bovaping.bg , както и в търговската мрежа из цялата страна!

Инструкции за ползване:
1️⃣ Натиснете щифта напълно до долу 
2️⃣ Изчакайте 30 секунди⏳
3️⃣ Отстранете щифта и устройството е готово за употреба ✔️

Ако харесате непромоционални продукти в сайта www.bovaping.bg може да използвате промо код 100KILA за -10% отстъпка!

⛔️ STOP SMOKING 🚬 
✅ START BÓ 💨

#vape #vapelife #vapecommunity #cigarette #cigarettes #ecigarette #lifestyle #cool #luxury #bovaping #bovape #ecig #vapers #100kila #100кила  #bojet","['#vape', '#vapelife', '#vapecommunity', '#cigarette', '#cigarettes', '#ecigarette', '#lifestyle', '#cool', '#luxury', '#bovaping', '#bovape', '#ecig', '#vapers', '#100kila', '#100кила', '#bojet']",['@bovaping']
2021-07-04_04-05-18_UTC,2021-07-03 23:05:18,,4766,16,"HOT ITEM‼️ MATCH OCTAGON POD🔥and now @match.malaysia ,RM49.90 SAHAJAA UOLS‼️ CEPAT2‼️ SEBAB LIMITED‼️🔥 FOLLOW THE STEP👇🏻
1.FOLLOW @match.malaysia 🔥
2.TEKAN LINK DI BIO @match.malaysia FOR SEE MORE COLORS 😍🔥
‼️🔥
#matchoctagon #colourpod #opensystem #refillable #vape #ecigarette #padugiler","['#matchoctagon', '#colourpod', '#opensystem', '#refillable', '#vape', '#ecigarette', '#padugiler']","['@match', '@match', '@match']"
2021-07-18_12-06-43_UTC,2021-07-18 07:06:43,,2417,15,"Pod paling famous kini🔥MATCH Octagon🔥Korang, harga promosi RM29.90 dah tamat😓Tapi jangan risau kami masih ada PROMOSI PENGENALAN 2.0 cuma RM49.90 sahaja‼️Masih murah jugak, yang dah terlepas promosi early bird, cepat grab sekarang sebab nanti harga naik balik asal RM79 😱Jangan nak menyesal nanti‼️
.
1. Follow @match.malaysia
2. Tekan link di bio @match.malaysia for see more colour dan beli online secara official.
3. Boleh dapatkan di kedai vape berhampiran anda.
.
LIMITED OFFER‼️HOT ITEM🔥YANG BELUM TAHU POD NI KORANG KENA CHECK IT OUT‼️ 
.
#matchOctagon #colourpod #opensystem #refillable 
#vape #ecigarette #padugiler #tastefunwithcolorspod","['#matchOctagon', '#colourpod', '#opensystem', '#refillable', '#vape', '#ecigarette', '#padugiler', '#tastefunwithcolorspod']","['@match', '@match']"
2022-01-14_06-18-05_UTC,2022-01-14 00:18:05,,893,13,"New year, healthier you? If you’re still looking for a new year’s resolution you may want to consider cutting back on vaping and use of e-cigs.
.
Although the concentrations of cancer-causing substances in e-cigs are lower than those in cigarette smoke, there is no safe level of exposure to these carcinogens. Therefore users are at risk for oral cancer and other health issues.
.
E-cigs also contain Nicotine, which is a super addictive chemical that can alter the brain chemistry so the brain doesn't function normally without it! #badnewsbears
.
Talk to your healthcare provider about getting an oral cancer screening. Early prevention and increased awareness for oral cancer save lives!
.
.
.
#oralhealthminute #lasvegasdentist #oralcancerawareness #ecigarette","['#badnewsbears', '#oralhealthminute', '#lasvegasdentist', '#oralcancerawareness', '#ecigarette']",[]
2022-03-06_06-20-09_UTC,2022-03-06 00:20:09,"Seoul, Korea",703,8,"Breath-out ✨🔥💘

좋아하는 스타일링 다집어넣기😵❣스케치도 좋았으므로 함께 올려요 쨍한 컬러로 그리는 그림은 행복💥
 기분 맑은 하루 보내요!",[],[]
2022-05-23_10-13-14_UTC,2022-05-23 05:13:14,Skopje,724,5,"Повелетеееее 😂😂😂
Да слушнам ваше мислење  за @vapepromk 🌬

__________________________________________
#vape #vapepro #friends #skopje #Macedonia #havingfun #ecigarette #vaping","['#vape', '#vapepro', '#friends', '#skopje', '#Macedonia', '#havingfun', '#ecigarette', '#vaping']",['@vapepromk']
2022-09-18_05-12-36_UTC,2022-09-18 00:12:36,,11282,62,"ગુજરાતમાંથી ઝડપાઇ 28 કરોડની પ્રતિબંધિત  ઈ-સિગારેટ

#kutch #ecigarette #vtvcard","['#kutch', '#ecigarette', '#vtvcard']",[]
2023-02-28_09-00-07_UTC,2023-02-28 03:00:07,,18,0,"Have you ever wondered what’s in vape? 🧐 Well, the truth is that no one knows for sure…

There are more than 2,000 potentially harmful chemicals in vape aerosols, and those are besides the ones we already know about such as Diacetyl which causes popcorn lungs! 😱

🔖 #DontPuffPal #Vaping101 #ECigarette #VapeInfo #VapeInfographic #DidYouKnow #VapeFacts","['#DontPuffPal', '#Vaping101', '#ECigarette', '#VapeInfo', '#VapeInfographic', '#DidYouKnow', '#VapeFacts']",[]
2023-02-28_16-21-06_UTC,2023-02-28 10:21:06,,7,0,"[EN COURS DE PREPARATION] Vous souhaitez voir votre prochaine commande préparée dans un TikTok ? Laissez nous votre nom prénom de compte en commentaire !

#cigaretteelectronique #ecig #ecigarette #frenchvapefamily #frenchvapers #instamood #instavape #live #newproducts #newreleases #rechargeable #vapecommunity #vapefam #vapefamily #vapefeed #vapefrance #vapehard #vapejuice #vapelife #vapelifestyle #vapelikeaboss #vapelove #vapenation #vapephoto  #vapoter #vapoterfr #vapoteur","['#cigaretteelectronique', '#ecig', '#ecigarette', '#frenchvapefamily', '#frenchvapers', '#instamood', '#instavape', '#live', '#newproducts', '#newreleases', '#rechargeable', '#vapecommunity', '#vapefam', '#vapefamily', '#vapefeed', '#vapefrance', '#vapehard', '#vapejuice', '#vapelife', '#vapelifestyle', '#vapelikeaboss', '#vapelove', '#vapenation', '#vapephoto', '#vapoter', '#vapoterfr', '#vapoteur']",[]
2023-02-28_17-20-00_UTC,2023-02-28 11:20:00,,2,0,"4000puffs newest 2023
USUKFRDESENLIT#vome monster 10k10000puffsdisposablevape#vapes#vapepen#randm#mr.smog#king10000#puff#elf#bar#puff7000#puff10000#puff2800#ecigarette#puff500#disposablesvapes#puffs#carts#randmtornado#puffflex#puffbars#elfbar#puff8000#puff800#lostmary#puff6000#original#randmsquidbox5200puffs#randmgamebox#andrew#vapep","['#vome', '#vapes', '#vapepen', '#randm', '#mr', '#king10000', '#puff', '#elf', '#bar', '#puff7000', '#puff10000', '#puff2800', '#ecigarette', '#puff500', '#disposablesvapes', '#puffs', '#carts', '#randmtornado', '#puffflex', '#puffbars', '#elfbar', '#puff8000', '#puff800', '#lostmary', '#puff6000', '#original', '#randmsquidbox5200puffs', '#randmgamebox', '#andrew', '#vapep']",[]
2023-02-28_17-21-42_UTC,2023-02-28 11:21:42,,2,0,"Hello les Vapoteurs,
Aujourd’hui, on vous fait découvrir la gamme  de chez LE PETIT VERGER 💐

1️⃣ melon, fraise des bois;
2️⃣ pêche et litchi;
3️⃣ cassis framboise ;
4️⃣ fraise et poires ;
5️⃣ nectarine et fruit du dragon ;
6️⃣ pomme et citron.
Des liquides fruités sucrés et frais N’hésitez pas à passer en magasin pour les découvrir.

Pour rappel, voici les horaires du magasin !

Lundi au Samedi : 9h00-20h00
Bonne Vape 💨💨
#vape #vaping #vapecommunity #vapelife #vapestyle #vapefrance #vaper #vapoteur #vapoter #vapostore  #eliquide #liquide #ejuice #juice #newproduct #ecig #ecigarette #cigaretteelectronique #vapefam #vapenation #vapefamous #vapefamily #cloudchasing #bethune#vapostorebethune","['#vape', '#vaping', '#vapecommunity', '#vapelife', '#vapestyle', '#vapefrance', '#vaper', '#vapoteur', '#vapoter', '#vapostore', '#eliquide', '#liquide', '#ejuice', '#juice', '#newproduct', '#ecig', '#ecigarette', '#cigaretteelectronique', '#vapefam', '#vapenation', '#vapefamous', '#vapefamily', '#cloudchasing', '#bethune', '#vapostorebethune']",[]
2023-02-28_17-23-51_UTC,2023-02-28 11:23:51,Tobiana Electronic Cigarette Larnaca,15,0,#tobianacyprus #ecigarettes #ecigarette #vapesmoke #smoke #electronicvape #vaping #vapes #cyprus #cyprusgirl,"['#tobianacyprus', '#ecigarettes', '#ecigarette', '#vapesmoke', '#smoke', '#electronicvape', '#vaping', '#vapes', '#cyprus', '#cyprusgirl']",[]
2023-02-28_17-25-29_UTC,2023-02-28 11:25:29,,3,0,"Quel est le Vapostore le plus près de chez vous ?
▶️ http://www.Vapostore.com/magasins–cigarettes–électronique 

Pour rappel, voici les horaires du magasin !

Lundi au Samedi : 9h00-20h00
Bonne Vape 💨💨
#vape #vaping #vapecommunity #vapelife #vapestyle #vapefrance #vaper #vapoteur #vapoter #vapostore  #eliquide #liquide #ejuice #juice #newproduct #ecig #ecigarette #cigaretteelectronique #vapefam #vapenation #vapefamous #vapefamily #cloudchasing #bethune#vapostorebethune","['#vape', '#vaping', '#vapecommunity', '#vapelife', '#vapestyle', '#vapefrance', '#vaper', '#vapoteur', '#vapoter', '#vapostore', '#eliquide', '#liquide', '#ejuice', '#juice', '#newproduct', '#ecig', '#ecigarette', '#cigaretteelectronique', '#vapefam', '#vapenation', '#vapefamous', '#vapefamily', '#cloudchasing', '#bethune', '#vapostorebethune']",[]
2023-02-28_17-29-21_UTC,2023-02-28 11:29:21,,4,0,"Hello les Vapoteurs, on termine la découverte des liquides, le petit verger avec ces six derniers goûts à découvrir dans votre magasin Vapostore bethune 🆕

1️⃣ fraise et poires ; 
2️⃣ orange, passion ;
3️⃣ kiwi, mangue ;
4️⃣ raisins et Cranberry ;
5️⃣ pêche et litchi ;
6️⃣ fruit du dragon et fruits rouges.

Pour rappel, voici les horaires du magasin !

Lundi au Samedi : 9h00-20h00
Bonne Vape 💨💨
#vape #vaping #vapecommunity #vapelife #vapestyle #vapefrance #vaper #vapoteur #vapoter #vapostore  #eliquide #liquide #ejuice #juice #newproduct #ecig #ecigarette #cigaretteelectronique #vapefam #vapenation #vapefamous #vapefamily #cloudchasing #bethune#vapostorebethune","['#vape', '#vaping', '#vapecommunity', '#vapelife', '#vapestyle', '#vapefrance', '#vaper', '#vapoteur', '#vapoter', '#vapostore', '#eliquide', '#liquide', '#ejuice', '#juice', '#newproduct', '#ecig', '#ecigarette', '#cigaretteelectronique', '#vapefam', '#vapenation', '#vapefamous', '#vapefamily', '#cloudchasing', '#bethune', '#vapostorebethune']",[]
2023-02-28_17-30-06_UTC,2023-02-28 11:30:06,,15,0,"Oli & Vapo avaient des envies d'aventure... Les voilà à bord d'une 4L tachetée au beau milieu du désert Marocain ! 🌍🇲🇦

Récemment nous avons remis un chèque de 403€ à Augustin et Léopold qui participent au 4L trophy 2023 avec Marguerite (leur bolide). 🚗💨

Pour ceux qui ne connaissent pas le 4L Trophy, il s’agit du plus grand rallye raid 100% jeunes d’Europe à vivre à deux dans une 4L. 😎

Ainsi, depuis le 15 février, l'équipage des Cow'Pilotes sillonne les routes de France, d'Espagne et les pistes du Maroc ! 🐄

Au fil de leur voyage, les participants viennent en aide à des associations comme la Croix Rouge ou Enfants du désert pour mener des projets humanitaires. 💪

50% des dons récoltés sur l'Espace Solidaire ont été spécialement dédiés au soutien de ces actions humanitaires. Les 50% restants ont permis aux deux étudiants de financer leur participation au rallye. ✅

Merci à tous les clients d'Oliquide qui ont choisi de verser leur cagnotte solidaire à ce projet ! Et bonne fin d'aventure à Augustin et Léopold ! 🫶

#oliquide #solidaire #espacesolidaire #cagnottesolidaire #don #association #vieassociative #viedentreprise #merci #entraide #solidarité #eliquide #vapelife #ecigarette #cigaretteelectronique #4ltrophy #croixrougefrancaise #enfantsdudesert #maroc @les_cowpilotes_4ltrophy","['#oliquide', '#solidaire', '#espacesolidaire', '#cagnottesolidaire', '#don', '#association', '#vieassociative', '#viedentreprise', '#merci', '#entraide', '#solidarité', '#eliquide', '#vapelife', '#ecigarette', '#cigaretteelectronique', '#4ltrophy', '#croixrougefrancaise', '#enfantsdudesert', '#maroc']",['@les_cowpilotes_4ltrophy']
2023-02-28_18-00-07_UTC,2023-02-28 12:00:07,"Trieste, Italy",7,0,"🧡Nuovissima apertura arancione!
Domani inaugura lo Svapo Web Store Trieste San Giacomo!
📍Via dell'Istria, 14/B, - 34137 Trieste TS
👉https://www.svapoweb.it/negozi

#svapoweb #svapowebstore #svapowebitalia
#franchising #franchisingbusiness
#inaugurazione #nuovaapertura
#vapecommunity #svapotime #svapodiguancia
#svapare #svapo #svapoitaly #ejuice #vaping
#weekendmood #shoppingday #sigaretteelettroniche
#ecigarette #ecig #ecigshop #trieste
#svapatori #vapekit #eliquid #podmod #vapers","['#svapoweb', '#svapowebstore', '#svapowebitalia', '#franchising', '#franchisingbusiness', '#inaugurazione', '#nuovaapertura', '#vapecommunity', '#svapotime', '#svapodiguancia', '#svapare', '#svapo', '#svapoitaly', '#ejuice', '#vaping', '#weekendmood', '#shoppingday', '#sigaretteelettroniche', '#ecigarette', '#ecig', '#ecigshop', '#trieste', '#svapatori', '#vapekit', '#eliquid', '#podmod', '#vapers']",[]
2023-02-28_18-00-11_UTC,2023-02-28 12:00:11,,1,0,abc-de-la-vape.fr Fabricant Français de E-liquides et d’Arômes pour le DIY #eliquide #ecigarette #vape #vapoteur #diy #cigaretteélectronique #base #nicotine #arôme #Vaping #basenicotinée #booster #flacon #résistance #Gard #France,"['#eliquide', '#ecigarette', '#vape', '#vapoteur', '#diy', '#cigaretteélectronique', '#base', '#nicotine', '#arôme', '#Vaping', '#basenicotinée', '#booster', '#flacon', '#résistance', '#Gard', '#France']",[]
2023-03-01_01-10-15_UTC,2023-02-28 19:10:15,,25,3,"☀️Geekvape Z200 Kit☀️
2.4-inch Full Screen, Easy on the Eye.
Equipped with a 2.4-inch full screen, this evolved beast with brand-new UI brings outstanding visual experience. 
#love #foryou #explore #explorepage #vape #vaping #ecigarette #geekvape #geeklife #geekup #GEEKUp #geekvapetech #GeekFam #new #newsupdates #NewsUpdate #Z200","['#love', '#foryou', '#explore', '#explorepage', '#vape', '#vaping', '#ecigarette', '#geekvape', '#geeklife', '#geekup', '#GEEKUp', '#geekvapetech', '#GeekFam', '#new', '#newsupdates', '#NewsUpdate', '#Z200']",[]
2023-03-01_07-30-05_UTC,2023-03-01 01:30:05,,14,0,"Notre @jessicaerrero_official en est dingue ! 🤩
Chacun son Granita original ou soft, à vaper toute l’année !

#alfa #alfaliquid #errero #jessicaerrero #granita #granité #vape #cigaretteelectronique #fruité #frais #tropical #citron #fraise #melon #fruitrouge #fruitdragon #ecig #riok #vapefrance #vapecommunity #vapers #ecigarette","['#alfa', '#alfaliquid', '#errero', '#jessicaerrero', '#granita', '#granité', '#vape', '#cigaretteelectronique', '#fruité', '#frais', '#tropical', '#citron', '#fraise', '#melon', '#fruitrouge', '#fruitdragon', '#ecig', '#riok', '#vapefrance', '#vapecommunity', '#vapers', '#ecigarette']",['@jessicaerrero_official']
