Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-12-01_06-29-22_UTC,2022-12-01 00:29:22,,508,24,"I just loooooove @shadow_coils !!! 

Available at:

@vaperite_sa

#vape #longhair #vapes #model #vapecheck #vapebabe #vapeallday #vapepics #vapehooligans #girlswithtattoos #alternativemodel #vapemodel #vapers #girlswhovape #vapelike #inkedgirls #ink #inked #alternative #inkedbabes #vapedaily #ejuice #vapemodels #vapelyfe","['#vape', '#longhair', '#vapes', '#model', '#vapecheck', '#vapebabe', '#vapeallday', '#vapepics', '#vapehooligans', '#girlswithtattoos', '#alternativemodel', '#vapemodel', '#vapers', '#girlswhovape', '#vapelike', '#inkedgirls', '#ink', '#inked', '#alternative', '#inkedbabes', '#vapedaily', '#ejuice', '#vapemodels', '#vapelyfe']","['@shadow_coils', '@vaperite_sa']"
2022-12-06_23-28-34_UTC,2022-12-06 17:28:34,,-1,5,"Hey , which one? ☺️
@twisteliquids",[],['@twisteliquids']
2022-12-12_02-29-54_UTC,2022-12-11 20:29:54,,-1,4,"Hey dears 🧸😘
@twisteliquids",[],['@twisteliquids']
2023-01-03_01-15-59_UTC,2023-01-02 19:15:59,,-1,2,"Happy new year , dears 🎄

@maskkingbrand_official 🎁",[],['@maskkingbrand_official']
2023-01-11_01-27-03_UTC,2023-01-10 19:27:03,,-1,6,New @asvape.official Mesh🖤,[],['@asvape']
2023-01-20_16-30-32_UTC,2023-01-20 10:30:32,,397,24,"Gimana nih menurutmu ? 
.
Makanya kalau beli liquid di VSS aja
Udah pasti aman , asli & legal 
Yuk main main ke storenya VSS
.
Biar ngga tersesat nih mimin kasi lokasinya

📍Vss Gayamsari
Ruko Gayamsari No. 11

📍Vss Thamrin
Jl. MH Thamrin No. 99A Semarang

Tersedia juga di marketplace VSS 
Klik link yang ada di bio yaaak 😎😎😎

#vapestoresmg #pulse #pulseaio #mod #indonesianvapers #vapejuice #premiumliquid #rcft_squad #vapeinfluencer #vapelyfe  #ejuice #handcraftjuice #vapelikeaboss #vapeinfluencer #vapefam #vapemeet #vapers  #vapeinstagram #instavape #rcft #labz  #vaporwave #collabs  #vape #vapecommunity","['#vapestoresmg', '#pulse', '#pulseaio', '#mod', '#indonesianvapers', '#vapejuice', '#premiumliquid', '#rcft_squad', '#vapeinfluencer', '#vapelyfe', '#ejuice', '#handcraftjuice', '#vapelikeaboss', '#vapeinfluencer', '#vapefam', '#vapemeet', '#vapers', '#vapeinstagram', '#instavape', '#rcft', '#labz', '#vaporwave', '#collabs', '#vape', '#vapecommunity']",[]
2023-02-28_15-38-06_UTC,2023-02-28 09:38:06,,5,0,"Healthy and tasty Breakfast
 For recepie watch it on YouTube

Link in bio
#juice #ejuice #vapejuice #orangejuice #juicewrld #greenjuice #beetlejuice #juicecleanse #juiceplus #coldpressedjuice #freshjuice #juices #juicebar #applejuice #detoxjuice #jambajuice #juicer","['#juice', '#ejuice', '#vapejuice', '#orangejuice', '#juicewrld', '#greenjuice', '#beetlejuice', '#juicecleanse', '#juiceplus', '#coldpressedjuice', '#freshjuice', '#juices', '#juicebar', '#applejuice', '#detoxjuice', '#jambajuice', '#juicer']",[]
2023-02-28_23-01-41_UTC,2023-02-28 17:01:41,Nant Gwrtheyrn,-1,4,"📸

𝗦𝗨𝗣𝗘𝗥𝗚𝗢𝗢𝗗 • 𝗕𝗨𝗧𝗧𝗘𝗥 𝟬𝟯

𝗕𝘂𝘁𝘁𝗲𝗿 𝟬𝟯 𝘀𝗵𝗼𝗿𝘁𝗳𝗶𝗹𝗹 𝗲-𝗹𝗶𝗾𝘂𝗶𝗱 𝗯𝘆 𝗦𝘂𝗽𝗲𝗿𝗴𝗼𝗼𝗱 𝗶𝘀 𝗮 𝗰𝗮𝗸𝗲 𝗯𝗹𝗲𝗻𝗱 𝘄𝗶𝘁𝗵 𝗮 𝗺𝗲𝗱𝗹𝗲𝘆 𝗼𝗳 𝗯𝗶𝘁𝘁𝗲𝗿𝘀𝘄𝗲𝗲𝘁 𝗳𝗿𝘂𝗶𝘁𝘀. 𝗔 𝘀𝘂𝗴𝗮𝗿𝘆 𝘀𝗽𝗼𝗻𝗴𝗲 𝗰𝗮𝗸𝗲 𝗮𝗻𝗱 𝘀𝗺𝗼𝗼𝘁𝗵 𝗯𝘂𝘁𝘁𝗲𝗿𝗰𝗿𝗲𝗮𝗺 𝗶𝘀 𝗰𝗼𝗺𝗯𝗶𝗻𝗲𝗱 𝘄𝗶𝘁𝗵 𝘁𝗮𝗿𝘁 𝗯𝗹𝘂𝗲𝗯𝗲𝗿𝗿𝘆 𝗮𝗻𝗱 𝘇𝗲𝘀𝘁𝘆 𝗹𝗲𝗺𝗼𝗻 𝗳𝗼𝗿 𝗮 𝗰𝗼𝗺𝗽𝗹𝗲𝘅 𝗲-𝗹𝗶𝗾𝘂𝗶𝗱.

📸 @danny_bokeh
🔗 @wearesupergood

#wearesupergood #vape #vapelife #vapecommunity #vapenation #vaping #vapeporn #vapeon #vapefam #vapor #vapers #vapeshop #vapetricks #vapestagram #vapelyfe #vapedaily #vaper #instavape #ejuice #eliquid #vapelove #vapestore #vapepics #vapeindonesia #vapesociety","['#wearesupergood', '#vape', '#vapelife', '#vapecommunity', '#vapenation', '#vaping', '#vapeporn', '#vapeon', '#vapefam', '#vapor', '#vapers', '#vapeshop', '#vapetricks', '#vapestagram', '#vapelyfe', '#vapedaily', '#vaper', '#instavape', '#ejuice', '#eliquid', '#vapelove', '#vapestore', '#vapepics', '#vapeindonesia', '#vapesociety']","['@danny_bokeh', '@wearesupergood']"
2023-03-01_06-30-05_UTC,2023-03-01 00:30:05,,13,2,"Stainless Steel 👽
📸 - @flavortronics
coilsbyscott.co.uk
.⁣
.⁣ 
.⁣
.⁣
.⁣
#coilsbyscott #vapeshop #ukvapers #vapefam #vapeon #coilbuilding #vapelove #vapedaily #vapecommunity #vapelife #vapegram #vapefamily #ejuice #vapelifestyle #instavape #vapers #vapestagram #vapenation #vapesociety #vaporizer #vapor #vapepics #vapeworld #vaper #vapeaddict #vapetricks #vaping #subohm #handmadecoils #coilbuilder","['#coilsbyscott', '#vapeshop', '#ukvapers', '#vapefam', '#vapeon', '#coilbuilding', '#vapelove', '#vapedaily', '#vapecommunity', '#vapelife', '#vapegram', '#vapefamily', '#ejuice', '#vapelifestyle', '#instavape', '#vapers', '#vapestagram', '#vapenation', '#vapesociety', '#vaporizer', '#vapor', '#vapepics', '#vapeworld', '#vaper', '#vapeaddict', '#vapetricks', '#vaping', '#subohm', '#handmadecoils', '#coilbuilder']",['@flavortronics']
2023-03-01_07-29-42_UTC,2023-03-01 01:29:42,,0,0,"Promo @vapestore.gudangku hanya sampai minggu ini! 

Caliburn GK2 Paket Siap Kebul hanya 180k!!
Hanya 12 PCS!!

Untuk pemesanan bisa langsung klik link di bio @vapestore.gudangku

Atau bisa langsung kontak WA Admin Store!
Untuk liat Testimoni bisa cek ig kami yaa!

Instagram : @vapestore.gudangku
Whatsapp  Admin : 088293707454

.
.
#vapejakarta #vapebogor #vapemurah #vape #jualvapemurah #liquidmurah #liquidindonesia #vapejakarta #tokovape #vapeindonesia #vapemurah #jualvape #liquidvape #indonesiavapor #liquidvapemurah #liquidlokalmurah #ursababypro #liquidenak #jualliquid #catalogliquid #ejuice #jualmod#jualmodmurah #jualpod #jualpodmurah #jualcoil #jualcoilmurah #jualcatridge #jualcatridgemurah #jualvapebogor #jualvapejakarta","['#vapejakarta', '#vapebogor', '#vapemurah', '#vape', '#jualvapemurah', '#liquidmurah', '#liquidindonesia', '#vapejakarta', '#tokovape', '#vapeindonesia', '#vapemurah', '#jualvape', '#liquidvape', '#indonesiavapor', '#liquidvapemurah', '#liquidlokalmurah', '#ursababypro', '#liquidenak', '#jualliquid', '#catalogliquid', '#ejuice', '#jualmod', '#jualmodmurah', '#jualpod', '#jualpodmurah', '#jualcoil', '#jualcoilmurah', '#jualcatridge', '#jualcatridgemurah', '#jualvapebogor', '#jualvapejakarta']","['@vapestore', '@vapestore', '@vapestore']"
