Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2023-01-03_01-15-59_UTC,2023-01-02 19:15:59,,-1,2,"Happy new year , dears 🎄

@maskkingbrand_official 🎁",[],['@maskkingbrand_official']
2023-01-11_01-27-03_UTC,2023-01-10 19:27:03,,-1,6,New @asvape.official Mesh🖤,[],['@asvape']
2023-01-14_18-25-02_UTC,2023-01-14 12:25:02,,1960,127,Once upon a time,[],[]
2023-02-16_15-17-26_UTC,2023-02-16 09:17:26,,1260,56,"Ada kolaborasi spesial Idpods X Wendy Walters, kayak apa ya? Find out di International Vape Expo (INVEX) tanggal 19 Februari 2023 di JEC Yogyakarta! Sudah siap untuk ketemu Wendy Walters? Come and meet her! @wendywalters sih sudah siap ketemu kamu 😉

The new you is coming, get ready, IT'S YOURS!

#IT'SYOURS

* * *

#itsyours #idpods #jvs #comingsoon #newdevice #colour #style #lifestyle #offline #tokopedia #eliquid #valentine #soul #color #fresh #time #everyday #weekday #weekend #online #ecommerce #service #shop #mood #vibes #change #freshness #invex #invex2023","['#IT', '#itsyours', '#idpods', '#jvs', '#comingsoon', '#newdevice', '#colour', '#style', '#lifestyle', '#offline', '#tokopedia', '#eliquid', '#valentine', '#soul', '#color', '#fresh', '#time', '#everyday', '#weekday', '#weekend', '#online', '#ecommerce', '#service', '#shop', '#mood', '#vibes', '#change', '#freshness', '#invex', '#invex2023']",['@wendywalters']
2023-02-28_09-59-47_UTC,2023-02-28 03:59:47,,483,1,"chicken loaded fries 
 #chicken  #salad  #rice  #meat  #cheese  #loaded  #longboard  #foodporn  #foodie  #food  #love  #delicious  #longboarding  #bodybuilding  #cars  #loadedboards  #skate  #yummy  #instafood  #instagood  #motivation  #follow  #luxury  #longboarddancing  #foodphotography  #foodstagram  #eliquid  #fries  #frenchfries  #burger","['#chicken', '#salad', '#rice', '#meat', '#cheese', '#loaded', '#longboard', '#foodporn', '#foodie', '#food', '#love', '#delicious', '#longboarding', '#bodybuilding', '#cars', '#loadedboards', '#skate', '#yummy', '#instafood', '#instagood', '#motivation', '#follow', '#luxury', '#longboarddancing', '#foodphotography', '#foodstagram', '#eliquid', '#fries', '#frenchfries', '#burger']",[]
2023-02-28_15-21-22_UTC,2023-02-28 09:21:22,,108,13,"꧁⭑⭒ वो लम्हा बना दो मुझे... जो गुजर कर भी... तुम्हारे साथ रहे...!! 

#purple #sleeve #liquid #neck #necklace #necklaces #purplehair #sleevetattoo #eliquid #liquidlipstick #purplenails #liquidação #tattoosleeve #necklaceoftheday #liquidmurah #purpleaesthetic #purplerain #purpleflowers #neckpain #liquidgold #redneck #ipurpleyou #crewneck #statementnecklace #gastricsleeve #crewnecksecond #longsleeve #turtleneck #pearlnecklace #tattoos
.
.
.","['#purple', '#sleeve', '#liquid', '#neck', '#necklace', '#necklaces', '#purplehair', '#sleevetattoo', '#eliquid', '#liquidlipstick', '#purplenails', '#liquidação', '#tattoosleeve', '#necklaceoftheday', '#liquidmurah', '#purpleaesthetic', '#purplerain', '#purpleflowers', '#neckpain', '#liquidgold', '#redneck', '#ipurpleyou', '#crewneck', '#statementnecklace', '#gastricsleeve', '#crewnecksecond', '#longsleeve', '#turtleneck', '#pearlnecklace', '#tattoos']",[]
2023-02-28_16-47-07_UTC,2023-02-28 10:47:07,,431,0,"LA MANDRAKATA!!
Soldatino, King e D’Artagnan 🤣🤪

Le 3 novità pop  della @lopliquidsofficial 

◾️POP SPICIES
  Pop-corn e Caramello 

◾️POP LICORICE 
  Pop-corn e liquirizia

◾️POP VANILLA
  Pop-corn e vaniglia

🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞🔞

#lopliquid #popcorn
#vaniglia
#liquirizia
#caramello #eliquid #fotografiaartistica #foto #love #civitanovamarche","['#lopliquid', '#popcorn', '#vaniglia', '#liquirizia', '#caramello', '#eliquid', '#fotografiaartistica', '#foto', '#love', '#civitanovamarche']",['@lopliquidsofficial']
2023-02-28_19-56-50_UTC,2023-02-28 13:56:50,,68,9,"Buonasera 🙂 ,un nuovo acquisto in casa  @duesocids_simone_marco 🤩🤩🤩 un ottimo cremoso di casa @boca_aromatic , oggi vi parliamo dell' SINTRA 😍 ovvero biscotto, vaniglia, arancia .un mix veramente molto interessante.ora non ci resta che provarlo e poi diremo la nostra. Con questo vi salutiamo ....e come al solito ... seguiteci sui nostri social .....
- Trovate il link del canale nella bio ⬅️
.
.
- Seguiteci sulle nostre rispettive pagine instagram
⬇️⬇️⬇️
.
.
- @whites_m1981 ⬅️
- @simovap3 ⬅️
.
.
- Unitevi al nostro gruppo Telegram ⬅️
Basta digitare nella barra di ricerca duesoci.....
.
.
- Seguiteci anche sulla nostra pagina Facebook ⬅️
.
.
- Seguiteci anche su TikTok
- Due Soci ( Simone & Marco )⬅️
.
.
- Vi ricordo inoltre di iscrivervi al canale YouTube
.
.
- Seguite la regia dei nostri video @scany82
.
.
- Ciao a tutti!
.
.
- #duesocids #youtube #eliquid #bocaaromatic #ejuce #instagood #instaphoto #instalove #instalike #instamood #instagram #instagramers #picoftheday #social #socialmedia #viral","['#duesocids', '#youtube', '#eliquid', '#bocaaromatic', '#ejuce', '#instagood', '#instaphoto', '#instalove', '#instalike', '#instamood', '#instagram', '#instagramers', '#picoftheday', '#social', '#socialmedia', '#viral']","['@duesocids_simone_marco', '@boca_aromatic', '@whites_m1981', '@simovap3', '@scany82']"
2023-02-28_23-01-41_UTC,2023-02-28 17:01:41,Nant Gwrtheyrn,-1,6,"📸

𝗦𝗨𝗣𝗘𝗥𝗚𝗢𝗢𝗗 • 𝗕𝗨𝗧𝗧𝗘𝗥 𝟬𝟯

𝗕𝘂𝘁𝘁𝗲𝗿 𝟬𝟯 𝘀𝗵𝗼𝗿𝘁𝗳𝗶𝗹𝗹 𝗲-𝗹𝗶𝗾𝘂𝗶𝗱 𝗯𝘆 𝗦𝘂𝗽𝗲𝗿𝗴𝗼𝗼𝗱 𝗶𝘀 𝗮 𝗰𝗮𝗸𝗲 𝗯𝗹𝗲𝗻𝗱 𝘄𝗶𝘁𝗵 𝗮 𝗺𝗲𝗱𝗹𝗲𝘆 𝗼𝗳 𝗯𝗶𝘁𝘁𝗲𝗿𝘀𝘄𝗲𝗲𝘁 𝗳𝗿𝘂𝗶𝘁𝘀. 𝗔 𝘀𝘂𝗴𝗮𝗿𝘆 𝘀𝗽𝗼𝗻𝗴𝗲 𝗰𝗮𝗸𝗲 𝗮𝗻𝗱 𝘀𝗺𝗼𝗼𝘁𝗵 𝗯𝘂𝘁𝘁𝗲𝗿𝗰𝗿𝗲𝗮𝗺 𝗶𝘀 𝗰𝗼𝗺𝗯𝗶𝗻𝗲𝗱 𝘄𝗶𝘁𝗵 𝘁𝗮𝗿𝘁 𝗯𝗹𝘂𝗲𝗯𝗲𝗿𝗿𝘆 𝗮𝗻𝗱 𝘇𝗲𝘀𝘁𝘆 𝗹𝗲𝗺𝗼𝗻 𝗳𝗼𝗿 𝗮 𝗰𝗼𝗺𝗽𝗹𝗲𝘅 𝗲-𝗹𝗶𝗾𝘂𝗶𝗱.

📸 @danny_bokeh
🔗 @wearesupergood

#wearesupergood #vape #vapelife #vapecommunity #vapenation #vaping #vapeporn #vapeon #vapefam #vapor #vapers #vapeshop #vapetricks #vapestagram #vapelyfe #vapedaily #vaper #instavape #ejuice #eliquid #vapelove #vapestore #vapepics #vapeindonesia #vapesociety","['#wearesupergood', '#vape', '#vapelife', '#vapecommunity', '#vapenation', '#vaping', '#vapeporn', '#vapeon', '#vapefam', '#vapor', '#vapers', '#vapeshop', '#vapetricks', '#vapestagram', '#vapelyfe', '#vapedaily', '#vaper', '#instavape', '#ejuice', '#eliquid', '#vapelove', '#vapestore', '#vapepics', '#vapeindonesia', '#vapesociety']","['@danny_bokeh', '@wearesupergood']"
2023-03-01_07-24-07_UTC,2023-03-01 01:24:07,,6,0,"Tôi hơi buồn ngủ, cái này có thể làm tôi sảng khoái không?😂
#vape #vapeon #jellyboxxs #vapevietnam #vapetricks #vapenation #vapeshop #vapecommunity #kualalumpur #vapers #vapelife #vapemurah #vapeselangor #vapor #vapedaily #eliquid #ejuice #vapefam #vapelyfe #vapestagram
Warning: you must be of legal age to vape, thank you!","['#vape', '#vapeon', '#jellyboxxs', '#vapevietnam', '#vapetricks', '#vapenation', '#vapeshop', '#vapecommunity', '#kualalumpur', '#vapers', '#vapelife', '#vapemurah', '#vapeselangor', '#vapor', '#vapedaily', '#eliquid', '#ejuice', '#vapefam', '#vapelyfe', '#vapestagram']",[]
