Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-08-06_10-49-24_UTC,2019-08-06 05:49:24,,2410,12,#Joy #joyas #joyful #joyeria #joyjus #joya #joyride #JoyceByers #joyetech #joydivision #joyfulmamas #joyer #joyce #joystick #joyeriaartesanal #joyitas #joyofmachine #joyeuxanniversaire #joyeuxnoel #joyous #joyo #JOYRICH #joyboycrew #joycon #JoyeriaContemporanea #joyfull #joyaspersonalizadas #joyoflife #joytotheworld,"['#Joy', '#joyas', '#joyful', '#joyeria', '#joyjus', '#joya', '#joyride', '#JoyceByers', '#joyetech', '#joydivision', '#joyfulmamas', '#joyer', '#joyce', '#joystick', '#joyeriaartesanal', '#joyitas', '#joyofmachine', '#joyeuxanniversaire', '#joyeuxnoel', '#joyous', '#joyo', '#JOYRICH', '#joyboycrew', '#joycon', '#JoyeriaContemporanea', '#joyfull', '#joyaspersonalizadas', '#joyoflife', '#joytotheworld']",[]
2019-08-15_03-21-05_UTC,2019-08-14 22:21:05,,-1,25,"@awieann si Hidung empuk... 😆
**Jangan diTanya baju ni.. SUDAH SOLD**
#partnerincrime #friends #sahabat #ngeteh #wakkentut #kluang #thoughlife #pod #joyetech #vintageshirt #thrift #80s #90s #vintagetee #hugger #vintagecap #joecamel #vintagehawaii #vintagetag #vintagehawaiianshirt #surfusa #singlestitch #nova2i #huawei #huaweinova2i","['#partnerincrime', '#friends', '#sahabat', '#ngeteh', '#wakkentut', '#kluang', '#thoughlife', '#pod', '#joyetech', '#vintageshirt', '#thrift', '#80s', '#90s', '#vintagetee', '#hugger', '#vintagecap', '#joecamel', '#vintagehawaii', '#vintagetag', '#vintagehawaiianshirt', '#surfusa', '#singlestitch', '#nova2i', '#huawei', '#huaweinova2i']",['@awieann']
2019-09-06_09-32-50_UTC,2019-09-06 04:32:50,,1896,13,"Mau kasih tau lu aja aksesoris buat yg pada pake exceed grip @joyetech kita ada lanyard plus leather strap dari @vapezooid harganya cuma Rp 175,000 aja untuk melindungi exceed grip kesayangan lu, akan rilis nanti di Vape fair di booth @vapezooid so yg nanti main ke Vapefair mampirin lah booth vapezoo!
Ditunggu!
#vapezoo #exceedgrip #joyetech #vapefair","['#vapezoo', '#exceedgrip', '#joyetech', '#vapefair']","['@joyetech', '@vapezooid', '@vapezooid']"
2019-11-21_07-27-29_UTC,2019-11-21 01:27:29,,1209,31,"Joyetech Exceed Grip Kit,
.
Optimized for Nicotine Salts with Incredible Flavor
It fits the nicotine and nicotine salts, and you can enjoy the delicate and soft flavor.
.
Ready Stock!
.
#indonesiavapor
#joyetech
#exceedgrip
#exceed
#pods
#vape","['#indonesiavapor', '#joyetech', '#exceedgrip', '#exceed', '#pods', '#vape']",[]
2021-02-08_10-59-19_UTC,2021-02-08 04:59:19,Monday Motivation,3076,108,"Share your Monday plans with me? Let's make sure we start the week with positive energy 🥰.

Mantra for today, repeat it with me 😍.

💙 I will do everything with joy today. Whether big or small
💙 I will think only happy thoughts today
💙 I will do an act of kindness today",[],[]
2022-10-29_17-43-44_UTC,2022-10-29 12:43:44,,115,10,"• Joyetech •
 
Evio Pod
 
by @joyetechofficial 
 
•
•
📸 : @uniq.prdcts
•
•
•
•
•
•
#joyetech #joyetechevio #joyetecheviopod #eviopod #lifestylephotography #photographylovers #product #productdesign #productphoto #productphotographer #productphotography
#productphotoshoot #productshoot #productshot #stilllife #stilllifephotography #stilllifephotographer #stilllifeshot #advertisingphotography","['#joyetech', '#joyetechevio', '#joyetecheviopod', '#eviopod', '#lifestylephotography', '#photographylovers', '#product', '#productdesign', '#productphoto', '#productphotographer', '#productphotography', '#productphotoshoot', '#productshoot', '#productshot', '#stilllife', '#stilllifephotography', '#stilllifephotographer', '#stilllifeshot', '#advertisingphotography']","['@joyetechofficial', '@uniq']"
2022-11-08_00-02-14_UTC,2022-11-07 18:02:14,,-1,190,"💖 Giveaway time 💖

Hello fam 😜 , I'm with @joyetechofficial we want to gives your 
🎁 1 eGo 510 box set 

EASY RULES : 
1.Like this post 💖
2.Follow @joyetechofficial and me ✌🏼
3.Tag 3+ of your vape friends 
4.Share this post to your profile/story ✔️

🏆Winners  will be randomly drawn on 14 November 
⚠️Warning : Must be of legal vaping age to enter this giveaway 🔞

good luck 🤗✌🏼",[],"['@joyetechofficial', '@joyetechofficial']"
2022-11-18_06-09-55_UTC,2022-11-18 00:09:55,Shenzhen City Of China,3,4,"#oukitel #oukitelvape —— Bull Mini

💨 Up to 1000puffs
🔋 650mAh battery capacity
🕸 1.2Ω mesh coil
🔍 www.oukitelvapein.com

#vapelifestyle #vapenation #vapor #vapecommunity #vapelife #vapeporn #vape #ecig #vaping #vapetricks #vapedaily #vapeon #vapefam #vapers #vapesociety #vapefamily #vapeindustry #Disposablepod #vaporesso #uwell #joyetech #lostvape","['#oukitel', '#oukitelvape', '#vapelifestyle', '#vapenation', '#vapor', '#vapecommunity', '#vapelife', '#vapeporn', '#vape', '#ecig', '#vaping', '#vapetricks', '#vapedaily', '#vapeon', '#vapefam', '#vapers', '#vapesociety', '#vapefamily', '#vapeindustry', '#Disposablepod', '#vaporesso', '#uwell', '#joyetech', '#lostvape']",[]
2022-11-19_07-40-56_UTC,2022-11-19 01:40:56,,114,12,"Bonjour les amis je vous souhaite un bon weekend accompagné de mon kit tralus 
@joyetechofficial @joyetech_france_officiel 

#joyetech #moissanstabac
#vapetricks #vapecommunity #vapenation #vapeinfluence #vapefam #vapefrench #vapegirlsworldwide #vapedaily #vapepicture #vapestragram #vapefollow","['#joyetech', '#moissanstabac', '#vapetricks', '#vapecommunity', '#vapenation', '#vapeinfluence', '#vapefam', '#vapefrench', '#vapegirlsworldwide', '#vapedaily', '#vapepicture', '#vapestragram', '#vapefollow']","['@joyetechofficial', '@joyetech_france_officiel']"
2022-11-19_11-29-02_UTC,2022-11-19 05:29:02,,63,0,"Joyetech evio pod top fill and 960mah battery.
#joyetech #vaping #ecig","['#joyetech', '#vaping', '#ecig']",[]
