Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-03-29_15-38-48_UTC,2022-03-29 10:38:48,,685,3,My cat broke my tv,[],[]
2022-06-23_18-05-31_UTC,2022-06-23 13:05:31,,803,79,"The Food and Drug Administration issued a ban on Juul e-cigarettes today, stating “the company must stop selling and distributing these products. In addition, those currently on the U.S. market must be removed, or risk enforcement action.”

The FDA has been targeting tobacco companies that they deem are making products aimed at teens in an effort to crack down on underage vaping, and the agency has stated “there is insufficient evidence to assess the potential toxicological risks of using the JUUL products.” Juul discontinued their flavored fruit flavored vapes three years ago in response to accusations that their products target minors, but today’s outright ban comes as a major surprise.

What do you think? Overkill, or a necessary measure to protect public health?

#juul #ecigarettes #juulpods #juulban #fda #foodanddrugadministration #nicotine #juulnews","['#juul', '#ecigarettes', '#juulpods', '#juulban', '#fda', '#foodanddrugadministration', '#nicotine', '#juulnews']",[]
2022-09-06_20-31-41_UTC,2022-09-06 15:31:41,,19217,625,"E-cigarette company #Juul has agreed to pay $438.5 million in a settlement with 34 states and territories over marketing its product to teens. 🚭💰 SWIPE 

•@aintyoumalcom",['#Juul'],['@aintyoumalcom']
2022-11-12_21-01-18_UTC,2022-11-12 15:01:18,,1902,82,"Juul Labs Inc has told employees on Thursday that it has stopped its bankruptcy preparations and is working on a cost-cutting program, the Wall Street Journal reported, citing company officials.⁠
⁠
The company also plans to lay off about 400 people and reduce its operating budget by 30% to 40%, the report added.⁠
⁠
✍️: Reuters⁠
*⁠
*⁠
*⁠
*⁠
*⁠
*⁠
#YahooFinance #finance #juul #juullabs","['#YahooFinance', '#finance', '#juul', '#juullabs']",[]
2022-12-19_18-24-08_UTC,2022-12-19 12:24:08,"Tilburg, Netherlands",35,1,IJS BENDE ❄️❄️ @jannekes84 @juultjevzundert 💖 #onice #schaatsen #winter #moris #juul #zussen #tilburg #tilburgcity #ice #iceskating #fun #lekkerkoud,"['#onice', '#schaatsen', '#winter', '#moris', '#juul', '#zussen', '#tilburg', '#tilburgcity', '#ice', '#iceskating', '#fun', '#lekkerkoud']","['@jannekes84', '@juultjevzundert']"
2022-12-29_07-35-24_UTC,2022-12-29 01:35:24,Olsztyn,525,7,"💭Jesper Juul:
„Wczoraj mój wnuczek, który ma teraz prawie dwa lata, wziął kawałek jedzenia z talerza, spróbował go przegryźć, a kiedy mu się to nie udało, położył obok talerza na stole. 

Jeśli komuś to przeszkadza, 
a mnie przeszkadza, 
to łatwo jest nauczyć dziecko przestrzegania elementarnych reguł przy jedzeniu. 

Wystarczy nawiązać z nim kontakt, to znaczy przykuć na chwilę jego uwagę, nawiązać kontakt wzrokowy, a potem przyjaznym głosem powiedzieć: 
„Nie podoba mi się, że kładziesz jedzenie na stole. Chcę, żebyś kładł je na talerzu”. 

To jest właśnie język osobisty, ponieważ mówi on dziecku coś na temat jego dziadka. ✨
Ten język nie służy do krytykowania, oskarżania ani wytykania błędów. 

W ten sposób mówię mu jedynie, kim jestem, co lubię i czego chcę ‒ i zresztą przez większość czasu to otrzymuję. 

„Przez większość czasu” nie oznacza „zawsze”, ale jest to maksimum tego, na co można mieć nadzieję w odniesieniu do każdego człowieka, małego czy dużego.

————————————-
💌Język osobisty to najważniejsze narzędzie budowania poczucia własnej wartości, uczestniczenia w zdrowym konflikcie, mówienia o swoich granicach.

💭Niestety, często traktujemy język osobisty jako przejaw egoizmu. Tak zostaliśmy nauczeni. 

🔔Spróbuj dzisiaj mówić do swojego dziecka językiem osobistym.
 👏 „Ja chcę”, 
👏 „Ja nie chcę”, 
👏 „Ja lubię”, 
👏 „Ja nie lubię..” 
zamiast:
😖 „Przestań”, 
🙅‍♀️ „Bo Ty zawsze..”, 
😢 „Przez Ciebie..”

… i zobacz co się stanie❤️
Spróbujesz?🫶

————————
📲 Jeśli uważasz, że ten post może dać wsparcie, podziel się nim z innymi. Udostępnij!
#mamamamiewsparciem 
———————
#językosobisty #jesperjuul #zamiastwychowania #niezmilosci #famlilylab #juul #family #wychowanie #relacjezdzieckiem #rodzice #wsparciedlarodziców #rodzicielstwo #rodzicielstwobliskosci #rodzicembyć #świadomirodzice #rodzicenastolatków #macierzynstwo #tacierzyństwo #rodziceidzieci #juultricks #wychowywanie #problemywychowawcze #psychologiadziecka #relacje #dziecisąważne #parentsfirst #tata #stacjarelacja","['#mamamamiewsparciem', '#językosobisty', '#jesperjuul', '#zamiastwychowania', '#niezmilosci', '#famlilylab', '#juul', '#family', '#wychowanie', '#relacjezdzieckiem', '#rodzice', '#wsparciedlarodziców', '#rodzicielstwo', '#rodzicielstwobliskosci', '#rodzicembyć', '#świadomirodzice', '#rodzicenastolatków', '#macierzynstwo', '#tacierzyństwo', '#rodziceidzieci', '#juultricks', '#wychowywanie', '#problemywychowawcze', '#psychologiadziecka', '#relacje', '#dziecisąważne', '#parentsfirst', '#tata', '#stacjarelacja']",[]
2023-01-18_08-02-01_UTC,2023-01-18 02:02:01,,45,1,Nice walk with a pitstop #😃#vizsla #Lány#juul#sem #rico #susteren #ardennes #vizslaofinstagram #vizslagram #vizslagirl #dog #dogsofinstagram #doggy #vizslapup #vizslalove #vizslapups #sun #morning #sisters #walk#tractivegps #mylife #loveit #niceladys #up I#walking #10k,"['#vizsla', '#Lány', '#juul', '#sem', '#rico', '#susteren', '#ardennes', '#vizslaofinstagram', '#vizslagram', '#vizslagirl', '#dog', '#dogsofinstagram', '#doggy', '#vizslapup', '#vizslalove', '#vizslapups', '#sun', '#morning', '#sisters', '#walk', '#tractivegps', '#mylife', '#loveit', '#niceladys', '#up', '#walking', '#10k']",[]
2023-01-27_09-20-05_UTC,2023-01-27 03:20:05,,39,3,Keep in walking #😃#vizsla #Lány#juul#sem #rico #susteren #vizslaofinstagram #vizslagram #vizslagirl #dog #dogsofinstagram #doggy #vizslapup #vizslalove #vizslapups #sun #morning #sisters #walk#tractivegps #mylife #loveit #niceladys #greeneyes #redlady #walking #10k#musclebuts,"['#vizsla', '#Lány', '#juul', '#sem', '#rico', '#susteren', '#vizslaofinstagram', '#vizslagram', '#vizslagirl', '#dog', '#dogsofinstagram', '#doggy', '#vizslapup', '#vizslalove', '#vizslapups', '#sun', '#morning', '#sisters', '#walk', '#tractivegps', '#mylife', '#loveit', '#niceladys', '#greeneyes', '#redlady', '#walking', '#10k', '#musclebuts']",[]
2023-02-15_18-09-26_UTC,2023-02-15 12:09:26,"De Efteling, Noord-Brabant, Netherlands",41,0,Studiedag met deze 2 gezellige lieverds 💙💜 #moris #juul #zoon #dochter #broerenzus #woensdag #efteling #bijnalente #winterefteling #zonnetje #fun,"['#moris', '#juul', '#zoon', '#dochter', '#broerenzus', '#woensdag', '#efteling', '#bijnalente', '#winterefteling', '#zonnetje', '#fun']",[]
2023-02-15_20-15-17_UTC,2023-02-15 14:15:17,,2,0,"Kit 3 Puff Banqueta Redondo Ilítia Luxo Decorativo Retro

https://www.lojasrico.com.br/produto/kit-3-puff-banqueta-redondo-ilitia-luxo-decorativo-retro.html

Você que acha seu quarto simples ou
sem cor e gostaria de deixá-lo com um visual mais moderno e sofisticado ou
gostaria de um móvel que pode ser um ponto de decoração do seu ambiente
 
Temos a solução para você!
 
O Puff Banqueta Ilítia veio para proporciona tudo isso e muito mais!
O Puff de cores vivas e vibrantes que irão combinar com o ambiente que deseja decorar, trazendo um visual moderno e vintage
Um produto que veio ao mercado surpreendendo com seu aconchego, conforto, alta qualidade e segurança para todos os consumidores, com seu design único, rústico, moderno e sofisticado sem igual, além de ter uma ótima qualidade e resistência para trazer conforto para seu lar

 
Vantagens de ter um Puff Banqueta Ilítia
- Se preferir você consegue substituir o sofá pelo Puff
- Banquetas em salas, quartos, recepções e varandas
- Pode ser usada como mesinha no centro da sala
- Ser o ponto de decoração do ambiente
- Pode ser usado como apoio de pés
- Deixa o ambiente Retro e Vintage
- Ele pode servir como assento
- Não ocupa muito espaço
- Banquetas de penteadeira

 
Especificações Técnicas:
- Puff Banqueta Com Pés De Madeira Maciça
- Madeira de Eucalipto Tratada
- Espuma Poliuretano D26
- Tecido Suede
- Suporta até 120 Kg

 
 
O que você está adquirindo:
03 unid de Puff Ilítia Com 4 Pés De Madeira Maciça

 
Medidas do Produto:
- Altura: 49 cm
- Largura: 34 cm

- Comprimento: 34 cm
- Peso: 1.29 Kg

 
ATENÇÃO: Por ser madeira natural, os pés podem variar
levemente de coloração em relação a foto

#puff #vape #smoke #disposablevape #puffbar #vaping #hqd #smokeshop #vapeshop #o #sofa #vapelife #puffplus #ecig #vapepen #cbd #vapor #weed #eliquid #vapestore #puffbars #disposable #disposableecig #cannabis #juul #puffs #ecigarette #vapenation #vapers #hookah","['#puff', '#vape', '#smoke', '#disposablevape', '#puffbar', '#vaping', '#hqd', '#smokeshop', '#vapeshop', '#o', '#sofa', '#vapelife', '#puffplus', '#ecig', '#vapepen', '#cbd', '#vapor', '#weed', '#eliquid', '#vapestore', '#puffbars', '#disposable', '#disposableecig', '#cannabis', '#juul', '#puffs', '#ecigarette', '#vapenation', '#vapers', '#hookah']",[]
