Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-02-25_17-36-40_UTC,2019-02-25 11:36:40,,3408,72,"“I have two perfectly good hands that can tie shoes, so I thought there really was no need for me to keep these Hyperadapts. I was about to flip them, but then I heard about the JUUL mod and thought that feature alone made them worth the price. Now I just plug my JUUL into my Nikes to charge! Last week, I was hooping and my JUUL was low on battery, so I plugged it in mid-game. I had to adjust my style to just catch and shoot the entire game since I didn’t want to break the pen, but my JUUL was all charged up and ready to destroy my lungs with that sweet Mango vapor as soon as we lost.”",[],[]
2019-06-19_19-31-54_UTC,2019-06-19 14:31:54,JUUL,708,12,"🌤 •
•
•
•
•
#clouds #cloudy #juul #juulgang #juulnation #juuling #dresses #explore #explorepage #blueaesthetic #ａｅｓｔｈｅｔｉｃ #aestheticedits #aesthetic","['#clouds', '#cloudy', '#juul', '#juulgang', '#juulnation', '#juuling', '#dresses', '#explore', '#explorepage', '#blueaesthetic', '#ａｅｓｔｈｅｔｉｃ', '#aestheticedits', '#aesthetic']",[]
2019-06-23_16-45-16_UTC,2019-06-23 11:45:16,,590,6,"Juul is pronounced joo-OOL, like Nintendo Wii (wee-EE). 📷: @brandondacosta 
#Juul #JuulMemes #JuulTricks #JuulPods #BoysWhoVape #MenWhoVape #VapingIsNotEdgeBreak #JuulNation #JuulGang #JuulVapor #JuulCentral #Juuling #VapeNation #VapeNations #Clouds #Vaping #VapeTricks #VapeMemes #VapePen #VapePenis #VapePorn #Vapes #Vaper #Vapers #VapeOn #VapeCommunity #VapeLife #VapeLyfe #💨 #VaperIHardlyKnowEr","['#Juul', '#JuulMemes', '#JuulTricks', '#JuulPods', '#BoysWhoVape', '#MenWhoVape', '#VapingIsNotEdgeBreak', '#JuulNation', '#JuulGang', '#JuulVapor', '#JuulCentral', '#Juuling', '#VapeNation', '#VapeNations', '#Clouds', '#Vaping', '#VapeTricks', '#VapeMemes', '#VapePen', '#VapePenis', '#VapePorn', '#Vapes', '#Vaper', '#Vapers', '#VapeOn', '#VapeCommunity', '#VapeLife', '#VapeLyfe', '#VaperIHardlyKnowEr']",['@brandondacosta']
2019-09-02_20-00-05_UTC,2019-09-02 15:00:05,,565,26,Our divided nation is healing,[],[]
2019-10-20_13-37-42_UTC,2019-10-20 08:37:42,"New Bedford, Massachusetts",1305,26,"Hahahaha I'm crying....hit this 32GB JuuL right quick 🤡🤡😆😆
.
.
.
#savage #savageaf #sunday #savagesunday #juul #juulmemes #juultricks #juulpods #juulnation #lol #lmmfao #lmfao #lmao #ctfu #memes #memez #memegod #funnyvideos #funnyvids #comedy #jokes #pranks #comedyvideos #comedyvids #funnyaf #deadaf #memetang #memearmy #laughing #icantbreathe","['#savage', '#savageaf', '#sunday', '#savagesunday', '#juul', '#juulmemes', '#juultricks', '#juulpods', '#juulnation', '#lol', '#lmmfao', '#lmfao', '#lmao', '#ctfu', '#memes', '#memez', '#memegod', '#funnyvideos', '#funnyvids', '#comedy', '#jokes', '#pranks', '#comedyvideos', '#comedyvids', '#funnyaf', '#deadaf', '#memetang', '#memearmy', '#laughing', '#icantbreathe']",[]
2019-11-26_12-32-02_UTC,2019-11-26 06:32:02,"London, United Kingdom",1965,45,MOOD BOYZ #vape #vapetricks #juul #juulflip #cooperation #coop #vacation #vaper #vapegirl #vapeghost #ghost #vapeporn #vapenation @juulvapor #vapelife #vape #vapelyfe #vapecommunity #vapefam #vapeon #vapestore  @cloudshop_official #vapes #vapedaily #likeforlikes #like4likes #likeforlikeback #likeforfollow #followforfollowback #likeforfollow  #juulmemes #juulpods #juultricks #juulnation,"['#vape', '#vapetricks', '#juul', '#juulflip', '#cooperation', '#coop', '#vacation', '#vaper', '#vapegirl', '#vapeghost', '#ghost', '#vapeporn', '#vapenation', '#vapelife', '#vape', '#vapelyfe', '#vapecommunity', '#vapefam', '#vapeon', '#vapestore', '#vapes', '#vapedaily', '#likeforlikes', '#like4likes', '#likeforlikeback', '#likeforfollow', '#followforfollowback', '#likeforfollow', '#juulmemes', '#juulpods', '#juultricks', '#juulnation']","['@juulvapor', '@cloudshop_official']"
2021-07-15_16-32-57_UTC,2021-07-15 11:32:57,,11,2,"Choose health, not tobacco.🚬❌ Give those lungs the oxygen they need! 🫁 #tobacoofreeca #tobaccofreeeasternsierra #easternsierras #monocounty #inyocounty #bishopca #mammothlakes #tobacco #tobaccofree #california #us395 #highsierra #juul #vaping #chewingtobacco #snuff #vapenation #vapetricks #juulnation #juultricks #greatamericansmokeout","['#tobacoofreeca', '#tobaccofreeeasternsierra', '#easternsierras', '#monocounty', '#inyocounty', '#bishopca', '#mammothlakes', '#tobacco', '#tobaccofree', '#california', '#us395', '#highsierra', '#juul', '#vaping', '#chewingtobacco', '#snuff', '#vapenation', '#vapetricks', '#juulnation', '#juultricks', '#greatamericansmokeout']",[]
2021-07-16_16-39-12_UTC,2021-07-16 11:39:12,,7,0,Making a check list of reasons to quit can be inspiring and lead you to not smoking!!🚬❌ #tobacoofreeca #tobaccofreeeasternsierra #easternsierras #monocounty #inyocounty #bishopca #mammothlakes #tobacco #tobaccofree #california #us395 #highsierra #juul #vaping #chewingtobacco #snuff #vapenation #vapetricks #juulnation #juultricks #greatamericansmokeout,"['#tobacoofreeca', '#tobaccofreeeasternsierra', '#easternsierras', '#monocounty', '#inyocounty', '#bishopca', '#mammothlakes', '#tobacco', '#tobaccofree', '#california', '#us395', '#highsierra', '#juul', '#vaping', '#chewingtobacco', '#snuff', '#vapenation', '#vapetricks', '#juulnation', '#juultricks', '#greatamericansmokeout']",[]
2021-07-17_18-53-55_UTC,2021-07-17 13:53:55,,6,0,"That sweet, sweet, smokeless air is SO worth quitting!!!🚬❌ #tobacoofreeca #tobaccofreeeasternsierra #easternsierras #monocounty #inyocounty #bishopca #mammothlakes #tobacco #tobaccofree #california #us395 #highsierra #juul #vaping #chewingtobacco #snuff #vapenation #vapetricks #juulnation #juultricks #greatamericansmokeout","['#tobacoofreeca', '#tobaccofreeeasternsierra', '#easternsierras', '#monocounty', '#inyocounty', '#bishopca', '#mammothlakes', '#tobacco', '#tobaccofree', '#california', '#us395', '#highsierra', '#juul', '#vaping', '#chewingtobacco', '#snuff', '#vapenation', '#vapetricks', '#juulnation', '#juultricks', '#greatamericansmokeout']",[]
2021-07-19_00-31-49_UTC,2021-07-18 19:31:49,,7,0,Make today the day you quit smoking!!! 🚬❌ #tobacoofreeca #tobaccofreeeasternsierra #easternsierras #monocounty #inyocounty #bishopca #mammothlakes #tobacco #tobaccofree #california #us395 #highsierra #juul #vaping #chewingtobacco #snuff #vapenation #vapetricks #juulnation #juultricks #greatamericansmokeout,"['#tobacoofreeca', '#tobaccofreeeasternsierra', '#easternsierras', '#monocounty', '#inyocounty', '#bishopca', '#mammothlakes', '#tobacco', '#tobaccofree', '#california', '#us395', '#highsierra', '#juul', '#vaping', '#chewingtobacco', '#snuff', '#vapenation', '#vapetricks', '#juulnation', '#juultricks', '#greatamericansmokeout']",[]
