Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-10-26_23-47-25_UTC,2019-10-26 18:47:25,JW Marriott Austin,540,29,Don’t eat the canapé #titos #whiteclaws #juulpods #gala #tuxedofarts,"['#titos', '#whiteclaws', '#juulpods', '#gala', '#tuxedofarts']",[]
2020-06-15_22-44-10_UTC,2020-06-15 17:44:10,"Framingham, Massachusetts",8761,140,"I’m concerned for our future generations
#notyourfathersbroker #nyfb
•
#financememes #finance #millennials #yolo #traders #robinhood #wallstreet #juulpods #tgif #tgifridays #wsb #wallstreetbets","['#notyourfathersbroker', '#nyfb', '#financememes', '#finance', '#millennials', '#yolo', '#traders', '#robinhood', '#wallstreet', '#juulpods', '#tgif', '#tgifridays', '#wsb', '#wallstreetbets']",[]
2020-07-16_02-00-22_UTC,2020-07-15 21:00:22,"Los Angeles, California",3529,82,I’ve had this song stuck in my head all day. ✨Halo - Beyoncé,[],[]
2020-12-04_12-04-06_UTC,2020-12-04 06:04:06,,602,10,#wakemeup #anothernicedayinla #latoday #switzerland🇨🇭 #brasileirospelomundo #ocdawareness #christmasdecorations #bolognacentro #potterybarn #smellofthemountain #spinachsmoothie #castanhoiluminado #mulherzinhasdocaraças #ashtangayoga #tattooart #nudenails #pictureoftheday #dalmatian #oliverpeoples #bitcoin #tiktok #juulpods #kravmaga #tomatosauce,"['#wakemeup', '#anothernicedayinla', '#latoday', '#switzerland', '#brasileirospelomundo', '#ocdawareness', '#christmasdecorations', '#bolognacentro', '#potterybarn', '#smellofthemountain', '#spinachsmoothie', '#castanhoiluminado', '#mulherzinhasdocaraças', '#ashtangayoga', '#tattooart', '#nudenails', '#pictureoftheday', '#dalmatian', '#oliverpeoples', '#bitcoin', '#tiktok', '#juulpods', '#kravmaga', '#tomatosauce']",[]
2021-04-15_14-38-48_UTC,2021-04-15 09:38:48,Bushwick,-1,20,"🙄

shot by @studiojprobbins

#juulpods #waste #repurpose #upcycle #juulery #eyeroll #garbage #trash #microplastics #plastic #juul #2020 #earthmonth #earthyear #earthalways","['#juulpods', '#waste', '#repurpose', '#upcycle', '#juulery', '#eyeroll', '#garbage', '#trash', '#microplastics', '#plastic', '#juul', '#2020', '#earthmonth', '#earthyear', '#earthalways']",['@studiojprobbins']
2021-06-23_19-19-49_UTC,2021-06-23 14:19:49,,21792,39,It's official: even dogs are cooler than me now.,[],[]
2021-10-05_22-08-10_UTC,2021-10-05 17:08:10,,1,1,,[],[]
2021-10-12_23-05-45_UTC,2021-10-12 18:05:45,,1,0,Details: decshib.com  #fnm_photography #oza #acz #aczino #aczzarif #vgs #vgscommunity #fbvgs #vgspremium #vgshopping #rsdskin #rsdirect #szu #szülinap #szukamdziewczyny #szukamchlopaka #szukam #szukamchłopaka #szukampracy #szukamfotografa #szusowanko #születésnap #juu #juul #juuzousuzuya #juuzou #juunj #juuzousuzuyaedit #juulmemes #juulpods,"['#fnm_photography', '#oza', '#acz', '#aczino', '#aczzarif', '#vgs', '#vgscommunity', '#fbvgs', '#vgspremium', '#vgshopping', '#rsdskin', '#rsdirect', '#szu', '#szülinap', '#szukamdziewczyny', '#szukamchlopaka', '#szukam', '#szukamchłopaka', '#szukampracy', '#szukamfotografa', '#szusowanko', '#születésnap', '#juu', '#juul', '#juuzousuzuya', '#juuzou', '#juunj', '#juuzousuzuyaedit', '#juulmemes', '#juulpods']",[]
2021-10-13_12-45-51_UTC,2021-10-13 07:45:51,"Kazan, Tatarstan",1412,0,"Хэй, чувствуешь как становится жарко?!🔥🔥🔥

Во всём мире сдвинулись тектонические пласты и магма вырвалась наружу 
Пробудились спящие вулканы и заполоняют всю поверхность земли своей горящей лавой!🌋

Можешь забыть о тех местах где Ты приобретал свой никотиновый допинг, 
Ведь для тебя остался один из ЛУЧШИХ магазинов - поддерживающих КАЧЕСТВО и широкий АССОРТИМЕНТ товара по приятным ценам 💵

Каждый день с 10:00 до 23:00 в наших магазинах Вас встретит один из наших потрясающих специалистов, который поможет подобрать ЛЮБУЮ никотин содержащую продукцию под Тебя и твоих друзей 😉
@vulkano_smoke 🔝🔝🔝
#кварталказань #шайбаkz #шайба #табак #подымим #подсистемы #smoke #vape #arqa #faff #kasta #odens #siberia #darcside #brusco #musthave #morgenshtern #virus #кальян #испарители #hqd #hqd_pods #juul #juulpods #izi #masking #zeropod #хоккей #хоккейказань #хоккеисты","['#кварталказань', '#шайбаkz', '#шайба', '#табак', '#подымим', '#подсистемы', '#smoke', '#vape', '#arqa', '#faff', '#kasta', '#odens', '#siberia', '#darcside', '#brusco', '#musthave', '#morgenshtern', '#virus', '#кальян', '#испарители', '#hqd', '#hqd_pods', '#juul', '#juulpods', '#izi', '#masking', '#zeropod', '#хоккей', '#хоккейказань', '#хоккеисты']",['@vulkano_smoke']
2021-10-14_11-41-40_UTC,2021-10-14 06:41:40,,1,2,,[],[]
2021-10-15_16-03-36_UTC,2021-10-15 11:03:36,,9,3,"SEXTOU, certo?! Nada melhor então que fazer o seu pedido para curtir o fim de semana! 

📱 Mande um DM ou mensagem no nosso WhatsApp e peça já seu produto favorito!

🚨 Descontos excelentes a partir de certa quantidade! Cobrimos qualquer preço, vem pra stig and pods! 

.
.
.
.
.
.
#maskkingvape #maskking #ignite #igniteyourlife #juulpods #melhorespreços #brasilia #stig #balmy  #vaper #sextou #fds #festa","['#maskkingvape', '#maskking', '#ignite', '#igniteyourlife', '#juulpods', '#melhorespreços', '#brasilia', '#stig', '#balmy', '#vaper', '#sextou', '#fds', '#festa']",[]
2021-10-17_00-21-58_UTC,2021-10-16 19:21:58,,9,0,"Benjuulman is enjoying the fabulous sunset at the @southernpinesbrewing 7th anniversary party. Juulius is here too, somewhere...

#juulpods #juulstory #southernpinesbrewery","['#juulpods', '#juulstory', '#southernpinesbrewery']",['@southernpinesbrewing']
2021-10-17_16-00-35_UTC,2021-10-17 11:00:35,,13,0,@linda.yip.1232 ←← She feels amazing! Best updated sexdolls shop available at affordable prices shipping done worldwide Home : siliconerealdoll.com  #juuzousuzuya #juuzou #juunj #juuzousuzuyaedit #juulmemes #juulpods #juuzouedit #juustokakku #juultricks #juulvapor #juuzoucosplay #juuzousuzuyacosplay #juulianapaiva #juulcentral #fwtfl #fwt #fwtflcoach #fwtx #fwtxmag #qovlar #qove #szukamdomu #szülinapitorta #ynd #nmc #nmcmobile #nmcbusiness #nmcgroup #nmca #nmcgram,"['#juuzousuzuya', '#juuzou', '#juunj', '#juuzousuzuyaedit', '#juulmemes', '#juulpods', '#juuzouedit', '#juustokakku', '#juultricks', '#juulvapor', '#juuzoucosplay', '#juuzousuzuyacosplay', '#juulianapaiva', '#juulcentral', '#fwtfl', '#fwt', '#fwtflcoach', '#fwtx', '#fwtxmag', '#qovlar', '#qove', '#szukamdomu', '#szülinapitorta', '#ynd', '#nmc', '#nmcmobile', '#nmcbusiness', '#nmcgroup', '#nmca', '#nmcgram']",['@linda']
