Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2015-06-17_01-51-11_UTC,2015-06-16 20:51:11,Brookyln,45,4,#life is #good in #Brooklyn... #summer has arrived and #photobooths are every where. I got #caught cutting line.. Hey What u gunna do? #juul #juulvape,"['#life', '#good', '#Brooklyn', '#summer', '#photobooths', '#caught', '#juul', '#juulvape']",[]
2019-04-11_20-08-34_UTC,2019-04-11 15:08:34,"Chisinau, Moldova",135,4,"Perfect anytime, anywhere! Jmate portable charging case for Juul! 
www.jmate.net
Follow @official_jmate 
#instavape #vape #ecigs #coilbuild #vapetricks #vapemodels #cloudchaser #jakartavape #stopsmokingstartvaping #vapergram #subohm #coilporn #saltfirecoils #coils #coilbuilding #crazybuilds ##buildmode #dailyvape #eliquid #vapefam #vapelyfe #vapelife #vapeaddict #vapeallday #mech #models #JUUL #juultricks #juulvape","['#instavape', '#vape', '#ecigs', '#coilbuild', '#vapetricks', '#vapemodels', '#cloudchaser', '#jakartavape', '#stopsmokingstartvaping', '#vapergram', '#subohm', '#coilporn', '#saltfirecoils', '#coils', '#coilbuilding', '#crazybuilds', '#buildmode', '#dailyvape', '#eliquid', '#vapefam', '#vapelyfe', '#vapelife', '#vapeaddict', '#vapeallday', '#mech', '#models', '#JUUL', '#juultricks', '#juulvape']",['@official_jmate']
2019-06-21_11-35-07_UTC,2019-06-21 06:35:07,Porrini Caffe,36,1,#juulvapor #juulpods #juulpod #juuls #juulvape #porrinicaffè #rosetodegliabruzzi #abruzzo #bar #top #svapare #nicotina #tabacco #saliditabacco #svapo #svapoitalia #svapomania,"['#juulvapor', '#juulpods', '#juulpod', '#juuls', '#juulvape', '#porrinicaffè', '#rosetodegliabruzzi', '#abruzzo', '#bar', '#top', '#svapare', '#nicotina', '#tabacco', '#saliditabacco', '#svapo', '#svapoitalia', '#svapomania']",[]
2019-06-22_02-30-18_UTC,2019-06-21 21:30:18,"Brooklyn, New York",20,0,"Current mood 🚬💩
#juul #juulpods #vape #juulvape #lowbattery #recharge #batterybackup #pooemoji #power #currentmood #holding #setlife #work #background #nyc #brooklyn #newyork #journalist #blooger #fashionblogger #vitrinachic #creative #explore #inspire #instamoment","['#juul', '#juulpods', '#vape', '#juulvape', '#lowbattery', '#recharge', '#batterybackup', '#pooemoji', '#power', '#currentmood', '#holding', '#setlife', '#work', '#background', '#nyc', '#brooklyn', '#newyork', '#journalist', '#blooger', '#fashionblogger', '#vitrinachic', '#creative', '#explore', '#inspire', '#instamoment']",[]
2019-07-02_04-13-52_UTC,2019-07-01 23:13:52,"Jakarta, Indonesia",20,0,Next #juullabs #juulpods #juulvape,"['#juullabs', '#juulpods', '#juulvape']",[]
2019-08-11_04-46-07_UTC,2019-08-10 23:46:07,,16,1,Try Puff!!! Our new Juul compatible pods with so many new flavors.,[],[]
2019-08-12_21-48-59_UTC,2019-08-12 16:48:59,,11,1,"Iqos x juul lebih bahaya mana

#iqosjakarta #cigarettes
#juulvape #liquid #jakarta #hanyaikutikutan #namanyaorang","['#iqosjakarta', '#cigarettes', '#juulvape', '#liquid', '#jakarta', '#hanyaikutikutan', '#namanyaorang']",[]
2019-08-13_07-10-35_UTC,2019-08-13 02:10:35,,73,3,"There are 4 slots for pods, how many flavors will you put in the Pandora?",[],[]
2019-08-14_03-20-03_UTC,2019-08-13 22:20:03,,20,2,Model: @mara_loly Photographer: @cristoferbryanrodriguez #red #retro #rotoryphone #redsunglasses  #darkskintones #skintones #beauty #juul #vape #vapepen #juulvape,"['#red', '#retro', '#rotoryphone', '#redsunglasses', '#darkskintones', '#skintones', '#beauty', '#juul', '#vape', '#vapepen', '#juulvape']","['@mara_loly', '@cristoferbryanrodriguez']"
2019-08-15_18-32-23_UTC,2019-08-15 13:32:23,Townsquare Cilandak,46,7,JUUL.. #storedevelopment2019#juulvape #notar#noodor#nomess#erajayaretail#onprogressrenovation,"['#storedevelopment2019', '#juulvape', '#notar', '#noodor', '#nomess', '#erajayaretail', '#onprogressrenovation']",[]
