Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2021-05-25_17-27-52_UTC,2021-05-25 12:27:52,,6725,17,"Ra ngevape, paru-paru ora smile 😁 
.
Morph POD-40 Kit “BROWN” by @smok_tech #smok #smoktech #smokshow #smokmorphpod40kit","['#smok', '#smoktech', '#smokshow', '#smokmorphpod40kit']",['@smok_tech']
2021-05-26_13-01-20_UTC,2021-05-26 08:01:20,,4302,27,"Balik kerja, capek😴
.
MORPH POD-40 KIT BROWN by @smok_tech #smok #smoktech #smokshow #smokmorphpod40kit","['#smok', '#smoktech', '#smokshow', '#smokmorphpod40kit']",['@smok_tech']
2021-06-26_03-35-33_UTC,2021-06-25 22:35:33,,4513,7,"Saturday Night🌬💨 
.
Smok RPM 4 KIT “BROWN LEATHER” + “BLUE LEATHER” by @smok_tech @smok_show #smok #smoktech #smokshow #smokrpm4kit #smokindonesia","['#smok', '#smoktech', '#smokshow', '#smokrpm4kit', '#smokindonesia']","['@smok_tech', '@smok_show']"
2021-08-10_03-33-59_UTC,2021-08-09 22:33:59,,5796,18,"Apa kabar? Udah pada move on kan?! 
.
Smok Stick R22 by @smok_tech 
#smok #smoktech #smokshow #smokstickr22","['#smok', '#smoktech', '#smokshow', '#smokstickr22']",['@smok_tech']
2022-02-24_16-50-58_UTC,2022-02-24 10:50:58,,19128,157,"Zovite me smjesko 😁😁😁

#sarajevo #sarajevobosnia #bosnia #bosnien #bosniaandherzegovina #bosniangirl #bosnaihercegovina #bosniaandherzegovina🇧🇦 #lucky #smile #fashion #scc #nurse #nurselife #nursery #medicine #medizin #smile #smiles #smiley #smokeyeye #smoktech","['#sarajevo', '#sarajevobosnia', '#bosnia', '#bosnien', '#bosniaandherzegovina', '#bosniangirl', '#bosnaihercegovina', '#bosniaandherzegovina', '#lucky', '#smile', '#fashion', '#scc', '#nurse', '#nurselife', '#nursery', '#medicine', '#medizin', '#smile', '#smiles', '#smiley', '#smokeyeye', '#smoktech']",[]
2022-04-11_19-32-52_UTC,2022-04-11 14:32:52,United States,680,0,"SMOK RPM5 Kit Full Review

To enter any contest included in the video, do so by using the link on the YouTube uploaded review, which contains all the rules and requirements, Thank You.

#smok #smoktech #rpm5 #smokrpm5","['#smok', '#smoktech', '#rpm5', '#smokrpm5']",[]
2022-10-10_05-48-09_UTC,2022-10-10 00:48:09,Taman Nasional Baluran,1564,21,"Orang lain taunya hidup kita enak,
Padahal mah enak banget 🍂

#smoktech #smokrpm85 #smokrpm #baluran","['#smoktech', '#smokrpm85', '#smokrpm', '#baluran']",[]
2022-11-03_11-43-29_UTC,2022-11-03 06:43:29,,343,8,"Just remember no one can take away from you what you’ve put in your own mind. 

#motivation
#smok
#smoktech 

@smok_show","['#motivation', '#smok', '#smoktech']",['@smok_show']
2022-11-07_15-06-44_UTC,2022-11-07 09:06:44,,159,7,"❗️❗️GIVEAWAY ALLERT❗️❗️

I will be giving away SMOK Products to 3 lucky winners. 

How to join:
IG
1. Like this post.
2. Follow @smok_show and my account @hazelcha 
2. Tag 3 friends in the comment section.

FB
1. Like and share this post
2. Follow SMOK and my account Hazel Cha
3. Tag 3 friends in the comment section.

Winners will be tagged on my next post! Goodluck! 🥰💨
#smok
#smoktech","['#smok', '#smoktech']","['@smok_show', '@hazelcha']"
2023-02-12_13-48-37_UTC,2023-02-12 07:48:37,,1,0,"จะมีแฟนหรือโสด ก็มีโหมดซื้อของขวัญวาเลนไทน์ให้แฟนหรือตัวเองได้แบบคุ้มๆ !​ มาร้านเราจิ 😘ที่ Line : @vaper168  https://bit.ly/2OPW484

ช้อปของขวัญวาเลนไทน์ 2566 พร้อมส่วนลดเพียบ💋💋

#smok #smoktech
#ของขวัญให้แฟน #ของขวัญวาเลนไทน์ #ของขวัญ","['#smok', '#smoktech', '#ของขว', '#ของขว', '#ของขว']",['@vaper168']
