Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-08-20_18-06-26_UTC,2019-08-20 13:06:26,Marina Ibiza,598,16,"They don’t like me...I don’t like’em 🤟🏻 don’t mind 🤪
.
.
➖➖➖➖➖➖➖➖➖➖
#ibiza19 #camisa #outfitinspiration #outfits #trend #leopardo #camisaestampada #camisashombre #cbdoil #vapeador","['#ibiza19', '#camisa', '#outfitinspiration', '#outfits', '#trend', '#leopardo', '#camisaestampada', '#camisashombre', '#cbdoil', '#vapeador']",[]
2019-09-27_15-42-21_UTC,2019-09-27 10:42:21,,1685,64,"HABLEMOS DE CIGARRILLOS ELECTRÓNICOS Y VAPEADORES
.
🚬🚬El cigarrillo electrónico y los accesorios para este dispositivo pueden  parecer una opción para reemplazar al convencional. 
Sin embargo, no hay evidencia científica que dé cuenta de su de su eficacia para abandonar el tabaco, por eso la Administración Nacional de Medicamentos, Alimentos y Tecnología (ANMAT) los prohibe en nuestros país desde 2011.
.
Encontrá más información sobre consumos acá: hablemosdetodo.gob.ar/consumos-info/",[],[]
2022-10-18_15-23-39_UTC,2022-10-18 10:23:39,Palacio Nacional,3957,234,"Alejandro Ernesto Svarch Pérez, titular de Cofepris, alertó que los vapeadores contienen Linalol, sustancia utilizada para matar moscas y cucarachas, por lo que su uso puede ser perjudicial para la salud.

El funcionario explicó que la Comisión analizó algunos vapeadores y encontró diversas sustancias ocultas, las cuales no son advertidas al consumidor al momento de la compra. Te decimos cuáles fueron en el link de la bío.

#EntérateEnREFORMA #Cofepris #vapeador #vapeadores #fumar #tabaco #sustanciasquímicas","['#EntérateEnREFORMA', '#Cofepris', '#vapeador', '#vapeadores', '#fumar', '#tabaco', '#sustanciasquímicas']",[]
2022-11-09_11-54-56_UTC,2022-11-09 05:54:56,,1010,13,"#Salud | Joven habla de su experiencia con el cigarrillo electrónico y pide a las personas que lo dejen de usar.

🔗 Caracol.com.co

#Vapeador #Pulmones #Cigarrillo","['#Salud', '#Vapeador', '#Pulmones', '#Cigarrillo']",[]
2022-11-11_08-15-45_UTC,2022-11-11 02:15:45,,8075,247,"Saltaron a la fama como una alternativa “saludable”, pero a medida que se conoce más sobre los efectos sobre la salud de los cigarrillos electrónicos, se va desterrando esa idea. Al menos eso es lo que demuestran los estudios sobre el también llamado ‘vapeo’, muy de moda especialmente entre los más jóvenes.

La última investigación sobre su consumo, realizada por los Institutos Nacionales de Salud (NIH) de Estados Unidos, ha descubierto que tanto los fumadores como los ‘vapeadores’ tenían daños en los vasos sanguíneos: signos en la sangre de una mayor inflamación y un mayor riesgo de coágulos.

El estudio, liderado por el doctor Matthew Springer, de la Universidad de California, ha contado con la colaboración de 120 voluntarios de 21 a 50 años. Todos gozaban de buena salud y no presentaban problemas cardíacos conocidos. De esos 120, 42 usaban cigarrillos electrónicos regularmente, 28 fumaban cigarrillos convencionales y 50 no consumían tabaco. Los investigadores analizaron muestras de sangre de todos ellos para detectar cambios en las sustancias químicas involucradas en el flujo sanguíneo. También usaron ultrasonido para medir la función de los vasos sanguíneos en un subconjunto de personas de cada grupo.

#vape #vapeador #dalud #tabaco #problemasdesalud","['#vape', '#vapeador', '#dalud', '#tabaco', '#problemasdesalud']",[]
2022-11-18_10-20-57_UTC,2022-11-18 04:20:57,España,1,1,"Aprovecha los descuentos de Black Friday 😉💋
.
.
.
#diseño #vape #vapeador #vapephotography #funda #regalos #original #handmade #hechoamano #vapefollow #instavape #lovevape #moda #fashion #blackfriday #vapegirl #vapefriend #laberinto #smoke #zalamera #vapecommunity #vapelove #vaper #vapefam #vapelyfe #vapeinfluencer #vapeworld #vapenation #vapestagram","['#diseño', '#vape', '#vapeador', '#vapephotography', '#funda', '#regalos', '#original', '#handmade', '#hechoamano', '#vapefollow', '#instavape', '#lovevape', '#moda', '#fashion', '#blackfriday', '#vapegirl', '#vapefriend', '#laberinto', '#smoke', '#zalamera', '#vapecommunity', '#vapelove', '#vaper', '#vapefam', '#vapelyfe', '#vapeinfluencer', '#vapeworld', '#vapenation', '#vapestagram']",[]
2022-11-18_10-22-53_UTC,2022-11-18 04:22:53,,0,0,"Moon Mapoor | Fume Vapes QRJOY®

Visita nuestro perfil para más información. 

#vapecrew #vapeador #vaporizador #fume #fumeinfinity #moonvapor #costarica","['#vapecrew', '#vapeador', '#vaporizador', '#fume', '#fumeinfinity', '#moonvapor', '#costarica']",[]
2022-11-18_10-23-12_UTC,2022-11-18 04:23:12,,0,0,"Moon Mapoor | Elfbar®

Visita nuestro perfil para más información.

#vapecrew #vapeador #vaporizador #elfbar #elfbarbc5000 #moonvapor #costarica","['#vapecrew', '#vapeador', '#vaporizador', '#elfbar', '#elfbarbc5000', '#moonvapor', '#costarica']",[]
2022-11-18_10-23-18_UTC,2022-11-18 04:23:18,,0,0,"Todo lo que queremos darte es el sabor más puro.
Bobina doble con sabores extraordinarios.

¿Se está quedando sin energía?
¡Se puede recargar!

₡17.000. Consulta por sabores disponibles.

#vapecrew #vapeador #vaporizador #elfbar #elfbarbc5000 #moonvapor #costarica","['#vapecrew', '#vapeador', '#vaporizador', '#elfbar', '#elfbarbc5000', '#moonvapor', '#costarica']",[]
2022-11-18_20-00-05_UTC,2022-11-18 14:00:05,,11,0,"Si la felicidad fuese un sabor, te aseguramos que sería la de un cóctel de Urbano... Y cuéntanos drinker, entre todos los que tenemos para ti ¿cuál es tu favorito? 🍹🤔⁣
⁣
No te quedes sin probar los mejores cócteles granizados de la ciudad

📍 ¡ESTAMOS ACTIVOS! Visítanos, estamos ubicados en la entrada del restaurante Brassa Mare

¿Quieres pedir a domicilio? Sí tenemos, para isla y continente: 3154905251 (Whatsapp)

#Buenaventura #ParcheEnBuenaventura  #Urbano #CoctelesGranizados #Delicioso #Amor #Amigos #CoctelGranizado #HoySeBebe #Takis #Vapeador","['#Buenaventura', '#ParcheEnBuenaventura', '#Urbano', '#CoctelesGranizados', '#Delicioso', '#Amor', '#Amigos', '#CoctelGranizado', '#HoySeBebe', '#Takis', '#Vapeador']",[]
