Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-05-31_14-59-04_UTC,2022-05-31 09:59:04,,4052,269,"El presidente de México, Andrés Manuel López Obrador (AMLO), firmó, durante la conferencia mañanera en Palacio Nacional, un decreto que prohíbe vapeadores y cigarros electrónicos.

Durante la firma del documento estuvo presente, además de funcionarios mexicanos, el doctor Miguel Malo, representante de la Organización Panamericana de la Salud (OPS).

Poco antes de la firma del decreto, el presidente López Obrador recibió un premio, en el Día Mundial sin Tabaco, por su compromiso con la salud del pueblo mexicano.

El presidente mostró un vapeador y puntualizó que lo más importante es informar.

“Me traje uno que encontré… pregunté, vale 300 pesos, se lo consumen en una semana, o sea que son 1,200 pesos al mes”, dijo, mostrando el color y el diseño del vapeador.

Afirmó que independientemente del decreto para que no se permita la venta de estos productos, se busca poner el tema sobre la mesa.

El presidente dijo estar seguro que la mayoría de las madres y padres de familia no saben del daño que ocasionan los vapeadores.

“Da hasta cierto prestigio y se piensa que no son dañinos para la salud”, agregó.

#amlo #díamundialsintabaco #mexico #vapeadores #tabaquismo","['#amlo', '#díamundialsintabaco', '#mexico', '#vapeadores', '#tabaquismo']",[]
2022-05-31_18-05-10_UTC,2022-05-31 13:05:10,,611,34,"En el Día Mundial sin Tabaco, AMLO firmó un decreto que prohíbe la distribución y venta de vapeadores y cigarros electrónicos en México. 🚭

“Da hasta cierto prestigio y se piensa que no son dañinos para la salud”, dijo el presidente al sostener un vepeador. ""Me traje uno que encontré, vale 300 pesos, se lo consumen en una semana, o sea que son $1,200 al mes"", agregó.

📷: Presidencia
.
.
.
.
.
#LópezObrador #Política #Salud #Tabaquismo #Tabaco #Vapeadores #AMLO #QuéOpinas #Comenta #Like #Comparte #México #Noticias #DebateInstagram","['#LópezObrador', '#Política', '#Salud', '#Tabaquismo', '#Tabaco', '#Vapeadores', '#AMLO', '#QuéOpinas', '#Comenta', '#Like', '#Comparte', '#México', '#Noticias', '#DebateInstagram']",[]
2022-10-18_15-23-39_UTC,2022-10-18 10:23:39,Palacio Nacional,3957,234,"Alejandro Ernesto Svarch Pérez, titular de Cofepris, alertó que los vapeadores contienen Linalol, sustancia utilizada para matar moscas y cucarachas, por lo que su uso puede ser perjudicial para la salud.

El funcionario explicó que la Comisión analizó algunos vapeadores y encontró diversas sustancias ocultas, las cuales no son advertidas al consumidor al momento de la compra. Te decimos cuáles fueron en el link de la bío.

#EntérateEnREFORMA #Cofepris #vapeador #vapeadores #fumar #tabaco #sustanciasquímicas","['#EntérateEnREFORMA', '#Cofepris', '#vapeador', '#vapeadores', '#fumar', '#tabaco', '#sustanciasquímicas']",[]
2022-10-18_20-43-30_UTC,2022-10-18 15:43:30,,1324,84,"#ATENCIÓN 🚨 Cofepris alerta por presencia de veneno para ratas y cucarachas en vapeadores

El titular de la Comisión Federal para la Protección contra Riesgos Sanitarios (Cofepris), Alejandro Svarch, presentó este martes un análisis que realizó el Laboratorio Nacional de Referencia a los vapeadores; reveló que contienen 33 sustancias de alta toxicidad que ponen en peligro la salud de quienes los consumen, entre ellas algunas que son utilizadas en otras industrias como insecticida contra moscas y cucarachas.

Durante la presentación, detalló que existen componentes que se usan en el vapeo que son visibles, como la glicerina; el propilenglicol, que se encuentra en máquinas que generan humo artificial; y saborizantes naturales o artificiales.

Como parte de las acciones para proteger la salud, más de 75,000 vapeadores han sido decomisados a nivel nacional . Un total de 100 establecimientos y maquinas dispensadoras fueron suspendidas y se han realizado 1,514 operativos de verificación en todo el país.

#Cofepris #Vapeadores #México","['#ATENCIÓN', '#Cofepris', '#Vapeadores', '#México']",[]
2022-10-18_21-45-17_UTC,2022-10-18 16:45:17,,3665,211,"El titular de la Comisión Federal para la Protección contra Riesgos Sanitarios, Alejandro Svarch, dio a conocer que algunas sustancias están ocultas en el etiquetado de los #vapeadores, de las que destacó un tipo de veneno para cucarachas. El equipo de la Cofepris estudió los vapeadores incluso antes de que existiera un método para el análisis, por esta razón implementó un procedimiento propio con rigor técnico y científico. ⁠
Algunas de las sustancias declaradas son glicerina, propilenglicol y saborizantes naturales y artificiales, mientras que entre las sustancias ocultas destacan dimetil éter, alcohol bencílico y linalool, componente utilizado para matar moscas y cucarachas.⁠
⁠
Encuentra la nota completa en el link de nuestro perfil.⁠",['#vapeadores'],[]
2022-10-28_15-00-29_UTC,2022-10-28 10:00:29,,1333,62,"#HealthCafé con @fernandocastilleja  y @juanaramirezsohin 

#Vapeadores #Vaping #Vapear","['#HealthCafé', '#Vapeadores', '#Vaping', '#Vapear']","['@fernandocastilleja', '@juanaramirezsohin']"
2022-11-16_02-43-24_UTC,2022-11-15 20:43:24,,597,13,"Joan Soriano, médico epidemiólogo en el Servicio de Neumología del Hospital Universitario de La Princesa de Madrid, pasó por los micrófonos de Contrarreloj de W Radio para hablar del uso de vapeadores, cigarrillos electrónicos y cigarrillos tradicionales en la sociedad.

“Este es un estudio muy importante y en él los autores hablan del efecto perjudicial de fumar, pero también es importante hablar de los efectos beneficiosos de dejar de fumar”, señaló.

#Contrarreloj #Vapeadores #Cigarrillos","['#Contrarreloj', '#Vapeadores', '#Cigarrillos']",[]
2022-12-31_17-34-06_UTC,2022-12-31 11:34:06,,15,0,"🍾🥂FELIZ AÑO NUEVO!!!
El equipo de @yonofumoyovapeo os desea feliz año nuevo!!!

❤️Nos adelantamos unas horas antes de fin de año para desearte lo mejor en este 2023 que está por estrenar❤️

Esperamos seguir formando parte de tu vida en este nuevo comienzo.

Nos vemos en 2023.
Buen vapeo.

#FelizAño #Bienvenido2023 #Bye2022#yonofumoyovapeo #vapeshop #Eliquid #vapear #vapeo #vapeando #vapear #vapespain #vapespaña #vapepic #vapestagram #vapeadores #vapetime #vaporizador #vapeo #vapediscount","['#FelizAño', '#Bienvenido2023', '#Bye2022', '#yonofumoyovapeo', '#vapeshop', '#Eliquid', '#vapear', '#vapeo', '#vapeando', '#vapear', '#vapespain', '#vapespaña', '#vapepic', '#vapestagram', '#vapeadores', '#vapetime', '#vaporizador', '#vapeo', '#vapediscount']",['@yonofumoyovapeo']
2022-12-31_21-11-18_UTC,2022-12-31 15:11:18,"Huila, Colombia",3,0,"Comienza este último día con lit vapes y empezarás el año 2023 bien cabron🔥🤩

🔞uso exclusivo para mayores de edad🔞

Pide tu lit por mensaje directo o escríbenos por WhatsApp📲(link en nuestro perfil)

#vape #vapers #vaper #vapeadores #vapenation #neiva #huilacolombia #vapesdesechable #vapesdesechablescolombia","['#vape', '#vapers', '#vaper', '#vapeadores', '#vapenation', '#neiva', '#huilacolombia', '#vapesdesechable', '#vapesdesechablescolombia']",[]
2023-01-01_00-30-44_UTC,2022-12-31 18:30:44,,17,1,"#vapemonterrey #vapeo #vapers #vapemty #vapersmonterrey #handcheckmx #vapingmx #vapemexico #vapeomx #vapeomexico #vapersmexico #vapeandomexico #vapersmty #theresistancesociety #vapear #vapeo #vapeadores 
#vapemex #vapefam #vapeon #vapelife #handcheckmx #handmade #cloudchasers #vapelove #vapepics #vapenation #vapermty #vapersmexico #vapersmty #vapemtymx","['#vapemonterrey', '#vapeo', '#vapers', '#vapemty', '#vapersmonterrey', '#handcheckmx', '#vapingmx', '#vapemexico', '#vapeomx', '#vapeomexico', '#vapersmexico', '#vapeandomexico', '#vapersmty', '#theresistancesociety', '#vapear', '#vapeo', '#vapeadores', '#vapemex', '#vapefam', '#vapeon', '#vapelife', '#handcheckmx', '#handmade', '#cloudchasers', '#vapelove', '#vapepics', '#vapenation', '#vapermty', '#vapersmexico', '#vapersmty', '#vapemtymx']",[]
