Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-09-10_05-07-13_UTC,2022-09-10 00:07:13,,1722,35,"MRN BV4 with a @genesis_creations_llc series kit. Trove V3 with Oxide1 aliens🤍

#TeamOxide1:
@oxide.1
@burncity_tclp
@bearded_drippa 
@stevengmcc 
@stila4
@dualcoil_photography
@markh125
@mec_lyfe

Prospects:
@vaper.of.aus
@coreymarshall132

#team_MRN #genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico","['#TeamOxide1', '#team_MRN', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict']","['@genesis_creations_llc', '@oxide', '@burncity_tclp', '@bearded_drippa', '@stevengmcc', '@stila4', '@dualcoil_photography', '@markh125', '@mec_lyfe', '@vaper', '@coreymarshall132', '@hashtagr', '@modmecanico']"
2022-10-04_06-53-08_UTC,2022-10-04 01:53:08,,1270,38,"Black and white makes it legal.
Still red is priceless for the worth it hold❤️

#TeamOxide1 
#team_MRN #genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico #terkishtuesday","['#TeamOxide1', '#team_MRN', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict', '#terkishtuesday']","['@hashtagr', '@modmecanico']"
2022-10-13_06-12-02_UTC,2022-10-13 01:12:02,,611,17,"Grow through what you go through…

#TeamOxide1 
#team_MRN #genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico","['#TeamOxide1', '#team_MRN', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict']","['@hashtagr', '@modmecanico']"
2022-10-15_04-24-08_UTC,2022-10-14 23:24:08,,1521,16,"Dont take life to seriously.
Nobody gets out alive anyways….

#TeamOxide1 
#genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico","['#TeamOxide1', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict']","['@hashtagr', '@modmecanico']"
2022-10-19_12-55-53_UTC,2022-10-19 07:55:53,,1191,23,"Every noble work is at first impossible..

#TeamOxide1 
#genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico","['#TeamOxide1', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict']","['@hashtagr', '@modmecanico']"
2022-11-04_06-57-36_UTC,2022-11-04 01:57:36,,921,14,"#TeamOxide1 
#team_MRN #genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico","['#TeamOxide1', '#team_MRN', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict']","['@hashtagr', '@modmecanico']"
2023-02-22_21-21-06_UTC,2023-02-22 15:21:06,,91,2,"Ladybug got a makeover. 😍🐞

#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico","['#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict']","['@hashtagr', '@modmecanico']"
2023-02-24_10-07-32_UTC,2023-02-24 04:07:32,,4,0,"#vape
 #vapelife 
#vapeporn
 #vapenation 
#vapefam 
#vapeon 
#vapecommunity 
#vapelyfe 
#vapestagram 
#instavape 
#vapedaily 
#vapers 
#vaper 
#vapelove 
#vapehooligans
 #vapesociety 
#vapefamily
 #vapes 
#vapefamous
 #vapeallday
 #vapegram 
#vapeworld 
#vapelifestyle 
#vapehard
 #vapeaddict
 #worldwidevapers
 #southafricanvapers 
#nevoks
#Disposablevapes","['#vape', '#vapelife', '#vapeporn', '#vapenation', '#vapefam', '#vapeon', '#vapecommunity', '#vapelyfe', '#vapestagram', '#instavape', '#vapedaily', '#vapers', '#vaper', '#vapelove', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapehard', '#vapeaddict', '#worldwidevapers', '#southafricanvapers', '#nevoks', '#Disposablevapes']",[]
2023-02-28_10-19-08_UTC,2023-02-28 04:19:08,neirayorkcoffee,51,2,"Kemaren nyobain sama sama blueberry , sekarang nyobain coffe brown sugar bikinan  @neircoffee 🤤 , ternyata cocok banget perpaduan coffe brown sugar dengan aroma signature Blueberry Creme Brulee dari @aromaejuiceproject @flavourbeastproject , Bagi kalian yang belom nyobain liquidnya , langsung cus ke vapestore kesayangan kalian🥰
•
Blueberry Creme Brulee
Nic 3/6/9 60ML 
VG 60 PG 40 
@aromaejuiceproject 
@flavourbeastproject 
•
#saltnic #aromajuice  #blueberry #creme #brulee #vape #vapelife #vapenation #VapeFam #vapecommunity #vapelyfe #vapestagram #VapeDaily  #vapelove #vapeshop #vapepics #VapeSociety #vapefamily #vapehooligans #VapeFriends #vapefamous #vapeallday #vapegirls #vapejuice #VapeLifeStyle #VapeWorld  #goldenbuzzer #liquidenak #liquidmurah","['#saltnic', '#aromajuice', '#blueberry', '#creme', '#brulee', '#vape', '#vapelife', '#vapenation', '#VapeFam', '#vapecommunity', '#vapelyfe', '#vapestagram', '#VapeDaily', '#vapelove', '#vapeshop', '#vapepics', '#VapeSociety', '#vapefamily', '#vapehooligans', '#VapeFriends', '#vapefamous', '#vapeallday', '#vapegirls', '#vapejuice', '#VapeLifeStyle', '#VapeWorld', '#goldenbuzzer', '#liquidenak', '#liquidmurah']","['@neircoffee', '@aromaejuiceproject', '@flavourbeastproject', '@aromaejuiceproject', '@flavourbeastproject']"
2023-03-01_03-52-11_UTC,2023-02-28 21:52:11,Malang,25,8,"Sometimes, i feel so low.. kadang ingin melambaikan tangan ke arah kamera saja tapi ga tau kamera nya dimana.. kadang ingin slulup saja di lautan antartika tapi ongkos kesananya ga ada. Yowes ngevape aja sambil nyruput latte. Hiburan yang sederhana. Semangat ya 😄👍 ☕💨

#machinsoeprapto #latte #vapers #vapelyfe #coffeetime #lento","['#machinsoeprapto', '#latte', '#vapers', '#vapelyfe', '#coffeetime', '#lento']",[]
