Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-05-12_19-29-34_UTC,2019-05-12 14:29:34,CDMX,617,11,"Practicando en @mantra_distro 💨💨💨🔥🔥🔥
#vapemx  #vapestore  #eastcoastvapers #eliquid  #vapeuk #vapemex #vapecanada #vape #vapetricks #vaporwave #vapejuice #vapegirls #vapelyfe #vapelove #vapelyfe #vapenation #vapemodels #vapefam #vapeworld #vapestars #vapeon #elvapeomexicano #vapemodels #vapelyfe #vaporcloud  #vapeamx #vapepicsofinstagram #mantradistro #handcheck #vapetrickster #tricklife #tricklyfe","['#vapemx', '#vapestore', '#eastcoastvapers', '#eliquid', '#vapeuk', '#vapemex', '#vapecanada', '#vape', '#vapetricks', '#vaporwave', '#vapejuice', '#vapegirls', '#vapelyfe', '#vapelove', '#vapelyfe', '#vapenation', '#vapemodels', '#vapefam', '#vapeworld', '#vapestars', '#vapeon', '#elvapeomexicano', '#vapemodels', '#vapelyfe', '#vaporcloud', '#vapeamx', '#vapepicsofinstagram', '#mantradistro', '#handcheck', '#vapetrickster', '#tricklife', '#tricklyfe']",['@mantra_distro']
2019-07-28_03-09-46_UTC,2019-07-27 22:09:46,,811,4,"Para esas noches frías 🚭🔞❤🥰
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#vapetoluca #vapeo #vapers #vapedaily #vapecommunity #vapetricks #vapefam #vapeporn #vapeamx #vapemurah #vape #vapeon #vapeando #vapestagram #vapemexico #vapemex #vapeadores #ejuice #eliquid #handcheckmx #vapeallnight #vapeveracruz #pacman #vapegaming #vapeandgamingmx #blackunicorn @blvkunicornejuice","['#vapetoluca', '#vapeo', '#vapers', '#vapedaily', '#vapecommunity', '#vapetricks', '#vapefam', '#vapeporn', '#vapeamx', '#vapemurah', '#vape', '#vapeon', '#vapeando', '#vapestagram', '#vapemexico', '#vapemex', '#vapeadores', '#ejuice', '#eliquid', '#handcheckmx', '#vapeallnight', '#vapeveracruz', '#pacman', '#vapegaming', '#vapeandgamingmx', '#blackunicorn']",['@blvkunicornejuice']
2022-07-22_19-17-35_UTC,2022-07-22 14:17:35,,2,3,"Dejar de fumar no tiene que ser un martirio, solo necesitas empezar a vapear, está comprobado que el 92% de los vapeadores han logrado eliminar exitosamente el cigarro de sus vidas. 

¡Deja de fumar y comienza a vapear!✌😎
.
.
.
.
.
 #pandavapecancun #elsolsaleparatodos #cancun #vape #vapeador #vapeadores #cigarroselectronicos #vapemex #vapemx #vapeamx #vapemexicans #vapeo #handcheckmx #vapestagram #vapeshop #vapeon #vapelife #vaping #vapenation #vapeandomexico #ejuice #cigarroeletronico #desechables #disposable #vapemodels #coil #vapeporn","['#pandavapecancun', '#elsolsaleparatodos', '#cancun', '#vape', '#vapeador', '#vapeadores', '#cigarroselectronicos', '#vapemex', '#vapemx', '#vapeamx', '#vapemexicans', '#vapeo', '#handcheckmx', '#vapestagram', '#vapeshop', '#vapeon', '#vapelife', '#vaping', '#vapenation', '#vapeandomexico', '#ejuice', '#cigarroeletronico', '#desechables', '#disposable', '#vapemodels', '#coil', '#vapeporn']",[]
2022-07-25_19-17-19_UTC,2022-07-25 14:17:19,,5,0,"Quieres saber más sobre el Vapeo, da clic en el enlace de nuestra biografía.

#NoTeEnRedes #byeping 

#vapeo #vapeamx #vaping #SEAN #cigarrilloselectrónicos #notvaping #salud #saludpública","['#NoTeEnRedes', '#byeping', '#vapeo', '#vapeamx', '#vaping', '#SEAN', '#cigarrilloselectrónicos', '#notvaping', '#salud', '#saludpública']",[]
2022-07-26_18-15-20_UTC,2022-07-26 13:15:20,,22,0,"Excelente tarde!!! 

Promo de vacaciones !!! 🌞🌴🌅☁️

Aprovecha  toda la semana un excelente promoción en todos nuestros  líquidos de 30ml  mexicanos como importados de 60ml !! 
 
Te esperamos  de 12pm a 8pm 😎☁️☁️

Date prisa  y lánzate por una excelente promoción 
🌅🌴😎☁️

#nofumesmejorvapea #chidotuvapesi #Vapefam #vapeasabroso #vapeaconestilo #vapeaalogrande #vapeamx #vapemex #masvapers #yovapeo #zacatecasmexico #elvapeosalvavidas #cambiatealvapor #VapearNoEsFumar #vapearmesalvó #NoProhibanElVapeo #ProhibidoProhibir #ProhibirMata #YoSiCreoEnElVapeo #RegulemosElVapeoYa","['#nofumesmejorvapea', '#chidotuvapesi', '#Vapefam', '#vapeasabroso', '#vapeaconestilo', '#vapeaalogrande', '#vapeamx', '#vapemex', '#masvapers', '#yovapeo', '#zacatecasmexico', '#elvapeosalvavidas', '#cambiatealvapor', '#VapearNoEsFumar', '#vapearmesalvó', '#NoProhibanElVapeo', '#ProhibidoProhibir', '#ProhibirMata', '#YoSiCreoEnElVapeo', '#RegulemosElVapeoYa']",[]
2022-07-28_17-56-47_UTC,2022-07-28 12:56:47,,10,0,"Excelente tarde!! 

@crispvapeco unos extraordinarios líquidos frutales frescos para que disfrutes un delicioso vapeo esta tarde 

También entran en nuestra promoción! 

Te esperamos de 12pm a 8pm 

Jueves  de Vapeo premium 
😎☁️☁️☁️☁️

#nofumesmejorvapea #chidotuvapesi #Vapefam #vapeasabroso #vapeaconestilo #vapeaalogrande #vapeamx #vapemex #masvapers #yovapeo #zacatecasmexico #elvapeosalvavidas #cambiatealvapor #VapearNoEsFumar #vapearmesalvó #NoProhibanElVapeo #ProhibidoProhibir #ProhibirMata #YoSiCreoEnElVapeo #RegulemosElVapeoYa","['#nofumesmejorvapea', '#chidotuvapesi', '#Vapefam', '#vapeasabroso', '#vapeaconestilo', '#vapeaalogrande', '#vapeamx', '#vapemex', '#masvapers', '#yovapeo', '#zacatecasmexico', '#elvapeosalvavidas', '#cambiatealvapor', '#VapearNoEsFumar', '#vapearmesalvó', '#NoProhibanElVapeo', '#ProhibidoProhibir', '#ProhibirMata', '#YoSiCreoEnElVapeo', '#RegulemosElVapeoYa']",['@crispvapeco']
2022-07-29_18-29-52_UTC,2022-07-29 13:29:52,,32,2,"Excelente tarde!! 

Toda la línea de líquidos de @jollyquids.vapor también entra en nuestra súper promo 

Lánzate por tus líquidos y no dejes de vapear 
😎☁️☁️☁️☁️

#nofumesmejorvapea #chidotuvapesi #Vapefam #vapeasabroso #vapeaconestilo #vapeaalogrande #vapeamx #vapemex #masvapers #yovapeo #zacatecasmexico #elvapeosalvavidas #cambiatealvapor #VapearNoEsFumar #vapearmesalvó #NoProhibanElVapeo #ProhibidoProhibir #ProhibirMata #YoSiCreoEnElVapeo #RegulemosElVapeoYa","['#nofumesmejorvapea', '#chidotuvapesi', '#Vapefam', '#vapeasabroso', '#vapeaconestilo', '#vapeaalogrande', '#vapeamx', '#vapemex', '#masvapers', '#yovapeo', '#zacatecasmexico', '#elvapeosalvavidas', '#cambiatealvapor', '#VapearNoEsFumar', '#vapearmesalvó', '#NoProhibanElVapeo', '#ProhibidoProhibir', '#ProhibirMata', '#YoSiCreoEnElVapeo', '#RegulemosElVapeoYa']",['@jollyquids']
2022-07-29_19-36-16_UTC,2022-07-29 14:36:16,,75,3,"🔱 MAGNUS 🔱 BF 21700

InfiniteModz.com",[],[]
2022-07-30_01-53-56_UTC,2022-07-29 20:53:56,,24,1,"Una marca que no había probado, sabor fresco, frío, pero dulce... buen sabor pero malo para las resistencias, pese a ser un líquido claro, las carameliza rápidamente! 

Vapear, salva vidas, no es lo mismo vaper que cigarro, cuando vapeas no fumas, NO, no es igual, el cigarro tiene más de 1500 químicos, en el vapeo solo son 3 sustancias que están en cualquier otro producto como comidas o golosinas, ehh!! Hay que informarse 🤓😉
.
.
.
.
.
.
.
#vapetasia #ice #bluerazz #premiumejuice  #blue #eliquid #liquido #vaper #vapeon #vapemx #vapegirl #vapers #vapergram #instavape #vapecommunity #vapermex  #vapemex #wasp #rdta #vapenation #vapefam #vapelife #vapestyle #usa #ejuice #girlswhovape #vapeamx #berrys","['#vapetasia', '#ice', '#bluerazz', '#premiumejuice', '#blue', '#eliquid', '#liquido', '#vaper', '#vapeon', '#vapemx', '#vapegirl', '#vapers', '#vapergram', '#instavape', '#vapecommunity', '#vapermex', '#vapemex', '#wasp', '#rdta', '#vapenation', '#vapefam', '#vapelife', '#vapestyle', '#usa', '#ejuice', '#girlswhovape', '#vapeamx', '#berrys']",[]
2022-07-31_18-09-03_UTC,2022-07-31 13:09:03,,9,1,"¡Si aún no has dejado el cigarr0, esta es tu señal!

Es momento de empezar a vapear✌😎
.
.
.
.
.
#pandavapecancun #elsolsaleparatodos #cancun #vape #vapeador #vapeadores #cigarroselectronicos #vapemex #vapemx #vapeamx #vapemexicans #vapeo #handcheckmx #vapestagram #vapeshop #vapeon #vapelife #vaping #vapenation #vapeandomexico #ejuice #cigarroeletronico #desechables #disposable #vapemodels #coil #vapeporn","['#pandavapecancun', '#elsolsaleparatodos', '#cancun', '#vape', '#vapeador', '#vapeadores', '#cigarroselectronicos', '#vapemex', '#vapemx', '#vapeamx', '#vapemexicans', '#vapeo', '#handcheckmx', '#vapestagram', '#vapeshop', '#vapeon', '#vapelife', '#vaping', '#vapenation', '#vapeandomexico', '#ejuice', '#cigarroeletronico', '#desechables', '#disposable', '#vapemodels', '#coil', '#vapeporn']",[]
