Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2017-08-18_20-30-52_UTC,2017-08-18 15:30:52,Baluarte Bridge,1392,132,"VAPE TRICKS, ANYONE???💨⏩💨⏪💨⏩💨⏪💨⏩💨⏪😎 #vapefloatchallenge",['#vapefloatchallenge'],[]
2019-03-02_00-03-50_UTC,2019-03-01 18:03:50,,582,17,"#vapemex #vapemexico #vapespain #vapesouthamerica #vapecolombia #vapechile #mexicocity #mexico #vapingveracruz #handcheckmx #trickstersmx #vapingdf #coilprnmx #lvmex #vapemx #vapeomexico  #vapersmexico #vapenationmexico #vapemodelsmexico #vapeandomexico #vapear #vapeo #vapeadores #cigarroelectronico #cigarroe #vapeamx
@vapemex_magazine","['#vapemex', '#vapemexico', '#vapespain', '#vapesouthamerica', '#vapecolombia', '#vapechile', '#mexicocity', '#mexico', '#vapingveracruz', '#handcheckmx', '#trickstersmx', '#vapingdf', '#coilprnmx', '#lvmex', '#vapemx', '#vapeomexico', '#vapersmexico', '#vapenationmexico', '#vapemodelsmexico', '#vapeandomexico', '#vapear', '#vapeo', '#vapeadores', '#cigarroelectronico', '#cigarroe', '#vapeamx']",['@vapemex_magazine']
2019-03-05_03-46-29_UTC,2019-03-04 21:46:29,,314,8,"#vapemex #vapemexico #vapespain #vapesouthamerica #vapecolombia #vapechile #mexicocity #mexico #vapingveracruz #handcheckmx #trickstersmx #vapingdf #coilprnmx #lvmex #vapemx #vapeomexico  #vapersmexico #vapenationmexico #vapemodelsmexico #vapeandomexico #vapear #vapeo #vapeadores #cigarroelectronico #cigarroe #vapeamx
#regiashermosasmx #mty #models #photoshoot @vapemex_magazine  @dayarisfotografia","['#vapemex', '#vapemexico', '#vapespain', '#vapesouthamerica', '#vapecolombia', '#vapechile', '#mexicocity', '#mexico', '#vapingveracruz', '#handcheckmx', '#trickstersmx', '#vapingdf', '#coilprnmx', '#lvmex', '#vapemx', '#vapeomexico', '#vapersmexico', '#vapenationmexico', '#vapemodelsmexico', '#vapeandomexico', '#vapear', '#vapeo', '#vapeadores', '#cigarroelectronico', '#cigarroe', '#vapeamx', '#regiashermosasmx', '#mty', '#models', '#photoshoot']","['@vapemex_magazine', '@dayarisfotografia']"
2019-03-05_06-29-31_UTC,2019-03-05 00:29:31,,453,18,"#vapemex #vapemexico #vapespain #vapesouthamerica #vapecolombia #vapechile #mexicocity #mexico #vapingveracruz #handcheckmx #trickstersmx  #coilprnmx #vapemx #vapeomexico  #vapersmexico #vapenationmexico #vapemodelsmexico #vapeandomexico  #vapeo #vapeadores #cigarroelectronico #cigarroe #vapeamx
#sigeme #selfie #sexy #modelselfie #insta #influencer #publicidad","['#vapemex', '#vapemexico', '#vapespain', '#vapesouthamerica', '#vapecolombia', '#vapechile', '#mexicocity', '#mexico', '#vapingveracruz', '#handcheckmx', '#trickstersmx', '#coilprnmx', '#vapemx', '#vapeomexico', '#vapersmexico', '#vapenationmexico', '#vapemodelsmexico', '#vapeandomexico', '#vapeo', '#vapeadores', '#cigarroelectronico', '#cigarroe', '#vapeamx', '#sigeme', '#selfie', '#sexy', '#modelselfie', '#insta', '#influencer', '#publicidad']",[]
2019-04-30_22-32-37_UTC,2019-04-30 17:32:37,,571,15,#paxtonliquids #playa🌴 #holbox #cigarroelectronico #vapeadores #vapeandomexico #VAPEMEX #vapea #sabores,"['#paxtonliquids', '#playa', '#holbox', '#cigarroelectronico', '#vapeadores', '#vapeandomexico', '#VAPEMEX', '#vapea', '#sabores']",[]
2019-05-27_19-24-45_UTC,2019-05-27 14:24:45,"Mexico City, Mexico",8678,52,"Una gorrita puede hacer la diferencia a final de cuentas primeras impresiones solo hay una 😉

Pasen a ver el gran contenido de @goodness.agency
.
.
#streetwear #mexico #gdl #guadalajara #df #mx #chicas #bellas #vapeamx #vapeomexico #vapeo #vapeandomexico #chicas #mujer #guapa #hermosa #colima #chivas #chavas #geuscaps #yonerone #ginandjuice","['#streetwear', '#mexico', '#gdl', '#guadalajara', '#df', '#mx', '#chicas', '#bellas', '#vapeamx', '#vapeomexico', '#vapeo', '#vapeandomexico', '#chicas', '#mujer', '#guapa', '#hermosa', '#colima', '#chivas', '#chavas', '#geuscaps', '#yonerone', '#ginandjuice']",['@goodness']
2019-11-16_22-57-23_UTC,2019-11-16 16:57:23,,1220,16,"Me encanta mi vape de @asmodusdistribution
📸 @beto.rnado",[],"['@asmodusdistribution', '@beto']"
2022-09-28_14-59-26_UTC,2022-09-28 09:59:26,,-1,0,"La nueva serie TREND!! Llego para arrazar con todo! Deliciosos sabores! Y lo mejor de todo... ya puedes pedirlos, que esperas? 🍑🍓🥭🍇

#vape #vaping #eliquid #vape #vapeon #vapeshop #vapeshopcolombia #vapes #vapexpospain #vapefamilia #vapemadrid #vapeando #vapeandoargentina #vapeandoespaña #vapeandomexico #vapeandocolombia #vapeandobuenosaires #vapingfamily #vapingmedia #vapingsafedmylife #vapelyf#vapefam #vapecommunity #vapestagram #vapenation #vapenationmexico","['#vape', '#vaping', '#eliquid', '#vape', '#vapeon', '#vapeshop', '#vapeshopcolombia', '#vapes', '#vapexpospain', '#vapefamilia', '#vapemadrid', '#vapeando', '#vapeandoargentina', '#vapeandoespaña', '#vapeandomexico', '#vapeandocolombia', '#vapeandobuenosaires', '#vapingfamily', '#vapingmedia', '#vapingsafedmylife', '#vapelyf', '#vapefam', '#vapecommunity', '#vapestagram', '#vapenation', '#vapenationmexico']",[]
2022-11-17_01-15-32_UTC,2022-11-16 19:15:32,Mexico,68,2,"La importancia de los Ohms en los equipos.
🔞
www.vapemexmagazine.com
#vapemexmagazine #vapemex
#vapearnoesfumar","['#vapemexmagazine', '#vapemex', '#vapearnoesfumar']",[]
2022-12-02_15-35-25_UTC,2022-12-02 09:35:25,,15,0,"#vapemonterrey #vapeo #vapers #vapemty #vapersmonterrey #handcheckmx #vapingmx #vapemexico #vapeomx #vapeomexico #vapersmexico #vapeandomexico #vapersmty #theresistancesociety #vapear #vapeo #vapeadores 
#vapemex #vapefam #vapeon #vapelife #handcheckmx #handmade #cloudchasers #vapelove #vapepics #vapenation #vapermty #vapersmexico #vapersmty #vapemtymx","['#vapemonterrey', '#vapeo', '#vapers', '#vapemty', '#vapersmonterrey', '#handcheckmx', '#vapingmx', '#vapemexico', '#vapeomx', '#vapeomexico', '#vapersmexico', '#vapeandomexico', '#vapersmty', '#theresistancesociety', '#vapear', '#vapeo', '#vapeadores', '#vapemex', '#vapefam', '#vapeon', '#vapelife', '#handcheckmx', '#handmade', '#cloudchasers', '#vapelove', '#vapepics', '#vapenation', '#vapermty', '#vapersmexico', '#vapersmty', '#vapemtymx']",[]
