Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-09-03_16-49-07_UTC,2019-09-03 11:49:07,,14166,678,"#Repost @meganoticiascl ••• Si bien el cigarrillo eléctronico y los vapeadores son considerados, por muchos, como  alternativas ""más saludables"" al tradicional cigarro,  debido al auge de su uso en este último tiempo, se han evidenciado casos que estos artefactos han perjudicado la salud. Como a #MaddieNelson, joven de 18 años que quedó con neumonía eosinofílica aguda, una enfermedad rara causada por una acumulación de glóbulos blancos en los pulmones, tras #vapear durante 3 años durante todos los días. Por su raro padecimiento, la joven ha sido tratada con esteroides para combatir la inflamación y por la noche emplea respiración artificial, según informó #TheMirror, todo mientras está en coma inducido. Ha sido su propia familia la que se ha encargado de difundir la historia, y piden por favor a las personas que dejen de vapear. De hecho, hasta tienen hashtags como #stopthevape ¿Qué te parece?","['#Repost', '#MaddieNelson', '#vapear', '#TheMirror', '#stopthevape']",['@meganoticiascl']
2019-11-05_03-30-59_UTC,2019-11-04 21:30:59,,799,13,Snapshot Frazzer Fruits 🍏 Green Apple @haleandxale,[],['@haleandxale']
2020-09-23_17-37-55_UTC,2020-09-23 12:37:55,Valladolid,736,2,"Vuelta a los origenes 😊

#vape #vaper #vaping #vapers #vapelife #vapenation #vapecommunity #eliquid #vapear #vapefam #ejuice #vapelove #vapeando #vapor #vapelyfe #vapedaily #vapeworld #life #love #instagood #instagram #like #happy #photography #lifestyle #photooftheday #style #myself","['#vape', '#vaper', '#vaping', '#vapers', '#vapelife', '#vapenation', '#vapecommunity', '#eliquid', '#vapear', '#vapefam', '#ejuice', '#vapelove', '#vapeando', '#vapor', '#vapelyfe', '#vapedaily', '#vapeworld', '#life', '#love', '#instagood', '#instagram', '#like', '#happy', '#photography', '#lifestyle', '#photooftheday', '#style', '#myself']",[]
2020-10-25_08-42-49_UTC,2020-10-25 03:42:49,,560,5,"Domingo 🙏🏻👸🏻

#vapeo #vape #vaper #vaping #vapers #vapelife #vapenation #vapecommunity #eliquid #vapear #vapefam #ejuice #vapetricks #vapelove #vapeando #vapeadores #vapor #vapeshop #eliquids #vapestagram #vapelyfe #vapedaily #instavape #elvapeosalvavidas #vapeworld #photo #photography #photooftheday #instagood #love","['#vapeo', '#vape', '#vaper', '#vaping', '#vapers', '#vapelife', '#vapenation', '#vapecommunity', '#eliquid', '#vapear', '#vapefam', '#ejuice', '#vapetricks', '#vapelove', '#vapeando', '#vapeadores', '#vapor', '#vapeshop', '#eliquids', '#vapestagram', '#vapelyfe', '#vapedaily', '#instavape', '#elvapeosalvavidas', '#vapeworld', '#photo', '#photography', '#photooftheday', '#instagood', '#love']",[]
2022-10-28_15-00-29_UTC,2022-10-28 10:00:29,,1333,62,"#HealthCafé con @fernandocastilleja  y @juanaramirezsohin 

#Vapeadores #Vaping #Vapear","['#HealthCafé', '#Vapeadores', '#Vaping', '#Vapear']","['@fernandocastilleja', '@juanaramirezsohin']"
2022-11-29_07-43-35_UTC,2022-11-29 01:43:35,"Madrid, Spain",-1,5,"¿Vapeas? 👄😋
Recientemente ha contactado conmigo la marca Novaestanco. Un nuevo concepto de estanco para una nueva era social, en la que cada día queremos probar cosas nuevas y experimentar nuevas sensaciones.🔝🤭
Te presento el vaper desechable 𝗕𝗿𝗼𝗼𝗸𝗹𝘆𝗻 𝗕𝗮𝗹𝗺𝘆 como una de esas nuevas experiencias. Un producto elitista y exclusivo que ha impactado poderosamente en nuestro tiempo de ocio. Seas o no seas fumador/a, te ofrece una deliciosa y relajante experiencia, con gran variedad de aromas y e intensos sabores apropiados para cada momento del día.
Estoy seguro que llevas meses viendo en los locales de moda a personas disfrutándolos. Se puede vapear en interiores, lo cual es perfecto para aquellos que fumáis, o para no fumadores que quieren disfrutar la sensación que ofrece. Los pods de Brooklyn BalMY los puedes encontrar con y sin nicotina, y están muy recomendados para sustituir el cigarrillo.
Es un momento ideal para probar esta experiencia. ♻️😇
En mi primera destacada te dejo los enlaces y mi código para esta oferta:
¡¡𝗧𝗲 𝗼𝗳𝗿𝗲𝘇𝗰𝗼 𝘂𝗻 𝟯𝘅𝟮 𝗲𝗻 𝗣𝗼𝗱𝘀 𝗱𝗲𝘀𝗲𝗰𝗵𝗮𝗯𝗹𝗲𝘀 𝗱𝗲 𝗕𝗿𝗼𝗼𝗸𝗹𝘆𝗻𝗕𝗮𝗹𝗠𝗬!!. Además los gastos de envío son siempre gratuitos. ✅
Y recuerda !!! Una vez se acabe tu dispositivo debes tirarlo en un punto limpio.
✨ Código: Albertolain ✨
#vapeo #vaperdesechable #podsdesechables #vapearnoesfumar #vapeo #lifestyle #brooklynbalmy #vapear #vapeospain #vapeogetafe #vapeosinnitcotina #podsdesechable #albertolain","['#vapeo', '#vaperdesechable', '#podsdesechables', '#vapearnoesfumar', '#vapeo', '#lifestyle', '#brooklynbalmy', '#vapear', '#vapeospain', '#vapeogetafe', '#vapeosinnitcotina', '#podsdesechable', '#albertolain']",[]
2023-02-03_13-45-39_UTC,2023-02-03 07:45:39,,6,0,"💨💨💨🍾🥂🍾🥂
⚛ LLEGO EL MEJOR DIA DE LA SEMANA ‼
💥💥💥 PREPARATE PARA EL FINDE ‼
📢💢TOMAMOS PEDIDOS Y ENTREGAMOS TODO EL FINDE ‼✅
🎯 TRABAJAMOS HASTA LAS 23.30 HS‼
📢📣 ESTAMOS COORDINANDO LOS ENVIOS A TODO GBA Y CAPITAL por moto 🛵🛵🛵 y A TODO EL INTERIOR POR OCA 🚛🚛🚛‼
( Consulta por tu zona )
📝📋 HACE TU PEDIDO CON TIEMPO ‼
👇👇👇👇👇👇👇👇👇
⏩ Podes pagar por Transferencia Bancaria, Efectivo contra entrega o Mercado pago ( con 13 % de recargo), sólo para mercado pago ‼
⏩ Comunícate por WhatsApp o MP.
☎️📲 Dario 1158275397
📩📜 Pedí la carta de sabores y promos.
#arlequineliquids
#cigarrilloselectronicos
#vapeando
#liquidosparavapeo
#vapeo
#vapeoenargentina
#vapeosalud
#vaporizadores
#eliquids
#vapear
#vapeandoargentina
#vapeandobuenosaires
#vaping
#vapecommunity
#vapelyfe
#vapeshop
#ecig
#vapenation
#vapelife
#vapefam
#ejuice
#vapelovers
#vapearargentina
#eliquid
#arlequincrafteliquid
#vapearg
#vapeart
#argentinavapor","['#arlequineliquids', '#cigarrilloselectronicos', '#vapeando', '#liquidosparavapeo', '#vapeo', '#vapeoenargentina', '#vapeosalud', '#vaporizadores', '#eliquids', '#vapear', '#vapeandoargentina', '#vapeandobuenosaires', '#vaping', '#vapecommunity', '#vapelyfe', '#vapeshop', '#ecig', '#vapenation', '#vapelife', '#vapefam', '#ejuice', '#vapelovers', '#vapearargentina', '#eliquid', '#arlequincrafteliquid', '#vapearg', '#vapeart', '#argentinavapor']",[]
2023-02-03_19-42-02_UTC,2023-02-03 13:42:02,,7,0,"A partir de hoy todos los establecimientos tienen dos meses para cumplir con espacios 100 por ciento libres de humo y emisiones, con esto en mente, Cofepris publicó el Manual de identidad gráfica, así como la señalética que deben delimitar los espacios 100 por ciento libres de humo de tabaco y emisiones, el cuál es una indicación de carácter obligatorio que deben cumplir desde restaurantes hasta hospitales en todo el país. 

Todo surge del nuevo Reglamento de la Ley General para el Control del Tabaco que entró en vigor el pasado 15 de enero de 2023, que demás de prohibir de forma total la publicidad y promoción de productos de tabaco también endurece las medidas con respecto a los lugares en los que está permitido el consumo de cigarrillos.

Conadic y Cofepris indicaron que los establecimientos tienen dos meses para establecer de manera obligatoria los espacios libres de humo de tabaco y emisiones. El objetivo es proteger la salud de las personas no consumidoras de productos de tabaco y nicotina. 

Descarga el manual de espacios libres en lnk.bio

#salud #medicina #cofepris #tabaco #libredehumo #manualdeespacioslibresdehumo #conadic #cigarro #vap #vapear #fumar #noticias #noticiasmexico #noticiassalud #emprendedor","['#salud', '#medicina', '#cofepris', '#tabaco', '#libredehumo', '#manualdeespacioslibresdehumo', '#conadic', '#cigarro', '#vap', '#vapear', '#fumar', '#noticias', '#noticiasmexico', '#noticiassalud', '#emprendedor']",[]
2023-02-04_17-58-36_UTC,2023-02-04 11:58:36,,10,0,"#MadHouse #MadHousejuice para dripers y vapeo gran sabor y gran vapor  0, 3 y 6 y #vapor #vapeo #eliquid #ServicioTecnico #ejuice #dripers #dripeo #subohm #ecig#FullKit #CigarrilloElectronico #CigarroElectronico #vapear #instavape #cludchasing #vaperscommunity #VapinComunity #ModElectronico #BoxMod #RdaAtomizer
Síguenos!!!!!","['#MadHouse', '#MadHousejuice', '#vapor', '#vapeo', '#eliquid', '#ServicioTecnico', '#ejuice', '#dripers', '#dripeo', '#subohm', '#ecig', '#FullKit', '#CigarrilloElectronico', '#CigarroElectronico', '#vapear', '#instavape', '#cludchasing', '#vaperscommunity', '#VapinComunity', '#ModElectronico', '#BoxMod', '#RdaAtomizer']",[]
2023-02-04_17-59-07_UTC,2023-02-04 11:59:07,,12,0,"#MadHouse #MadHousejuice para dripers y vapeo gran sabor y gran vapor  0, 3 y 6 y #vapor #vapeo #eliquid #ServicioTecnico #ejuice #dripers #dripeo #subohm #ecig#FullKit #CigarrilloElectronico #CigarroElectronico #vapear #instavape #cludchasing #vaperscommunity #VapinComunity #ModElectronico #BoxMod #RdaAtomizer
Síguenos!!!!!","['#MadHouse', '#MadHousejuice', '#vapor', '#vapeo', '#eliquid', '#ServicioTecnico', '#ejuice', '#dripers', '#dripeo', '#subohm', '#ecig', '#FullKit', '#CigarrilloElectronico', '#CigarroElectronico', '#vapear', '#instavape', '#cludchasing', '#vaperscommunity', '#VapinComunity', '#ModElectronico', '#BoxMod', '#RdaAtomizer']",[]
