Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2020-07-01_08-39-19_UTC,2020-07-01 03:39:19,,4003,22,"❣️ Masz Darka? ❣️
Nagraj swojego DARK-FLIPA a udostępnimy go na story 😈🔥
Nominujcie znajomych 💪🏼
Darki oraz wiele innych produktów można dostać na NASZYM SKLEPIE https://vapetechpoland.pl ❌❌❌😈😏 #vape #vaper #vapetricks #vapelife #vapeporn #vapeboy #vapenation #vapeshop #vaping #vapes #vapeislife #vaperlife #vaperstuff #vapers #vapetechpoland #vaustin #vapetech #darkline #dark #doubledark #vapegirl #vapegirls #vapepics #vapejuice #moonline #girl #girlpower #vapedaily #tiktok #tiktokvideo","['#vape', '#vaper', '#vapetricks', '#vapelife', '#vapeporn', '#vapeboy', '#vapenation', '#vapeshop', '#vaping', '#vapes', '#vapeislife', '#vaperlife', '#vaperstuff', '#vapers', '#vapetechpoland', '#vaustin', '#vapetech', '#darkline', '#dark', '#doubledark', '#vapegirl', '#vapegirls', '#vapepics', '#vapejuice', '#moonline', '#girl', '#girlpower', '#vapedaily', '#tiktok', '#tiktokvideo']",[]
2020-08-08_17-39-51_UTC,2020-08-08 12:39:51,,2936,7,"Pamiętajcie że ciagle trwa ❌ZAKRĘCONY WEEKEND❌ ❣️❣️❣️
-20% na najpopularniejsze serie w sklepie
🔥 https://vapetechpoland.pl 🔥
#vape #vaper #vapetricks #vapelife #vapeporn #vapeboy #vapenation #vapeshop #vaping #vapes #vapeislife #vaperlife #vaperstuff #vapers #vapetechpoland #vaustin #vapetech #darkline #dark #doubledark #vapegirl #vapegirls #vapepics #vapejuice #moonline #girl #girlpower #vapedaily","['#vape', '#vaper', '#vapetricks', '#vapelife', '#vapeporn', '#vapeboy', '#vapenation', '#vapeshop', '#vaping', '#vapes', '#vapeislife', '#vaperlife', '#vaperstuff', '#vapers', '#vapetechpoland', '#vaustin', '#vapetech', '#darkline', '#dark', '#doubledark', '#vapegirl', '#vapegirls', '#vapepics', '#vapejuice', '#moonline', '#girl', '#girlpower', '#vapedaily']",[]
2020-08-22_18-34-59_UTC,2020-08-22 13:34:59,,3625,5,"❌ZAKRĘCONY WEEKEND❌ trwa 🥰 masa premixów -20% 😏 w tym nasze DARK LINE’y
Premixy dostępne w sklepie https://www.vapetechpoland.pl ❤️
#vape #vaper #vapetricks #vapelife #vapeporn #vapeboy #vapenation #vapeshop #vaping #vapes #vapeislife #vaperlife #vaperstuff #vapers #vapetechpoland #vaustin #vapetech #darkline #dark #doubledark #vapegirl #vapegirls #vapepics #vapejuice #moonline #girl #girlpower #vapedaily","['#vape', '#vaper', '#vapetricks', '#vapelife', '#vapeporn', '#vapeboy', '#vapenation', '#vapeshop', '#vaping', '#vapes', '#vapeislife', '#vaperlife', '#vaperstuff', '#vapers', '#vapetechpoland', '#vaustin', '#vapetech', '#darkline', '#dark', '#doubledark', '#vapegirl', '#vapegirls', '#vapepics', '#vapejuice', '#moonline', '#girl', '#girlpower', '#vapedaily']",[]
2020-09-15_13-00-59_UTC,2020-09-15 08:00:59,,4067,21,"Który z naszych chłodnych smaków wchodzi Ci najbardziej?❄️Ice Candy? Menthol? Sweet Mint?❄️
Napisz w komentarzu 😏
#vape #vaper #vapetricks #vapelife #vapeporn #vapeboy #vapenation #vapeshop #vaping #vapes #vapeislife #vaperlife #vaperstuff #vapers #vapetechpoland #vaustin #vapetech #darkline #dark #doubledark #vapegirl #vapegirls #vapepics #vapejuice #moonline #girl #girlpower #vapedaily","['#vape', '#vaper', '#vapetricks', '#vapelife', '#vapeporn', '#vapeboy', '#vapenation', '#vapeshop', '#vaping', '#vapes', '#vapeislife', '#vaperlife', '#vaperstuff', '#vapers', '#vapetechpoland', '#vaustin', '#vapetech', '#darkline', '#dark', '#doubledark', '#vapegirl', '#vapegirls', '#vapepics', '#vapejuice', '#moonline', '#girl', '#girlpower', '#vapedaily']",[]
2021-01-09_14-41-13_UTC,2021-01-09 08:41:13,,5787,50,"Co dzisiaj wapujecie?😎 Pochwalcie się w komentarzu!😈 Zakręcony weekend w sklepie www.vapetechpoland.pl trwa!🙄 Masa produktów tańszych o 20%!👅

#vape #vaper #vapetricks #vapelife #vapeporn #vapeboy #vapenation #vapeshop #vaping #vapes #vapeislife #vaperlife #vaperstuff #vapers #vapetechpoland #vaustin #vapetech #darkline #dark #doubledark #vapegirl #vapegirls #vapepics #vapejuice #moonline #girl #girlpower #vapedaily #crush #crushpremix","['#vape', '#vaper', '#vapetricks', '#vapelife', '#vapeporn', '#vapeboy', '#vapenation', '#vapeshop', '#vaping', '#vapes', '#vapeislife', '#vaperlife', '#vaperstuff', '#vapers', '#vapetechpoland', '#vaustin', '#vapetech', '#darkline', '#dark', '#doubledark', '#vapegirl', '#vapegirls', '#vapepics', '#vapejuice', '#moonline', '#girl', '#girlpower', '#vapedaily', '#crush', '#crushpremix']",[]
2021-03-12_15-15-59_UTC,2021-03-12 09:15:59,,3691,55,"Piątek, piąteczek, piątunio 🤪🙈 Co dzis u Was na grzałeczkach? Dajcie znać 👇🏻
A w sklepie www.vapetechpoland.pl jak co tydzień ZAKRĘCONY WEEKEND 🔥
.
#vaper #vapetricks #vapelife #vapeporn #vapeboy #vapenation #vapeshop #vaping #vapes #vapeislife #vaperlife #vaperstuff #vapers #vapetechpoland #vaustin #vapetech #darkline #dark #doubledark #vapegirl #vapegirls #vapepics #vapejuice #moonline #girl #girlpower #vapedaily","['#vaper', '#vapetricks', '#vapelife', '#vapeporn', '#vapeboy', '#vapenation', '#vapeshop', '#vaping', '#vapes', '#vapeislife', '#vaperlife', '#vaperstuff', '#vapers', '#vapetechpoland', '#vaustin', '#vapetech', '#darkline', '#dark', '#doubledark', '#vapegirl', '#vapegirls', '#vapepics', '#vapejuice', '#moonline', '#girl', '#girlpower', '#vapedaily']",[]
2021-05-04_15-53-40_UTC,2021-05-04 10:53:40,,2504,24,"Co dziś vapujecie? 💨 Napiszcie w komentarzu 👇🏻 i wpadajcie na nasz sklep www.vapetechpoland.pl 🔥😈
.
#vape #vaper #vapetricks #vapelife #vapeporn #vapeboy #vapenation #vapeshop #vaping #vapes #vapeislife #vaperlife #vaperstuff #vapers #vapetechpoland #vaustin #vapetech #darkline #dark #doubledark #vapegirl #vapegirls #vapepics #vapejuice #moonline #girl #girlpower #vapedaily #crush #crushpremix","['#vape', '#vaper', '#vapetricks', '#vapelife', '#vapeporn', '#vapeboy', '#vapenation', '#vapeshop', '#vaping', '#vapes', '#vapeislife', '#vaperlife', '#vaperstuff', '#vapers', '#vapetechpoland', '#vaustin', '#vapetech', '#darkline', '#dark', '#doubledark', '#vapegirl', '#vapegirls', '#vapepics', '#vapejuice', '#moonline', '#girl', '#girlpower', '#vapedaily', '#crush', '#crushpremix']",[]
2021-07-03_12-19-29_UTC,2021-07-03 07:19:29,,781,37,Wearing blue but never blue baby 💙💙,[],[]
2021-07-04_13-00-07_UTC,2021-07-04 08:00:07,,652,10,"You can have a pretty face, makeup and all the filters to go with it. But how often are you working on your inner beauty? Your heart? Is it God-Fearing? Is it kind? Do you give your time to your loved ones? How do you spend your money? Do you help the needy? We must asked ourselves these questions every day ✨💖🌷🥰",[],[]
2023-02-22_01-35-42_UTC,2023-02-21 19:35:42,,14,0,"Happy Wednesday, BOU Vape here with you🙋‍♀️🌞❤️
Factory direct for wholesale 
💨BOU PRO
💨7000Puffs
💨13flavors
💨Mesh coil
💨Rechargeable free samples OEM ODM Services.
🌈Come and get 👏

𝑾𝑨𝑹𝑵𝑰𝑵𝑮 ⚠️
𝐓𝐡𝐢𝐬 𝗽𝗿𝗼𝗱𝘂𝗰𝘁 𝗶𝘀 𝗶𝗻𝘁𝗲𝗻𝗱𝗲𝗱 𝘁𝗼 𝘂𝘀𝗲 𝗲-𝗹𝗶𝗾𝘂𝗶𝗱 𝘄𝗶𝘁𝗵 𝗻𝗶𝗰𝗼𝘁𝗶𝗻𝗲. 𝗻𝗶𝗰𝗼𝘁𝗶𝗻𝗲 𝗶𝘀 𝗮𝗻 𝗮𝗱𝗱𝗶𝗰𝘁𝗶𝘃𝗲 𝗰𝗵𝗲𝗺𝗶𝗰𝗮𝗹 𝗺𝘂𝘀𝘁 𝗯𝗲 𝗹𝗲𝗴𝗮𝗹 𝗮𝗴e🔞🚭

#BOU #cross #devicepod #BOUvape #bigpuffs #instock #BOUcross #latestvape #vapewholesale #closepodsystem #boushop #ecigarettes #vape #vapecommunity #7000puffs #nic #ecigarettedubai #original #boustore #vaping #dubai #uae #devicepod #vapelife #vapeboy #vapecommunity #dubailifestyle #vapebox","['#BOU', '#cross', '#devicepod', '#BOUvape', '#bigpuffs', '#instock', '#BOUcross', '#latestvape', '#vapewholesale', '#closepodsystem', '#boushop', '#ecigarettes', '#vape', '#vapecommunity', '#7000puffs', '#nic', '#ecigarettedubai', '#original', '#boustore', '#vaping', '#dubai', '#uae', '#devicepod', '#vapelife', '#vapeboy', '#vapecommunity', '#dubailifestyle', '#vapebox']",[]
