Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-03-31_19-22-12_UTC,2019-03-31 14:22:12,"Cape Town, Western Cape",503,24,"Final shot of this build. Turn up the heat 🔥
.
.
•••••
🌍Team @buildarmageddon🌍
•••••
#coilbuild #coillife #coilwars #vapebuild #coilsmith #vapecoils #eastcoastvapers #localvapedistro #vapeculture #vivalacloud #vapemafia #alldayvape #vaperzcloud #cleanbuilds #coilprn #coilsmit #vapephotographer #vapelife #vapergram
•••••","['#coilbuild', '#coillife', '#coilwars', '#vapebuild', '#coilsmith', '#vapecoils', '#eastcoastvapers', '#localvapedistro', '#vapeculture', '#vivalacloud', '#vapemafia', '#alldayvape', '#vaperzcloud', '#cleanbuilds', '#coilprn', '#coilsmit', '#vapephotographer', '#vapelife', '#vapergram']",['@buildarmageddon']
2019-10-25_18-35-49_UTC,2019-10-25 13:35:49,,676,54,"#Repost @officialhellvape with @get_repost
・・・
🔥🔥This wild Dead Rabbit V2 RDA is coming back!

#hellvape #deadrabbitv2 #deadrabbit #DRV2 #DRV2RDA #rda #vapecommunity #vapeporn #vapedeal #hellvapedeadrabbit #vapebuild #coilbuilding","['#Repost', '#hellvape', '#deadrabbitv2', '#deadrabbit', '#DRV2', '#DRV2RDA', '#rda', '#vapecommunity', '#vapeporn', '#vapedeal', '#hellvapedeadrabbit', '#vapebuild', '#coilbuilding']","['@officialhellvape', '@get_repost']"
2020-01-23_14-15-21_UTC,2020-01-23 08:15:21,City of Cape Town,388,31,"28g ni80 / 38g ni80 polished aliens installed in the Dead Rabbit V2 RDA from @officialhellvape.⠀
⠀
•••••⠀
🌍Team @buildarmageddon🌍⠀
•••••⠀
#deadrabbitv2 #deadrabbit #vapecoils #coilcheck #wiregasm #ohmlife #coilprn #coilwars #localvapedistro #buildporn #coilartisan #coilarchitect #buildlife #sickbuilds #coilcraft #coilbuild #coilsmith #coilwars #vapergram #wireporn #coillife #coilart #cleanbuilds #coilbuild #vapeart #makrofotografie #youzguyz #vapebuild #eastcoastvapers #vapemafia","['#deadrabbitv2', '#deadrabbit', '#vapecoils', '#coilcheck', '#wiregasm', '#ohmlife', '#coilprn', '#coilwars', '#localvapedistro', '#buildporn', '#coilartisan', '#coilarchitect', '#buildlife', '#sickbuilds', '#coilcraft', '#coilbuild', '#coilsmith', '#coilwars', '#vapergram', '#wireporn', '#coillife', '#coilart', '#cleanbuilds', '#coilbuild', '#vapeart', '#makrofotografie', '#youzguyz', '#vapebuild', '#eastcoastvapers', '#vapemafia']","['@officialhellvape', '@buildarmageddon']"
2020-04-24_23-28-16_UTC,2020-04-24 18:28:16,"Bangor, Maine",576,4,"Looking for a high end mechanical mod you can customize to match your թҽɾsօղαlíԵվ ?
☆
Then you need to get yourself an @avidlyfeinc mechanical mod.There is something for everyone!
☆
Today I'm going with the @avidlyfeinc copper able with gloss black parts
☆
#avidlyfe #avidlyfefam #avidlyfeinc #avid #mechgame #mechmodlyfe #mechmodsonly #rda #vapearmy #vape #vapelyfe #vapepics #vapeporn #vapebuild #vaping #dripgame #driplife #dripclub #vapeonly #vapeon #vapestyle #ejuice #vapehard #cloudchaser #vapefam #vapeworld #vapefamous #vapersunite #vapedaily #vapelikeaboss","['#avidlyfe', '#avidlyfefam', '#avidlyfeinc', '#avid', '#mechgame', '#mechmodlyfe', '#mechmodsonly', '#rda', '#vapearmy', '#vape', '#vapelyfe', '#vapepics', '#vapeporn', '#vapebuild', '#vaping', '#dripgame', '#driplife', '#dripclub', '#vapeonly', '#vapeon', '#vapestyle', '#ejuice', '#vapehard', '#cloudchaser', '#vapefam', '#vapeworld', '#vapefamous', '#vapersunite', '#vapedaily', '#vapelikeaboss']","['@avidlyfeinc', '@avidlyfeinc']"
2020-05-15_22-35-41_UTC,2020-05-15 17:35:41,,581,3,"°☆°Avid for Lyfe°☆°
☆
𝗥𝗘𝗣 𝘄𝗵𝗮𝘁 𝘆𝗼𝘂 𝗟𝗼𝘃𝗲 🖤 𝗟𝗼𝘃𝗲 𝘄𝗵𝗮𝘁 𝘆𝗼𝘂 𝗥𝗘𝗣
☆
𝙷𝚘𝚕𝚍𝚒𝚗𝚐 𝚒𝚝 𝚍𝚘𝚠𝚗 𝚠𝚒𝚝𝚑 𝚝𝚑𝚎𝚜𝚎 𝚋𝚎𝚊𝚞𝚝𝚒𝚎𝚜 𝚝𝚘𝚍𝚊𝚢!
☆
@avidlyfeinc raw aluminum able with custom cap
•
@avidlyfeinc copper dimple gyre with copper cap
•
@avidlyfeinc acid wash gyre with black cap
☆
#avidlyfe #avidlyfefam #avidlyfeinc #avid #gyre #able #captainscap #mechlyfe #mechporn #mechmodsonly #rda #vapearmy #vape #vapelyfe #vapepics #vapeporn #vapebuild #vapehard #vapefamous #vapegame #dripclub #dripgame #dripnation #subohm #usamade #subohmlife #vapelikeaboss #vapeaholic •
𝐖𝐚𝐫𝐧𝐢𝐧𝐠: 𝐓𝐡𝐢𝐬 𝐩𝐫𝐨𝐝𝐮𝐜𝐭 𝐜𝐨𝐧𝐭𝐚𝐢𝐧𝐬 𝐧𝐢𝐜𝐨𝐭𝐢𝐧𝐞. 𝐍𝐢𝐜𝐨𝐭𝐢𝐧𝐞 𝐢𝐬 𝐚𝐧 𝐚𝐝𝐝𝐢𝐜𝐭𝐢𝐯𝐞 𝐜𝐡𝐞𝐦𝐢𝐜𝐚𝐥. 
𝐌𝐮𝐬𝐭 𝐛𝐞 21 𝐨𝐫 𝐨𝐥𝐝𝐞𝐫 𝐭𝐨 𝐩𝐮𝐫𝐜𝐡𝐚𝐬𝐞 21+","['#avidlyfe', '#avidlyfefam', '#avidlyfeinc', '#avid', '#gyre', '#able', '#captainscap', '#mechlyfe', '#mechporn', '#mechmodsonly', '#rda', '#vapearmy', '#vape', '#vapelyfe', '#vapepics', '#vapeporn', '#vapebuild', '#vapehard', '#vapefamous', '#vapegame', '#dripclub', '#dripgame', '#dripnation', '#subohm', '#usamade', '#subohmlife', '#vapelikeaboss', '#vapeaholic']","['@avidlyfeinc', '@avidlyfeinc', '@avidlyfeinc']"
2021-08-25_12-20-17_UTC,2021-08-25 07:20:17,,1831,0,"Firing up the B1 Trippy Homer Mech Mod with the Apocalypse Gen RDA.
.
B1 Mech Mod Comes in Series or Parallel 21700/20700 & 18650 £65.
Custom Designs Available at no Extra Cost.
Full Details on our Site Link in Bio
.
#homersimpson #trippy #Treeoflifeboxmods #mods #vape #vapemod #vapehooligans #vapes #vapeclouds #clouds #vapin #vapour #vapecool #vapeuk #vapebox #boxmod #B1boxmod #vapebuild #seriesmod #parallelmod #21700mod #18650boxmod #custommod #ejuice #rdta #rda #firing #vapevid #vapingrules","['#homersimpson', '#trippy', '#Treeoflifeboxmods', '#mods', '#vape', '#vapemod', '#vapehooligans', '#vapes', '#vapeclouds', '#clouds', '#vapin', '#vapour', '#vapecool', '#vapeuk', '#vapebox', '#boxmod', '#B1boxmod', '#vapebuild', '#seriesmod', '#parallelmod', '#21700mod', '#18650boxmod', '#custommod', '#ejuice', '#rdta', '#rda', '#firing', '#vapevid', '#vapingrules']",[]
2021-08-29_11-07-24_UTC,2021-08-29 06:07:24,MANGGA DUA SQUARE,2716,8,"Ngetrick Di Mall ? 😱
•
•
DRAG S PRO From @voopootechofficial 
Drag S pro key features:
1. One button switch（turn on/off or device locked )
2. Brand new TPP X Pod Tank
3. Stable Output with Boost Circuit 
4. 360° infinite airflow system
5. Gene. Fan 3.0 Chip Inside
6. Support Auto & Button active mode 

Output range: 
Drag S Pro 5-80W
Battery:
Drag S Pro 3000 mah built-in battery

TPP X POD TANK:
1.Fill from top side
2.Designed as an old-fashioned tank 
3.Two new coils are released, 0.15Ω(reach 100W) and 0.3Ω
•
•
@armvape @vapetricksgear 
#vape #vapetricks #voopoodragspro #vapebuild #viral","['#vape', '#vapetricks', '#voopoodragspro', '#vapebuild', '#viral']","['@voopootechofficial', '@armvape', '@vapetricksgear']"
2023-01-16_02-48-24_UTC,2023-01-15 20:48:24,,11,3,"🖤오짐액상🖤
-요망떼
-샤벳뜨
-자몽콕
-닥크시가
-커피깐부
-얼음환타",[],[]
2023-01-16_12-15-27_UTC,2023-01-16 06:15:27,Trafika Hee? Racibórz,112,6,"""Coil Art"" 🤣
@trafika.hee_official @trafika.hee 

🔞🚬

#vaper #vapebuild #vapenation #vapelife #vapephotographer #vapehooligans #vapefam #vapefriends #vapepoland #vapepolska #vapegram #coilart #hobby #polishboy #polishgirl","['#vaper', '#vapebuild', '#vapenation', '#vapelife', '#vapephotographer', '#vapehooligans', '#vapefam', '#vapefriends', '#vapepoland', '#vapepolska', '#vapegram', '#coilart', '#hobby', '#polishboy', '#polishgirl']","['@trafika', '@trafika']"
2023-01-21_04-03-55_UTC,2023-01-20 22:03:55,,15,2,#새해복많이받으세요,['#새해복많이받으세요'],[]
