Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-09-06_17-37-35_UTC,2019-09-06 12:37:35,,6384,31,We had an EPIC day of demo practice at the @aerogatineauottawa airshow! Catch us in the skies all weekend showcasing the future of Air Force AirPower.,[],['@aerogatineauottawa']
2019-10-01_00-43-14_UTC,2019-09-30 19:43:14,,5432,79,"Do you even vape? .
.
.
.
.
#mondaymotivation #slowmo #f35demoteam #f35 #aviation #avgeek #vapecity","['#mondaymotivation', '#slowmo', '#f35demoteam', '#f35', '#aviation', '#avgeek', '#vapecity']",[]
2020-04-22_15-23-38_UTC,2020-04-22 10:23:38,,817,20,"⚠️Caption here!⚠️Vape clip!⚠️
- Toptail to bite split 😊💨💨💨
▂▂▂▂▂▂▂▂▂▂▂▂▂
-Recuerda que todos hemos tenido miedo alguna vez, todos hemos fallado y caído... Pero lo importante es levantarse con más fuerza para poder continuar el camino. 😊
▂▂▂▂▂▂▂▂▂▂▂▂▂
K
A
I
N
C
O
N
K
▂▂▂▂▂▂▂▂▂▂▂▂▂
#microinfluencer #vapefriends #vapeshop #vapearts
#vapetrickster #mechmodlyfe #cigarrilloelectronico #vapeo #vapecity #vapetricksindo #vapeparty #vapeclips #vapeuk #vapeo #spanishvapers
#vape #coilporn #vapelife #vapeon #vapeporn #dejardefumar #vapespain","['#microinfluencer', '#vapefriends', '#vapeshop', '#vapearts', '#vapetrickster', '#mechmodlyfe', '#cigarrilloelectronico', '#vapeo', '#vapecity', '#vapetricksindo', '#vapeparty', '#vapeclips', '#vapeuk', '#vapeo', '#spanishvapers', '#vape', '#coilporn', '#vapelife', '#vapeon', '#vapeporn', '#dejardefumar', '#vapespain']",[]
2020-06-04_19-22-16_UTC,2020-06-04 14:22:16,,454,13,"🔥Caption here!💨💨💨
Just bowtie split 😊
Stay tuned.. ◈ ━━━━━━ ◆ ━━━━━━ ◈
-
-
-
-
#vapepics #instavape #vapesociety #vapefriends #vapeshop
#vapetrickster #mechmodlyfe #cigarrilloelectronico #vapeo #vapecity #vapetricksindo #vapeparty #vapeclips #vapeuk #augvapetrick
#vape #coilporn #vapelife #vapeon #vapeporn #vapefam #vapestagram #vapecommunity #vapenation #vapingtricks","['#vapepics', '#instavape', '#vapesociety', '#vapefriends', '#vapeshop', '#vapetrickster', '#mechmodlyfe', '#cigarrilloelectronico', '#vapeo', '#vapecity', '#vapetricksindo', '#vapeparty', '#vapeclips', '#vapeuk', '#augvapetrick', '#vape', '#coilporn', '#vapelife', '#vapeon', '#vapeporn', '#vapefam', '#vapestagram', '#vapecommunity', '#vapenation', '#vapingtricks']",[]
2021-06-14_23-27-49_UTC,2021-06-14 18:27:49,Langley Air Force Base,3317,13,📸 @markfingar | markfingar.com 🦅 #f22 #f22raptor #solidgold #epic @aircombatcommand @cabogunderson @f22demoteam,"['#f22', '#f22raptor', '#solidgold', '#epic']","['@markfingar', '@aircombatcommand', '@cabogunderson', '@f22demoteam']"
2021-08-31_18-03-48_UTC,2021-08-31 13:03:48,Naval Air Station Joint Reserve Base Fort Worth,937,5,"A Hill AFB does an insane right closed to full stop.
.
.
.
#195554 #f35a #f35 #f35demoteam #f35lightningii #fighterjets #nasjrbfortworth #knfw #nfw #navy #nasjrb #lockheedmartin #testpilot #afterburner #eosr5 #hillafb #fighterpilots #fighterjets #avgeek #aviationphotography #aviationgeek #aviationmaintenance #dfwspotters #vape #vapecity  #fortworth #lockheedmartin #prattandwhitney #alliancefencewalkers #fighter","['#195554', '#f35a', '#f35', '#f35demoteam', '#f35lightningii', '#fighterjets', '#nasjrbfortworth', '#knfw', '#nfw', '#navy', '#nasjrb', '#lockheedmartin', '#testpilot', '#afterburner', '#eosr5', '#hillafb', '#fighterpilots', '#fighterjets', '#avgeek', '#aviationphotography', '#aviationgeek', '#aviationmaintenance', '#dfwspotters', '#vape', '#vapecity', '#fortworth', '#lockheedmartin', '#prattandwhitney', '#alliancefencewalkers', '#fighter']",[]
2021-09-07_20-38-19_UTC,2021-09-07 15:38:19,"London, Ontario",804,2,@ciastoronto 🇺🇸🇨🇦 @f35demoteam 🦅 Photography 📸 by @victor_juliet_aeroimaging #f35 #f35a #vaped #vapecity,"['#f35', '#f35a', '#vaped', '#vapecity']","['@ciastoronto', '@f35demoteam', '@victor_juliet_aeroimaging']"
2022-08-15_16-00-14_UTC,2022-08-15 11:00:14,,836,8,"Turn and burn 🔥 
.
.
.
#940047 #toro #viperdemoteam #f16viper #f16fightingfalcon #lockheedmartin #aircombatcommand #vape #vapecity #usaf #instagram #ınstagood #airshow #airshowphotography #aviationphotography #avgeek #aviationphotographer #airshowstuff #photography #afterburner #canonphotography #canonaviation #venom #sendit  #vipermx #shawafb","['#940047', '#toro', '#viperdemoteam', '#f16viper', '#f16fightingfalcon', '#lockheedmartin', '#aircombatcommand', '#vape', '#vapecity', '#usaf', '#instagram', '#ınstagood', '#airshow', '#airshowphotography', '#aviationphotography', '#avgeek', '#aviationphotographer', '#airshowstuff', '#photography', '#afterburner', '#canonphotography', '#canonaviation', '#venom', '#sendit', '#vipermx', '#shawafb']",[]
2022-09-01_18-33-17_UTC,2022-09-01 13:33:17,"South Padre Island, Texas",1614,15,"Unreal shots from @roarbytheshoretx ! #VapeCity #FlyNavy

📷: @backyard_spotter","['#VapeCity', '#FlyNavy']","['@roarbytheshoretx', '@backyard_spotter']"
2022-12-09_18-02-40_UTC,2022-12-09 12:02:40,,7,2,"🚨 New Store Alert! 🚨 Swing by for our grand opening in Tyler, TX located at 1919 W Gentry Pkwy Tyler, TX  75702!",[],[]
