Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2021-03-29_17-38-49_UTC,2021-03-29 12:38:49,,638,0,"Thanks @suorinofficial  for new:

Suorin Air 2 V2

Dimention: 86X43
400mAh integrated battery
Only 35 g
eliquid capacity  2ml

SUORIN on Facebook
#suorin #ace

Model:@nicole.vantaggiato98

#squonker #mod #boxmod #vaping #vapers #vapenation #vapeclub #squonkmod #vapelyfe #vape #vapeporn #vapelove #vapesquonk #squonkers #squonker #bottomfeeder #squonklyfe #squonking #squonkporn #vaping #vapestagram #subohm #cloudchaser #vapefuam #coilporn","['#suorin', '#ace', '#squonker', '#mod', '#boxmod', '#vaping', '#vapers', '#vapenation', '#vapeclub', '#squonkmod', '#vapelyfe', '#vape', '#vapeporn', '#vapelove', '#vapesquonk', '#squonkers', '#squonker', '#bottomfeeder', '#squonklyfe', '#squonking', '#squonkporn', '#vaping', '#vapestagram', '#subohm', '#cloudchaser', '#vapefuam', '#coilporn']","['@suorinofficial', '@nicole']"
2021-04-03_16-46-50_UTC,2021-04-03 11:46:50,,712,0,"Thanks @voopoo_tech and @voopootechofficial for new

VINCI POD

15w
GENE Chip
800 mAh
Airflow Adjustable
Led indicator color

Model:@nicole.vantaggiato98

#squonker #mod #boxmod #vaping #vapers #vapenation #vapeclub #squonkmod #vapelyfe #vape #vapeporn #vapelove #vapesquonk #squonkers #squonker #bottomfeeder #squonklyfe #squonking #squonkporn #vaping #vapestagram #subohm #cloudchaser #vapefam #coilporn","['#squonker', '#mod', '#boxmod', '#vaping', '#vapers', '#vapenation', '#vapeclub', '#squonkmod', '#vapelyfe', '#vape', '#vapeporn', '#vapelove', '#vapesquonk', '#squonkers', '#squonker', '#bottomfeeder', '#squonklyfe', '#squonking', '#squonkporn', '#vaping', '#vapestagram', '#subohm', '#cloudchaser', '#vapefam', '#coilporn']","['@voopoo_tech', '@voopootechofficial', '@nicole']"
2021-04-24_11-14-52_UTC,2021-04-24 06:14:52,"Aurangabad, Maharashtra",636,19,".
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#r15v3modified #r15s #r15v3modifiedindia #r15v3bikers #r15v3modification #r15v3lovers #r15v3official #r15v3black #r15v3bs6 #r15v3blueindia #r15v3blue #vapetricks #vapefame #vapeclub #hookahcharcoal #shishagram #shishashop #shishacafe #shisha_time #hookahbrasil #hookahpen #hookahaddict #hookahworld #bikepose #bikepic #shohebpatel55 #beyourselfquotes #beyourself💕 #ᴇxᴘʟᴏʀᴇᴘᴀɢᴇ #explorepage😍","['#r15v3modified', '#r15s', '#r15v3modifiedindia', '#r15v3bikers', '#r15v3modification', '#r15v3lovers', '#r15v3official', '#r15v3black', '#r15v3bs6', '#r15v3blueindia', '#r15v3blue', '#vapetricks', '#vapefame', '#vapeclub', '#hookahcharcoal', '#shishagram', '#shishashop', '#shishacafe', '#shisha_time', '#hookahbrasil', '#hookahpen', '#hookahaddict', '#hookahworld', '#bikepose', '#bikepic', '#shohebpatel55', '#beyourselfquotes', '#beyourself', '#ᴇxᴘʟᴏʀᴇᴘᴀɢᴇ', '#explorepage']",[]
2021-04-30_07-57-53_UTC,2021-04-30 02:57:53,,785,0,"Thanks @voopoo_tech and @voopootechofficial for new

VINCI POD

15w
GENE Chip
800 mAh
Airflow Adjustable
Led indicator color

Model:@rachele.petruzzi

#squonker #mod #boxmod #vaping #vapers #vapenation #vapeclub #squonkmod #vapelyfe #vape #vapeporn #vapelove #vapesquonk #squonkers #squonker #bottomfeeder #squonklyfe #squonking #squonkporn #vaping #vapestagram #subohm #cloudchaser #vapefam #coilporn","['#squonker', '#mod', '#boxmod', '#vaping', '#vapers', '#vapenation', '#vapeclub', '#squonkmod', '#vapelyfe', '#vape', '#vapeporn', '#vapelove', '#vapesquonk', '#squonkers', '#squonker', '#bottomfeeder', '#squonklyfe', '#squonking', '#squonkporn', '#vaping', '#vapestagram', '#subohm', '#cloudchaser', '#vapefam', '#coilporn']","['@voopoo_tech', '@voopootechofficial', '@rachele']"
2021-05-03_10-08-56_UTC,2021-05-03 05:08:56,,1032,0,"Thanks @voopootechofficial
And @voopoo_tech for new

DRAG 3

GENE Fan 2.0-Born for power
TPP system-Single mesh with dual heating zone
Super Mode-Strong output as beast 
177 w
Type C

Model:@rachele.petruzzi 

#squonker #mod #boxmod #vaping #vapers #vapenation #vapeclub #squonkmod #vapelyfe #vape #vapeporn #vapelove #vapesquonk #squonkers #squonker #bottomfeeder #squonklyfe #squonking #squonkporn #vaping #vapestagram #subohm #cloudchaser #vapefam #coilporn","['#squonker', '#mod', '#boxmod', '#vaping', '#vapers', '#vapenation', '#vapeclub', '#squonkmod', '#vapelyfe', '#vape', '#vapeporn', '#vapelove', '#vapesquonk', '#squonkers', '#squonker', '#bottomfeeder', '#squonklyfe', '#squonking', '#squonkporn', '#vaping', '#vapestagram', '#subohm', '#cloudchaser', '#vapefam', '#coilporn']","['@voopootechofficial', '@voopoo_tech', '@rachele']"
2021-05-28_10-01-30_UTC,2021-05-28 05:01:30,,1283,0,"Thanks @innokintechnology for new:

SENSIS
2/3.1 ejuice capacity
6-40W
Type C
4 coils available (0.25/ 1.2/0.5/0.65 Ohm)
Glass Tank
New feature Refresh coils!!!

Model: @reina_valentina_ 

#squonker #mod #boxmod #vaping #vapers #vapenation #vapeclub #squonkmod #vapelyfe #vape #vapeporn #vapelove #vapesquonk #squonkers #squonker #bottomfeeder #squonklyfe #squonking #squonkporn #vaping #vapestagram #subohm #cloudchaser #vapefam #coilporn","['#squonker', '#mod', '#boxmod', '#vaping', '#vapers', '#vapenation', '#vapeclub', '#squonkmod', '#vapelyfe', '#vape', '#vapeporn', '#vapelove', '#vapesquonk', '#squonkers', '#squonker', '#bottomfeeder', '#squonklyfe', '#squonking', '#squonkporn', '#vaping', '#vapestagram', '#subohm', '#cloudchaser', '#vapefam', '#coilporn']","['@innokintechnology', '@reina_valentina_']"
2023-01-15_11-12-40_UTC,2023-01-15 05:12:40,Italy,3729,51,"New release, Moti Play by @motiglobal in collaboration with @tribal.forcefr 
Check the features into the official page of @motiglobal 🔥
-
-
-
-
#CORRADOFIRERA #motiglobal #tribalforce #motiplay #vapepods #vapesystem #vapecommunity #vapeclub #vapefam #vapersitalia #vapermodels #vapeitaly","['#CORRADOFIRERA', '#motiglobal', '#tribalforce', '#motiplay', '#vapepods', '#vapesystem', '#vapecommunity', '#vapeclub', '#vapefam', '#vapersitalia', '#vapermodels', '#vapeitaly']","['@motiglobal', '@tribal', '@motiglobal']"
2023-01-23_17-52-52_UTC,2023-01-23 11:52:52,,88,0,"Siegfried kit by vapefly. The best partner on football match
#vapefly #ecig #vaping #vape #vape #vaper #vapers #vapor #vapetanks  #instavaping #instavape #vapelife #vapelove #vapeclub #vapeclouds #vapelover #vapecommunity #vapesociety #vapephtography #smokerstore #vapinglifestyle #ecig","['#vapefly', '#ecig', '#vaping', '#vape', '#vape', '#vaper', '#vapers', '#vapor', '#vapetanks', '#instavaping', '#instavape', '#vapelife', '#vapelove', '#vapeclub', '#vapeclouds', '#vapelover', '#vapecommunity', '#vapesociety', '#vapephtography', '#smokerstore', '#vapinglifestyle', '#ecig']",[]
2023-02-02_03-10-32_UTC,2023-02-01 21:10:32,,4,2,"Wave disposable 600puffs💨
EU TPD certification✅
Ergonomic design mouthpiece💛
Lovely appearance🥰
Warning:⁣
𝘛𝘩𝘪𝘴 𝘱𝘳𝘰𝘥𝘶𝘤𝘵 𝘪𝘴 𝘪𝘯𝘵𝘦𝘯𝘥𝘦𝘥 𝘵𝘰 𝘣𝘦 𝘶𝘴𝘦𝘥 𝘸𝘪𝘵𝘩 𝘦-𝘭𝘪𝘲𝘶𝘪𝘥𝘴 𝘵𝘩𝘢𝘵 𝘮𝘢𝘺 𝘤𝘰𝘯𝘵𝘢𝘪𝘯 𝘯𝘪𝘤𝘰𝘵𝘪𝘯𝘦. 𝘕𝘪𝘤𝘰𝘵𝘪𝘯𝘦 𝘪𝘴 𝘢𝘯 𝘢𝘥𝘥𝘪𝘤𝘵𝘪𝘷𝘦 𝘤𝘩𝘦𝘮𝘪𝘤𝘢𝘭. 𝘍𝘰𝘳 𝘢𝘥𝘶𝘭𝘵 𝘶𝘴𝘦 𝘰𝘯𝘭𝘺.🔞
#vape #disposablevape #hqd #vaping #ecig #vapeclub #hqdtech #bar #fashion #vapelife #vapenation #vapecommunity #vapeon #vapor #vapers #ecigarette #vapeshop #vapewholesale #ukvape #france #vapedesign","['#vape', '#disposablevape', '#hqd', '#vaping', '#ecig', '#vapeclub', '#hqdtech', '#bar', '#fashion', '#vapelife', '#vapenation', '#vapecommunity', '#vapeon', '#vapor', '#vapers', '#ecigarette', '#vapeshop', '#vapewholesale', '#ukvape', '#france', '#vapedesign']",[]
2023-02-02_04-44-32_UTC,2023-02-01 22:44:32,"Landasan Ulin, Banjar Baru - Kalimantan Selatan",1,0,"#Cream raisin V5 /  Banana cream raisin

Jl. A. Yani Km. 24,500. Landasan Ulin
WA :  0895 33 6000 144

@Hmcvapor
#vapebanjarmasin
#vapegambut
#vapelandasanulin
#vapebanjarbaru
#liquidmurah
#oatdrips
#jualliquid
#jualpods
#hexohmkalsel
#sayapilihvape
#vapers
#vapeclub
#vapetricks
#tokovape
#tokoliquid
#tokovaping
#vaporgambut
#vaporlandasanulin
#vaporbanjarbaru
#apvi
#hmcvapor
#hmcvaporlandasanulin
#jlayanikm24,500
#landasanulin","['#Cream', '#vapebanjarmasin', '#vapegambut', '#vapelandasanulin', '#vapebanjarbaru', '#liquidmurah', '#oatdrips', '#jualliquid', '#jualpods', '#hexohmkalsel', '#sayapilihvape', '#vapers', '#vapeclub', '#vapetricks', '#tokovape', '#tokoliquid', '#tokovaping', '#vaporgambut', '#vaporlandasanulin', '#vaporbanjarbaru', '#apvi', '#hmcvapor', '#hmcvaporlandasanulin', '#jlayanikm24', '#landasanulin']",['@Hmcvapor']
