Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2023-02-05_18-35-02_UTC,2023-02-05 12:35:02,,-1,7,"Estão deixando o MAIOR da Inglaterra chegar, melhor abrirem os olhos. 👀",[],[]
2023-02-16_19-19-13_UTC,2023-02-16 13:19:13,Manchester United-Football Club,-1,20,"Rashford é um dos melhores jogadores do mundo na temporada 2022/23. 🏴󠁧󠁢󠁥󠁮󠁧󠁿👑

Que fase absurda vive o Inglês.",[],[]
2023-02-23_22-22-01_UTC,2023-02-23 16:22:01,,-1,20,Os “Diabos vermelhos” estão em chamas! 🔥,[],[]
2023-02-26_17-26-31_UTC,2023-02-26 11:26:31,,-1,2,"Tem alguém jogando mais que o Rashford pós Copa do Mundo? 🤔🏴󠁧󠁢󠁥󠁮󠁧󠁿

Cite alguém e falhe miseravelmente.",[],[]
2023-02-28_13-54-37_UTC,2023-02-28 07:54:37,,160,21,"Lucu tapi masih tetep keren yah fams!

DeadRabbit Series PINKNESS & SAKURA PINK, mix and match sama mod tetep matching, cobain deh kombinasi Sakura Pink+Mod warna putih, atau PINKNESS+Mod hitam…

asli deh keren banget !

Stay Tuned @hellvapeindonesiaofficial @hellbay.id",[],"['@hellvapeindonesiaofficial', '@hellbay']"
2023-03-01_03-27-13_UTC,2023-02-28 21:27:13,,4,0,"Vapengin Pluto - 7000 Puffs

Contact Jessie for more information!
WhatsApp/WeChat: +86 13631249068

#vapeopanama #vapeusa #vaperussia #vapecommunity #vapejapan #vapebar #vapepics #vapegirls #vapeindo #vapekz #vapekzn #vapeua #podsystem #eliquidreview #vaporboy #vapengin #vapenginpluto","['#vapeopanama', '#vapeusa', '#vaperussia', '#vapecommunity', '#vapejapan', '#vapebar', '#vapepics', '#vapegirls', '#vapeindo', '#vapekz', '#vapekzn', '#vapeua', '#podsystem', '#eliquidreview', '#vaporboy', '#vapengin', '#vapenginpluto']",[]
2023-03-01_03-52-11_UTC,2023-02-28 21:52:11,Malang,25,8,"Sometimes, i feel so low.. kadang ingin melambaikan tangan ke arah kamera saja tapi ga tau kamera nya dimana.. kadang ingin slulup saja di lautan antartika tapi ongkos kesananya ga ada. Yowes ngevape aja sambil nyruput latte. Hiburan yang sederhana. Semangat ya 😄👍 ☕💨

#machinsoeprapto #latte #vapers #vapelyfe #coffeetime #lento","['#machinsoeprapto', '#latte', '#vapers', '#vapelyfe', '#coffeetime', '#lento']",[]
2023-03-01_04-13-19_UTC,2023-02-28 22:13:19,,3,0,"🎉NEW ARRIVAL‼️💥 BAKER STONER SALT READY STOCK NOW AT VAPE VILLAGE RELAU‼️
—————––––––––––––––———————
⚡ BAKER STONER SALT
––––––––––––––––––––––––––––
🥳 KELADI CHEESE
––––––––––––––––––––––––––––
📞 www.wasap.my/6011-58754895

🚪Open Daily⏰12pm-12am⏰

Landmark
🚩Opposite Spice Arena （PISA）
🚩Same Row as Public Bank （Relau）
🚩Sebelah 7-eleven
🚩Sebelah pajak gadai Ar-Rahnu

🏠 88N, Jalan Tun Dr Awang, Relau, 11900 Bayan Lepas, Pulau Pinang

🚖Waze: https://goo.gl/maps/MsRQXvaPVQK2

🔞UMUR BAWAH 18 DILARANG MASUK🔞
____________________________________

🌍 OUR BRANCHES 🌍 FOLLOW US 🧭✍️
____________________________________

🌴 @vapevillagepenang (HQ) ☎️ 01158754895
🏡88N, JALAN TUN DR AWANG,  SG NIBONG KECIL, 11900 PULAU PINANG
🚖Waze: https://goo.gl/maps/MsRQXvaPVQK2

🌴 @vapevillage_karpalsingh ☎️ 01158754893
🏡NO 19, 1ST FLOOR PERSIARAN KARPAL SINGH 5, LEBUH SUNGAI PINANG, 11600 JELUTONG
🚖Waze: https://waze.com/ul/hw0zqenccd

🌴 @vapevillagebm ☎️ 01155048930
🏡NO 10, 1ST FLOOR PRECINCT 1 @ SUNWAY WELLESLEY, JALAN MUTHU PALANIAPPAN, BUKIT MERTAJAM, 14000 BUKIT MERTAJAM, PENANG
🚖Waze: https://waze.com/ul/hw0zqtcr00

🌴 @vapevillagekulim ☎️ 01155048931
🏡NO 603, 1ST FLOOR, JALAN SERAYA 1, PUSAT PERNIAGAAN SERAYA 1,09000 KULIM, KEDAH
🚖Waze : https://waze.com/ul/hw0zqxuqcb

🌴@vapevillageseberangjaya ☎️01156871440
🏡12A JALAN TODAK 2,BANDAR SEBERANG JAYA,13700 PERAI,PULAU PINANG
🚖WAZE: https://waze.com/ul/hw0zqswspj

🌴@vapevillagefarlim ☎️01156871443
🏡NO.23,JLN ANGSANA 11500 AIR ITAM,PULAU PINANG
🚖WAZE: https://waze.com/ul/hw0zqdhbvb

🌴@vape_villagebaganajam ☎️01155871443
 🏡85G,JALAN MERBAU,PUSAT
 PERNIAGAAN OREN 13000 BUTTERWORTH PENANG 🚖Waze: https://waze.com/ul/hw0zquq0s6

#vape #vapemurah #vapemalaysia #vapepenang #vapekedah #vapeshop  #vapeon #instadaily #vapestagram #vapecommunity #malaysiamod #malaysiavaper #penangvaper #vapebayanlepas #vapegeorgetown #vapeseller #vapegelugor #vapejelutong #vapesungaipinang #vapeseberangjaya #aladdin #vapebm #tealive #aliyounus #SunwayWellesley #bandarperda #uptown #kulim","['#vape', '#vapemurah', '#vapemalaysia', '#vapepenang', '#vapekedah', '#vapeshop', '#vapeon', '#instadaily', '#vapestagram', '#vapecommunity', '#malaysiamod', '#malaysiavaper', '#penangvaper', '#vapebayanlepas', '#vapegeorgetown', '#vapeseller', '#vapegelugor', '#vapejelutong', '#vapesungaipinang', '#vapeseberangjaya', '#aladdin', '#vapebm', '#tealive', '#aliyounus', '#SunwayWellesley', '#bandarperda', '#uptown', '#kulim']","['@vapevillagepenang', '@vapevillage_karpalsingh', '@vapevillagebm', '@vapevillagekulim', '@vapevillageseberangjaya', '@vapevillagefarlim', '@vape_villagebaganajam']"
2023-03-01_04-13-50_UTC,2023-02-28 22:13:50,,1,0,"💥OPEN JOB VACANCY‼️💥 
—————————————
🏝 WE'RE HIRING NEW STAFF😎
—————————————
🤗ADAKAH ANDA YANG KAMI CARI?
SILA HUBUNGI KAMI🤘

📍VAPE VILLAGE FARLIM

🚪Open Daily⏰12pm-12am⏰

🌍 OUR BRANCHES 🌍 FOLLOW US 🧭✍️
____________________________________

🌴 @vapevillagepenang (HQ) ☎️ 01158754895
🏡88N, JALAN TUN DR AWANG,  SG NIBONG KECIL, 11900 PULAU PINANG
🚖Waze: https://goo.gl/maps/MsRQXvaPVQK2

🌴 @vapevillage_karpalsingh ☎️ 01158754893
🏡NO 19, 1ST FLOOR PERSIARAN KARPAL SINGH 5, LEBUH SUNGAI PINANG, 11600 JELUTONG
🚖Waze: https://waze.com/ul/hw0zqenccd

🌴 @vapevillagebm ☎️ 01155048930
🏡NO 10, 1ST FLOOR PRECINCT 1 @ SUNWAY WELLESLEY, JALAN MUTHU PALANIAPPAN, BUKIT MERTAJAM, 14000 BUKIT MERTAJAM, PENANG
🚖Waze: https://waze.com/ul/hw0zqtcr00

🌴 @vapevillagekulim ☎️ 01155048931
🏡NO 603, 1ST FLOOR, JALAN SERAYA 1, PUSAT PERNIAGAAN SERAYA 1,09000 KULIM, KEDAH
🚖Waze : https://waze.com/ul/hw0zqxuqcb

🌴@vapevillageseberangjaya ☎️01156871440
🏡12A JALAN TODAK 2,BANDAR SEBERANG JAYA,13700 PERAI,PULAU PINANG
🚖WAZE: https://waze.com/ul/hw0zqswspj

🌴@vapevillagefarlim ☎️01156871443
🏡NO.23,JLN ANGSANA 11500 AIR ITAM,PULAU PINANG
🚖WAZE: https://waze.com/ul/hw0zqdhbvb

🌴@vape_villagebaganajam ☎️01155871443
 🏡85G,JALAN MERBAU,PUSAT
 PERNIAGAAN OREN 13000 BUTTERWORTH PENANG 🚖Waze: https://waze.com/ul/hw0zquq0s6

#vape #vapemurah #vapemalaysia #vapepenang #vapekedah #vapeshop  #vapeon #instadaily #vapestagram #vapecommunity #malaysiamod #malaysiavaper #penangvaper #vapebayanlepas #vapegeorgetown #vapeseller #vapegelugor #vapejelutong #vapesungaipinang #vapeseberangjaya #aladdin #vapebm #tealive #aliyounus #SunwayWellesley #bandarperda #uptown #kulim","['#vape', '#vapemurah', '#vapemalaysia', '#vapepenang', '#vapekedah', '#vapeshop', '#vapeon', '#instadaily', '#vapestagram', '#vapecommunity', '#malaysiamod', '#malaysiavaper', '#penangvaper', '#vapebayanlepas', '#vapegeorgetown', '#vapeseller', '#vapegelugor', '#vapejelutong', '#vapesungaipinang', '#vapeseberangjaya', '#aladdin', '#vapebm', '#tealive', '#aliyounus', '#SunwayWellesley', '#bandarperda', '#uptown', '#kulim']","['@vapevillagepenang', '@vapevillage_karpalsingh', '@vapevillagebm', '@vapevillagekulim', '@vapevillageseberangjaya', '@vapevillagefarlim', '@vape_villagebaganajam']"
2023-03-01_04-37-25_UTC,2023-02-28 22:37:25,,3,0,"🔥JELLYBOX NANO II🔥

🕜Kami akan beroperasi dari pukul 12 tengah hari sehingga 11 malam ✌🏻

👉Apa²  pertanyaan atau nak order barang bole whatsapp number :

http://www.wasap.my/601119686489/irfan
===================

👉Boleh follow kami NL VAPE BERTAM di Instagram :

https://www.instagram.com/invites/contact/?i=17peujo682xam&utm_content=ckupphd

👉Boleh Like Page kedai NL VAPE BERTAM atau add kedai NL VAPE BERTAM di Facebook :

🌈Link Profile NL VAPE BERTAM :

https://www.facebook.com/vapepodter.darren

🌈Link Page NL VAPE BERTAM :

https://www.facebook.com/NLVAPEBERTAM/

🌍NL Vape Bertam Waze :
1st Floor, No 6, 1, Jalan Dagangan 2, Pusat Bandar Bertam Perdana, 13200 Kepala Batas, Penang.

📌LANDMARK : ATAS SECRET RECIPE
📌LANDMARK : SEBELAH KEDAI K PRINT
📌LANDMARK : SEBELAH KEDAI DOMINO PIZZA 🕐

POS PUN BOLEH BOSSKU 🥳
Semenanjung RM10 
Sabah Sarawak RM 15

—————————————————
#penang #vapesingaporean #vaporwave #vapertricks #vape #vapor #vapormax #vapetrickster #vapetrik #vapermalaysia #vapermurah #vaper #vapers #onvape #vaperz #vapecommunity #vapejuice #vapeon #vapelyfe #vapegirls #vapestore #vaporwaveartKedai #kedah #malaysia #nlvape #battegy#battegv3","['#penang', '#vapesingaporean', '#vaporwave', '#vapertricks', '#vape', '#vapor', '#vapormax', '#vapetrickster', '#vapetrik', '#vapermalaysia', '#vapermurah', '#vaper', '#vapers', '#onvape', '#vaperz', '#vapecommunity', '#vapejuice', '#vapeon', '#vapelyfe', '#vapegirls', '#vapestore', '#vaporwaveartKedai', '#kedah', '#malaysia', '#nlvape', '#battegy', '#battegv3']",[]
