Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-12-21_03-17-14_UTC,2022-12-20 21:17:14,,4436,21,"JELLY FISH‼️
-
Upload seadanya aja dulu ges yakk🥲
-
#vapetrick #satisfying #viral #explore #vapefamily #vaporwave #trending #instagood #explorepage #cloudtricks","['#vapetrick', '#satisfying', '#viral', '#explore', '#vapefamily', '#vaporwave', '#trending', '#instagood', '#explorepage', '#cloudtricks']",[]
2023-01-13_08-20-33_UTC,2023-01-13 02:20:33,Brazil Football FANS Qatar,2987,30,#family #familytime #familyfirst #myfamily #familyfun #familygoals #gang_family #familyphotography #familyday #familylove #lovemyfamily #happyfamily #slimmingworldfamily #familytrip #instafamily #familylife #familyvacation #fitfamily #familyiseverything #spnfamily #vapefamily #swfamily #familyphotographer #familyovereverything,"['#family', '#familytime', '#familyfirst', '#myfamily', '#familyfun', '#familygoals', '#gang_family', '#familyphotography', '#familyday', '#familylove', '#lovemyfamily', '#happyfamily', '#slimmingworldfamily', '#familytrip', '#instafamily', '#familylife', '#familyvacation', '#fitfamily', '#familyiseverything', '#spnfamily', '#vapefamily', '#swfamily', '#familyphotographer', '#familyovereverything']",[]
2023-02-27_17-38-12_UTC,2023-02-27 11:38:12,,99,14,#coilart #twistedmesseswire #vapefriends #vapefamily #buildmode #cleanbuilds #worldwidevapers #vapers #coilporn #wireart #ramcezzcoils #vapegirls #wire #photoproduct #tmn80 #ukvapers #vapeshop #vapefamous #wireartist #coilartist #coilcraft #coildbuild #wirepornwednesday #vapeamx #vapeomexico #kendovapecotton #macro #macromonday #macrophotography,"['#coilart', '#twistedmesseswire', '#vapefriends', '#vapefamily', '#buildmode', '#cleanbuilds', '#worldwidevapers', '#vapers', '#coilporn', '#wireart', '#ramcezzcoils', '#vapegirls', '#wire', '#photoproduct', '#tmn80', '#ukvapers', '#vapeshop', '#vapefamous', '#wireartist', '#coilartist', '#coilcraft', '#coildbuild', '#wirepornwednesday', '#vapeamx', '#vapeomexico', '#kendovapecotton', '#macro', '#macromonday', '#macrophotography']",[]
2023-03-01_06-30-05_UTC,2023-03-01 00:30:05,,52,2,"Stainless Steel 👽
📸 - @flavortronics
coilsbyscott.co.uk
.⁣
.⁣ 
.⁣
.⁣
.⁣
#coilsbyscott #vapeshop #ukvapers #vapefam #vapeon #coilbuilding #vapelove #vapedaily #vapecommunity #vapelife #vapegram #vapefamily #ejuice #vapelifestyle #instavape #vapers #vapestagram #vapenation #vapesociety #vaporizer #vapor #vapepics #vapeworld #vaper #vapeaddict #vapetricks #vaping #subohm #handmadecoils #coilbuilder","['#coilsbyscott', '#vapeshop', '#ukvapers', '#vapefam', '#vapeon', '#coilbuilding', '#vapelove', '#vapedaily', '#vapecommunity', '#vapelife', '#vapegram', '#vapefamily', '#ejuice', '#vapelifestyle', '#instavape', '#vapers', '#vapestagram', '#vapenation', '#vapesociety', '#vaporizer', '#vapor', '#vapepics', '#vapeworld', '#vaper', '#vapeaddict', '#vapetricks', '#vaping', '#subohm', '#handmadecoils', '#coilbuilder']",['@flavortronics']
2023-03-01_06-30-07_UTC,2023-03-01 00:30:07,Treats & Sweets,81,18,"One of my favorites from the @vapertreats line..............
This #icecreamcake is Faaaanfreakingtastic !!! 😋😋
#bluescrewcrew #vapingsaveslives #coilwars #vapestagramm  #vapenation #vape #vaping💨 #vapestagram #mechmods #mechmodlyfe #coilart #vapefam #vapefamily #vapephotography #coilporn #vapeporn #wireporn #wireart #coilbuild #coilbuilder #coilsmith #girlswhovape #cloudsbroclouds #coilphotography","['#icecreamcake', '#bluescrewcrew', '#vapingsaveslives', '#coilwars', '#vapestagramm', '#vapenation', '#vape', '#vaping', '#vapestagram', '#mechmods', '#mechmodlyfe', '#coilart', '#vapefam', '#vapefamily', '#vapephotography', '#coilporn', '#vapeporn', '#wireporn', '#wireart', '#coilbuild', '#coilbuilder', '#coilsmith', '#girlswhovape', '#cloudsbroclouds', '#coilphotography']",['@vapertreats']
2023-03-01_06-40-01_UTC,2023-03-01 00:40:01,,-1,109,"FEELIN X
By @nevoks_official 

The Feelin X by Nevoks is an upgrade of the OG Feelin, but now offers even great usability, but still keeping the highly successful style and SPL10 coils of the original, adding a bright, extremely simple to use interface, allowing wattage adjustment from 5w to 40w, improved long lasting 1600mAh built in battery and effective airflow control.
It has a very sophisticated look and feels really nice in the hand, with an almost swade like texture.

@nevoks_official 
@nevoks.uk 

https://www.nevoks.com

📸 @krullskulls 

🔞The product is not suitable for anybody under the age of 18/21
⚠️Unpaid Advertising⚠️

 #nevoks #nevoksofficial #nevoksfeelinx #feelinx #feelin #nevoksfeelinxpod #vapephotography #vapecommunity #vapenation  #productphotography #vapestagram  #vapedaily #vapelove #vapepics  #creativephotography #vapephotos #vapefamily #vapesociety #krullskullsphotos #vapepictures #vaping #stilllifephotos  #vapetrick #vapingstyle #vapingfriends","['#nevoks', '#nevoksofficial', '#nevoksfeelinx', '#feelinx', '#feelin', '#nevoksfeelinxpod', '#vapephotography', '#vapecommunity', '#vapenation', '#productphotography', '#vapestagram', '#vapedaily', '#vapelove', '#vapepics', '#creativephotography', '#vapephotos', '#vapefamily', '#vapesociety', '#krullskullsphotos', '#vapepictures', '#vaping', '#stilllifephotos', '#vapetrick', '#vapingstyle', '#vapingfriends']","['@nevoks_official', '@nevoks_official', '@nevoks', '@krullskulls']"
2023-03-01_07-14-04_UTC,2023-03-01 01:14:04,"Pandegelang, Jawa Barat, Indonesia",5,0,"Restock
.
Hepi Crunch
.
Rp.145.000
.
60ml|3mg
.
Saung Liquid
.
Jln A Yani no45 depan toko martabak hoki pasar pandeglang
.
Whatsapp 62+83875555176
Admin +6288212429031
.
@saungliquid_mangabeng
@saungliquid_kadulawang
@saungliquid_kadulisung
@saungliquid_rangkasbitung
.
#vapetricks #vape #vapeindonesia #vapemurah #vapormedia#vapestore #vapers #vapecommunity #vapeporn #vapormax #vaporizer #vaporwave#vapeindo#vapenation #vapestore #vapehappy #vapers #vapefamily #vapemodel #vapelife#vapeshop #vapedaily#vapejuice#vaporlife# #vapegram#worldvapesquad_canada#vaporgram #vapormedia #vaporshark #vaperangkas#vapepandeglang#vapebanten#liquidindonesia
.
siap kirim... via expedisi","['#vapetricks', '#vape', '#vapeindonesia', '#vapemurah', '#vapormedia', '#vapestore', '#vapers', '#vapecommunity', '#vapeporn', '#vapormax', '#vaporizer', '#vaporwave', '#vapeindo', '#vapenation', '#vapestore', '#vapehappy', '#vapers', '#vapefamily', '#vapemodel', '#vapelife', '#vapeshop', '#vapedaily', '#vapejuice', '#vaporlife', '#vapegram', '#worldvapesquad_canada', '#vaporgram', '#vapormedia', '#vaporshark', '#vaperangkas', '#vapepandeglang', '#vapebanten', '#liquidindonesia']","['@saungliquid_mangabeng', '@saungliquid_kadulawang', '@saungliquid_kadulisung', '@saungliquid_rangkasbitung']"
2023-03-01_07-49-34_UTC,2023-03-01 01:49:34,,21,2,"thank you vapers, you are awesome...

1st batch Good Sundae yang terdiri dari tiga varian sudah sold out, dengan ini Pre Order sudah closed.

#cloudslab #cloudslabjuice #goodseries #goodsundae #soldout #viral #vapelife #vapecommunity #vapefam #instavape #ejuice #eliquid #vapeworld #vapeindonesia #vapeindo #tokovape #vapeshop #vapeaddict #icecream  #vapefeed #vapergram #eliquids #vapenation #vapeporn #vapers #vapedaily #vapelyfe #vapetricks #vapor #vapefamily","['#cloudslab', '#cloudslabjuice', '#goodseries', '#goodsundae', '#soldout', '#viral', '#vapelife', '#vapecommunity', '#vapefam', '#instavape', '#ejuice', '#eliquid', '#vapeworld', '#vapeindonesia', '#vapeindo', '#tokovape', '#vapeshop', '#vapeaddict', '#icecream', '#vapefeed', '#vapergram', '#eliquids', '#vapenation', '#vapeporn', '#vapers', '#vapedaily', '#vapelyfe', '#vapetricks', '#vapor', '#vapefamily']",[]
2023-03-01_07-54-01_UTC,2023-03-01 01:54:01,,23,2,"NOVO BAR B600😍🎉
/
/
#smok #novobarb600 #smokshow #smoktech #vape #Vaper #smokstickprince #smokprince #vapinginfluencers #vapingsavedmylife #vapephoto #coilporn #vapelife #vapefamily #vapeaddict #vapearnoesfumar #vapearsalvavidas #fyp #smoke","['#smok', '#novobarb600', '#smokshow', '#smoktech', '#vape', '#Vaper', '#smokstickprince', '#smokprince', '#vapinginfluencers', '#vapingsavedmylife', '#vapephoto', '#coilporn', '#vapelife', '#vapefamily', '#vapeaddict', '#vapearnoesfumar', '#vapearsalvavidas', '#fyp', '#smoke']",[]
2023-03-01_07-56-13_UTC,2023-03-01 01:56:13,,0,0,#вейп #vape #пар #vapeporn #жижа #vaper #вейпшоп #vapedaily #whale #вейперы #vapers #вейпинг #vapeshop #vapenation  #vapewhale #rznvape #juice #вейпер #vaping #whaleryazan #vaperussia #vapefam #vapesociety #vapestagram #vapegram #vapeporn #vape #vapenation #vapefamily #vapelife,"['#вейп', '#vape', '#пар', '#vapeporn', '#жижа', '#vaper', '#вейпшоп', '#vapedaily', '#whale', '#вейперы', '#vapers', '#вейпинг', '#vapeshop', '#vapenation', '#vapewhale', '#rznvape', '#juice', '#вейпер', '#vaping', '#whaleryazan', '#vaperussia', '#vapefam', '#vapesociety', '#vapestagram', '#vapegram', '#vapeporn', '#vape', '#vapenation', '#vapefamily', '#vapelife']",[]
