Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-10-19_20-51-23_UTC,2022-10-19 15:51:23,,593,14,"Rocking for the first time these two together @districtf5ve C2mnt Rda over my @vape.werkstatt MMK 24 18650.
Perfect combo!

 📸  @Patanegra526 

Comments,suggestions & questions are always welcome bellow👇🏻 #districtf5ve#c2mnt#vapewerkstatt#mmk24#mmk24abs#mmkabssilver#mechmod#vapetricks#mechhead#vapedaily#vapefam#vaping#mechmod#mechmods#mechmodsdaily#vapefamous#mechanicalmod#dripgram#ejuice#eliquid#armvape#instavape#instavapers#vapeo#vapeoespaña#vapephotography#vapephotographer#vapephoto#worldwidevapers","['#districtf5ve', '#c2mnt', '#vapewerkstatt', '#mmk24', '#mmk24abs', '#mmkabssilver', '#mechmod', '#vapetricks', '#mechhead', '#vapedaily', '#vapefam', '#vaping', '#mechmod', '#mechmods', '#mechmodsdaily', '#vapefamous', '#mechanicalmod', '#dripgram', '#ejuice', '#eliquid', '#armvape', '#instavape', '#instavapers', '#vapeo', '#vapeoespan', '#vapephotography', '#vapephotographer', '#vapephoto', '#worldwidevapers']","['@districtf5ve', '@vape', '@Patanegra526']"
2022-11-27_09-47-08_UTC,2022-11-27 03:47:08,Brökêń Héàrt :'(,1020,125,"दर्द बन कर दिल में छुपा कौन है,

रह रह कर इसमें चुभता कौन है,

एक तरफ दिल है और एक तरफ आइना,

देखते है इस बार पहले टूटता कौन है ।।
.
.
#instafamous
#eatfamous
#vapefamous
#infamous_family
#worldfamousink
#igfamous
#famousdex
#worldfamous
#almostfamous
.
.

#menstyle
#fashiondiaries
#fashionaddict
#hijabstyle
#fashionweek
#fashionphotography
#fashionpost
#lifestyleblogger

.
.
#dragqueen
#queensland
#queenp
#beautyqueen
#selfiequeen
#myqueen
.
.
#fashionphotography
#fashionpost
#womensfashion
#ootdfashion
#fashiondesigner
#fashionlover
#fashionkids
#fashionshow
#babyfashion","['#instafamous', '#eatfamous', '#vapefamous', '#infamous_family', '#worldfamousink', '#igfamous', '#famousdex', '#worldfamous', '#almostfamous', '#menstyle', '#fashiondiaries', '#fashionaddict', '#hijabstyle', '#fashionweek', '#fashionphotography', '#fashionpost', '#lifestyleblogger', '#dragqueen', '#queensland', '#queenp', '#beautyqueen', '#selfiequeen', '#myqueen', '#fashionphotography', '#fashionpost', '#womensfashion', '#ootdfashion', '#fashiondesigner', '#fashionlover', '#fashionkids', '#fashionshow', '#babyfashion']",[]
2022-12-19_11-26-06_UTC,2022-12-19 05:26:06,,859,26,"Multicore Sfc for mesh 
First try with allN80 
12*29 staggered with 36g and then fused together with 37g
2cm of the stripe ohms out at 0,05 and after glowing at 0,08 🤘🏼😤

Wire from @wireoptim 

Check out the team:
@namelessbuildersassociation

@fcvape33 
@exumed_by_vape
@zena.coil 
@lk_vape 
@coilaholic 
@cox_coils 
And me: @chriscoilcreator 

#wireoptim #vape #vapers #vaperazzi #vaping💨 #vapefamous #vapeinfocus #vapeartist #vapingsavedmylife #vapesociety #vapegermany #vapelove #vapepictures #vapormedia #vapenation #macrophotography #youzguyz #kungfubuild #cleanbuilds #coilbuild #coilartist #coilarchitects #coilbuilder #coilsmith #instavape #nohmadz #instacoil  #YoursToMake #notnormaljustspecial","['#wireoptim', '#vape', '#vapers', '#vaperazzi', '#vaping', '#vapefamous', '#vapeinfocus', '#vapeartist', '#vapingsavedmylife', '#vapesociety', '#vapegermany', '#vapelove', '#vapepictures', '#vapormedia', '#vapenation', '#macrophotography', '#youzguyz', '#kungfubuild', '#cleanbuilds', '#coilbuild', '#coilartist', '#coilarchitects', '#coilbuilder', '#coilsmith', '#instavape', '#nohmadz', '#instacoil', '#YoursToMake', '#notnormaljustspecial']","['@wireoptim', '@namelessbuildersassociation', '@fcvape33', '@exumed_by_vape', '@zena', '@lk_vape', '@coilaholic', '@cox_coils', '@chriscoilcreator']"
2023-02-25_07-42-07_UTC,2023-02-25 01:42:07,,5,0,"SMOK INFINIX KIT BEST POD SYSTEM WITH STYLISH DESIGN

Go save big with our first ever sale on the RVP! Enjoy a flat 15% off on all RVP products (excluding accessories and reusable stock inventory).

Don't miss out on this amazing opportunity to snag some incredible deals! 

From February 24th to March 2nd, 2023

Visit www.rvp.com.pk OR contact 0311 7398749

#vapestagram #vapepakistan #uwell #podkit #caliburn #vapelife #vapelove #vapedaily #vapesafe #Vapefame
#vapehooligans #vapesociety #vapefamily #vapefamous #vapeclouds #vapemods #vapepod #vapegear #vapecartridge #vapecity #rvp","['#vapestagram', '#vapepakistan', '#uwell', '#podkit', '#caliburn', '#vapelife', '#vapelove', '#vapedaily', '#vapesafe', '#Vapefame', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefamous', '#vapeclouds', '#vapemods', '#vapepod', '#vapegear', '#vapecartridge', '#vapecity', '#rvp']",[]
2023-02-25_15-20-57_UTC,2023-02-25 09:20:57,,2790,81,"No vape only fap👍
.
.
.
.
#vapefamous #masturbationishealthy #memes😂 #meme #explore","['#vapefamous', '#masturbationishealthy', '#memes', '#meme', '#explore']",[]
2023-02-27_16-59-51_UTC,2023-02-27 10:59:51,,2771,6,"Flying Eagles of VFA-122 making a beautiful cone pass at the Central Coast Airfest. 
My YouTube channel > Link in bio 

#repost @aggressoraviation_

#cone #vapepics #vape #vapefamous #vfa122flyingeagles #rhino #f18 #f18superhornet #fast #speed #airshow #aviation #militaryaviation #fighterjet","['#repost', '#cone', '#vapepics', '#vape', '#vapefamous', '#vfa122flyingeagles', '#rhino', '#f18', '#f18superhornet', '#fast', '#speed', '#airshow', '#aviation', '#militaryaviation', '#fighterjet']",['@aggressoraviation_']
2023-02-27_17-38-12_UTC,2023-02-27 11:38:12,,99,14,#coilart #twistedmesseswire #vapefriends #vapefamily #buildmode #cleanbuilds #worldwidevapers #vapers #coilporn #wireart #ramcezzcoils #vapegirls #wire #photoproduct #tmn80 #ukvapers #vapeshop #vapefamous #wireartist #coilartist #coilcraft #coildbuild #wirepornwednesday #vapeamx #vapeomexico #kendovapecotton #macro #macromonday #macrophotography,"['#coilart', '#twistedmesseswire', '#vapefriends', '#vapefamily', '#buildmode', '#cleanbuilds', '#worldwidevapers', '#vapers', '#coilporn', '#wireart', '#ramcezzcoils', '#vapegirls', '#wire', '#photoproduct', '#tmn80', '#ukvapers', '#vapeshop', '#vapefamous', '#wireartist', '#coilartist', '#coilcraft', '#coildbuild', '#wirepornwednesday', '#vapeamx', '#vapeomexico', '#kendovapecotton', '#macro', '#macromonday', '#macrophotography']",[]
2023-02-28_18-16-02_UTC,2023-02-28 12:16:02,"Manavgat, Antalya",-1,118,"Die besten Ideen kommen bei mir meist bei Sonnenuntergang. 🌅
Es ist unbeschreiblich!!!
Bessere Konzentration und ein völlig entspanntes Glücksgefühl kommt bei mir auf. 
Und bei euch so ? 
Was ist euch lieber Sonnenuntergang oder Sonnenaufgang 🌄 
🔽🔽🔽
.
.
.
#glücksgefühle #konzentration #business #geschäftsidee #brainstorm #mindset #sonnenuntergang #manavgat #turkiye #vapefam #vapelyfe #vapefamous #braungebrannt #lebensqualität #lebensfreude #finanziellefreiheit #glücksmomente #energie #geschäft #seelebaumelnlassen #metime #stolzaufmich #duschaffstdas #neueideen #kreativ #urlaub #urlaubsreif #reisetipps #reisenmachtglücklich #reisenistschön","['#glücksgefühle', '#konzentration', '#business', '#geschäftsidee', '#brainstorm', '#mindset', '#sonnenuntergang', '#manavgat', '#turkiye', '#vapefam', '#vapelyfe', '#vapefamous', '#braungebrannt', '#lebensqualität', '#lebensfreude', '#finanziellefreiheit', '#glücksmomente', '#energie', '#geschäft', '#seelebaumelnlassen', '#metime', '#stolzaufmich', '#duschaffstdas', '#neueideen', '#kreativ', '#urlaub', '#urlaubsreif', '#reisetipps', '#reisenmachtglücklich', '#reisenistschön']",[]
2023-03-01_07-30-09_UTC,2023-03-01 01:30:09,,25,6,"The orange tastes good🍊⁣
Pic from dear @vape_master89⁣
⁣
#suorinhi700 #suorin #vapefamous #vapeclouds💨💨💨 #vapehooligans #vapecloudshop #vapor #vapormax #vaporwaves #vaporwave #vapor #weekend #enjoy","['#suorinhi700', '#suorin', '#vapefamous', '#vapeclouds', '#vapehooligans', '#vapecloudshop', '#vapor', '#vapormax', '#vaporwaves', '#vaporwave', '#vapor', '#weekend', '#enjoy']",['@vape_master89']
2023-03-01_07-35-50_UTC,2023-03-01 01:35:50,,12,0,"Airistech Herbva 5G Black
KES 4,999 (Herbal Vaporizer with 360 degree T)

📞/ WhatsApp 0792333031

Product Name	Airistech Herbva 5G Black
Options	Herbal Vaporizer with 360 degree T
Price	KES 4,999
Brand	AIRISTECH HERBVA 5G

#vapefamous #vapelifestyle #vapeindonesia #vapeallday #vapejuice #subohm #vapeindo #handcheck #vaporizer #vapegram #vapeaddict #cloudchasing #ukvapers #vapephotography #vapemurah #coilporn #vapegirls #girlswhovape #notblowingsmoke #liquid #vapeuk #mechmod #vapehard #jualvape #vapeclouds #vapestyle #vapemalaysia #vapingcommunity #tokovape #instavaperz","['#vapefamous', '#vapelifestyle', '#vapeindonesia', '#vapeallday', '#vapejuice', '#subohm', '#vapeindo', '#handcheck', '#vaporizer', '#vapegram', '#vapeaddict', '#cloudchasing', '#ukvapers', '#vapephotography', '#vapemurah', '#coilporn', '#vapegirls', '#girlswhovape', '#notblowingsmoke', '#liquid', '#vapeuk', '#mechmod', '#vapehard', '#jualvape', '#vapeclouds', '#vapestyle', '#vapemalaysia', '#vapingcommunity', '#tokovape', '#instavaperz']",[]
2023-03-01_07-56-44_UTC,2023-03-01 01:56:44,Star Vapers,0,0,"RESTOCK ITEM🔥
SALTNIC 🇺🇸 

I SALTS
Sweet tobacco 

30ml 25mg
AVAILABLE AT OUR STORE ✅
————————————————————
3 for RM 40 Local Salt Eliquid 
3 for RM 45 Imported Salt Eliquid

Order thru WhatsApp +01163365952 📲
————————————————————
""ALL VAPERS ARE BROTHERS""
————————————————————
🏪 Star Vapers HQ
No 20, Ground Floor,
Kompleks Perniagaan Utama,
Lebuhraya Sultanah Bahiyah,‬
‪05350 Alor Star,
Kedah Darul Aman
📱 ‪01163365952‬
📱 ‪0194525757‬
☎ ‪047305952
‬————————————————————
Operation time : 12.00PM - 12.00AM⏰
————————————————————
Telegram  https://t.me/starvapersalorsetar
————————————————————
🗺 Waze: Star Vapers
————————————————————
📍‪https://waze.to/lr/hw1p6gy7f9‬
————————————————————
#starvapers #mrjuicer #starvapersfamilia #allvapersarebrothers #vape #vapeon #vapers #vaping #vapefam #vapelife #vapelyfe #vapeporn #vapedaily #vapejuice #vapeaddict #vapefamily #vapefamous #malaysianvapers #vapeutara #vapekedah #ecigs #eliquid #instavape  #pods #notforunder18 #postage #vapecod #vapedelivery #cashondelivery #isalts","['#starvapers', '#mrjuicer', '#starvapersfamilia', '#allvapersarebrothers', '#vape', '#vapeon', '#vapers', '#vaping', '#vapefam', '#vapelife', '#vapelyfe', '#vapeporn', '#vapedaily', '#vapejuice', '#vapeaddict', '#vapefamily', '#vapefamous', '#malaysianvapers', '#vapeutara', '#vapekedah', '#ecigs', '#eliquid', '#instavape', '#pods', '#notforunder18', '#postage', '#vapecod', '#vapedelivery', '#cashondelivery', '#isalts']",[]
2023-03-01_07-57-14_UTC,2023-03-01 01:57:14,"Dubai Frame - World's Largest Frame, Dubai U.A.E",1,0,"All kinds of vape available 
We provide the cheapest price
Cash On delivery All over UAE
Whatsapp :- +971556901787

#Dubaimall #BurjAlarab #dubaivape #abudhabivapestore #dubaidisposable #Uaedisposable #Uae #burjkhalifa 
#Dubaimarina #dubaiframe #lamer #DisposableshopUae #Disposablestoreuae #vapedubai
#vapedubai #vapeuae #vapezoo #vaped #dxb #dubai #vapeshoutouts #vapefamous #disposable #disposablevape #vapemiddleeast #ejuice #ejuiceuae #podvape #model #festival #dxb #dxblife","['#Dubaimall', '#BurjAlarab', '#dubaivape', '#abudhabivapestore', '#dubaidisposable', '#Uaedisposable', '#Uae', '#burjkhalifa', '#Dubaimarina', '#dubaiframe', '#lamer', '#DisposableshopUae', '#Disposablestoreuae', '#vapedubai', '#vapedubai', '#vapeuae', '#vapezoo', '#vaped', '#dxb', '#dubai', '#vapeshoutouts', '#vapefamous', '#disposable', '#disposablevape', '#vapemiddleeast', '#ejuice', '#ejuiceuae', '#podvape', '#model', '#festival', '#dxb', '#dxblife']",[]
2023-03-01_07-57-23_UTC,2023-03-01 01:57:23,,10,0,"Check out the blog for the new Guest post:

Weak Hits with a Pod System? Here’s How to Fix Them

#vapefamily #vapefam  #vape #vaping #vapesofla  #smokefree #instavape #vaporlife #vaporlifestyle #itsjustvapor #vapejunkie #vaping  #vapeon #vapelife #vapelifestyle #vapecommunity #vapesafe #vapefamous #ivapetanks #vapelyfe #vapestagram #vapehandcheck #vapetography #vapephoto","['#vapefamily', '#vapefam', '#vape', '#vaping', '#vapesofla', '#smokefree', '#instavape', '#vaporlife', '#vaporlifestyle', '#itsjustvapor', '#vapejunkie', '#vaping', '#vapeon', '#vapelife', '#vapelifestyle', '#vapecommunity', '#vapesafe', '#vapefamous', '#ivapetanks', '#vapelyfe', '#vapestagram', '#vapehandcheck', '#vapetography', '#vapephoto']",[]
