Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-07-24_19-00-06_UTC,2022-07-24 14:00:06,,5744,45,"Tag a buddy with this setup. 👀

What wheels would you throw up on the new WRX?

#meme #memelord #intern #internpost #fitmentintern #fitment #fitmentindustries #breakingbad #breakingbadmeme #breakingbadfan #subaru #vape #vapejuice #subaru #subieflow #subaruvape","['#meme', '#memelord', '#intern', '#internpost', '#fitmentintern', '#fitment', '#fitmentindustries', '#breakingbad', '#breakingbadmeme', '#breakingbadfan', '#subaru', '#vape', '#vapejuice', '#subaru', '#subieflow', '#subaruvape']",[]
2022-10-04_06-53-08_UTC,2022-10-04 01:53:08,,1270,38,"Black and white makes it legal.
Still red is priceless for the worth it hold❤️

#TeamOxide1 
#team_MRN #genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico #terkishtuesday","['#TeamOxide1', '#team_MRN', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict', '#terkishtuesday']","['@hashtagr', '@modmecanico']"
2022-10-13_06-12-02_UTC,2022-10-13 01:12:02,,612,17,"Grow through what you go through…

#TeamOxide1 
#team_MRN #genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico","['#TeamOxide1', '#team_MRN', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict']","['@hashtagr', '@modmecanico']"
2022-10-15_04-24-08_UTC,2022-10-14 23:24:08,,1522,16,"Dont take life to seriously.
Nobody gets out alive anyways….

#TeamOxide1 
#genesis_creations_llc
#vapers #vaper #vapelove #vapepics #vapeshop #vapehooligans #vapesociety #vapefamily #vapefriends #hashtagr #vapes #vapefamous #vapeallday #vapegram #vapeworld #vapelifestyle #vapejuice #vapestore #vapehard #vapeindonesia #vapeindo tags by @hashtagr #vapeaddict  @modmecanico","['#TeamOxide1', '#genesis_creations_llc', '#vapers', '#vaper', '#vapelove', '#vapepics', '#vapeshop', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefriends', '#hashtagr', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapejuice', '#vapestore', '#vapehard', '#vapeindonesia', '#vapeindo', '#vapeaddict']","['@hashtagr', '@modmecanico']"
2023-01-20_16-30-32_UTC,2023-01-20 10:30:32,,397,24,"Gimana nih menurutmu ? 
.
Makanya kalau beli liquid di VSS aja
Udah pasti aman , asli & legal 
Yuk main main ke storenya VSS
.
Biar ngga tersesat nih mimin kasi lokasinya

📍Vss Gayamsari
Ruko Gayamsari No. 11

📍Vss Thamrin
Jl. MH Thamrin No. 99A Semarang

Tersedia juga di marketplace VSS 
Klik link yang ada di bio yaaak 😎😎😎

#vapestoresmg #pulse #pulseaio #mod #indonesianvapers #vapejuice #premiumliquid #rcft_squad #vapeinfluencer #vapelyfe  #ejuice #handcraftjuice #vapelikeaboss #vapeinfluencer #vapefam #vapemeet #vapers  #vapeinstagram #instavape #rcft #labz  #vaporwave #collabs  #vape #vapecommunity","['#vapestoresmg', '#pulse', '#pulseaio', '#mod', '#indonesianvapers', '#vapejuice', '#premiumliquid', '#rcft_squad', '#vapeinfluencer', '#vapelyfe', '#ejuice', '#handcraftjuice', '#vapelikeaboss', '#vapeinfluencer', '#vapefam', '#vapemeet', '#vapers', '#vapeinstagram', '#instavape', '#rcft', '#labz', '#vaporwave', '#collabs', '#vape', '#vapecommunity']",[]
2023-02-28_09-31-59_UTC,2023-02-28 03:31:59,"Glasgow, United Kingdom",117,24,"𝔻𝕠𝕔 ℕ𝕠𝕩 - ℝ𝕙𝕦𝕓𝕒𝕣𝕓 𝕒𝕟𝕕 ℂ𝕦𝕤𝕥𝕒𝕣𝕕

𝐓𝐡𝐞 𝐃𝐨𝐜𝐭𝐨𝐫 𝐖𝐢𝐥𝐥 𝐒𝐞𝐞 𝐘𝐨𝐮 𝐍𝐨𝐰… 
𝐀 𝐜𝐥𝐚𝐬𝐬𝐢𝐜 𝐞𝐯𝐞𝐧𝐢𝐧𝐠 𝐝𝐞𝐬𝐬𝐞𝐫𝐭, 𝐦𝐚𝐝𝐞 𝐢𝐧𝐭𝐨 𝐚 𝐜𝐚𝐧𝐝𝐲 𝐬𝐡𝐨𝐩 𝐭𝐫𝐞𝐚𝐭, 𝐚𝐧𝐝 𝐧𝐨𝐰 𝐚𝐯𝐚𝐢𝐥𝐚𝐛𝐥𝐞 𝐢𝐧 𝐲𝐨𝐮𝐫 𝐯𝐚𝐩𝐞! 

@joesjuiceuk

━━━━━━━━━━━━━━━━ 

#joesjuice #joesjuiceuk #docnox #rhubarb #custard #eliquid #vapejuice","['#joesjuice', '#joesjuiceuk', '#docnox', '#rhubarb', '#custard', '#eliquid', '#vapejuice']",['@joesjuiceuk']
2023-02-28_10-00-10_UTC,2023-02-28 04:00:10,,0,0,"https://emporiumvapes.co.uk/aloe-vera-mandarin-and-lime/

Easy Fruits Aloe Vera Mandarin Lime - Combining Aloe Vera, Mandarin & Lime you get a totally refreshing yet fruity experience that tastes absolutely divine. We totally understand it does not sound like it should work, but trust us this will be in your top 5 E-Liquids of all time !

#vape #vapetricks #vapeuk #vapeshp #vapeshopsouthport #vaping #vapingeveryday #vapejuice #vapingeverywhere #emporiumvapelounge #vapeshopping #emporiumvapelounge #vapeshopsouthport #vapeshopainsdale  #vape #vapetricks #vapeuk #vapeshp #vaping #vapingeveryday #vapejuice #vapeshopping #vapekits #vapecoils
#vapeaccesories #vapeneeds #vape","['#vape', '#vapetricks', '#vapeuk', '#vapeshp', '#vapeshopsouthport', '#vaping', '#vapingeveryday', '#vapejuice', '#vapingeverywhere', '#emporiumvapelounge', '#vapeshopping', '#emporiumvapelounge', '#vapeshopsouthport', '#vapeshopainsdale', '#vape', '#vapetricks', '#vapeuk', '#vapeshp', '#vaping', '#vapingeveryday', '#vapejuice', '#vapeshopping', '#vapekits', '#vapecoils', '#vapeaccesories', '#vapeneeds', '#vape']",[]
2023-02-28_10-19-08_UTC,2023-02-28 04:19:08,neirayorkcoffee,51,2,"Kemaren nyobain sama sama blueberry , sekarang nyobain coffe brown sugar bikinan  @neircoffee 🤤 , ternyata cocok banget perpaduan coffe brown sugar dengan aroma signature Blueberry Creme Brulee dari @aromaejuiceproject @flavourbeastproject , Bagi kalian yang belom nyobain liquidnya , langsung cus ke vapestore kesayangan kalian🥰
•
Blueberry Creme Brulee
Nic 3/6/9 60ML 
VG 60 PG 40 
@aromaejuiceproject 
@flavourbeastproject 
•
#saltnic #aromajuice  #blueberry #creme #brulee #vape #vapelife #vapenation #VapeFam #vapecommunity #vapelyfe #vapestagram #VapeDaily  #vapelove #vapeshop #vapepics #VapeSociety #vapefamily #vapehooligans #VapeFriends #vapefamous #vapeallday #vapegirls #vapejuice #VapeLifeStyle #VapeWorld  #goldenbuzzer #liquidenak #liquidmurah","['#saltnic', '#aromajuice', '#blueberry', '#creme', '#brulee', '#vape', '#vapelife', '#vapenation', '#VapeFam', '#vapecommunity', '#vapelyfe', '#vapestagram', '#VapeDaily', '#vapelove', '#vapeshop', '#vapepics', '#VapeSociety', '#vapefamily', '#vapehooligans', '#VapeFriends', '#vapefamous', '#vapeallday', '#vapegirls', '#vapejuice', '#VapeLifeStyle', '#VapeWorld', '#goldenbuzzer', '#liquidenak', '#liquidmurah']","['@neircoffee', '@aromaejuiceproject', '@flavourbeastproject', '@aromaejuiceproject', '@flavourbeastproject']"
2023-02-28_11-33-09_UTC,2023-02-28 05:33:09,VaporbagarreJesolo,16,1,"🤔 Le avete gia provate le nostre nuove freschissime mente? 🥶

- Menta Bianca:

La classica menta bianca, fresca e dolce al punto giusto!

Mai più senza!

- Menta Balsamica:

Un tripudio di menta investita da una cascata di mentolo!

Brrrrrrr!!!!",[],[]
2023-02-28_12-00-07_UTC,2023-02-28 06:00:07,,37,0,"[NEW] Les anglais rendent hommage aux dieux grecs avec @zeusjuiceuk : 6 e-liquides gourmands ou fruités au choix !

Disponibles en boutique ou à la demande auprès d'un conseiller ✨

#cigaretteelectronique #ecig #ecigarette #frenchvapefamily #frenchvapers #instamood #instavape #live #newproducts #newreleases #rechargeable #vapecommunity #vapefam #vapefamily #vapefeed #vapefrance #vapehard #vapejuice #vapelife #vapelifestyle #vapelikeaboss #vapelove #vapenation #vapephoto #vapestore","['#cigaretteelectronique', '#ecig', '#ecigarette', '#frenchvapefamily', '#frenchvapers', '#instamood', '#instavape', '#live', '#newproducts', '#newreleases', '#rechargeable', '#vapecommunity', '#vapefam', '#vapefamily', '#vapefeed', '#vapefrance', '#vapehard', '#vapejuice', '#vapelife', '#vapelifestyle', '#vapelikeaboss', '#vapelove', '#vapenation', '#vapephoto', '#vapestore']",['@zeusjuiceuk']
