Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2023-02-25_07-42-07_UTC,2023-02-25 01:42:07,,5,0,"SMOK INFINIX KIT BEST POD SYSTEM WITH STYLISH DESIGN

Go save big with our first ever sale on the RVP! Enjoy a flat 15% off on all RVP products (excluding accessories and reusable stock inventory).

Don't miss out on this amazing opportunity to snag some incredible deals! 

From February 24th to March 2nd, 2023

Visit www.rvp.com.pk OR contact 0311 7398749

#vapestagram #vapepakistan #uwell #podkit #caliburn #vapelife #vapelove #vapedaily #vapesafe #Vapefame
#vapehooligans #vapesociety #vapefamily #vapefamous #vapeclouds #vapemods #vapepod #vapegear #vapecartridge #vapecity #rvp","['#vapestagram', '#vapepakistan', '#uwell', '#podkit', '#caliburn', '#vapelife', '#vapelove', '#vapedaily', '#vapesafe', '#Vapefame', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefamous', '#vapeclouds', '#vapemods', '#vapepod', '#vapegear', '#vapecartridge', '#vapecity', '#rvp']",[]
2023-02-25_14-25-08_UTC,2023-02-25 08:25:08,,1105,58,"Una sigaretta perfetta per chi vuole iniziare a svapare? Ti consiglio la Beez Starter Kit🔥
Io l’ho scelta color Ape 🐝  trovi tutte le colorazioni su @vapeitalia.it 🤍

NB. Mega Ape gigante da calcavare non inclusa nel pacchetto 📦

.
.
.
🚭
.
.
.
#vapeporn #vapelife #vapetricks #vapefam #vapeon #vapedaily #vapestore #vapeshop #vapegirls #vapelove #vapesociety #vapefamous #vapepics #vapejuice #vapefamily #vapeaddict #vapeworld #svapo #svapoitalia #girls2vape #girls","['#vapeporn', '#vapelife', '#vapetricks', '#vapefam', '#vapeon', '#vapedaily', '#vapestore', '#vapeshop', '#vapegirls', '#vapelove', '#vapesociety', '#vapefamous', '#vapepics', '#vapejuice', '#vapefamily', '#vapeaddict', '#vapeworld', '#svapo', '#svapoitalia', '#girls2vape', '#girls']",['@vapeitalia']
2023-02-26_08-34-48_UTC,2023-02-26 02:34:48,Glitch in the Matrix,653,14,"Reject the basic assumptions of civilization, especially the importance of material possessions.
Canon 250d + 50mm f/1.8 📸
Geekvape L200 🚬
#photography #photographyart #photographyaddict #instagram #instadaily #canonphotography #vapelove #photoshop #neon #glow #nightphotography #dubai #aesthetic #igers #visualart #dreamy #dslrphotography #swag #cyberpunk #festival #instagood","['#photography', '#photographyart', '#photographyaddict', '#instagram', '#instadaily', '#canonphotography', '#vapelove', '#photoshop', '#neon', '#glow', '#nightphotography', '#dubai', '#aesthetic', '#igers', '#visualart', '#dreamy', '#dslrphotography', '#swag', '#cyberpunk', '#festival', '#instagood']",[]
2023-02-27_10-34-52_UTC,2023-02-27 04:34:52,,53,6,"Udah akhir bulan waktunya apa????
Ya waktunya jajan dong.
Ishhh mimin gimana nih masa akhir bulan jajan.
Lah iya dong sinih minjo kasih list ke kalian buat jajan apa aja akhir bulan. Pas toh wayah-wayah gajian buat borong-borong.
Cocok deh jajan Miru di akhir bulan, sekalian stok buat bulan Maret🤩
.
.
Biar aktivitas makin seru kalau di temani Miru.
Soal rasa bisa pilih suka-suka. Tenang selain ga makan banyak tempat, Miru saltnic ini gak perlu keluarin banyak uang.
Ohh iya beberapa hari lalu banyak banget nih yang ngadu ke mimin kalau vapestore sedang kekosongan stok Miru saltnic😱
Nah sekarang mumpung sudah ready lagi jadi gasskeun ga pake lama langsung sikat ke vapestore kesayangan kamu Jangan sampai kehabisan🥳🥳
.
.
Cuss borong Miru suka-suka🥳
Happy Shopping🤩

#jozojoexperience #viral #indonesiaviral #balinwarriors #vapeindonesia #vapelyfe #vapedaily #vapor #vapers #vapesociety #vapegram #vapecommunity #vapetricks #vapeeducation #vapelove #instagood #instavape #indonesiavape #distributor #new #produk #pertama #creme #milk #liquidmurah","['#jozojoexperience', '#viral', '#indonesiaviral', '#balinwarriors', '#vapeindonesia', '#vapelyfe', '#vapedaily', '#vapor', '#vapers', '#vapesociety', '#vapegram', '#vapecommunity', '#vapetricks', '#vapeeducation', '#vapelove', '#instagood', '#instavape', '#indonesiavape', '#distributor', '#new', '#produk', '#pertama', '#creme', '#milk', '#liquidmurah']",[]
2023-02-28_08-22-47_UTC,2023-02-28 02:22:47,,28,0,"Bonjour à tous,

Soucieux d'apporter toujours du contenu dans le détail, soucieux de faire les choses bien dans l'art et la manière, la semaine dernière, je vous ai fait des petits ""flashs tests"" pendant ma semaine de vacances, à titre personnel, j'ai aimé vous les proposer, car une page comme la mienne ne doit pas cesser de vivre.

Ayant pas mal de liquides que l'on m'a confié lors des vapexpos, en cadeau lors de commandes ou bien des partenariat que je n'ai pas eu le temps de faire, j'ai pris la décision pendant un temps indéterminée de vous proposé du lundi au vendredi mon test quotidien, une revue détaillé comme il se doit et pour les anciennes gammes, le week end seulement, je passerais les différents juices en format ""présentation rapide"", cela me permettras d'écouler mon stock de jus, toujours dans l'optique de vous proposez des choses de qualité tout en testant moi même la référence du eliquide en question.

Merci à vous de votre soutien, merci à mes partenaires qui restent à mes côtés depuis maintenant 2 ans, merci à vous tous qui passer sur mes réseaux, cette aventure continue et c'est GRÂCE A VOUS.

N'oubliez pas ma page Facebook qui reprend aussi tous les tests présents ici 👇 :

https://www.facebook.com/alban.banal.12

Aimez, partagez, abonnez vous. 

#vapelife #vapénation #vapecommunity #vapeon #vapefam #vaper #vapetricks #vapeshop #vapelyfe #vapedaily #vapestagram #instavape #eliquide #vapestore #vapepics #vapoteur #vapeur #vapefamily #vapoter #vapers #vapelove #test #tests #quality #qualité #revue #review #reviews #media #flash","['#vapelife', '#vapénation', '#vapecommunity', '#vapeon', '#vapefam', '#vaper', '#vapetricks', '#vapeshop', '#vapelyfe', '#vapedaily', '#vapestagram', '#instavape', '#eliquide', '#vapestore', '#vapepics', '#vapoteur', '#vapeur', '#vapefamily', '#vapoter', '#vapers', '#vapelove', '#test', '#tests', '#quality', '#qualité', '#revue', '#review', '#reviews', '#media', '#flash']",[]
2023-02-28_10-19-08_UTC,2023-02-28 04:19:08,neirayorkcoffee,51,2,"Kemaren nyobain sama sama blueberry , sekarang nyobain coffe brown sugar bikinan  @neircoffee 🤤 , ternyata cocok banget perpaduan coffe brown sugar dengan aroma signature Blueberry Creme Brulee dari @aromaejuiceproject @flavourbeastproject , Bagi kalian yang belom nyobain liquidnya , langsung cus ke vapestore kesayangan kalian🥰
•
Blueberry Creme Brulee
Nic 3/6/9 60ML 
VG 60 PG 40 
@aromaejuiceproject 
@flavourbeastproject 
•
#saltnic #aromajuice  #blueberry #creme #brulee #vape #vapelife #vapenation #VapeFam #vapecommunity #vapelyfe #vapestagram #VapeDaily  #vapelove #vapeshop #vapepics #VapeSociety #vapefamily #vapehooligans #VapeFriends #vapefamous #vapeallday #vapegirls #vapejuice #VapeLifeStyle #VapeWorld  #goldenbuzzer #liquidenak #liquidmurah","['#saltnic', '#aromajuice', '#blueberry', '#creme', '#brulee', '#vape', '#vapelife', '#vapenation', '#VapeFam', '#vapecommunity', '#vapelyfe', '#vapestagram', '#VapeDaily', '#vapelove', '#vapeshop', '#vapepics', '#VapeSociety', '#vapefamily', '#vapehooligans', '#VapeFriends', '#vapefamous', '#vapeallday', '#vapegirls', '#vapejuice', '#VapeLifeStyle', '#VapeWorld', '#goldenbuzzer', '#liquidenak', '#liquidmurah']","['@neircoffee', '@aromaejuiceproject', '@flavourbeastproject', '@aromaejuiceproject', '@flavourbeastproject']"
2023-02-28_21-54-07_UTC,2023-02-28 15:54:07,,87,2,"•
Orca mod x MNCH
•
@jb_mfg 
@monarchy_mnch",[],"['@jb_mfg', '@monarchy_mnch']"
2023-03-01_03-12-15_UTC,2023-02-28 21:12:15,,12,0,"ODM
Size: 47*17.9*85.4mm
Weight: 56g
E-liquid Capacity: 11.5ml
Battery Capacity: 550mAh(Type-C)
Output Wattage: 11.1-15.2W
Coil Structure: SMC
Coil Resistance: 1.0Ω
Puffs: Approx.5500

#vape #vapeshop #vapestoreponorogo #vapetrenggalek #vapetricks #vapenation #vapeporn #vapefam #vapeon #vapeindonesia #vapestore #vapesolo #vapelove","['#vape', '#vapeshop', '#vapestoreponorogo', '#vapetrenggalek', '#vapetricks', '#vapenation', '#vapeporn', '#vapefam', '#vapeon', '#vapeindonesia', '#vapestore', '#vapesolo', '#vapelove']",[]
2023-03-01_06-30-05_UTC,2023-03-01 00:30:05,,52,2,"Stainless Steel 👽
📸 - @flavortronics
coilsbyscott.co.uk
.⁣
.⁣ 
.⁣
.⁣
.⁣
#coilsbyscott #vapeshop #ukvapers #vapefam #vapeon #coilbuilding #vapelove #vapedaily #vapecommunity #vapelife #vapegram #vapefamily #ejuice #vapelifestyle #instavape #vapers #vapestagram #vapenation #vapesociety #vaporizer #vapor #vapepics #vapeworld #vaper #vapeaddict #vapetricks #vaping #subohm #handmadecoils #coilbuilder","['#coilsbyscott', '#vapeshop', '#ukvapers', '#vapefam', '#vapeon', '#coilbuilding', '#vapelove', '#vapedaily', '#vapecommunity', '#vapelife', '#vapegram', '#vapefamily', '#ejuice', '#vapelifestyle', '#instavape', '#vapers', '#vapestagram', '#vapenation', '#vapesociety', '#vaporizer', '#vapor', '#vapepics', '#vapeworld', '#vaper', '#vapeaddict', '#vapetricks', '#vaping', '#subohm', '#handmadecoils', '#coilbuilder']",['@flavortronics']
2023-03-01_07-59-06_UTC,2023-03-01 01:59:06,,198,365,"HAPPY WOMEN'S DAY

🔥🔥🔥5000 POINTS
🍀🍀🍀2 LUCKY PERSON
Ends on ⏳ Mar.14th, 2023⏳

Rules to enter:
✅ 1. Follow @sourcemore and @sourcemoreofficial ❤️❤️❤️
✅ 2. Like and share this post ❤️❤️❤️
✅ 3. Leave a comment and tag 3+ vapers 👯‍♀️👯‍♀️👯‍♀️

⚠Warning: The device is used with e-liquid which contains addictive chemical nicotine. For Adult use only.

#sourcemore #sourcemoreofficial #womendaygiveaway #holidayactivity
#vape #instavape #vapecommunity #vaping #vapegiveaway #vapelove","['#sourcemore', '#sourcemoreofficial', '#womendaygiveaway', '#holidayactivity', '#vape', '#instavape', '#vapecommunity', '#vaping', '#vapegiveaway', '#vapelove']","['@sourcemore', '@sourcemoreofficial']"
