Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2021-04-20_10-48-44_UTC,2021-04-20 05:48:44,,1138,14,"Nama nya juga mau pamer ngetrik🤣
.
PERINGATAN HANYA UNTUK 21+
#geekvape #geekvapetech #geekknowsbetter #geekvapeindonesia #vapememe #vapeindo","['#geekvape', '#geekvapetech', '#geekknowsbetter', '#geekvapeindonesia', '#vapememe', '#vapeindo']",[]
2021-05-28_18-34-55_UTC,2021-05-28 13:34:55,Happy Hale,5034,10,"Do you know this feeling? 😂😂😂

😝

Almost forget:

Check out our website to see amazing products! 🔞18+ only!🔞
www.happy-smoke.ch
•
•
•
•
•
•
•
#whatimean #vaping #smoke #vaper #tricks #switzerland #vape #cigar #vapefam #vapelife #vapers #instavape #zurich #vapenation #vapelove #vapedaily #suisse #vapecommunity #swiss #vapelyfe #happypuff #happysmoke #happysmoke.official #vapememe","['#whatimean', '#vaping', '#smoke', '#vaper', '#tricks', '#switzerland', '#vape', '#cigar', '#vapefam', '#vapelife', '#vapers', '#instavape', '#zurich', '#vapenation', '#vapelove', '#vapedaily', '#suisse', '#vapecommunity', '#swiss', '#vapelyfe', '#happypuff', '#happysmoke', '#happysmoke', '#vapememe']",[]
2021-06-18_06-00-53_UTC,2021-06-18 01:00:53,,2089,49,"Loh... Hah...😦😦😦
Coba tolong teman-teman jelasin ke mimin ini gimana proses nya😦
📸: @nadyaluqyana 
.
PERINGATAN HANYA UNTUK 21+
#geekvape #geekvapetech #geekvapeindonesia #geekknowsbetter #aegis #aegislegend #aegislegend2 #geekvapeL200 #waterproof #shockproof #vapeindo #vapememe #zachking #instamagic","['#geekvape', '#geekvapetech', '#geekvapeindonesia', '#geekknowsbetter', '#aegis', '#aegislegend', '#aegislegend2', '#geekvapeL200', '#waterproof', '#shockproof', '#vapeindo', '#vapememe', '#zachking', '#instamagic']",['@nadyaluqyana']
2021-07-11_07-46-53_UTC,2021-07-11 02:46:53,,2006,40,"YANG SERING LUPA BAWA LIQUID (ato sengaja ga bawa🤔) KOMEN DIBAWAH!
📸: @nadyaluqyana 
.
PERINGATAN HANYA UNTUK 21+
#geekvape #geekvapetech #geekvapeindonesia #geekknowsbetter #vapememes #vapememe #vapelyfe #vapecommunity #vapemeet #vapeindo #dagelan #ngakakkocak","['#geekvape', '#geekvapetech', '#geekvapeindonesia', '#geekknowsbetter', '#vapememes', '#vapememe', '#vapelyfe', '#vapecommunity', '#vapemeet', '#vapeindo', '#dagelan', '#ngakakkocak']",['@nadyaluqyana']
2021-08-15_22-10-43_UTC,2021-08-15 17:10:43,Happy Hale,6450,22,"We would taste SICK🔥 #happysmoke  would be @fivepawns iced bubblegum! 😂 HEYYY…

FIVE PAWNS PLEASEEE DO THIS FLAVOR 😂😂 

How about you? Join us in this game and comment the flavor you would be! 😝

Almost forgot:

Check out our website to see amazing products! 🔞18+ only!🔞
www.happy-smoke.ch
•
•
•
•
•
•
•
#whatimean #vaping #smoke #vaper #tricks #switzerland #vape #cigar #vapefam #vapelife #vapers #instavape #zurich #vapenation #vapelove #vapedaily #suisse #vapecommunity #swiss #vapelyfe #happypuff #happysmoke #happysmoke.official #vapememe #eliquid","['#happysmoke', '#whatimean', '#vaping', '#smoke', '#vaper', '#tricks', '#switzerland', '#vape', '#cigar', '#vapefam', '#vapelife', '#vapers', '#instavape', '#zurich', '#vapenation', '#vapelove', '#vapedaily', '#suisse', '#vapecommunity', '#swiss', '#vapelyfe', '#happypuff', '#happysmoke', '#happysmoke', '#vapememe', '#eliquid']",['@fivepawns']
2022-07-03_15-38-36_UTC,2022-07-03 10:38:36,,5664,42,Happy Sunday everyone,[],[]
2022-08-05_20-26-16_UTC,2022-08-05 15:26:16,,464,24,855,[],[]
2022-09-14_01-24-49_UTC,2022-09-13 20:24:49,,11,3,"🚨NEW🚨
Check out the all new Lost Mary by Elfbar! Get some today!",[],[]
2022-09-15_04-26-56_UTC,2022-09-14 23:26:56,,12,1,"Caramelized Apple by The Pancake House is like eating a warm fluffy stack of pancakes topped with caramelized apples. Get it today at any Vape Street location!

- -
- - - - - - - - - - - - - - - - - - - - - - -
VSLV 
SUNDAY-THURSDAY: 9:30 AM-11:30PM
FRIDAY & SATURDAY: 9:30 AM-12:30AM

VSLV #2
SUNDAY-THURSDAY: 9AM-11PM 
FRIDAY & SATURDAY: 9AM-MIDNIGHT

VS Henderson
MONDAY-SUNDAY: 9AM-11PM

VS North Las Vegas
MONDAY-SUNDAY 10am-9pm

Online orders 👇
WWW.VAPE-STREET.COM
- - - - - - - - - - - - - - - - - - - - - - - - - - -",['#2'],[]
2022-09-15_04-27-40_UTC,2022-09-14 23:27:40,,3,1,Caramelized Apple by The Pancake House is like eating a warm fluffy stack of pancakes topped with caramelized apples. Get a bottle today!,[],[]
