Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-08-23_00-00-27_UTC,2019-08-22 19:00:27,"Santiago, Chile",582,70,"🔥 Expectativa vs Realidad 🤣
 @don_xongo 🤘🏻❤️
Vapeando @thefinesteliquid 🤤
En la mejor tienda @trov_store 🔥🤘🏻
📸 @negro.clouds
#chilevapea #santiago #laserena #vapeporn #vapetricks #vapelife #vapefam #vapemex #trickstersmx #dope #photography #style #broadsidemods #snow #coilbuilder #coilart #coilporn #confections #mechmod #santiago #laserena #vaper #vapers #instachile #owlvapeteam #owlvape #viral #vapememe","['#chilevapea', '#santiago', '#laserena', '#vapeporn', '#vapetricks', '#vapelife', '#vapefam', '#vapemex', '#trickstersmx', '#dope', '#photography', '#style', '#broadsidemods', '#snow', '#coilbuilder', '#coilart', '#coilporn', '#confections', '#mechmod', '#santiago', '#laserena', '#vaper', '#vapers', '#instachile', '#owlvapeteam', '#owlvape', '#viral', '#vapememe']","['@don_xongo', '@thefinesteliquid', '@trov_store', '@negro']"
2019-08-23_20-01-12_UTC,2019-08-23 15:01:12,,1071,21,Strawberry Dessert @haleandxale,[],['@haleandxale']
2019-08-29_21-44-55_UTC,2019-08-29 16:44:55,,664,16,Snapshot Frezzer Fruits sabor Green Apple 🍏💋 Uno de mis favoritos! @haleandxale,[],['@haleandxale']
2019-10-07_23-02-42_UTC,2019-10-07 18:02:42,"Santiago, Chile",694,34,Cuando ya no salen los trucos y viene @don_xongo a dar clases 👀🤣❤️ en @trov_store 🤘🏻🔥 #chilevapea #chile #vapeporn #vapetricks #vapelife #vapefam #vapemex #trickstersmx #dope #photography #style #broadsidemods #snow #coilbuilder #coilart #coilporn #confections #mechmod #santiago #laserena #vaper #vapers #instachile #owlvapeteam #owlvape,"['#chilevapea', '#chile', '#vapeporn', '#vapetricks', '#vapelife', '#vapefam', '#vapemex', '#trickstersmx', '#dope', '#photography', '#style', '#broadsidemods', '#snow', '#coilbuilder', '#coilart', '#coilporn', '#confections', '#mechmod', '#santiago', '#laserena', '#vaper', '#vapers', '#instachile', '#owlvapeteam', '#owlvape']","['@don_xongo', '@trov_store']"
2019-11-12_00-24-18_UTC,2019-11-11 18:24:18,"Santiago, Chile",1052,24,Un clip al aire libre en la casa del boss @owlvape.cl ❤️🙌🏻 #chilevapea #chilegram #chile #vapeporn #vapetricks #vapefam #vapemex #mechmod #mechlife #broadsidemods #vapers #vaper #pod #clouds #outdoor,"['#chilevapea', '#chilegram', '#chile', '#vapeporn', '#vapetricks', '#vapefam', '#vapemex', '#mechmod', '#mechlife', '#broadsidemods', '#vapers', '#vaper', '#pod', '#clouds', '#outdoor']",['@owlvape']
2020-01-29_21-12-16_UTC,2020-01-29 15:12:16,"Coyoacán, Distrito Federal, Mexico",6596,29,"Tengo tanto frío que me sale humo men!!! Photo by @_sesiom_ 
#instagramers #vapenation #vapemex #boy","['#instagramers', '#vapenation', '#vapemex', '#boy']",['@_sesiom_']
2020-03-07_00-00-33_UTC,2020-03-06 18:00:33,México Lindo,5798,21,"❄️El frio es mi amigo, comenta cual es tu clima favorito. ❄️ Photo by @gibscam 
#instagramers #vapemex #boys","['#instagramers', '#vapemex', '#boys']",['@gibscam']
2023-02-25_00-28-04_UTC,2023-02-24 18:28:04,,6,0,"¿Qué tan rudo eres?

#Humor #VapeHumor #Vapelife #VapeMex #MexVape #ChubbyGang","['#Humor', '#VapeHumor', '#Vapelife', '#VapeMex', '#MexVape', '#ChubbyGang']",[]
2023-02-27_01-10-05_UTC,2023-02-26 19:10:05,,2,0,#DomingodeBajon #VapeHumor #Humor #MexVape #VapeMex #Chubbygang,"['#DomingodeBajon', '#VapeHumor', '#Humor', '#MexVape', '#VapeMex', '#Chubbygang']",[]
2023-02-28_18-30-52_UTC,2023-02-28 12:30:52,,5,0,"Excelente tarde para Vapear con estilo 
En @chidotuvape te con sentimos con los mejores 
Sabores  disponibles en zacatecas 
🌫️🌫️🌫️🌫️🌫️🌫️🌫️🌫️🕶️🕶️🚭💨🌬️🌬️
En un horario de lunes a viernes de 12 a 8 pm y sábados de 12 a 5 pm
Y participa en nuestra rifa de unos excelentes audífonos Bluetooth graffiti en compras mayores a $150 obtendrás un número 
#nofumesmejorvapea #chidotuvapesi #vapefam #vapeasabroso #vapeaconestilo #vapeaalogrande #vapeamx #vapemex #masvapers #yovapeo #zacatecasmexico #elvapeosalvavidas #cambiatealvapor #VapearNoEsFumar #vapearmesalvó #NoProhibanElVapeo #ProhibidoProhibir #ProhibirMata #YoSiCreoEnElVapeo","['#nofumesmejorvapea', '#chidotuvapesi', '#vapefam', '#vapeasabroso', '#vapeaconestilo', '#vapeaalogrande', '#vapeamx', '#vapemex', '#masvapers', '#yovapeo', '#zacatecasmexico', '#elvapeosalvavidas', '#cambiatealvapor', '#VapearNoEsFumar', '#vapearmesalvó', '#NoProhibanElVapeo', '#ProhibidoProhibir', '#ProhibirMata', '#YoSiCreoEnElVapeo']",['@chidotuvape']
