Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-04-28_03-11-52_UTC,2022-04-27 22:11:52,Cámara de Diputados - H. Congreso de la Unión,543,5,"A poco tiempo de terminar el periodo ordinario de sesiones, hoy fue un día de mucho trabajo en la Cámara. Quiero reportarles mis actividades del día. 

Presenté una reserva contra el dictamen que prohibe la importación y exportación de #Vapeadores. Lo importante es #Regular.

Asistí a la Comisión del Trabajo y Previsión Social como promotor de la iniciativa #VacacionesDignasYa, y aunque en el dictamen se votó en contra, logramos un consenso para que la iniciativa continúe y entre todas y todos nutramos la propuesta.

En la Comisión de Presupuesto tuvimos sesión ordinaria, votamos dictámenes y como siempre, defendimos el mejor uso de los recursos públicos.

Que es lo que deberíamos hacer todos los diputados, ¿no?

También presenté en comisiones una propuesta que fue un compromiso de campaña: Materias para el Siglo XXI. 

Con esta propuesta buscamos que nuestras niñas y niños tengan una preparación de vanguardia y útil para los retos que nos pone la modernidad.

Y como les conté hace un rato, aunque lamentablemente Morena avaló la prohibición del #Vapeo, pude conectar con miembros de otras bancadas para lograr abrir el diálogo hacia una regulación.

La búsqueda de consensos siempre debe ir a la cabeza de nuestras prioridades.

Como ven fue un día muy productivo. Que inició con la Comisión de Defensa a las 9:00 A.M.

Me voy a descansar satisfecho y con nuevas ideas para lograr los objetivos que he trazado junto a ustedes. 

¡Mañana seguiremos dándole!","['#Vapeadores', '#Regular', '#VacacionesDignasYa', '#Vapeo']",[]
2022-06-27_21-43-14_UTC,2022-06-27 16:43:14,,825,21,#gunar #tabaco #vapeo #sean #dañoportabaquismo #nicotina #enfermedadrespiratoria #epoc #cancer #prevención,"['#gunar', '#tabaco', '#vapeo', '#sean', '#dañoportabaquismo', '#nicotina', '#enfermedadrespiratoria', '#epoc', '#cancer', '#prevención']",[]
2022-10-31_16-57-57_UTC,2022-10-31 11:57:57,,9932,226,"#LaVidaLD | Los adultos, incluso los que son jóvenes, que utilizan regularmente dispositivos electrónicos de suministro de nicotina (e-cigarrillos) presentan ""cambios preocupantes"" en la función del corazón y los vasos sanguíneos, que son similares a los que registran aquellos fumadores tradicionales.

Así lo señalan tres estudios estadounidenses que se han dado a conocer este lunes y que se presentarán en las sesiones científicas de la Asociación Americana del Corazón en Chicago, del 5 al 7 de noviembre.

(Amplíe en el link de la BIO)

#ListínDiario #Cigarrillo #Fumar #Vapeo","['#LaVidaLD', '#ListínDiario', '#Cigarrillo', '#Fumar', '#Vapeo']",[]
2022-11-29_07-43-35_UTC,2022-11-29 01:43:35,"Madrid, Spain",-1,5,"¿Vapeas? 👄😋
Recientemente ha contactado conmigo la marca Novaestanco. Un nuevo concepto de estanco para una nueva era social, en la que cada día queremos probar cosas nuevas y experimentar nuevas sensaciones.🔝🤭
Te presento el vaper desechable 𝗕𝗿𝗼𝗼𝗸𝗹𝘆𝗻 𝗕𝗮𝗹𝗺𝘆 como una de esas nuevas experiencias. Un producto elitista y exclusivo que ha impactado poderosamente en nuestro tiempo de ocio. Seas o no seas fumador/a, te ofrece una deliciosa y relajante experiencia, con gran variedad de aromas y e intensos sabores apropiados para cada momento del día.
Estoy seguro que llevas meses viendo en los locales de moda a personas disfrutándolos. Se puede vapear en interiores, lo cual es perfecto para aquellos que fumáis, o para no fumadores que quieren disfrutar la sensación que ofrece. Los pods de Brooklyn BalMY los puedes encontrar con y sin nicotina, y están muy recomendados para sustituir el cigarrillo.
Es un momento ideal para probar esta experiencia. ♻️😇
En mi primera destacada te dejo los enlaces y mi código para esta oferta:
¡¡𝗧𝗲 𝗼𝗳𝗿𝗲𝘇𝗰𝗼 𝘂𝗻 𝟯𝘅𝟮 𝗲𝗻 𝗣𝗼𝗱𝘀 𝗱𝗲𝘀𝗲𝗰𝗵𝗮𝗯𝗹𝗲𝘀 𝗱𝗲 𝗕𝗿𝗼𝗼𝗸𝗹𝘆𝗻𝗕𝗮𝗹𝗠𝗬!!. Además los gastos de envío son siempre gratuitos. ✅
Y recuerda !!! Una vez se acabe tu dispositivo debes tirarlo en un punto limpio.
✨ Código: Albertolain ✨
#vapeo #vaperdesechable #podsdesechables #vapearnoesfumar #vapeo #lifestyle #brooklynbalmy #vapear #vapeospain #vapeogetafe #vapeosinnitcotina #podsdesechable #albertolain","['#vapeo', '#vaperdesechable', '#podsdesechables', '#vapearnoesfumar', '#vapeo', '#lifestyle', '#brooklynbalmy', '#vapear', '#vapeospain', '#vapeogetafe', '#vapeosinnitcotina', '#podsdesechable', '#albertolain']",[]
2023-02-05_23-13-40_UTC,2023-02-05 17:13:40,Venezuela,296,14,"📢 #InstagramLive ¡Jueves 9 de febrero! 

Junto a la doctora Jenny Planchet vamos a conocer todo lo relacionado al uso del vaper, una moda oculta que afecta a escolares y adolescentes.

🩺 En este encuentro entre @tucardiopediatra y @draplanchet trataremos el tema del cigarrillo electrónico desde el punto de vista profesional y médico para aclarar todas las dudas.

¡Conéctate al En Vivo! A partir de las 8:00 p.m 

¿Qué te gustaría saber acerca del vapeo? Déjanos tu comentario y estaremos respondiendo todas las interrogantes en el Live 💬👇🏻

#Vaper #Vapeo #Salud #Medicina #Pediatras #Cardiología #MedicosVenezonalos #Venezuela","['#InstagramLive', '#Vaper', '#Vapeo', '#Salud', '#Medicina', '#Pediatras', '#Cardiología', '#MedicosVenezonalos', '#Venezuela']","['@tucardiopediatra', '@draplanchet']"
2023-02-09_06-23-52_UTC,2023-02-09 00:23:52,"San Isidro District, Lima",10849,175,"Anfitriona @vaporclub.pe 🖤💨

Inauguración nueva sede en San Isidro! Obtén los mejores precios aquí y en todos sus locales! 🫵🏻

#blackoutfit #vapear #vapeo #vaper #anfitriona #peruana #eventos2023
#contratos #activaciones #animadora 
#contenidodecalidad #marketing","['#blackoutfit', '#vapear', '#vapeo', '#vaper', '#anfitriona', '#peruana', '#eventos2023', '#contratos', '#activaciones', '#animadora', '#contenidodecalidad', '#marketing']",['@vaporclub']
2023-02-16_09-39-30_UTC,2023-02-16 03:39:30,,46,2,"MRY exclusive mold, #Minions;
Capacity:16ml;
Battery Capacity:600mah;
Material:PCTG;
Mesh:1.2Ω;
Salt Nicotine:0%~5%;
7000puffs.

factory direct sales, primary sources, looking for #ecig agents, wholesalers, #OEM available.
.
.
.
.
.
#vapelife #vapeofficial #vapegirl #ukvapers #mryvape #mryvapeofficial #Disposablevape #arabvape #vaporwave #vapelifestyle #vapor #vapefamilyuk #vapeo #vapefamily #Vaper","['#Minions', '#ecig', '#OEM', '#vapelife', '#vapeofficial', '#vapegirl', '#ukvapers', '#mryvape', '#mryvapeofficial', '#Disposablevape', '#arabvape', '#vaporwave', '#vapelifestyle', '#vapor', '#vapefamilyuk', '#vapeo', '#vapefamily', '#Vaper']",[]
2023-02-16_10-04-16_UTC,2023-02-16 04:04:16,,5,0,"🍪 Cookie Caramel ⭐

Es un líquido excepcional con el sabor de una suave galleta con trocitos de caramelo que se derretirán en tu boca. 😋😋 

#vapper #vapeo #igvape #liquidodesabores #galletasconcaramelo #sinnicotina #vapeoriginal","['#vapper', '#vapeo', '#igvape', '#liquidodesabores', '#galletasconcaramelo', '#sinnicotina', '#vapeoriginal']",[]
2023-02-16_10-59-11_UTC,2023-02-16 04:59:11,,23,0,"¡Buenas noticias para todos nuestros seguidores! 😮
Después de algunos percances, nuestra tienda online sigue operativa y lista para ofreceros la mejor experiencia de compra. Estamos comprometidos con ofrecer productos de alta calidad y un servicio al cliente excepcional, y estamos emocionados de continuar haciéndolo a través de nuestra tienda online. ¡Así que no esperes más y visita nuestra tienda para descubrir nuestra amplia selección de productos y sabores exclusivos! 
#tiendaonline #compraenlinea #ecommerce #productosonline #vapeo #vaporizador #saboresunicos #alta calidad #expertosenvapeo #experienciaunica #novedades #myvaperbox","['#tiendaonline', '#compraenlinea', '#ecommerce', '#productosonline', '#vapeo', '#vaporizador', '#saboresunicos', '#alta', '#expertosenvapeo', '#experienciaunica', '#novedades', '#myvaperbox']",[]
2023-02-16_11-48-11_UTC,2023-02-16 05:48:11,,7,0,"DISPONIBLE

Kit Pulse AIO #vandyvape 
- 2ml de capacidad 
- Batería extraible 1860/20700/21700
- Potencia de salida 80W
- Compatible con Boro
- Cartucho RBA y otro de resistencia comercial

#mrvaproshop #cigarrilloselectronicos #vaper #vapeo #letsvape #vapeon #vapeovalencia #vapeoespaña #paterna #valencia","['#vandyvape', '#mrvaproshop', '#cigarrilloselectronicos', '#vaper', '#vapeo', '#letsvape', '#vapeon', '#vapeovalencia', '#vapeoespaña', '#paterna', '#valencia']",[]
2023-02-16_12-00-05_UTC,2023-02-16 06:00:05,,-1,0,"Vop. Ligero en tu mano, contigo en cada momento.♥️

#VOP #NoSomosHumo
 #LifeStyle #Vapear #CigarrillosElectronicos #Vapeo #VaperLife #VapersWorldwide
 #VapearNoEsFumar #CigarrillosElectronicosDesechables #VaperCommunity #VapeoEspaña #Vapeadores","['#VOP', '#NoSomosHumo', '#LifeStyle', '#Vapear', '#CigarrillosElectronicos', '#Vapeo', '#VaperLife', '#VapersWorldwide', '#VapearNoEsFumar', '#CigarrillosElectronicosDesechables', '#VaperCommunity', '#VapeoEspaña', '#Vapeadores']",[]
2023-02-16_15-57-22_UTC,2023-02-16 09:57:22,,19,1,"A veces nos pasa 🥲
.
.
.
.
.

#vapeo #memevapeo #meme #humor #vapear #vapearcolombia #vapeocolombia","['#vapeo', '#memevapeo', '#meme', '#humor', '#vapear', '#vapearcolombia', '#vapeocolombia']",[]
2023-02-16_18-57-54_UTC,2023-02-16 12:57:54,,17,6,"Por primera vez en la historia  y sin que sirva de precedente....hoy no hay directo amig@s 💨💨 andamos casi todos con virus hemorroidal 🤣🤣 nos vemos el próximo jueves, si los culetes lo permiten 💪💪🤣🤣
#hemorroides #almorranas #vapeo #vapecharla #youtube","['#hemorroides', '#almorranas', '#vapeo', '#vapecharla', '#youtube']",['@s']
2023-02-16_21-44-11_UTC,2023-02-16 15:44:11,"Mexico City, Mexico",6,0,"Después de pasar el día en que todos derraman miel, vamos a tener nuestro Anti San Valentín y arreglar las cosas con Cupido.👼🏻💔🔫
•
•
•
#45minsgo #antisanvalentin #cupido #odiamosacupido #sanvalentin #amor  #cigarroelectronico #vapeo","['#45minsgo', '#antisanvalentin', '#cupido', '#odiamosacupido', '#sanvalentin', '#amor', '#cigarroelectronico', '#vapeo']",[]
2023-02-16_21-54-56_UTC,2023-02-16 15:54:56,,3,0,"El kit Vinci Q de Voopoo es un pod system que ofrece una experiencia de vapeo inmejorable y que destaca por su llamativo diseño y sus 6 colores atractivos y juveniles. Cuenta con una batería interna de 900mAh, ofrece 15W de potencia de salida y permite una inhalación automática o manual para adaptarse a las necesidades de cualquier usuario.
.
.
.
.
.
.
#vaper #nieblavape #humo #vapeo #nicotina #pod #vinviq #voopoo #santiago #viral","['#vaper', '#nieblavape', '#humo', '#vapeo', '#nicotina', '#pod', '#vinviq', '#voopoo', '#santiago', '#viral']",[]
2023-02-16_21-55-06_UTC,2023-02-16 15:55:06,,3,0,"El kit Vinci Q de Voopoo es un pod system que ofrece una experiencia de vapeo inmejorable y que destaca por su llamativo diseño y sus 6 colores atractivos y juveniles. Cuenta con una batería interna de 900mAh, ofrece 15W de potencia de salida y permite una inhalación automática o manual para adaptarse a las necesidades de cualquier usuario.
.
.
.
.
.
.
#vaper #nieblavape #humo #vapeo #nicotina #pod #vinviq #voopoo #santiago #viral","['#vaper', '#nieblavape', '#humo', '#vapeo', '#nicotina', '#pod', '#vinviq', '#voopoo', '#santiago', '#viral']",[]
