Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2019-11-05_03-30-59_UTC,2019-11-04 21:30:59,,799,13,Snapshot Frazzer Fruits 🍏 Green Apple @haleandxale,[],['@haleandxale']
2022-09-11_00-32-37_UTC,2022-09-10 19:32:37,"Mexico City, Mexico",-1,0,"#mexicocity🇲🇽 
#bmwmini #cdmx #classicmini #cooper #coopers  #jcw #johncooperworks #mexicocity #mexicocityfoodie #mexicocitywedding #mexicolors #mexicomagico #mextagram #mini #minicooper #minicoopers #minijcw #minilife #minilove #minioftheday #pasionxmexico #r56 #travelers #vapegram #vapeomexico #vivamexico #vive #vivemexico","['#mexicocity', '#bmwmini', '#cdmx', '#classicmini', '#cooper', '#coopers', '#jcw', '#johncooperworks', '#mexicocity', '#mexicocityfoodie', '#mexicocitywedding', '#mexicolors', '#mexicomagico', '#mextagram', '#mini', '#minicooper', '#minicoopers', '#minijcw', '#minilife', '#minilove', '#minioftheday', '#pasionxmexico', '#r56', '#travelers', '#vapegram', '#vapeomexico', '#vivamexico', '#vive', '#vivemexico']",[]
2022-10-31_14-40-50_UTC,2022-10-31 09:40:50,Chichén-Itzá,54,1,"Yesterday, we visited Chichén Itzá, one of the seven wonders of the world. The area filled up with other tourists very quickly, so we were lucky to get a few shots without people in it. 

⁣
.⁣
.⁣
.⁣
.⁣
.⁣
#7wondersoftheworld #chichenitza #discovermexico #mexico #shotoniphone13pro #mexicoenunafoto #mexicotrip #playasmexicanas #ruinasmayas #sevenwondersoftheworld #teamcanelo #tenares #tulumlife #tulumruins #tulumstyle #tulumvacation #unescoheritagesite #vapeomexico #visitmexico🇲🇽 #vivamexicocabrones #vivamexico🇲🇽 #worldchamp #yucatanmexico @yucatanturismo #yucatanturismo","['#7wondersoftheworld', '#chichenitza', '#discovermexico', '#mexico', '#shotoniphone13pro', '#mexicoenunafoto', '#mexicotrip', '#playasmexicanas', '#ruinasmayas', '#sevenwondersoftheworld', '#teamcanelo', '#tenares', '#tulumlife', '#tulumruins', '#tulumstyle', '#tulumvacation', '#unescoheritagesite', '#vapeomexico', '#visitmexico', '#vivamexicocabrones', '#vivamexico', '#worldchamp', '#yucatanmexico', '#yucatanturismo']",['@yucatanturismo']
2022-12-12_16-48-30_UTC,2022-12-12 10:48:30,,85,6,#twistedmesseswire #vapefriends #vapefamily #coilart #buildmode #cleanbuilds #instavape #worldwidevapers #vapers #coilporn #wireart #ramcezzcoils #vapetricks #coillegion #vapegirls #vapelyfe #photoproduct #tmn80 #buildjunkies #ukvapers #vapeshop  #buildjunkies #coilwars #vapefamous #vapeallday #vapeamx #vapeomexico #kendovapecotton,"['#twistedmesseswire', '#vapefriends', '#vapefamily', '#coilart', '#buildmode', '#cleanbuilds', '#instavape', '#worldwidevapers', '#vapers', '#coilporn', '#wireart', '#ramcezzcoils', '#vapetricks', '#coillegion', '#vapegirls', '#vapelyfe', '#photoproduct', '#tmn80', '#buildjunkies', '#ukvapers', '#vapeshop', '#buildjunkies', '#coilwars', '#vapefamous', '#vapeallday', '#vapeamx', '#vapeomexico', '#kendovapecotton']",[]
2022-12-25_22-16-42_UTC,2022-12-25 16:16:42,,78,5,Merry Xmas Fam!!!! 🎄,[],[]
2022-12-31_21-32-28_UTC,2022-12-31 15:32:28,Queretaro,12,0,"Gracias 🌟 por este 2022 lleno de vapeo y momentos increíbles… 2023 será nuestro año! 🤩 ¿Estás listo? 🔥

#newyear #2023 #vape #vapehard #vapemex #vapor #vapeomexico #alus","['#newyear', '#2023', '#vape', '#vapehard', '#vapemex', '#vapor', '#vapeomexico', '#alus']",[]
2023-01-01_00-30-44_UTC,2022-12-31 18:30:44,,17,1,"#vapemonterrey #vapeo #vapers #vapemty #vapersmonterrey #handcheckmx #vapingmx #vapemexico #vapeomx #vapeomexico #vapersmexico #vapeandomexico #vapersmty #theresistancesociety #vapear #vapeo #vapeadores 
#vapemex #vapefam #vapeon #vapelife #handcheckmx #handmade #cloudchasers #vapelove #vapepics #vapenation #vapermty #vapersmexico #vapersmty #vapemtymx","['#vapemonterrey', '#vapeo', '#vapers', '#vapemty', '#vapersmonterrey', '#handcheckmx', '#vapingmx', '#vapemexico', '#vapeomx', '#vapeomexico', '#vapersmexico', '#vapeandomexico', '#vapersmty', '#theresistancesociety', '#vapear', '#vapeo', '#vapeadores', '#vapemex', '#vapefam', '#vapeon', '#vapelife', '#handcheckmx', '#handmade', '#cloudchasers', '#vapelove', '#vapepics', '#vapenation', '#vapermty', '#vapersmexico', '#vapersmty', '#vapemtymx']",[]
2023-01-03_02-48-02_UTC,2023-01-02 20:48:02,"León, Guanajuato",44,2,"El nuevo miembro de la Serie Drag de Voopoo, el Drag E60 POD-MOD, esta diseñado en una sola pieza aerodinámica con un estilo minimalista, en cuero y metal y flujo de aire oculto.
.
Disponible en:ecigmex.com",[],[]
2023-01-03_20-55-45_UTC,2023-01-03 14:55:45,"Costa Rica, San José",20,1,#elfbar #elfbarlatinoamerica #elfbarpanama #vapepanama #vapea #vapeo #vapeamx #vapeobogota #vapeocolombiano #vapeolibreenargentina #vapeomexico,"['#elfbar', '#elfbarlatinoamerica', '#elfbarpanama', '#vapepanama', '#vapea', '#vapeo', '#vapeamx', '#vapeobogota', '#vapeocolombiano', '#vapeolibreenargentina', '#vapeomexico']",[]
2023-01-07_00-20-16_UTC,2023-01-06 18:20:16,,2,0,"#vapemonterrey #vapeo #vapers #vapemty #vapersmonterrey #handcheckmx #vapingmx #vapemexico #vapeomx #vapeomexico #vapersmexico #vapeandomexico #vapersmty #theresistancesociety #vapear #vapeo #vapeadores 
#vapemex #vapefam #vapeon #vapelife #handcheckmx #handmade #cloudchasers #vapelove #vapepics #vapenation #vapermty #vapersmexico #vapersmty #vapemtymx","['#vapemonterrey', '#vapeo', '#vapers', '#vapemty', '#vapersmonterrey', '#handcheckmx', '#vapingmx', '#vapemexico', '#vapeomx', '#vapeomexico', '#vapersmexico', '#vapeandomexico', '#vapersmty', '#theresistancesociety', '#vapear', '#vapeo', '#vapeadores', '#vapemex', '#vapefam', '#vapeon', '#vapelife', '#handcheckmx', '#handmade', '#cloudchasers', '#vapelove', '#vapepics', '#vapenation', '#vapermty', '#vapersmexico', '#vapersmty', '#vapemtymx']",[]
