Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2023-02-24_10-07-32_UTC,2023-02-24 04:07:32,,4,0,"#vape
 #vapelife 
#vapeporn
 #vapenation 
#vapefam 
#vapeon 
#vapecommunity 
#vapelyfe 
#vapestagram 
#instavape 
#vapedaily 
#vapers 
#vaper 
#vapelove 
#vapehooligans
 #vapesociety 
#vapefamily
 #vapes 
#vapefamous
 #vapeallday
 #vapegram 
#vapeworld 
#vapelifestyle 
#vapehard
 #vapeaddict
 #worldwidevapers
 #southafricanvapers 
#nevoks
#Disposablevapes","['#vape', '#vapelife', '#vapeporn', '#vapenation', '#vapefam', '#vapeon', '#vapecommunity', '#vapelyfe', '#vapestagram', '#instavape', '#vapedaily', '#vapers', '#vaper', '#vapelove', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapehard', '#vapeaddict', '#worldwidevapers', '#southafricanvapers', '#nevoks', '#Disposablevapes']",[]
2023-02-25_07-42-07_UTC,2023-02-25 01:42:07,,5,0,"SMOK INFINIX KIT BEST POD SYSTEM WITH STYLISH DESIGN

Go save big with our first ever sale on the RVP! Enjoy a flat 15% off on all RVP products (excluding accessories and reusable stock inventory).

Don't miss out on this amazing opportunity to snag some incredible deals! 

From February 24th to March 2nd, 2023

Visit www.rvp.com.pk OR contact 0311 7398749

#vapestagram #vapepakistan #uwell #podkit #caliburn #vapelife #vapelove #vapedaily #vapesafe #Vapefame
#vapehooligans #vapesociety #vapefamily #vapefamous #vapeclouds #vapemods #vapepod #vapegear #vapecartridge #vapecity #rvp","['#vapestagram', '#vapepakistan', '#uwell', '#podkit', '#caliburn', '#vapelife', '#vapelove', '#vapedaily', '#vapesafe', '#Vapefame', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefamous', '#vapeclouds', '#vapemods', '#vapepod', '#vapegear', '#vapecartridge', '#vapecity', '#rvp']",[]
2023-02-28_13-54-37_UTC,2023-02-28 07:54:37,,160,21,"Lucu tapi masih tetep keren yah fams!

DeadRabbit Series PINKNESS & SAKURA PINK, mix and match sama mod tetep matching, cobain deh kombinasi Sakura Pink+Mod warna putih, atau PINKNESS+Mod hitam…

asli deh keren banget !

Stay Tuned @hellvapeindonesiaofficial @hellbay.id",[],"['@hellvapeindonesiaofficial', '@hellbay']"
2023-03-01_05-27-16_UTC,2023-02-28 23:27:16,,5,0,"A La Carte

15ml | 4mg

Flavour : Cream Poundcake

By @juicenationcompany 

Rp 40.000

Tersedia di :

@kendalpayakvapor Jalan Raya Adi Mulya No. 10 ( Pertigaan Jalan Raya kendalpayak, Samping RS Ben Mari ) 📲 +62 851-7216-6987
https://goo.gl/maps/mXNqsLkG1CSsjR5a8

@univvapor Jl Laksa Adi Sucipto Mulya No.397c, Pandanwangi. (Ruko warna hijau samping kiri Gg. Taruna 1) 📲 +62 851-7216-6987
https://goo.gl/maps/HVNmJb2wZAuSPNcq6

#vapemalang #vapedistribution #vapeindo #vape #vaping #vapelife #vapeon #vapelyfe #vapenation #vapestagram #vape
#vapormalang #vapor #vapedaily #vapesociety #quitsmoking
#instagood #liquid #rda #vapeindonesia
#vapeshop #vapecommunity #vapers
#vapeindo #malangvapor #vapormalang #jualvapor #instavape #photooftheday #vapeporn #vapefam","['#vapemalang', '#vapedistribution', '#vapeindo', '#vape', '#vaping', '#vapelife', '#vapeon', '#vapelyfe', '#vapenation', '#vapestagram', '#vape', '#vapormalang', '#vapor', '#vapedaily', '#vapesociety', '#quitsmoking', '#instagood', '#liquid', '#rda', '#vapeindonesia', '#vapeshop', '#vapecommunity', '#vapers', '#vapeindo', '#malangvapor', '#vapormalang', '#jualvapor', '#instavape', '#photooftheday', '#vapeporn', '#vapefam']","['@juicenationcompany', '@kendalpayakvapor', '@univvapor']"
2023-03-01_05-27-18_UTC,2023-02-28 23:27:18,,3,0,"A La Carte

15ml | 4mg

Flavour : Cream Raisin

By @juicenationcompany 

Rp 40.000

Tersedia di :

@kendalpayakvapor Jalan Raya Adi Mulya No. 10 ( Pertigaan Jalan Raya kendalpayak, Samping RS Ben Mari ) 📲 +62 851-7216-6987
https://goo.gl/maps/mXNqsLkG1CSsjR5a8

@univvapor Jl Laksa Adi Sucipto Mulya No.397c, Pandanwangi. (Ruko warna hijau samping kiri Gg. Taruna 1) 📲 +62 851-7216-6987
https://goo.gl/maps/HVNmJb2wZAuSPNcq6

#vapemalang #vapedistribution #vapeindo #vape #vaping #vapelife #vapeon #vapelyfe #vapenation #vapestagram #vape
#vapormalang #vapor #vapedaily #vapesociety #quitsmoking
#instagood #liquid #rda #vapeindonesia
#vapeshop #vapecommunity #vapers
#vapeindo #malangvapor #vapormalang #jualvapor #instavape #photooftheday #vapeporn #vapefam","['#vapemalang', '#vapedistribution', '#vapeindo', '#vape', '#vaping', '#vapelife', '#vapeon', '#vapelyfe', '#vapenation', '#vapestagram', '#vape', '#vapormalang', '#vapor', '#vapedaily', '#vapesociety', '#quitsmoking', '#instagood', '#liquid', '#rda', '#vapeindonesia', '#vapeshop', '#vapecommunity', '#vapers', '#vapeindo', '#malangvapor', '#vapormalang', '#jualvapor', '#instavape', '#photooftheday', '#vapeporn', '#vapefam']","['@juicenationcompany', '@kendalpayakvapor', '@univvapor']"
2023-03-01_05-27-20_UTC,2023-02-28 23:27:20,,5,1,"A La Carte

15ml | 4mg

Flavour : Cream Poundcake

By @juicenationcompany 

Rp 40.000

Tersedia di :

@kendalpayakvapor Jalan Raya Adi Mulya No. 10 ( Pertigaan Jalan Raya kendalpayak, Samping RS Ben Mari ) 📲 +62 851-7216-6987
https://goo.gl/maps/mXNqsLkG1CSsjR5a8

@univvapor Jl Laksa Adi Sucipto Mulya No.397c, Pandanwangi. (Ruko warna hijau samping kiri Gg. Taruna 1) 📲 +62 851-7216-6987
https://goo.gl/maps/HVNmJb2wZAuSPNcq6

#vapemalang #vapedistribution #vapeindo #vape #vaping #vapelife #vapeon #vapelyfe #vapenation #vapestagram #vape
#vapormalang #vapor #vapedaily #vapesociety #quitsmoking
#instagood #liquid #rda #vapeindonesia
#vapeshop #vapecommunity #vapers
#vapeindo #malangvapor #vapormalang #jualvapor #instavape #photooftheday #vapeporn #vapefam","['#vapemalang', '#vapedistribution', '#vapeindo', '#vape', '#vaping', '#vapelife', '#vapeon', '#vapelyfe', '#vapenation', '#vapestagram', '#vape', '#vapormalang', '#vapor', '#vapedaily', '#vapesociety', '#quitsmoking', '#instagood', '#liquid', '#rda', '#vapeindonesia', '#vapeshop', '#vapecommunity', '#vapers', '#vapeindo', '#malangvapor', '#vapormalang', '#jualvapor', '#instavape', '#photooftheday', '#vapeporn', '#vapefam']","['@juicenationcompany', '@kendalpayakvapor', '@univvapor']"
2023-03-01_05-27-22_UTC,2023-02-28 23:27:22,,2,0,"A La Carte

15ml | 4mg

Flavour : Cream Raisin

By @juicenationcompany 

Rp 40.000

Tersedia di :

@kendalpayakvapor Jalan Raya Adi Mulya No. 10 ( Pertigaan Jalan Raya kendalpayak, Samping RS Ben Mari ) 📲 +62 851-7216-6987
https://goo.gl/maps/mXNqsLkG1CSsjR5a8

@univvapor Jl Laksa Adi Sucipto Mulya No.397c, Pandanwangi. (Ruko warna hijau samping kiri Gg. Taruna 1) 📲 +62 851-7216-6987
https://goo.gl/maps/HVNmJb2wZAuSPNcq6

#vapemalang #vapedistribution #vapeindo #vape #vaping #vapelife #vapeon #vapelyfe #vapenation #vapestagram #vape
#vapormalang #vapor #vapedaily #vapesociety #quitsmoking
#instagood #liquid #rda #vapeindonesia
#vapeshop #vapecommunity #vapers
#vapeindo #malangvapor #vapormalang #jualvapor #instavape #photooftheday #vapeporn #vapefam","['#vapemalang', '#vapedistribution', '#vapeindo', '#vape', '#vaping', '#vapelife', '#vapeon', '#vapelyfe', '#vapenation', '#vapestagram', '#vape', '#vapormalang', '#vapor', '#vapedaily', '#vapesociety', '#quitsmoking', '#instagood', '#liquid', '#rda', '#vapeindonesia', '#vapeshop', '#vapecommunity', '#vapers', '#vapeindo', '#malangvapor', '#vapormalang', '#jualvapor', '#instavape', '#photooftheday', '#vapeporn', '#vapefam']","['@juicenationcompany', '@kendalpayakvapor', '@univvapor']"
2023-03-01_06-26-38_UTC,2023-03-01 00:26:38,DIY Daerah Istmewa Yogyakarta,18,1,"""Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.""

#reeyukin #brewry #vape #vapelife #vapeporn #vapecommunity #vapenation #vapers #vapelikeaboss #vapestagram #vapefeed #indovape #vapeindonesia #vapeindo #instavape #vapeinsta #vapesociety #vapegram #vaperzcloud #vapeid #vapelovers #vapefamous #vapehits #vapelifestyle #vapegasm #vapeaddict #purenicotine #purenicotineexperience","['#reeyukin', '#brewry', '#vape', '#vapelife', '#vapeporn', '#vapecommunity', '#vapenation', '#vapers', '#vapelikeaboss', '#vapestagram', '#vapefeed', '#indovape', '#vapeindonesia', '#vapeindo', '#instavape', '#vapeinsta', '#vapesociety', '#vapegram', '#vaperzcloud', '#vapeid', '#vapelovers', '#vapefamous', '#vapehits', '#vapelifestyle', '#vapegasm', '#vapeaddict', '#purenicotine', '#purenicotineexperience']",[]
2023-03-01_06-30-05_UTC,2023-03-01 00:30:05,,52,2,"Stainless Steel 👽
📸 - @flavortronics
coilsbyscott.co.uk
.⁣
.⁣ 
.⁣
.⁣
.⁣
#coilsbyscott #vapeshop #ukvapers #vapefam #vapeon #coilbuilding #vapelove #vapedaily #vapecommunity #vapelife #vapegram #vapefamily #ejuice #vapelifestyle #instavape #vapers #vapestagram #vapenation #vapesociety #vaporizer #vapor #vapepics #vapeworld #vaper #vapeaddict #vapetricks #vaping #subohm #handmadecoils #coilbuilder","['#coilsbyscott', '#vapeshop', '#ukvapers', '#vapefam', '#vapeon', '#coilbuilding', '#vapelove', '#vapedaily', '#vapecommunity', '#vapelife', '#vapegram', '#vapefamily', '#ejuice', '#vapelifestyle', '#instavape', '#vapers', '#vapestagram', '#vapenation', '#vapesociety', '#vaporizer', '#vapor', '#vapepics', '#vapeworld', '#vaper', '#vapeaddict', '#vapetricks', '#vaping', '#subohm', '#handmadecoils', '#coilbuilder']",['@flavortronics']
2023-03-01_06-40-01_UTC,2023-03-01 00:40:01,,-1,109,"FEELIN X
By @nevoks_official 

The Feelin X by Nevoks is an upgrade of the OG Feelin, but now offers even great usability, but still keeping the highly successful style and SPL10 coils of the original, adding a bright, extremely simple to use interface, allowing wattage adjustment from 5w to 40w, improved long lasting 1600mAh built in battery and effective airflow control.
It has a very sophisticated look and feels really nice in the hand, with an almost swade like texture.

@nevoks_official 
@nevoks.uk 

https://www.nevoks.com

📸 @krullskulls 

🔞The product is not suitable for anybody under the age of 18/21
⚠️Unpaid Advertising⚠️

 #nevoks #nevoksofficial #nevoksfeelinx #feelinx #feelin #nevoksfeelinxpod #vapephotography #vapecommunity #vapenation  #productphotography #vapestagram  #vapedaily #vapelove #vapepics  #creativephotography #vapephotos #vapefamily #vapesociety #krullskullsphotos #vapepictures #vaping #stilllifephotos  #vapetrick #vapingstyle #vapingfriends","['#nevoks', '#nevoksofficial', '#nevoksfeelinx', '#feelinx', '#feelin', '#nevoksfeelinxpod', '#vapephotography', '#vapecommunity', '#vapenation', '#productphotography', '#vapestagram', '#vapedaily', '#vapelove', '#vapepics', '#creativephotography', '#vapephotos', '#vapefamily', '#vapesociety', '#krullskullsphotos', '#vapepictures', '#vaping', '#stilllifephotos', '#vapetrick', '#vapingstyle', '#vapingfriends']","['@nevoks_official', '@nevoks_official', '@nevoks', '@krullskulls']"
