Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2023-01-30_09-46-11_UTC,2023-01-30 03:46:11,"Provence-Alpes-Cote d'Azur, France",686,13,"Pinky morning 🥰
Have a wonderful new week everyone 😘💜
Mod is  Cthulhu delrin
Panels from Billetteria
Pouch from @jrc_pouch 

#cthulu #cthuluaiobox #borodevice #boro #vapedevice #vapestagram #instavaper #jrc 
#tmdboro #allinone #vapegear #vapestuff #vapesocietysupply #vapegirl #worldvapers #vapecomnunity #vapepictures #aioboro #aio #billetbox #pink #amazingworld #vapeinfocus #vapepic #vapenation","['#cthulu', '#cthuluaiobox', '#borodevice', '#boro', '#vapedevice', '#vapestagram', '#instavaper', '#jrc', '#tmdboro', '#allinone', '#vapegear', '#vapestuff', '#vapesocietysupply', '#vapegirl', '#worldvapers', '#vapecomnunity', '#vapepictures', '#aioboro', '#aio', '#billetbox', '#pink', '#amazingworld', '#vapeinfocus', '#vapepic', '#vapenation']",['@jrc_pouch']
2023-02-24_10-07-32_UTC,2023-02-24 04:07:32,,4,0,"#vape
 #vapelife 
#vapeporn
 #vapenation 
#vapefam 
#vapeon 
#vapecommunity 
#vapelyfe 
#vapestagram 
#instavape 
#vapedaily 
#vapers 
#vaper 
#vapelove 
#vapehooligans
 #vapesociety 
#vapefamily
 #vapes 
#vapefamous
 #vapeallday
 #vapegram 
#vapeworld 
#vapelifestyle 
#vapehard
 #vapeaddict
 #worldwidevapers
 #southafricanvapers 
#nevoks
#Disposablevapes","['#vape', '#vapelife', '#vapeporn', '#vapenation', '#vapefam', '#vapeon', '#vapecommunity', '#vapelyfe', '#vapestagram', '#instavape', '#vapedaily', '#vapers', '#vaper', '#vapelove', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapes', '#vapefamous', '#vapeallday', '#vapegram', '#vapeworld', '#vapelifestyle', '#vapehard', '#vapeaddict', '#worldwidevapers', '#southafricanvapers', '#nevoks', '#Disposablevapes']",[]
2023-02-25_07-42-07_UTC,2023-02-25 01:42:07,,5,0,"SMOK INFINIX KIT BEST POD SYSTEM WITH STYLISH DESIGN

Go save big with our first ever sale on the RVP! Enjoy a flat 15% off on all RVP products (excluding accessories and reusable stock inventory).

Don't miss out on this amazing opportunity to snag some incredible deals! 

From February 24th to March 2nd, 2023

Visit www.rvp.com.pk OR contact 0311 7398749

#vapestagram #vapepakistan #uwell #podkit #caliburn #vapelife #vapelove #vapedaily #vapesafe #Vapefame
#vapehooligans #vapesociety #vapefamily #vapefamous #vapeclouds #vapemods #vapepod #vapegear #vapecartridge #vapecity #rvp","['#vapestagram', '#vapepakistan', '#uwell', '#podkit', '#caliburn', '#vapelife', '#vapelove', '#vapedaily', '#vapesafe', '#Vapefame', '#vapehooligans', '#vapesociety', '#vapefamily', '#vapefamous', '#vapeclouds', '#vapemods', '#vapepod', '#vapegear', '#vapecartridge', '#vapecity', '#rvp']",[]
2023-02-28_09-35-20_UTC,2023-02-28 03:35:20,,11,1,"Hello Mil’s! Siap2 yaa sebentar lagi Mili by Farm Factory bakal muncul di vapestore kesayangan kalian!

Be Ready!

@farmfactory.juice 

#CoolingSensation
#PilihMili
#Miligram","['#CoolingSensation', '#PilihMili', '#Miligram']",['@farmfactory']
2023-02-28_11-34-02_UTC,2023-02-28 05:34:02,,168,8,"Shooting some M.O. setups with @cuchucat trying to be present on every picture.

📸  @Patanegra526 

Comments,suggestions & questions are always welcome bellow👇🏻

#mechcollector#mechcollection##modmecanico#mechmadness#rda#mechmodlife#mechcollection#mechmodsonly#mechmod#vapegear#vapehandcheck#vaper#vapenation#vapestagram#vapegram#ukvape#vapefamily#vapingfam#keepvaping#vapefun#vapelife#vapefam#mechmods#vapedaily#vaping#vapestagram#vapesociety#mechanicalmod","['#mechcollector', '#mechcollection', '#modmecanico', '#mechmadness', '#rda', '#mechmodlife', '#mechcollection', '#mechmodsonly', '#mechmod', '#vapegear', '#vapehandcheck', '#vaper', '#vapenation', '#vapestagram', '#vapegram', '#ukvape', '#vapefamily', '#vapingfam', '#keepvaping', '#vapefun', '#vapelife', '#vapefam', '#mechmods', '#vapedaily', '#vaping', '#vapestagram', '#vapesociety', '#mechanicalmod']","['@cuchucat', '@Patanegra526']"
2023-03-01_01-41-26_UTC,2023-02-28 19:41:26,,119,2,"its a beautifull day with Jellybox XS
.
.
⚠⚠ WARNING: This product contains nicotine. Nicotine is an addictive chemical.⚠⚠""
.
""Vaping is ONLY for ADULT 21+""
.
.
#vapemtl #mtlstyle #vapefams #vapeporn #vape #vapetasia #jellybox #vapestagram #vapeon #vapedaily #vapetasia #vapetricks #vapers #coilporn #vapepods #vapejakarta #vapepics #vapelifestyle #vapecrew #vapers #vapeinstagram #jellyboxnanokit #podlife #vapepod #podsystem #mtlinfluencer #mtlindo #mtlindonesia #ladiesvapers #vapersladies","['#vapemtl', '#mtlstyle', '#vapefams', '#vapeporn', '#vape', '#vapetasia', '#jellybox', '#vapestagram', '#vapeon', '#vapedaily', '#vapetasia', '#vapetricks', '#vapers', '#coilporn', '#vapepods', '#vapejakarta', '#vapepics', '#vapelifestyle', '#vapecrew', '#vapers', '#vapeinstagram', '#jellyboxnanokit', '#podlife', '#vapepod', '#podsystem', '#mtlinfluencer', '#mtlindo', '#mtlindonesia', '#ladiesvapers', '#vapersladies']",[]
2023-03-01_03-52-11_UTC,2023-02-28 21:52:11,Malang,25,8,"Sometimes, i feel so low.. kadang ingin melambaikan tangan ke arah kamera saja tapi ga tau kamera nya dimana.. kadang ingin slulup saja di lautan antartika tapi ongkos kesananya ga ada. Yowes ngevape aja sambil nyruput latte. Hiburan yang sederhana. Semangat ya 😄👍 ☕💨

#machinsoeprapto #latte #vapers #vapelyfe #coffeetime #lento","['#machinsoeprapto', '#latte', '#vapers', '#vapelyfe', '#coffeetime', '#lento']",[]
2023-03-01_04-13-19_UTC,2023-02-28 22:13:19,,3,0,"🎉NEW ARRIVAL‼️💥 BAKER STONER SALT READY STOCK NOW AT VAPE VILLAGE RELAU‼️
—————––––––––––––––———————
⚡ BAKER STONER SALT
––––––––––––––––––––––––––––
🥳 KELADI CHEESE
––––––––––––––––––––––––––––
📞 www.wasap.my/6011-58754895

🚪Open Daily⏰12pm-12am⏰

Landmark
🚩Opposite Spice Arena （PISA）
🚩Same Row as Public Bank （Relau）
🚩Sebelah 7-eleven
🚩Sebelah pajak gadai Ar-Rahnu

🏠 88N, Jalan Tun Dr Awang, Relau, 11900 Bayan Lepas, Pulau Pinang

🚖Waze: https://goo.gl/maps/MsRQXvaPVQK2

🔞UMUR BAWAH 18 DILARANG MASUK🔞
____________________________________

🌍 OUR BRANCHES 🌍 FOLLOW US 🧭✍️
____________________________________

🌴 @vapevillagepenang (HQ) ☎️ 01158754895
🏡88N, JALAN TUN DR AWANG,  SG NIBONG KECIL, 11900 PULAU PINANG
🚖Waze: https://goo.gl/maps/MsRQXvaPVQK2

🌴 @vapevillage_karpalsingh ☎️ 01158754893
🏡NO 19, 1ST FLOOR PERSIARAN KARPAL SINGH 5, LEBUH SUNGAI PINANG, 11600 JELUTONG
🚖Waze: https://waze.com/ul/hw0zqenccd

🌴 @vapevillagebm ☎️ 01155048930
🏡NO 10, 1ST FLOOR PRECINCT 1 @ SUNWAY WELLESLEY, JALAN MUTHU PALANIAPPAN, BUKIT MERTAJAM, 14000 BUKIT MERTAJAM, PENANG
🚖Waze: https://waze.com/ul/hw0zqtcr00

🌴 @vapevillagekulim ☎️ 01155048931
🏡NO 603, 1ST FLOOR, JALAN SERAYA 1, PUSAT PERNIAGAAN SERAYA 1,09000 KULIM, KEDAH
🚖Waze : https://waze.com/ul/hw0zqxuqcb

🌴@vapevillageseberangjaya ☎️01156871440
🏡12A JALAN TODAK 2,BANDAR SEBERANG JAYA,13700 PERAI,PULAU PINANG
🚖WAZE: https://waze.com/ul/hw0zqswspj

🌴@vapevillagefarlim ☎️01156871443
🏡NO.23,JLN ANGSANA 11500 AIR ITAM,PULAU PINANG
🚖WAZE: https://waze.com/ul/hw0zqdhbvb

🌴@vape_villagebaganajam ☎️01155871443
 🏡85G,JALAN MERBAU,PUSAT
 PERNIAGAAN OREN 13000 BUTTERWORTH PENANG 🚖Waze: https://waze.com/ul/hw0zquq0s6

#vape #vapemurah #vapemalaysia #vapepenang #vapekedah #vapeshop  #vapeon #instadaily #vapestagram #vapecommunity #malaysiamod #malaysiavaper #penangvaper #vapebayanlepas #vapegeorgetown #vapeseller #vapegelugor #vapejelutong #vapesungaipinang #vapeseberangjaya #aladdin #vapebm #tealive #aliyounus #SunwayWellesley #bandarperda #uptown #kulim","['#vape', '#vapemurah', '#vapemalaysia', '#vapepenang', '#vapekedah', '#vapeshop', '#vapeon', '#instadaily', '#vapestagram', '#vapecommunity', '#malaysiamod', '#malaysiavaper', '#penangvaper', '#vapebayanlepas', '#vapegeorgetown', '#vapeseller', '#vapegelugor', '#vapejelutong', '#vapesungaipinang', '#vapeseberangjaya', '#aladdin', '#vapebm', '#tealive', '#aliyounus', '#SunwayWellesley', '#bandarperda', '#uptown', '#kulim']","['@vapevillagepenang', '@vapevillage_karpalsingh', '@vapevillagebm', '@vapevillagekulim', '@vapevillageseberangjaya', '@vapevillagefarlim', '@vape_villagebaganajam']"
2023-03-01_04-13-50_UTC,2023-02-28 22:13:50,,1,0,"💥OPEN JOB VACANCY‼️💥 
—————————————
🏝 WE'RE HIRING NEW STAFF😎
—————————————
🤗ADAKAH ANDA YANG KAMI CARI?
SILA HUBUNGI KAMI🤘

📍VAPE VILLAGE FARLIM

🚪Open Daily⏰12pm-12am⏰

🌍 OUR BRANCHES 🌍 FOLLOW US 🧭✍️
____________________________________

🌴 @vapevillagepenang (HQ) ☎️ 01158754895
🏡88N, JALAN TUN DR AWANG,  SG NIBONG KECIL, 11900 PULAU PINANG
🚖Waze: https://goo.gl/maps/MsRQXvaPVQK2

🌴 @vapevillage_karpalsingh ☎️ 01158754893
🏡NO 19, 1ST FLOOR PERSIARAN KARPAL SINGH 5, LEBUH SUNGAI PINANG, 11600 JELUTONG
🚖Waze: https://waze.com/ul/hw0zqenccd

🌴 @vapevillagebm ☎️ 01155048930
🏡NO 10, 1ST FLOOR PRECINCT 1 @ SUNWAY WELLESLEY, JALAN MUTHU PALANIAPPAN, BUKIT MERTAJAM, 14000 BUKIT MERTAJAM, PENANG
🚖Waze: https://waze.com/ul/hw0zqtcr00

🌴 @vapevillagekulim ☎️ 01155048931
🏡NO 603, 1ST FLOOR, JALAN SERAYA 1, PUSAT PERNIAGAAN SERAYA 1,09000 KULIM, KEDAH
🚖Waze : https://waze.com/ul/hw0zqxuqcb

🌴@vapevillageseberangjaya ☎️01156871440
🏡12A JALAN TODAK 2,BANDAR SEBERANG JAYA,13700 PERAI,PULAU PINANG
🚖WAZE: https://waze.com/ul/hw0zqswspj

🌴@vapevillagefarlim ☎️01156871443
🏡NO.23,JLN ANGSANA 11500 AIR ITAM,PULAU PINANG
🚖WAZE: https://waze.com/ul/hw0zqdhbvb

🌴@vape_villagebaganajam ☎️01155871443
 🏡85G,JALAN MERBAU,PUSAT
 PERNIAGAAN OREN 13000 BUTTERWORTH PENANG 🚖Waze: https://waze.com/ul/hw0zquq0s6

#vape #vapemurah #vapemalaysia #vapepenang #vapekedah #vapeshop  #vapeon #instadaily #vapestagram #vapecommunity #malaysiamod #malaysiavaper #penangvaper #vapebayanlepas #vapegeorgetown #vapeseller #vapegelugor #vapejelutong #vapesungaipinang #vapeseberangjaya #aladdin #vapebm #tealive #aliyounus #SunwayWellesley #bandarperda #uptown #kulim","['#vape', '#vapemurah', '#vapemalaysia', '#vapepenang', '#vapekedah', '#vapeshop', '#vapeon', '#instadaily', '#vapestagram', '#vapecommunity', '#malaysiamod', '#malaysiavaper', '#penangvaper', '#vapebayanlepas', '#vapegeorgetown', '#vapeseller', '#vapegelugor', '#vapejelutong', '#vapesungaipinang', '#vapeseberangjaya', '#aladdin', '#vapebm', '#tealive', '#aliyounus', '#SunwayWellesley', '#bandarperda', '#uptown', '#kulim']","['@vapevillagepenang', '@vapevillage_karpalsingh', '@vapevillagebm', '@vapevillagekulim', '@vapevillageseberangjaya', '@vapevillagefarlim', '@vape_villagebaganajam']"
2023-03-01_05-27-16_UTC,2023-02-28 23:27:16,,5,0,"A La Carte

15ml | 4mg

Flavour : Cream Poundcake

By @juicenationcompany 

Rp 40.000

Tersedia di :

@kendalpayakvapor Jalan Raya Adi Mulya No. 10 ( Pertigaan Jalan Raya kendalpayak, Samping RS Ben Mari ) 📲 +62 851-7216-6987
https://goo.gl/maps/mXNqsLkG1CSsjR5a8

@univvapor Jl Laksa Adi Sucipto Mulya No.397c, Pandanwangi. (Ruko warna hijau samping kiri Gg. Taruna 1) 📲 +62 851-7216-6987
https://goo.gl/maps/HVNmJb2wZAuSPNcq6

#vapemalang #vapedistribution #vapeindo #vape #vaping #vapelife #vapeon #vapelyfe #vapenation #vapestagram #vape
#vapormalang #vapor #vapedaily #vapesociety #quitsmoking
#instagood #liquid #rda #vapeindonesia
#vapeshop #vapecommunity #vapers
#vapeindo #malangvapor #vapormalang #jualvapor #instavape #photooftheday #vapeporn #vapefam","['#vapemalang', '#vapedistribution', '#vapeindo', '#vape', '#vaping', '#vapelife', '#vapeon', '#vapelyfe', '#vapenation', '#vapestagram', '#vape', '#vapormalang', '#vapor', '#vapedaily', '#vapesociety', '#quitsmoking', '#instagood', '#liquid', '#rda', '#vapeindonesia', '#vapeshop', '#vapecommunity', '#vapers', '#vapeindo', '#malangvapor', '#vapormalang', '#jualvapor', '#instavape', '#photooftheday', '#vapeporn', '#vapefam']","['@juicenationcompany', '@kendalpayakvapor', '@univvapor']"
