Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2022-01-22_14-23-18_UTC,2022-01-22 08:23:18,,559,44,"VINCI Pod Royal Edition
Only 500 limited set globally. @voopootech_global
@voopootech_official #vincipodroyal.  ____________________________________________
VINCI Pod Royal Edition:
Classical Relief Sculpture Technology
Aviation Aluminium Alloy Body
Top-Filling and Leak-Resistant Cartridge
Equipped with 2 pods of 0.8 2 and 1.2 €2
3-Color Smart LED Light
Infinite Airflow System. 
____________________________________________
#vape #vapes #vapeporn #vapenation #vapesa
*keepcalmandvapeon #vapeon #vapelife #vapedaily
#vapestyle #vapeaddict #wevape #vapelove
#vapelikeaboss #vapepics #vapeforlife #vapeislife
#vapeisfun #vapenation #vapefam #vapeworld
#bass #bassjunkie #starsound #basslife #carsound","['#vincipodroyal', '#vape', '#vapes', '#vapeporn', '#vapenation', '#vapesa', '#vapeon', '#vapelife', '#vapedaily', '#vapestyle', '#vapeaddict', '#wevape', '#vapelove', '#vapelikeaboss', '#vapepics', '#vapeforlife', '#vapeislife', '#vapeisfun', '#vapenation', '#vapefam', '#vapeworld', '#bass', '#bassjunkie', '#starsound', '#basslife', '#carsound']","['@voopootech_global', '@voopootech_official']"
2022-11-19_17-05-29_UTC,2022-11-19 11:05:29,Dubai Marina,1328,3,"You name it, Dubai has it. Or if it doesn’t have it, it’s building it #dubailife @dubaimarinamall @visit.dubai #dubaitravelblogger #attitude #lifequotes #luxurylifestyle #vapestyle","['#dubailife', '#dubaitravelblogger', '#attitude', '#lifequotes', '#luxurylifestyle', '#vapestyle']","['@dubaimarinamall', '@visit']"
2022-12-24_09-36-54_UTC,2022-12-24 03:36:54,"Haridwar, Uttrakhand",301,63,"❤️Tu maan meri jaan @ifeelking 
#arshhfam⚡",['#arshhfam'],['@ifeelking']
2023-02-17_14-35-20_UTC,2023-02-17 08:35:20,,1924,21,"@adi.kocur trafił do celi za swoje wybryki! 👮🏻‍♂️ Myślicie, że warto wpłacić za niego kaucję, żeby dalej tworzył dla Was ciekawy kontent? 🧐
_____________________
#vapetech #vapestyle #prison #jail #funny #humor #vapeclouds #vapefamily #vapers #instapic #model #instaday #darkline #instaman#instawoman #chmurki #clouds #darbar #tattoo","['#vapetech', '#vapestyle', '#prison', '#jail', '#funny', '#humor', '#vapeclouds', '#vapefamily', '#vapers', '#instapic', '#model', '#instaday', '#darkline', '#instaman', '#instawoman', '#chmurki', '#clouds', '#darbar', '#tattoo']",['@adi']
2023-02-22_16-35-13_UTC,2023-02-22 10:35:13,,74,7,"Aujourd'hui , c'est journée off , alors je prépare un nouveau set up pour demain! 

Pour accompagner mon Pioneer et le superbe old nuts, je choisi une de mes boxs préférée le vativ super box! 

Avec un corps en alliage de zinc brossé, et un format compact , cette box offre une excellente prise en main ! Accueillant un accu 18650,  elle peut délivrer jusqu'à 100w, mais je vous conseille plutôt de l'utiliser sur une moyenne puissance pour éviter la décharge très rapide ! 

L'écran de 0,96 pouces vous permettra de retrouver plusieurs informations:
- Le niveau de charge de l’accu
- La puissance délivrée en watts
- La valeur de la résistance
- Le voltage envoyé
- le symbole de verrouillage ou non
- Temps de tirage de la dernière bouffée
- Nombre de puffs

 et de naviguer entre plusieurs modes

- Le mode smart 
- Le mode Power
- Le mode Volt
- Le mode VPC 
- Exit pour quitter le menu

Et cerise sur le gâteau, vous pourrez choisir la couleur du thème ! 😁

Une bien belle petite box issu du kit vativ signé @oxva.tech ! 

Belle fin de journée à tous ! 

#jesuisvapoteur#vapegourmande #vapetranquille #vapestyle #vapedefouuuuuu #vapegirl #vapelife #vapoteursdefrance #vapelove#vapestragram #vapebreizh #vapefollowers #vapelove #vaperzreviews #vaperz #vapefollowersap #vapefriend #vapefrenchtouch #vaper #instavaperz #vapefamily #vapeindonesia #vapegirlsworldwide#vapephotography

🔞La vape est interdite aux moins de 18 ans et peut contenir de la nicotine.si vous ne fumez pas, ne vapez pas! 🔞","['#jesuisvapoteur', '#vapegourmande', '#vapetranquille', '#vapestyle', '#vapedefouuuuuu', '#vapegirl', '#vapelife', '#vapoteursdefrance', '#vapelove', '#vapestragram', '#vapebreizh', '#vapefollowers', '#vapelove', '#vaperzreviews', '#vaperz', '#vapefollowersap', '#vapefriend', '#vapefrenchtouch', '#vaper', '#instavaperz', '#vapefamily', '#vapeindonesia', '#vapegirlsworldwide', '#vapephotography']",['@oxva']
2023-02-23_02-42-33_UTC,2023-02-22 20:42:33,,6,0,"The “Escape” game begins. Find your way out to the exit. 

Indulge your taste with ETC Escape!

#escape9000 #vapemurah #vapemalaysia #vapestyle #stylo #fun #indulgeyourtaste #malaysia","['#escape9000', '#vapemurah', '#vapemalaysia', '#vapestyle', '#stylo', '#fun', '#indulgeyourtaste', '#malaysia']",[]
2023-02-23_03-16-34_UTC,2023-02-22 21:16:34,,0,0,"The “Escape” game begins. Find your way out to the exit. 

✅9000puff
✅Rechargable Type-C
✅Unique design
✅10 flavours available

Indulge your taste with ETC Escape!

Get your now today!!
Delivery & Postage available

Remy 0173717664
Pejal 0182430846 

#vapempiremalaysia #vempiremalaysia #escape9000 #vapemurah #vapemalaysia #vapestyle #stylo #fun #indulgeyourtaste #newproducts #newarrival #malaysia","['#vapempiremalaysia', '#vempiremalaysia', '#escape9000', '#vapemurah', '#vapemalaysia', '#vapestyle', '#stylo', '#fun', '#indulgeyourtaste', '#newproducts', '#newarrival', '#malaysia']",[]
2023-02-23_09-10-35_UTC,2023-02-23 03:10:35,Green7,10,0,"DULCE 🥰

Découvrez dans votre Vapostore de Salaise Sur Sanne : LE DULCE aux saveurs proches de la délicieuse petite barre caramélisée 🤤

Disponible uniquement en format 100ml non nicotiné.

Nous vous rappelons que la vente de produits de vapotage est interdite aux mineurs 🔞

@green7.salaise @vapostoresalaise 
@maisonfuelfrance 

#vapostore #vapostoresalaise #maisonfuel #vapegourmande #vapecaramelisée #vapelife #vapestyle #vapeur #ecig #cigaretteelectronique #green7 #salaisesursanne #chanas","['#vapostore', '#vapostoresalaise', '#maisonfuel', '#vapegourmande', '#vapecaramelisée', '#vapelife', '#vapestyle', '#vapeur', '#ecig', '#cigaretteelectronique', '#green7', '#salaisesursanne', '#chanas']","['@green7', '@vapostoresalaise', '@maisonfuelfrance']"
2023-02-23_10-04-34_UTC,2023-02-23 04:04:34,,1,0,"The “Escape” game begins. Find your way out to the exit. 

Indulge your taste with ETC Escape!

#vapempiremalaysia #vempiremalaysia #escape9000 #vapemurah #vapemalaysia #vapestyle #stylo #fun #indulgeyourtaste #newproducts #newarrival #malaysia","['#vapempiremalaysia', '#vempiremalaysia', '#escape9000', '#vapemurah', '#vapemalaysia', '#vapestyle', '#stylo', '#fun', '#indulgeyourtaste', '#newproducts', '#newarrival', '#malaysia']",[]
2023-02-23_12-07-38_UTC,2023-02-23 06:07:38,,26,0,"En Masquevapor os queremos ayudar y ofreceros todas las facilidades posibles a la hora de realizar vuestro pedido. 🛍️

Por eso hoy os traemos, por si no las conocías, las formas de pago con Sequra. 🛒

Fracciona tus pagos o paga después de realizar tu pedido, tu eliges. 📱👛

Te traemos toda la información, aquí. ⬇️

#sequra #financiacion #pagos #pagoflexible #compras #disfruta #mqv #masquevaporteam #masquevapor #vapeo #vapefriends #worldwidevapers #vapestyle #vapelife #vapelyfe #vapecommunity #ecig #vapeando #vapeclub #madrid #eliquid #stopsmoking #vapespain","['#sequra', '#financiacion', '#pagos', '#pagoflexible', '#compras', '#disfruta', '#mqv', '#masquevaporteam', '#masquevapor', '#vapeo', '#vapefriends', '#worldwidevapers', '#vapestyle', '#vapelife', '#vapelyfe', '#vapecommunity', '#ecig', '#vapeando', '#vapeclub', '#madrid', '#eliquid', '#stopsmoking', '#vapespain']",[]
