Name,Date,Location,#likes,#comments,caption,hashtags,tagged-users
2023-01-29_08-50-25_UTC,2023-01-29 02:50:25,,28168,2171,"Bayerns Gesundheitsminister Klaus Holetschek (CSU) macht sich für ein bundesweites Verbot von Einweg-E-Zigaretten stark.
„Klar ist: Auch E-Produkte sind keinesfalls harmlos“, sagte Holetschek der Deutschen Presse-Agentur in München. „Bei Einweg-E-Zigaretten kommt zum unvermeidlichen gesundheitlichen Risiko des Konsums auch noch vermeidbare Umweltverschmutzung hinzu.“
Der Freistaat habe deshalb Anfang Januar eine Bundesratsinitiative beschlossen, um die Einwegprodukte aus dem Verkehr zu ziehen.
Mehr dazu liest du im Link in der Bio.

#Vape #Vaping #EZigarette #Bayern #Verbot #Bundesweit #CSU #KlausHoletschek 
Foto: Marijan Murat/dpa","['#Vape', '#Vaping', '#EZigarette', '#Bayern', '#Verbot', '#Bundesweit', '#CSU', '#KlausHoletschek']",[]
2023-02-28_12-00-49_UTC,2023-02-28 06:00:49,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-00-58_UTC,2023-02-28 06:00:58,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-01-06_UTC,2023-02-28 06:01:06,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-01-14_UTC,2023-02-28 06:01:14,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-01-21_UTC,2023-02-28 06:01:21,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-01-27_UTC,2023-02-28 06:01:27,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-01-43_UTC,2023-02-28 06:01:43,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-01-55_UTC,2023-02-28 06:01:55,,3,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-10-13_UTC,2023-02-28 06:10:13,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-10-19_UTC,2023-02-28 06:10:19,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-10-25_UTC,2023-02-28 06:10:25,,2,0,#vapestore #vapeciledug #onivape #vaping #ciledug #tangerang #tangerangkota #ubud #puribeta,"['#vapestore', '#vapeciledug', '#onivape', '#vaping', '#ciledug', '#tangerang', '#tangerangkota', '#ubud', '#puribeta']",[]
2023-02-28_12-23-16_UTC,2023-02-28 06:23:16,,0,0,"MY BUTTER BLUE

Tersedia

NERDVAPORLAWEYAN
@nerdvaporlaweyan
* Jalan Dr. Rajiman 475C
* GOOGLE MAP: Nerd Vapor Laweyan
* Buka setiap hari - 10.00 - 00.00
*WA : 08112565888

#NERDVAPORUNS
@nerdvapor
Jalan Ki Hadjar Dewantara 51 (pas Bangko ngoresan, belakang gerbang Kampus UNS Solo). GOOGLE MAP: Nerd Vapor Solo
* buka : Tiap hari 10.00 - 24.00
* Whatsapp: 081238381964

#NERDVAPORMANAHAN
@nerdvapormanahan no
Jalan Moh. Husni Thamrin no 3 Manahan, Banjarsari, Surakarta, Jawa Tengah * Buka jam 10.00 - 24.00
* Whatsapp 081229484040 

#NERDVAPORKARANGANYAR  @nerdvaporkaranganyar
*Timur BNI 46 Alun-Alun Karanganyar 
Jalan Lawu 398, Karanganyar. GOOGLE MAP: Nerd Vapor Karanganyar
Buka Tiap Hari, jam 10.00 - 24.00
Whatsapp: 081358428242 

#indonesia
#solovapor#solovape#vaporsolo#solovaporizer#vape#vapelife#vapecomunity#vapor#vaping#vapeon#vapestagram#vaper#vapers#vaporizer#vapes#vapesociety","['#NERDVAPORUNS', '#NERDVAPORMANAHAN', '#NERDVAPORKARANGANYAR', '#indonesia', '#solovapor', '#solovape', '#vaporsolo', '#solovaporizer', '#vape', '#vapelife', '#vapecomunity', '#vapor', '#vaping', '#vapeon', '#vapestagram', '#vaper', '#vapers', '#vaporizer', '#vapes', '#vapesociety']","['@nerdvaporlaweyan', '@nerdvapor', '@nerdvapormanahan', '@nerdvaporkaranganyar']"
2023-02-28_12-25-50_UTC,2023-02-28 06:25:50,,1,0,"PULSE AIO MINI

Tersedia

NERDVAPORLAWEYAN
@nerdvaporlaweyan
* Jalan Dr. Rajiman 475C
* GOOGLE MAP: Nerd Vapor Laweyan
* Buka setiap hari - 10.00 - 00.00
*WA : 08112565888

#NERDVAPORUNS
@nerdvapor
Jalan Ki Hadjar Dewantara 51 (pas Bangko ngoresan, belakang gerbang Kampus UNS Solo). GOOGLE MAP: Nerd Vapor Solo
* buka : Tiap hari 10.00 - 24.00
* Whatsapp: 081238381964

#NERDVAPORMANAHAN
@nerdvapormanahan no
Jalan Moh. Husni Thamrin no 3 Manahan, Banjarsari, Surakarta, Jawa Tengah * Buka jam 10.00 - 24.00
* Whatsapp 081229484040 

#NERDVAPORKARANGANYAR  @nerdvaporkaranganyar
*Timur BNI 46 Alun-Alun Karanganyar 
Jalan Lawu 398, Karanganyar. GOOGLE MAP: Nerd Vapor Karanganyar
Buka Tiap Hari, jam 10.00 - 24.00
Whatsapp: 081358428242 

#indonesia
#solovapor#solovape#vaporsolo#solovaporizer#vape#vapelife#vapecomunity#vapor#vaping#vapeon#vapestagram#vaper#vapers#vaporizer#vapes#vapesociety","['#NERDVAPORUNS', '#NERDVAPORMANAHAN', '#NERDVAPORKARANGANYAR', '#indonesia', '#solovapor', '#solovape', '#vaporsolo', '#solovaporizer', '#vape', '#vapelife', '#vapecomunity', '#vapor', '#vaping', '#vapeon', '#vapestagram', '#vaper', '#vapers', '#vaporizer', '#vapes', '#vapesociety']","['@nerdvaporlaweyan', '@nerdvapor', '@nerdvapormanahan', '@nerdvaporkaranganyar']"
2023-02-28_12-30-10_UTC,2023-02-28 06:30:10,,1,0,"#HQD #new #comingsoon  CUVIE SLICK 6000puffs（non c'è bisogno di caricare）

Alimentato da un'enorme batteria da 1400 mAh, CUVIE SLICK può fornirti 6000 boccate con prestazioni superiori, adatte per il tuo svapo di lunga data senza preoccuparti di rimanere senza energia! Come dispositivo usa e getta, CUVIE SLICK è efficiente e fa risparmiare tempo, con il 100% pronto all'uso e subito fuori dalla scatola.
.
.
.
❌Avvertenza: il dispositivo viene utilizzato con e-liquid che contiene nicotina chimica che crea dipendenza. Solo per uso adulto.
#disposables #vaping #vapewholesale #vapeitaly #svapare #followmypage  #vapor","['#HQD', '#new', '#comingsoon', '#disposables', '#vaping', '#vapewholesale', '#vapeitaly', '#svapare', '#followmypage', '#vapor']",[]
2023-02-28_12-48-49_UTC,2023-02-28 06:48:49,,21,0,#vicinflight #victorinflight #tattoo #skate #skateboard #graffiti #art #punk #punkrock #bikers #kievtattoo #skulltattoo #skullart #extreme #vaping #doodle #татукиев,"['#vicinflight', '#victorinflight', '#tattoo', '#skate', '#skateboard', '#graffiti', '#art', '#punk', '#punkrock', '#bikers', '#kievtattoo', '#skulltattoo', '#skullart', '#extreme', '#vaping', '#doodle', '#татукиев']",[]
2023-02-28_13-00-11_UTC,2023-02-28 07:00:11,,6,0,"ABC do Vaping 

#nasnuvesnpf #pacosdeferreira #valedosousa💕
#vaping #vapingnews #vapingindo #vapingmurah #vapingbogan
#vapingscene #vapingmedan #vapinghistory #vapingworldwide
#vapingportugal🇵🇹 #portugalvaping","['#nasnuvesnpf', '#pacosdeferreira', '#valedosousa', '#vaping', '#vapingnews', '#vapingindo', '#vapingmurah', '#vapingbogan', '#vapingscene', '#vapingmedan', '#vapinghistory', '#vapingworldwide', '#vapingportugal', '#portugalvaping']",[]
2023-02-28_13-01-06_UTC,2023-02-28 07:01:06,,1,0,We pride ourselves in a super star service! #vapeshop #vape #vapelife #vapecommunity #vapenation #vapefam #vapeon #vaping #vapeporn #vapers #vapedaily #vapestore #vapetricks #vapor #vapelyfe #vapestagram #vapelove #ejuice #eliquid #vaper #instavape #vapesociety #vapepics #vapes #ecig #vapefamily #vapemurah #vapejuice #vaporizer #vapeindonesia https://www.trustpilot.com/review/smokeyjoesvapes.com?utm_medium=trustbox&utm_source=MicroCombo,"['#vapeshop', '#vape', '#vapelife', '#vapecommunity', '#vapenation', '#vapefam', '#vapeon', '#vaping', '#vapeporn', '#vapers', '#vapedaily', '#vapestore', '#vapetricks', '#vapor', '#vapelyfe', '#vapestagram', '#vapelove', '#ejuice', '#eliquid', '#vaper', '#instavape', '#vapesociety', '#vapepics', '#vapes', '#ecig', '#vapefamily', '#vapemurah', '#vapejuice', '#vaporizer', '#vapeindonesia']",[]
2023-02-28_13-01-07_UTC,2023-02-28 07:01:07,,5,0,We pride ourselves in a super star service! #vapeshop #vape #vapelife #vapecommunity #vapenation #vapefam #vapeon #vaping #vapeporn #vapers #vapedaily #vapestore #vapetricks #vapor #vapelyfe #vapestagram #vapelove #ejuice #eliquid #vaper #instavape #vapesociety #vapepics #vapes #ecig #vapefamily #vapemurah #vapejuice #vaporizer #vapeindonesia https://www.trustpilot.com/review/smokeyjoesvapes.com?utm_medium=trustbox&utm_source=MicroCombo,"['#vapeshop', '#vape', '#vapelife', '#vapecommunity', '#vapenation', '#vapefam', '#vapeon', '#vaping', '#vapeporn', '#vapers', '#vapedaily', '#vapestore', '#vapetricks', '#vapor', '#vapelyfe', '#vapestagram', '#vapelove', '#ejuice', '#eliquid', '#vaper', '#instavape', '#vapesociety', '#vapepics', '#vapes', '#ecig', '#vapefamily', '#vapemurah', '#vapejuice', '#vaporizer', '#vapeindonesia']",[]
2023-02-28_13-39-27_UTC,2023-02-28 07:39:27,VapingBuddyManjung(VBM),2,0,"SHORT LIVE REVIEW NEW FREEBASE CREAMY FRESH MILK 🥛🐄🤤BY MAD ALCHEMISTS .
.
.

COD/PICKUP/POSTAGE
.
Afif - 0135334416
Dinie - 01125058169
Den - 0138016280
.
.
Tingkat Bawah No120, Persiaran PM/3, Pusat Bandar Seri Manjung,32040, SeriManjung, PerakDarulRidzuan
.
.
#vapemalaysia #vapemy #vaping #vapeperak #manjung #vapeporn #vapereels #samudera #lumut #sitiawan #kedaivape #restock #vapeig #reels #fyp #viralh","['#vapemalaysia', '#vapemy', '#vaping', '#vapeperak', '#manjung', '#vapeporn', '#vapereels', '#samudera', '#lumut', '#sitiawan', '#kedaivape', '#restock', '#vapeig', '#reels', '#fyp', '#viralh']",[]
2023-02-28_13-39-38_UTC,2023-02-28 07:39:38,,11,0,"V41 PER
In Stock & On Retention
Dodge Viper or Vaper / Vaping
£2699++ (£3318 All in)
Can be transferred to your vehicle or supplied on certificate.
https://www.swiftreg.co.uk/private-number-plate/V41PER

#viper #dodgeviper #vape #vaping #vaper #privateregistration #privatenumberplate #privatenumberplates #numberplates #numberplate #privateplate #privateplates #car #cars #carporn","['#viper', '#dodgeviper', '#vape', '#vaping', '#vaper', '#privateregistration', '#privatenumberplate', '#privatenumberplates', '#numberplates', '#numberplate', '#privateplate', '#privateplates', '#car', '#cars', '#carporn']",[]
2023-02-28_13-55-57_UTC,2023-02-28 07:55:57,,2,0,"Βυθιστείτε στα μοναδικά αρώματα της K-Flavours, 100ml απόλαυσης μόνο απο 14,90! 🥳

🥃Alfie:
Το έντονα αρωματικό παλαιωμένο ρούμι μπλέκεται με γλυκά δαμάσκηνα, καραμελωμένα καρύδια και πλούσια κρέμα για να δημιουργήσουν ένα μοναδικό αρωματικό προφίλ.

🍪Fadhila:
Αρωματικά φύλλα καπνού στο σώμα του, μπλέκονται ομοιόμορφα με  ένα κρεμώδες μπισκότο και στο τέλος ήπιες νότες βανίλιας συνθέτουν κάτι πραγματικά μοναδικό.

🍦Garrison:
Κύβοι καστανής ζάχαρης αναμιγνύονται με αφράτη ιρλανδέζικη κρέμα και κατάξανθα φύλλα καπνού για να μας προσφέρουν το Garrison.

🍎Gina:
Τραγανή ζύμη από κέικ, βουτηγμένη σε RYE Whiskey για 24 ώρες, δίνει μια ντελικάτη νότα στο υγρό καθώς και κομματάκια από καραμελωμένα μήλα τύπου Renetta

🍑Grace’s Secret:
Το μυστικό κρύβεται στα διαλεχτά  παραδοσιακά υλικά. Αρωματικά φύλλα καπνού,  ζουμερά βερίκοκα και τραγανά αμύγδαλα συνθέτουν κάτι πραγματικά μοναδικό.

🥜Ira:
Η απαλότητα που προσφέρει το τριπλής απόσταξης ιρλανδέζικο Ουίσκι συνδυάζεται με πικρούς κόκκους κακάο και παραδοσιακά ιταλικά καπνά συνθέτοντας έτσι μια μοναδική συνταγή που ακούει στο όνομα  IRA.

Βρείτε όλες τις γεύσεις στο www.e-fog.gr

#vape #vapelife #vapinglife #eliquids #vapenation #vapelove #efog #vapefam #vapeshop #vaping #kflavours","['#vape', '#vapelife', '#vapinglife', '#eliquids', '#vapenation', '#vapelove', '#efog', '#vapefam', '#vapeshop', '#vaping', '#kflavours']",[]
2023-02-28_13-58-28_UTC,2023-02-28 07:58:28,,38,0,"Memang sudah menjadi ciri khas produk @vapelustion yang memanjakan kita dengan grafis yang super detail di setiap Produk nya !

disini admin bahas AIRTOK BLACK Series HANNYA MECHAONIA!Meskipun bertemakan “MECHA” ciri khas @vapelustion itu bertemakan Jepang, contoh nya grafis MECHAONIA terinspirasi dari topeng Hannya yang sering dipakai di pementasan Seni di Jepang, 

Dibalut Artstyle futuristic mechanical, hasilnya mantep banget deh Vapers!😍

ya itu sedikit cerita dari Grafis Hannya Airtok MECHAONIA, next kita bahas yang mana lagi nih vapers?

stay tuned @vapelustion.id

#hannya
#hannyaairtok
#airtokblack
#hannyanano
#hannyamod
#vapeindonesia
#vapebandung
#vapejakarta
#vapejogja
#vapesurabaya
#vapeasia
#vapeforlife
#vapelustion
#vapelustionindonesia
#vapetricks
#vaping
#vapedaily
#instavape
#vapeindo","['#hannya', '#hannyaairtok', '#airtokblack', '#hannyanano', '#hannyamod', '#vapeindonesia', '#vapebandung', '#vapejakarta', '#vapejogja', '#vapesurabaya', '#vapeasia', '#vapeforlife', '#vapelustion', '#vapelustionindonesia', '#vapetricks', '#vaping', '#vapedaily', '#instavape', '#vapeindo']","['@vapelustion', '@vapelustion', '@vapelustion']"
2023-02-28_14-00-11_UTC,2023-02-28 08:00:11,,3,0,"#HQD #new #comingsoon  CUVIE SLICK 6000puffs（keine Notwendigkeit zu laden）

Angetrieben von einem riesigen 1400-mAh-Akku kann CUVIE SLICK Ihnen überragende 6000 Züge liefern, die für Ihr langjähriges Verdampfen geeignet sind, ohne sich Sorgen machen zu müssen, dass Ihnen die Energie ausgeht! Als Einweggerät ist CUVIE SLICK effizient und zeitsparend, 100 % ready-to-go und sofort einsatzbereit.
.
.
.
❌Warnung: Das Gerät wird mit E-Liquid verwendet, das süchtig machendes chemisches Nikotin enthält. Nur für Erwachsene.
#disposables  #vaping  #vapewholesale #dampfen #einweg #vapor #followmypage","['#HQD', '#new', '#comingsoon', '#disposables', '#vaping', '#vapewholesale', '#dampfen', '#einweg', '#vapor', '#followmypage']",[]
2023-02-28_14-12-05_UTC,2023-02-28 08:12:05,"Elspark, Germiston",14,0,"‼️We are doing a giveaway‼️

So we gave the shop a bit of a face lift and we love it but we want YOU to love it just as much. Therefore we will be doing a giveaway to a lucky person who takes a photo with our new wall. 

How to enter the lucky draw:

1. Follow us on Facebook or Instagram. 

2. Take a selfie or let us take a photo of you and your best pose with our new wall.

3. Post your photo on your social media and tag us (@acidicvapes) 

4. Be 18 years or older. 

It’s as simple as that!

Once you tagged us your name goes into a lucky draw to win a surprise vape hamper. 

First 4 people to post a photo of them with our wall gets two entries into the draw. 

So come by and get your vaping needs sorted and take a photo with the wall and who knows maybe you will be the lucky winner of the hamper. 

Visit us at Kingfisher Square on the corner of Heidelberg Road & Kingfisher Avenue, Elspark, Germiston

If you aren’t close enough to come into the shop we also have an online store with the lowest shipping cost you’ll ever see so check us out on 

www.acidicvapesza.co.za

Contact us on whatsapp or call us on 081 338 8323

🔞We will not sell to anyone under the age of 18🔞

⚠️Our products may contain nicotine which is an addictive chemical ⚠️

#vapeshop #acidicvapes #vaping #vsml #elspark #vapingisnotsmoking #vape","['#vapeshop', '#acidicvapes', '#vaping', '#vsml', '#elspark', '#vapingisnotsmoking', '#vape']",['@acidicvapes']
2023-02-28_14-54-08_UTC,2023-02-28 08:54:08,,48,0,"#restock
JOIWAY S1 NANO POD

-Joiway S1 Nano Device
-Cartridge Resistance : 0,8 Ohm 
-Cartridge Capacity : 3,0 ML
-Battery Capacity : 600 mAh
-USB Type-C

By : @joiway_id @joiway_jatim

WARNING: This product is intended to be used with e-liquid products containing nicotine. Nicotine is an addictive chemical. For adult use only.
——————————————————

TOKO PUSAT
PIRANHA VAPE - Jln.Ciliwung II no.1
Blimbing - Malang 65126, Jawa Timur

BUKA SETIAP HARI
Jam 08.00-23.00

——————————————————
Question? Please contact
WhatsApp
0896-5299-6959
089-787-200-33

Order via gojek, grab, cod, JNE, J&T
tokopedia.com/piranhavape

Follow us on Instagram
@piranhavapeshop
@piranhavapeshop
@piranhavapeshop

#piranhavape #vape #vapor #vapeporn #vapefam #vapeon #vapestagram #malang #malangvapor #malangvape #vapemalang #vapormalang #ejuice #vapenation #vaping #vapelyfe #tokovapemurah #vaporizer #batuvapor #malanghits #malangkota #malangraya #tokovapormurah #tokovapemalang #tokovapormalang

Follow us on Instagram & Tokopedia","['#restock', '#piranhavape', '#vape', '#vapor', '#vapeporn', '#vapefam', '#vapeon', '#vapestagram', '#malang', '#malangvapor', '#malangvape', '#vapemalang', '#vapormalang', '#ejuice', '#vapenation', '#vaping', '#vapelyfe', '#tokovapemurah', '#vaporizer', '#batuvapor', '#malanghits', '#malangkota', '#malangraya', '#tokovapormurah', '#tokovapemalang', '#tokovapormalang']","['@joiway_id', '@joiway_jatim', '@piranhavapeshop', '@piranhavapeshop', '@piranhavapeshop']"
