id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623694755476692993,1623694755476692993,2023-02-09 08:46:11 Central Standard Time,2023-02-09,08:46:11,-0600,2634377088,o2vape,O2VAPE,,Captains orders  “Take a Vapecation💨”  From your ONLY source for innovative vape products.  https://t.co/mbFhSSjxpM  #vapecation #vapeon #vapepen #vapereview #vapefamous #vapeclouds #extracts #liverosin #liveresin #solventless #paradisefound #mjbizcon  https://t.co/XWBcpguN80,en,[],['http://www.O2vape.com'],['https://pbs.twimg.com/media/FoiFxCSaAAA27h6.jpg'],0,0,1,"['vapecation', 'vapeon', 'vapepen', 'vapereview', 'vapefamous', 'vapeclouds', 'extracts', 'liverosin', 'liveresin', 'solventless', 'paradisefound', 'mjbizcon']",[],https://twitter.com/O2vape/status/1623694755476692993,False,,1,https://pbs.twimg.com/media/FoiFxCSaAAA27h6.jpg,,,,,,,[],,,,
1623664159031455748,1623664159031455748,2023-02-09 06:44:36 Central Standard Time,2023-02-09,06:44:36,-0600,1182427400631545856,sammiesilk,Sammie Silk,,"Sorry for posting so much lol, #vapeclouds is important",en,[],[],[],0,0,0,['vapeclouds'],[],https://twitter.com/SammieSilk/status/1623664159031455748,False,,0,,,,,,,,[],,,,
1623649035885379585,1623649035885379585,2023-02-09 05:44:30 Central Standard Time,2023-02-09,05:44:30,-0600,1182427400631545856,sammiesilk,Sammie Silk,,Send me your best #vapeclouds,en,[],[],[],0,0,0,['vapeclouds'],[],https://twitter.com/SammieSilk/status/1623649035885379585,False,,0,,,,,,,,[],,,,
1623631692203429890,1623631692203429890,2023-02-09 04:35:35 Central Standard Time,2023-02-09,04:35:35,-0600,1590436877068341249,davivihhc,davivi.de,,"43% CBD - Erdbeerli Hash Price 13,49 EUR On this website:  https://t.co/roOJLseaZo #Nordstream #Syrien #depremsondakika  #Blanco  #cannabis #cannabiscommunity  #cannabisgirls #cannabislight #nightclub #htc #hhc #nightcity #oil #oilpainting #oilandgas #oilpainter #vape #vapeclouds  https://t.co/qU5u8iDBvY",en,[],['https://www.davivi.de'],['https://pbs.twimg.com/media/FohKqImaYAEb0gN.png'],0,0,3,"['nordstream', 'syrien', 'depremsondakika', 'blanco', 'cannabis', 'cannabiscommunity', 'cannabisgirls', 'cannabislight', 'nightclub', 'htc', 'hhc', 'nightcity', 'oil', 'oilpainting', 'oilandgas', 'oilpainter', 'vape', 'vapeclouds']",[],https://twitter.com/davivihhc/status/1623631692203429890,False,,1,https://pbs.twimg.com/media/FohKqImaYAEb0gN.png,,,,,,,[],,,,
1623573654431838208,1623573654431838208,2023-02-09 00:44:58 Central Standard Time,2023-02-09,00:44:58,-0600,1182427400631545856,sammiesilk,Sammie Silk,,In 2020 lets get rid of #vapeclouds,en,[],[],[],0,0,0,['vapeclouds'],[],https://twitter.com/SammieSilk/status/1623573654431838208,False,,0,,,,,,,,[],,,,
1623525764040908802,1623525764040908802,2023-02-08 21:34:40 Central Standard Time,2023-02-08,21:34:40,-0600,1593154899805491200,helen34504272,Suorin-Helen,,Look for a classy lifestyle #suorinhi700 #suorin #vapefamous #vapeclouds💨💨💨 #vapehooligans #vapecloudshop #vapor #vapormax #vaporwaves #vaporwave #vapor #weekend #enjoy  https://t.co/ebDClF46LV,en,[],[],['https://pbs.twimg.com/media/FofsEPGaQAA_8Xk.jpg'],0,0,0,"['suorinhi700', 'suorin', 'vapefamous', 'vapeclouds', 'vapehooligans', 'vapecloudshop', 'vapor', 'vapormax', 'vaporwaves', 'vaporwave', 'vapor', 'weekend', 'enjoy']",[],https://twitter.com/Helen34504272/status/1623525764040908802,False,,1,https://pbs.twimg.com/media/FofsEPGaQAA_8Xk.jpg,,,,,,,[],,,,
1623467853184905216,1623467853184905216,2023-02-08 17:44:33 Central Standard Time,2023-02-08,17:44:33,-0600,1182427400631545856,sammiesilk,Sammie Silk,,In 2020 lets get rid of #vapeclouds,en,[],[],[],0,0,0,['vapeclouds'],[],https://twitter.com/SammieSilk/status/1623467853184905216,False,,0,,,,,,,,[],,,,
1623407429068398592,1623407429068398592,2023-02-08 13:44:27 Central Standard Time,2023-02-08,13:44:27,-0600,1182427400631545856,sammiesilk,Sammie Silk,,Send me your best #vapeclouds,en,[],[],[],0,0,0,['vapeclouds'],[],https://twitter.com/SammieSilk/status/1623407429068398592,False,,0,,,,,,,,[],,,,
1623377224887058433,1623377224887058433,2023-02-08 11:44:25 Central Standard Time,2023-02-08,11:44:25,-0600,1182427400631545856,sammiesilk,Sammie Silk,,"Sorry for posting so much lol, #vapeclouds is important",en,[],[],[],0,0,0,['vapeclouds'],[],https://twitter.com/SammieSilk/status/1623377224887058433,False,,0,,,,,,,,[],,,,
1623279124461797377,1623279124461797377,2023-02-08 05:14:36 Central Standard Time,2023-02-08,05:14:36,-0600,1182427400631545856,sammiesilk,Sammie Silk,,In 2020 lets get rid of #vapeclouds,en,[],[],[],0,0,0,['vapeclouds'],[],https://twitter.com/SammieSilk/status/1623279124461797377,False,,0,,,,,,,,[],,,,
