id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623744410105139204,1623744410105139204,2023-02-09 12:03:29 Central Standard Time,2023-02-09,12:03:29,-0600,2773854842,maxvapingstore,MaxVaping Store,,Ice Monster #vapecommunity #vapejuice $15.99 ➤  https://t.co/n7a8K8J0x8  https://t.co/38HuD4Piim,en,[],['https://maxvaping.com/products/ice-monster'],"['https://pbs.twimg.com/media/Foiy7UqWcAEvIgS.jpg', 'https://pbs.twimg.com/media/Foiy7hlWYAI60XY.jpg', 'https://pbs.twimg.com/media/Foiy7sgWYAQxzAI.jpg', 'https://pbs.twimg.com/media/Foiy76RXEAYCKOO.jpg']",0,0,0,"['vapecommunity', 'vapejuice']",[],https://twitter.com/MaxVapingStore/status/1623744410105139204,False,,1,https://pbs.twimg.com/media/Foiy7UqWcAEvIgS.jpg,,,,,,,[],,,,
1623743771958558720,1623743771958558720,2023-02-09 12:00:57 Central Standard Time,2023-02-09,12:00:57,-0600,2582925331,refillstationuk,Refill Station,,We'll see you other side...   #vape #vaping #ukvape #vapefriends #vapenewyear #vapelife #vapecommunity #vapedaily #vapeuk #ukvaping #vapeliquid #vapeliquid #vapejuice #vapenicsalt #vapeflavours #vapeshortfill #startvaping #quitsmoking #vapememe  https://t.co/GylpxzpE55,en,[],[],['https://pbs.twimg.com/media/FoiyWt4WIAAVRrz.jpg'],0,0,0,"['vape', 'vaping', 'ukvape', 'vapefriends', 'vapenewyear', 'vapelife', 'vapecommunity', 'vapedaily', 'vapeuk', 'ukvaping', 'vapeliquid', 'vapeliquid', 'vapejuice', 'vapenicsalt', 'vapeflavours', 'vapeshortfill', 'startvaping', 'quitsmoking', 'vapememe']",[],https://twitter.com/RefillStationUK/status/1623743771958558720,False,,1,https://pbs.twimg.com/media/FoiyWt4WIAAVRrz.jpg,,,,,,,[],,,,
1623733069118074885,1623733069118074885,2023-02-09 11:18:25 Central Standard Time,2023-02-09,11:18:25,-0600,1142415800822829056,triphippies,Curtis Adams,,#dmt   0.5g Dmt vape juice available   #dmt #vape #dmtvape #vapejuice  https://t.co/W8zHpBv1EA,en,[],[],['https://pbs.twimg.com/media/FoiontKXEAEu5gq.jpg'],0,0,0,"['dmt', 'dmt', 'vape', 'dmtvape', 'vapejuice']",[],https://twitter.com/TripHippies/status/1623733069118074885,False,,1,https://pbs.twimg.com/media/FoiontKXEAEu5gq.jpg,,,,,,,[],,,,
1623722224313151488,1623722224313151488,2023-02-09 10:35:20 Central Standard Time,2023-02-09,10:35:20,-0600,1326039369338159104,rvvigour,Vigour Rv,,Here are a few factors to take into account when looking for the best #vaporizer for your particular requirements. Read more -   https://t.co/CdgN7dxKsS  #vape #vapers #vapepen #vapejuice #vapemods  https://t.co/alwyNH7sPz,en,[],['https://buff.ly/40HuWbM'],['https://pbs.twimg.com/media/FoiewavX0AA2HIK.jpg'],0,0,0,"['vaporizer', 'vape', 'vapers', 'vapepen', 'vapejuice', 'vapemods']",[],https://twitter.com/RvVigour/status/1623722224313151488,False,,1,https://pbs.twimg.com/media/FoiewavX0AA2HIK.jpg,,,,,,,[],,,,
1623653007492538371,1623653007492538371,2023-02-09 06:00:17 Central Standard Time,2023-02-09,06:00:17,-0600,2582925331,refillstationuk,Refill Station,,Don’t just take our word for it… listen to our customers!  https://t.co/PTt9QgR7BV   #vapeworld #vapejuice #vapeindo #cbd #vapefriends #vapegram #vapelifestyle #cloudchaser #pod #smoke #vapehooligans #vapefamous #smok #subohm #vapeallday #saltnic #vapeaddict #vapeuk #mod  https://t.co/1FrKMUD4RB,en,[],['https://buff.ly/3D0is4W'],['https://pbs.twimg.com/media/FohfzW6WIAQfjcQ.jpg'],0,0,0,"['vapeworld', 'vapejuice', 'vapeindo', 'cbd', 'vapefriends', 'vapegram', 'vapelifestyle', 'cloudchaser', 'pod', 'smoke', 'vapehooligans', 'vapefamous', 'smok', 'subohm', 'vapeallday', 'saltnic', 'vapeaddict', 'vapeuk', 'mod']",[],https://twitter.com/RefillStationUK/status/1623653007492538371,False,,1,https://pbs.twimg.com/media/FohfzW6WIAQfjcQ.jpg,,,,,,,[],,,,
1623562830271352832,1623562830271352832,2023-02-09 00:01:57 Central Standard Time,2023-02-09,00:01:57,-0600,1465077520202489861,daheiniu88,relx悦刻晓玖,,relx悦刻官方正品授权一级经销商，各大小品牌电子烟渠道商。 正品保证，一手价格，专营电子烟 #电子烟批发 、#悦刻relx电子烟 #烟弹 #Vape #一次性电子烟 #vapelife #vapejuice   #disposablevapor #电子烟工厂 #一次性电子烟OEM +V:dolovethesea ✈️:@relx99  https://t.co/09TGLWh2pL,zh,"[{'screen_name': 'relx99', 'name': '.', 'id': '1253379444124848133'}]",[],['https://pbs.twimg.com/media/FogNyasaMAAk_NQ.jpg'],0,0,0,"['电子烟批发', '悦刻relx电子烟', '烟弹', 'vape', '一次性电子烟', 'vapelife', 'vapejuice', 'disposablevapor', '电子烟工厂', '一次性电子烟oem']",[],https://twitter.com/daheiniu88/status/1623562830271352832,False,,1,https://pbs.twimg.com/media/FogNyasaMAAk_NQ.jpg,,,,,,,[],,,,
1623495117121400832,1623495117121400832,2023-02-08 19:32:53 Central Standard Time,2023-02-08,19:32:53,-0600,1478911392850022400,sunnyluo99,Sunnyluo,,#wholesale #distributor #Trending #eliquid #vaporwave #vapor #vapelife #Supplies #jammonster #USA #Best #offers #vaping #vapespecial #vapecommunity #vapejuice #onlinestore #Vaporeon #choreboy #scrubbers #Vapear  https://t.co/1RexCnxRcJ,qme,[],[],['https://pbs.twimg.com/media/FofQL10aIAACsCa.jpg'],0,0,0,"['wholesale', 'distributor', 'trending', 'eliquid', 'vaporwave', 'vapor', 'vapelife', 'supplies', 'jammonster', 'usa', 'best', 'offers', 'vaping', 'vapespecial', 'vapecommunity', 'vapejuice', 'onlinestore', 'vaporeon', 'choreboy', 'scrubbers', 'vapear']",[],https://twitter.com/Sunnyluo99/status/1623495117121400832,False,,1,https://pbs.twimg.com/media/FofQL10aIAACsCa.jpg,,,,,,,[],,,,
1623491636104937472,1623491636104937472,2023-02-08 19:19:03 Central Standard Time,2023-02-08,19:19:03,-0600,1169870422050930688,jonagu3,Jona Gu-Chengxiang,,Automatic e-liquid bottle filling capping machine #chengxiang #eliquid #eliquidfillingmachine #eliquidfillingline #vapejuice  #cbdoil #hempoil #tincturefillingmachine #lavenderoilfilling  #fillingmachine #fillingline #manufacturer   Machine video:  https://t.co/Ci2tSH9GDC  https://t.co/mRM2Vj04oR,en,[],['https://youtu.be/FB4k7HfLYyQ'],"['https://pbs.twimg.com/media/FofM08GaMAAsLVT.jpg', 'https://pbs.twimg.com/media/FofM08HaQAAahLA.jpg', 'https://pbs.twimg.com/media/FofM08MaMAA-syZ.jpg', 'https://pbs.twimg.com/media/FofM08FaYAE1xY8.jpg']",0,0,0,"['chengxiang', 'eliquid', 'eliquidfillingmachine', 'eliquidfillingline', 'vapejuice', 'cbdoil', 'hempoil', 'tincturefillingmachine', 'lavenderoilfilling', 'fillingmachine', 'fillingline', 'manufacturer']",[],https://twitter.com/JonaGu3/status/1623491636104937472,False,,1,https://pbs.twimg.com/media/FofM08GaMAAsLVT.jpg,,,,,,,[],,,,
1623442084584734722,1623442084584734722,2023-02-08 16:02:09 Central Standard Time,2023-02-08,16:02:09,-0600,2773854842,maxvapingstore,MaxVaping Store,,Suorin Ace Pod System #vapecommunity #vapejuice $24.99 ➤  https://t.co/jOM1aIrI9Z  https://t.co/YmcJvyIKhG,cs,[],['https://maxvaping.com/products/suorin-ace'],['https://pbs.twimg.com/media/Foef-QFX0AAUAEg.jpg'],0,0,0,"['vapecommunity', 'vapejuice']",[],https://twitter.com/MaxVapingStore/status/1623442084584734722,False,,1,https://pbs.twimg.com/media/Foef-QFX0AAUAEg.jpg,,,,,,,[],,,,
1623414952357920768,1623414952357920768,2023-02-08 14:14:20 Central Standard Time,2023-02-08,14:14:20,-0600,1038523553375772672,kingkongvapeuk,King Kong Vape Juice,,"Enjoy a powerful combination of cherry and black, red and green grapes, blended with a smooth and creamy yoghurt flavour 🍒🍒🍒  👋Ask at your local #vape shop for us! 👉Become a #KingKongVapeJuice stockist on  https://t.co/yxOTRnHgGX  #vaping #vapejuice #vapetime #vapeliquid  https://t.co/txAs8jbXyq",en,[],['http://kingkongvapejuice.com'],['https://pbs.twimg.com/media/FoeGInwWIAIJ-Mz.jpg'],0,0,1,"['vape', 'kingkongvapejuice', 'vaping', 'vapejuice', 'vapetime', 'vapeliquid']",[],https://twitter.com/Kingkongvapeuk/status/1623414952357920768,False,,1,https://pbs.twimg.com/media/FoeGInwWIAIJ-Mz.jpg,,,,,,,[],,,,
