id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623151711207718912,1623151711207718912,2023-02-07 20:48:19 Central Standard Time,2023-02-07,20:48:19,-0600,1564433163417333760,fiona64795892,Fiona,,Advanced level of vape flavor for a truly creative experience! 🖤  #pureinvoke #vapeallday #vapejuice #vapor #vapegirls #vapehard #vapephotography #vapeaddict #vapeuk #vapeindonesia #ecig #vapeclouds #cloudchaser #vapestyle #vapeindo #vapesafe #subohm #ukvapers #vapelikeaboss  https://t.co/tylnHGu2Qp,en,[],[],['https://pbs.twimg.com/media/FoaX3uqaYAA8k5X.png'],0,1,0,"['pureinvoke', 'vapeallday', 'vapejuice', 'vapor', 'vapegirls', 'vapehard', 'vapephotography', 'vapeaddict', 'vapeuk', 'vapeindonesia', 'ecig', 'vapeclouds', 'cloudchaser', 'vapestyle', 'vapeindo', 'vapesafe', 'subohm', 'ukvapers', 'vapelikeaboss']",[],https://twitter.com/Fiona64795892/status/1623151711207718912,False,,1,https://pbs.twimg.com/media/FoaX3uqaYAA8k5X.png,,,,,,,[],,,,
1623141010489630720,1623141010489630720,2023-02-07 20:05:48 Central Standard Time,2023-02-07,20:05:48,-0600,1514813952437338118,alicezh76190226,Tastefog vape Alice Zhu,,Tastefog-Tplus 800Puffs #vapegermany #vapeuk #vapelife #vapestyle #vapeoriginalfactory #manufacturer  #cigaretteélectronique #전자담배. #電子タバコ #elektrischeZigarette #Электроннаясигарета #Cigarroeletrônico #cigarette #ecigarette #electroniccigarette #vape #disposablevape  https://t.co/ypNt3kOxhH,sv,[],[],['https://pbs.twimg.com/media/FoaN7_xakAEW35E.jpg'],0,0,0,"['vapegermany', 'vapeuk', 'vapelife', 'vapestyle', 'vapeoriginalfactory', 'manufacturer', 'cigaretteélectronique', '전자담배', '電子タバコ', 'elektrischezigarette', 'электроннаясигарета', 'cigarroeletrônico', 'cigarette', 'ecigarette', 'electroniccigarette', 'vape', 'disposablevape']",[],https://twitter.com/AliceZh76190226/status/1623141010489630720,False,,1,https://pbs.twimg.com/media/FoaN7_xakAEW35E.jpg,,,,,,,[],,,,
1622477717655388161,1622477717655388161,2023-02-06 00:10:06 Central Standard Time,2023-02-06,00:10:06,-0600,1614910108252733444,warrior93330258,Warrior,,VAPORESSO XROS MINI KIT  The Vaporesso Xros Mini retains many of the easy-to- use features of the original Xros including fxed-coil pods and auto-draw activation    https://t.co/nWcmjchwLf  #vape #vapelife #vapecommunity #vapefam #vapeuk #vapestyle  https://t.co/lm1aOWE9IO,en,[],['https://emteleevapes.co.uk/collections/vaping-kits/products/vaporesso-xros-mini-kit?ref=BB8SVy30'],['https://pbs.twimg.com/media/FoQy4qNWQAAOzT3.jpg'],0,0,0,"['vape', 'vapelife', 'vapecommunity', 'vapefam', 'vapeuk', 'vapestyle']",[],https://twitter.com/Warrior93330258/status/1622477717655388161,False,,1,https://pbs.twimg.com/media/FoQy4qNWQAAOzT3.jpg,,,,,,,[],,,,
1621917996544364548,1621917996544364548,2023-02-04 11:05:58 Central Standard Time,2023-02-04,11:05:58,-0600,214888100,vludo,hum...,,#TeamPixel #pixel7 #vapestyle #vapeworld #france🇫🇷  https://t.co/wc1s2CSoyt,und,[],['https://www.instagram.com/p/CoP4xTWMP_4/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['teampixel', 'pixel7', 'vapestyle', 'vapeworld', 'france']",[],https://twitter.com/vludo/status/1621917996544364548,False,,0,,,,,,,,[],,,,
1621487516330168322,1621487516330168322,2023-02-03 06:35:24 Central Standard Time,2023-02-03,06:35:24,-0600,1509860006795042818,richard78915326,Richard Mathews,,Esco Bars MESH Vape Disposable by Pastel Cartel FRUITIA X - 10PK  https://t.co/0yoWiTBBRf WARNING: These Products Contain Nicotine. No Sales to under 21 yrs old. #vapelikeaboss #everythingvapes #vapestyle #vapepen #vapeoftheday #vapestars #vapehooligans #vapefriends #vapelife,en,[],['https://everythingvapes.com/products/esco-bars-mesh-vape-disposable-by-pastel-cartel-fruitia-10pk'],[],0,0,0,"['vapelikeaboss', 'everythingvapes', 'vapestyle', 'vapepen', 'vapeoftheday', 'vapestars', 'vapehooligans', 'vapefriends', 'vapelife']",[],https://twitter.com/Richard78915326/status/1621487516330168322,False,,0,,,,,,,,[],,,,
1621063566685097988,1621063566685097988,2023-02-02 02:30:46 Central Standard Time,2023-02-02,02:30:46,-0600,976191713881526272,vapeurshop,Vapeurshop,,Des couleurs à la montagne 🏔️☀️  #vaporwave #vapestyle #vaporgram #color  https://t.co/rkHv66tQJb,fr,[],['https://www.instagram.com/p/CoJ0OA8o1V7/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['vaporwave', 'vapestyle', 'vaporgram', 'color']",[],https://twitter.com/vapeurshop/status/1621063566685097988,False,,0,,,,,,,,[],,,,
1617530215244128256,1617530215244128256,2023-01-23 08:30:30 Central Standard Time,2023-01-23,08:30:30,-0600,1491524729403891717,thedankcave,Dankcave,,"The White Rhino is one of the best dry herb vaporizers on the market, with a silent operation and great performance. Shop Now:  https://t.co/W6R8jO3Ayf #vape #dankcave #dryherbvaporizer #vaporizers #vape #bongs #bongsforsale #vapecommunity #vapeshop #vapestyle #vapeclouds  https://t.co/mNjhq0bnyX",en,[],['https://bit.ly/3QYCJ0s'],['https://pbs.twimg.com/media/FnKOMkRagAIvnS0.png'],0,0,0,"['vape', 'dankcave', 'dryherbvaporizer', 'vaporizers', 'vape', 'bongs', 'bongsforsale', 'vapecommunity', 'vapeshop', 'vapestyle', 'vapeclouds']",[],https://twitter.com/TheDankcave/status/1617530215244128256,False,,1,https://pbs.twimg.com/media/FnKOMkRagAIvnS0.png,,,,,,,[],,,,
1614601321964867585,1614601321964867585,2023-01-15 06:32:07 Central Standard Time,2023-01-15,06:32:07,-0600,1603738092724264966,vapepenh,Vape Pen HHC,,achat de HHC-O et livraison de HHC-O   https://t.co/0z8X219y0P #vapedeals #cannabisclub #cannabispatient #cannabislove #vapegang #vapeon #vapefamous #hhcvapestore #hhcvaping #vapoteuse #ezigarette #vapestyle  https://t.co/26nylgGiM3,fr,[],['https://about.me/vapepenhhc/getstarted'],['https://pbs.twimg.com/media/Fmg3SYXXEAAlNoG.jpg'],0,0,1,"['vapedeals', 'cannabisclub', 'cannabispatient', 'cannabislove', 'vapegang', 'vapeon', 'vapefamous', 'hhcvapestore', 'hhcvaping', 'vapoteuse', 'ezigarette', 'vapestyle']",[],https://twitter.com/VapepenH/status/1614601321964867585,False,,1,https://pbs.twimg.com/media/Fmg3SYXXEAAlNoG.jpg,,,,,,,[],,,,
1613114295931359232,1613114295931359232,2023-01-11 04:03:13 Central Standard Time,2023-01-11,04:03:13,-0600,1603738092724264966,vapepenh,Vape Pen HHC,,achat de HHC-O et livraison de HHC-O   https://t.co/y9wTWXK9SE #vapeshop #hhcvap #cannabisdaily #cannabiscup #cannabispatient #vapelove #cannabisoil #cannabislover #hhcvapen #vapesale #puffs #vapeuk #vapestyle  https://t.co/dZ4vpqvYIH,fr,[],['https://google.com/maps/?cid=8636678188132270665'],['https://pbs.twimg.com/media/FmLu2FDWYAARCOx.jpg'],0,0,2,"['vapeshop', 'hhcvap', 'cannabisdaily', 'cannabiscup', 'cannabispatient', 'vapelove', 'cannabisoil', 'cannabislover', 'hhcvapen', 'vapesale', 'puffs', 'vapeuk', 'vapestyle']",[],https://twitter.com/VapepenH/status/1613114295931359232,False,,1,https://pbs.twimg.com/media/FmLu2FDWYAARCOx.jpg,,,,,,,[],,,,
1612359808115691520,1612359808115691520,2023-01-09 02:05:09 Central Standard Time,2023-01-09,02:05:09,-0600,1603738092724264966,vapepenh,Vape Pen HHC,,Une alternative possible du THC   https://t.co/vTpvqbCfUw #cartoucheshhc #cannabisgrower #vapenation #VapeFam #vapeshop #vapestagram #vapeloungevape #cannabisseeds #cannabis420 #vapechicks #vapestyle #vapoteursdefrance #vapefam  https://t.co/uimGmqdbEP,fr,[],['https://storage.googleapis.com/hhc-achat/index.html'],['https://pbs.twimg.com/media/FmBApFxWAAAI5id.jpg'],0,0,0,"['cartoucheshhc', 'cannabisgrower', 'vapenation', 'vapefam', 'vapeshop', 'vapestagram', 'vapeloungevape', 'cannabisseeds', 'cannabis420', 'vapechicks', 'vapestyle', 'vapoteursdefrance', 'vapefam']",[],https://twitter.com/VapepenH/status/1612359808115691520,False,,1,https://pbs.twimg.com/media/FmBApFxWAAAI5id.jpg,,,,,,,[],,,,
