id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623629530660499456,1623629530660499456,2023-02-09 04:27:00 Central Standard Time,2023-02-09,04:27:00,-0600,1602547854446190592,ryanhatt99,ISOK.Ryan,,"#ISOK Welcome to ask about price and other details~ 🌬800 Puffs, ISOK X, TPD certificate 𝑾𝒉𝒂𝒕𝒔𝒂𝒑𝒑：+8613025479278  🔞𝙉𝙊 𝙐𝙉𝘿𝙀𝙍𝘼𝙂𝙀 #vapewholesale #disposablevape #vapeusa #Vape #vapeshop #vapebusiness #vapelife #vapeHonduras #Ecigs #ECig  https://t.co/KLA4brANcg",en,[],[],"['https://pbs.twimg.com/media/FohKcOvagAAd-yn.jpg', 'https://pbs.twimg.com/media/FohKcO5aMAAzfxp.jpg', 'https://pbs.twimg.com/media/FohKcOtaYAM4LHL.jpg', 'https://pbs.twimg.com/media/FohKcO1aYAARyVG.jpg']",0,1,0,"['isok', 'vapewholesale', 'disposablevape', 'vapeusa', 'vape', 'vapeshop', 'vapebusiness', 'vapelife', 'vapehonduras', 'ecigs', 'ecig']",[],https://twitter.com/RyanHatt99/status/1623629530660499456,False,,1,https://pbs.twimg.com/media/FohKcOvagAAd-yn.jpg,,,,,,,[],,,,
1623625004868042752,1623625004868042752,2023-02-09 04:09:01 Central Standard Time,2023-02-09,04:09:01,-0600,1594044604268957696,fannyqiu0408,Fanny_qiu,,Jomotech Lucky Bar L3 3000 Puffs Disposable Vape Puffs: 3000puff Volume: 10ml Battery: 550mAh Nicotine Strength:0%/2%/5%/custom We support OEM: custom color/logo/flavor/ packaging Website:  https://t.co/kkE2lb4ZzB #vape #disposablevape #vapepen #vapewholesale  https://t.co/W5vej3TYhf,en,[],['http://www.jomotech.com'],['https://pbs.twimg.com/media/FohGUiKaYAEtbXA.png'],0,0,0,"['vape', 'disposablevape', 'vapepen', 'vapewholesale']",[],https://twitter.com/Fannyqiu0408/status/1623625004868042752,False,,1,https://pbs.twimg.com/media/FohGUiKaYAEtbXA.png,,,,,,,[],,,,
1623589991644532738,1623589675373039617,2023-02-09 01:49:53 Central Standard Time,2023-02-09,01:49:53,-0600,1530000322164576256,venfreyshi,HQD Venfrey,,"⚠️Warning: the product contains nicotine which is an addictive chemical, for 21+ only, and its use by non-smokers is not recommended.  #HQD #hqdtech #vape #FastNFurious #cuvieplus #TPE23 #vapewholesale #vapelife #vapeshop #vapecommunity #vapefactory #vapeusa #vapeeurope #ecig",en,[],[],[],0,1,1,"['hqd', 'hqdtech', 'vape', 'fastnfurious', 'cuvieplus', 'tpe23', 'vapewholesale', 'vapelife', 'vapeshop', 'vapecommunity', 'vapefactory', 'vapeusa', 'vapeeurope', 'ecig']",[],https://twitter.com/VenfreyShi/status/1623589991644532738,False,,0,,,,,,,,[],,,,
1623579859476938753,1623579859476938753,2023-02-09 01:09:37 Central Standard Time,2023-02-09,01:09:37,-0600,720180528540819457,sophie_kangvape,Sophie Kangvape,,Kangvape new brand Yibla 6500 puffs for your first sight😘 #Kangvape #smod #yibla #yibla6500pufs  #vapedistributor #vapewholesale #ecigs #vapedisposable  #vapeaustralia #vapenewzealand #vapecanada #vapechicago #vapegermany #vapeusa #vapecalifornia #vapetexas #vapenj #vapeflorida  https://t.co/e0QjFtBTLN,en,[],[],['https://pbs.twimg.com/media/FogdJf8agAAfPqO.jpg'],0,0,0,"['kangvape', 'smod', 'yibla', 'yibla6500pufs', 'vapedistributor', 'vapewholesale', 'ecigs', 'vapedisposable', 'vapeaustralia', 'vapenewzealand', 'vapecanada', 'vapechicago', 'vapegermany', 'vapeusa', 'vapecalifornia', 'vapetexas', 'vapenj', 'vapeflorida']",[],https://twitter.com/Sophie_kangvape/status/1623579859476938753,False,,1,https://pbs.twimg.com/media/FogdJf8agAAfPqO.jpg,,,,,,,[],,,,
1623530911705997313,1623530911705997313,2023-02-08 21:55:07 Central Standard Time,2023-02-08,21:55:07,-0600,1514813952437338118,alicezh76190226,Tastefog vape Alice Zhu,,Tastefog Square 3500puff #vapegermany #vapeuk #vapegermany #vapebulgaria #vaperomania #vapefactory #originalvape #cigaretteélectronique #elektrischeZigarette #Cigarroeletrônico #Cigarrilloelectrónico #cigarette #ecigarette #electroniccigarette #vape #disposablevape #vapewholesale  https://t.co/5cvUHeIp2x,en,[],[],['https://pbs.twimg.com/media/Fofwex9aQAIGwTj.jpg'],0,0,0,"['vapegermany', 'vapeuk', 'vapegermany', 'vapebulgaria', 'vaperomania', 'vapefactory', 'originalvape', 'cigaretteélectronique', 'elektrischezigarette', 'cigarroeletrônico', 'cigarrilloelectrónico', 'cigarette', 'ecigarette', 'electroniccigarette', 'vape', 'disposablevape', 'vapewholesale']",[],https://twitter.com/AliceZh76190226/status/1623530911705997313,False,,1,https://pbs.twimg.com/media/Fofwex9aQAIGwTj.jpg,,,,,,,[],,,,
1623264260611788800,1623264260611788800,2023-02-08 04:15:33 Central Standard Time,2023-02-08,04:15:33,-0600,1602547854446190592,ryanhatt99,ISOK.Ryan,,"#ISOK Welcome to ask about price and other details~ 🌬2000 Puffs, ISOK pro 𝑾𝒉𝒂𝒕𝒔𝒂𝒑𝒑：+8613025479278  🔞𝙉𝙊 𝙐𝙉𝘿𝙀𝙍𝘼𝙂𝙀 #vapewholesale #disposablevape #vapeusa #Vape #vapeshop #vapebusiness #vapelife #vapeHonduras #Ecigs #ECig  https://t.co/Gjh48DIbBO",en,[],[],"['https://pbs.twimg.com/media/Fob-PI7aAAAG0e5.jpg', 'https://pbs.twimg.com/media/Fob-PI4aIAAqzvb.jpg', 'https://pbs.twimg.com/media/Fob-PIyaQAAb5M2.jpg', 'https://pbs.twimg.com/media/Fob-PI4agAE0EOY.jpg']",0,1,0,"['isok', 'vapewholesale', 'disposablevape', 'vapeusa', 'vape', 'vapeshop', 'vapebusiness', 'vapelife', 'vapehonduras', 'ecigs', 'ecig']",[],https://twitter.com/RyanHatt99/status/1623264260611788800,False,,1,https://pbs.twimg.com/media/Fob-PI7aAAAG0e5.jpg,,,,,,,[],,,,
1623246530357661697,1623246530357661697,2023-02-08 03:05:05 Central Standard Time,2023-02-08,03:05:05,-0600,1587473969263038464,yilia44651639,Vapewholesale_inc,,Tastefog Grand 4000puffs Disposable Vape Pen #tastefog #vapepen #vapes #vapepod #vapekit #vapewholesale #vapeoem #wholesale #customvape #oem #factory #fashion #vaper #vapepic #vapeman #vapespain #vapeuk #vapeus #vapeworld  https://t.co/RvQG29UJCe,en,[],[],"['https://pbs.twimg.com/media/FobuB_LaQAIWcMG.jpg', 'https://pbs.twimg.com/media/FobuCZPaAAALIOg.jpg', 'https://pbs.twimg.com/media/FobuDBCaUAE9XY4.jpg']",0,0,0,"['tastefog', 'vapepen', 'vapes', 'vapepod', 'vapekit', 'vapewholesale', 'vapeoem', 'wholesale', 'customvape', 'oem', 'factory', 'fashion', 'vaper', 'vapepic', 'vapeman', 'vapespain', 'vapeuk', 'vapeus', 'vapeworld']",[],https://twitter.com/Yilia44651639/status/1623246530357661697,False,,1,https://pbs.twimg.com/media/FobuB_LaQAIWcMG.jpg,,,,,,,[],,,,
1623219921919561729,1623219921919561729,2023-02-08 01:19:22 Central Standard Time,2023-02-08,01:19:22,-0600,1594044604268957696,fannyqiu0408,Fanny_qiu,,Jomotech P PLUS TPD 500 Puffs Disposable Vape Puffs: 500puffs Capacity: 2ml Battery: 400mAh Nicotine Strength: 0%/2%/5%/custom Size: 90 x 16 x 16 mm We support OEM: custom color/logo/flavor/ packaging Website:  https://t.co/kkE2lb4ZzB #vape #disposablevape #vapepen #vapewholesale  https://t.co/Zix8oPtzjV,en,[],['http://www.jomotech.com'],"['https://pbs.twimg.com/media/FobVuf-aYAEQ7jd.jpg', 'https://pbs.twimg.com/media/FobVzeqaAAEkno_.jpg', 'https://pbs.twimg.com/media/FobV1i2akAABD6a.jpg', 'https://pbs.twimg.com/media/FobV1kRacAE4ohw.jpg']",0,0,0,"['vape', 'disposablevape', 'vapepen', 'vapewholesale']",[],https://twitter.com/Fannyqiu0408/status/1623219921919561729,False,,1,https://pbs.twimg.com/media/FobVuf-aYAEQ7jd.jpg,,,,,,,[],,,,
1623219379273093120,1623219379273093120,2023-02-08 01:17:12 Central Standard Time,2023-02-08,01:17:12,-0600,1594044604268957696,fannyqiu0408,Fanny_qiu,,Jomotech L6 600 Puffs Disposable Vape Puffs: 600puffs Capacity: 2ml Battery: 400mAh Nicotine Strength: 0%/2%/5%/custom Size: 110*16*13mm We support OEM: custom color/logo/flavor/ packaging Website:  https://t.co/kkE2lb4ZzB #vape #disposablevape #vapepen #vapewholesale  https://t.co/Z8cRCtIWpy,en,[],['http://www.jomotech.com'],"['https://pbs.twimg.com/media/FobVPtlagAEcECJ.png', 'https://pbs.twimg.com/media/FobVPtdaQAEywkX.png', 'https://pbs.twimg.com/media/FobVP_EaQAA_ujQ.png', 'https://pbs.twimg.com/media/FobVQT0aYAAotHO.png']",0,0,0,"['vape', 'disposablevape', 'vapepen', 'vapewholesale']",[],https://twitter.com/Fannyqiu0408/status/1623219379273093120,False,,1,https://pbs.twimg.com/media/FobVPtlagAEcECJ.png,,,,,,,[],,,,
1623214603252666369,1623214603252666369,2023-02-08 00:58:13 Central Standard Time,2023-02-08,00:58:13,-0600,1240842697365049345,arialaul,Yuoto Vape Aria,,#disposablevape #vape #vapelife #vapeshop #vaping #vapecommunity #vapeusa #vapor #vapenation #vapepen #ecig #puffbar #vapewholesale #vapes #disposablevapepen #vapeuk #disposable #smokeshop #vapestore #vapedaily #delta #vapers #cbd #ecigarette #eliquid #vapeon #puff #disposablepod  https://t.co/FirN2TyC6E,qme,[],[],[],0,1,1,"['disposablevape', 'vape', 'vapelife', 'vapeshop', 'vaping', 'vapecommunity', 'vapeusa', 'vapor', 'vapenation', 'vapepen', 'ecig', 'puffbar', 'vapewholesale', 'vapes', 'disposablevapepen', 'vapeuk', 'disposable', 'smokeshop', 'vapestore', 'vapedaily', 'delta', 'vapers', 'cbd', 'ecigarette', 'eliquid', 'vapeon', 'puff', 'disposablepod']",[],https://twitter.com/ArialauL/status/1623214603252666369,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1623214528883494918/pu/img/Js4yAlsU2BZkkU9A.jpg,,,,,,,[],,,,
