id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623691163592200195,1623691163592200195,2023-02-09 08:31:54 Central Standard Time,2023-02-09,08:31:54,-0600,15627598,jorgeolson,JorgeOlson,,It's going to be a great day at the Champs show.  Come see Snoop Dogg at our booth 1201. #SnoopDogg #smokeshop $hpco $ggii,en,[],[],[],0,3,21,"['snoopdogg', 'smokeshop']","['hpco', 'ggii']",https://twitter.com/JorgeOlson/status/1623691163592200195,False,,0,,,,,,,,[],,,,
1623687010459299841,1623687010459299841,2023-02-09 08:15:24 Central Standard Time,2023-02-09,08:15:24,-0600,1018953641913405440,waterbedsnstuff,Waterbeds 'n' Stuff,,"Looking for the perfect handpipe to enhance your smoking experience? Look no further! Our handpipes are stylish, durable, and made with the highest quality materials.  https://t.co/8AF3GnYhAW   #HandPipes #SmokeShop #SmokeStyle #marijuana  https://t.co/xMxWGtC64z",en,[],['https://waterbedsnstuff.com/tobacco-products/hand-pipes/'],"['https://pbs.twimg.com/media/Foh-mGEX0AYo8hu.jpg', 'https://pbs.twimg.com/media/Foh-mGGWcAIN0yC.jpg']",0,0,0,"['handpipes', 'smokeshop', 'smokestyle', 'marijuana']",[],https://twitter.com/WaterbedsNstuff/status/1623687010459299841,False,,1,https://pbs.twimg.com/media/Foh-mGEX0AYo8hu.jpg,,,,,,,[],,,,
1623683538854748168,1623683538854748168,2023-02-09 08:01:36 Central Standard Time,2023-02-09,08:01:36,-0600,3146415684,burnandbrewva,Burn & Brew,,"Black coffee and a cigar, quite possibly the perfect pairing! Would you agree?  #burnandbrew #burnandbrewva #smokeshop  https://t.co/nURMnWJbR6",en,[],[],['https://pbs.twimg.com/media/Foh7kn_XEAA5S5F.jpg'],0,0,0,"['burnandbrew', 'burnandbrewva', 'smokeshop']",[],https://twitter.com/BurnAndBrewVA/status/1623683538854748168,False,,1,https://pbs.twimg.com/media/Foh7kn_XEAA5S5F.jpg,,,,,,,[],,,,
1623672404294742016,1623672404294742016,2023-02-09 07:17:22 Central Standard Time,2023-02-09,07:17:22,-0600,1494100896199884800,highgradekryssy,High-Grade K r y s s y 🇯🇲,,Read about What Is Hot Grabba in our latest blog post!  https://t.co/WXbxoDxIYR #grabba #grabbaleaf #hotgrabba #fronto #blunt #bluntwraps #smokeshop #highgradejaleaf #blog  https://t.co/sb9MMt0g5j,en,[],['https://tinyurl.com/3sxjv9cp'],['https://pbs.twimg.com/media/FohxcgeWIAEmg7A.jpg'],0,0,0,"['grabba', 'grabbaleaf', 'hotgrabba', 'fronto', 'blunt', 'bluntwraps', 'smokeshop', 'highgradejaleaf', 'blog']",[],https://twitter.com/highgradekryssy/status/1623672404294742016,False,,1,https://pbs.twimg.com/media/FohxcgeWIAEmg7A.jpg,,,,,,,[],,,,
1623660485186043904,1623660485186043904,2023-02-09 06:30:00 Central Standard Time,2023-02-09,06:30:00,-0600,1570589558860910592,galaxysmokevape,Galaxy Smoke and Vape Shop,,@GalaxySmokeVape #smokeshop # #hamptonbeach #hamptonbeachnh #newhampshire #NewEngland,und,[],[],[],0,0,0,"['smokeshop', 'hamptonbeach', 'hamptonbeachnh', 'newhampshire', 'newengland']",[],https://twitter.com/GalaxySmokeVape/status/1623660485186043904,False,https://twitter.com/TopLeafList/status/1623188569153245185,0,,,,,,,,[],,,,
1623660017738981381,1623660017738981381,2023-02-09 06:28:09 Central Standard Time,2023-02-09,06:28:09,-0600,1575294411071791104,melazassllc,Melaza Smoke Shop !PUFF,,Come check out the one hitter selection we’ve got! #onie #pipe #puertorico #smokeshop  https://t.co/PNXDU2Fj0H,en,[],[],['https://pbs.twimg.com/media/FohmLUkXoAAIj3L.jpg'],0,1,0,"['onie', 'pipe', 'puertorico', 'smokeshop']",[],https://twitter.com/MelazaSSLLC/status/1623660017738981381,False,,1,https://pbs.twimg.com/media/FohmLUkXoAAIj3L.jpg,,,,,,,[],,,,
1623631877742419977,1623631877742419977,2023-02-09 04:36:19 Central Standard Time,2023-02-09,04:36:19,-0600,383243893,stephenkeeler1,Rock Fantasy Concert Shop,"{'type': 'Point', 'coordinates': [41.44499, -74.41926]}",Dugout pipes back in stock ! #smokeshop #smokeshoplife #420 bob marley @ Rock Fantasy  https://t.co/g2pE3D1IFq,ht,[],['https://www.instagram.com/p/CocEJ0lubHI/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['smokeshop', 'smokeshoplife']",[],https://twitter.com/stephenkeeler1/status/1623631877742419977,False,,0,,,,,,,,[],,,,
1623479523621670918,1623479523621670918,2023-02-08 18:30:55 Central Standard Time,2023-02-08,18:30:55,-0600,1516123864283156488,vapeo2phl,Vape02,,New drinks available at @VapeO2PHL Chinatown! Try out these amazing drinks at  https://t.co/tOs5CZ1fzQ  #philadelphia #philly #southphilly #vapeo2 #phillygram #universitycity #phillysupportphilly #westphilly #disposables #fishtown #smokeshop #vapestore #cbd #cbdproducts #delta8  https://t.co/BgeqPFSi6r,en,"[{'screen_name': 'vapeo2phl', 'name': 'vape02', 'id': '1516123864283156488'}]",['http://vapeo2chinatown.com'],['https://pbs.twimg.com/media/FofB16LXoAAKyG_.jpg'],0,0,1,"['philadelphia', 'philly', 'southphilly', 'vapeo2', 'phillygram', 'universitycity', 'phillysupportphilly', 'westphilly', 'disposables', 'fishtown', 'smokeshop', 'vapestore', 'cbd', 'cbdproducts', 'delta8']",[],https://twitter.com/VapeO2PHL/status/1623479523621670918,False,,1,https://pbs.twimg.com/media/FofB16LXoAAKyG_.jpg,,,,,,,[],,,,
1623446577921548288,1623446577921548288,2023-02-08 16:20:01 Central Standard Time,2023-02-08,16:20:01,-0600,1501312930637402115,mr_gas_pipe,The Gas Pipe,,"Y'all ready to win some free stuff?! Valentine's Day is right around the corner, so we are giving out freebies!!! Feb. 8 - 14, with every purchase, you get to snag a chocolate candy and win some Gas Pipe gear!   #thegaspipe #dfw #smokeshop #valentines #aiartwork #freebies  https://t.co/tJfl8iVJ55",en,[],[],"['https://pbs.twimg.com/media/FoeUakmXEAE9beD.jpg', 'https://pbs.twimg.com/media/FoeUamOXoAEgyyR.jpg', 'https://pbs.twimg.com/media/FoeUakiXwAEMWJS.jpg', 'https://pbs.twimg.com/media/FoeUaklXEAMwqtA.jpg']",0,0,0,"['thegaspipe', 'dfw', 'smokeshop', 'valentines', 'aiartwork', 'freebies']",[],https://twitter.com/Mr_Gas_Pipe/status/1623446577921548288,False,,1,https://pbs.twimg.com/media/FoeUakmXEAE9beD.jpg,,,,,,,[],,,,
1623431722133241856,1623431722133241856,2023-02-08 15:20:59 Central Standard Time,2023-02-08,15:20:59,-0600,15627598,jorgeolson,JorgeOlson,,At the Champs show in Las Vegas. $ggii $hpco #wholesle #smokeshop  https://t.co/k0FvfHcj4A,en,[],[],['https://pbs.twimg.com/media/FoeWiSLaYAACNtu.jpg'],0,5,28,"['wholesle', 'smokeshop']","['ggii', 'hpco']",https://twitter.com/JorgeOlson/status/1623431722133241856,False,,1,https://pbs.twimg.com/media/FoeWiSLaYAACNtu.jpg,,,,,,,[],,,,
