id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623704760510545922,1623704760510545922,2023-02-09 09:25:56 Central Standard Time,2023-02-09,09:25:56,-0600,3710877026,coesprisson,COESPRISSON,,Los #vapeadores constituyen un riesgo especialmente para la salud de los jóvenes. La EVALI es un daño pulmonar potencialmente mortal causado por el vape.  Conoce más sobre como prevenirlo consultando el artículo de dos especialistas de Conadic Mx  @DrSergioMorales @COFEPRIS  https://t.co/yWs2p3VTbW,es,"[{'screen_name': 'drsergiomorales', 'name': 'sergio morales garcia', 'id': '971104037415325697'}, {'screen_name': 'cofepris', 'name': 'cofepris', 'id': '194641267'}]",[],"['https://pbs.twimg.com/media/FoiOw0FWYAIob9A.jpg', 'https://pbs.twimg.com/media/FoiOw0EWIAEuwI3.jpg']",0,0,2,['vapeadores'],[],https://twitter.com/COESPRISSON/status/1623704760510545922,False,,1,https://pbs.twimg.com/media/FoiOw0FWYAIob9A.jpg,,,,,,,[],,,,
1623638974974550018,1623638974974550018,2023-02-09 05:04:32 Central Standard Time,2023-02-09,05:04:32,-0600,1570709452839391233,tu_vapeo,TuVapeo.com,,"Hemos publicado nuestro primer Blog,  aquí les contaremos información y novedades del mundo del Vapeo.     https://t.co/c34U4RCbPn  #tuvapeo #vaping #vapers #vapeadores #vaporizadores #pods #cigarrilloelectronio #ecigarette",es,[],['https://www.tuvapeo.com/que-son-los-vapeadores/'],[],0,0,0,"['tuvapeo', 'vaping', 'vapers', 'vapeadores', 'vaporizadores', 'pods', 'cigarrilloelectronio', 'ecigarette']",[],https://twitter.com/tu_vapeo/status/1623638974974550018,False,,0,,,,,,,,[],,,,
1623637841237667840,1623637841237667840,2023-02-09 05:00:01 Central Standard Time,2023-02-09,05:00:01,-0600,1456457950264848389,veceevape,VECEE,,VECEE 2ml disposable Vapes Fam 💥 Unique JLS Tech VS Ultra-Slim but More Puffs ✅E-liquid Capacity: 2ml ✅Puffs: Up to 600/800 ... 👉 https://t.co/s85icfnCGu . . . #vecee #veceevape #veceeluke #veceepicco #veceefino #vaperewiews #vapeadores #vapedaily #vapelife #vapeshop #vape  https://t.co/KzNjTk8sIH,en,[],['https://bit.ly/40qjCkp'],['https://pbs.twimg.com/media/FoRdDyfWYAILe-r.jpg'],0,0,3,"['vecee', 'veceevape', 'veceeluke', 'veceepicco', 'veceefino', 'vaperewiews', 'vapeadores', 'vapedaily', 'vapelife', 'vapeshop', 'vape']",[],https://twitter.com/VECEEVape/status/1623637841237667840,False,,1,https://pbs.twimg.com/media/FoRdDyfWYAILe-r.jpg,,,,,,,[],,,,
1623547836385185792,1623547836385185792,2023-02-08 23:02:22 Central Standard Time,2023-02-08,23:02:22,-0600,4228215914,agphillooficial,AGP Hermosillo,,"¿Usas este aditamento, aparentemente inofensivo?   #Vapeadores #CigarrillosElectrónicos #JUUL  https://t.co/spu1dMAm6q",pt,[],[],['https://pbs.twimg.com/media/FogAJunaIAUnTJ4.jpg'],0,0,0,"['vapeadores', 'cigarrilloselectrónicos', 'juul']",[],https://twitter.com/agphilloOFICIAL/status/1623547836385185792,False,,1,https://pbs.twimg.com/media/FogAJunaIAUnTJ4.jpg,,,,,,,[],,,,
1623404070667972609,1623404070667972609,2023-02-08 13:31:06 Central Standard Time,2023-02-08,13:31:06,-0600,1025002178,agsanitaria,AGEPSA CDMX,,Los #vapeadores constituyen un riesgo especialmente para la salud de los jóvenes. La EVALI es un daño pulmonar🫁 potencialmente mortal causado por el #vape 🚫🚫  Conoce más sobre como prevenirlo consultando el artículo de dos especialistas de @CONADICmx    https://t.co/CVZlTImHEv  https://t.co/q8ZncGN6sP,es,"[{'screen_name': 'conadicmx', 'name': 'conadic', 'id': '334747582'}]",['http://bit.ly/3ixu6JP'],"['https://pbs.twimg.com/media/Fod8zylXsAMRA8H.jpg', 'https://pbs.twimg.com/media/Fod82zvWYAMua2x.jpg']",0,0,0,"['vapeadores', 'vape']",[],https://twitter.com/AGSANITARIA/status/1623404070667972609,False,,1,https://pbs.twimg.com/media/Fod8zylXsAMRA8H.jpg,,,,,,,[],,,,
1623401341648240640,1623401341648240640,2023-02-08 13:20:15 Central Standard Time,2023-02-08,13:20:15,-0600,1329828712813002752,slpcoepris,Comisión Estatal para la Protección de riesgos,,"Los #vapeadores constituyen un riesgo para la salud de quien los consume, principalmente jóvenes; la EVALI es un daño pulmonar potencialmente mortal causado por el vape. Conoce más sobre como prevenirlo en la #RevistaCienciaCofepris.  👉 https://t.co/RERxfDeoUy #VapeadoresLoOculto  https://t.co/1Nn4Zc2Z7m",es,[],['http://bit.ly/3ixu6JP'],"['https://pbs.twimg.com/media/Fod66jJXsAQ1bGg.jpg', 'https://pbs.twimg.com/media/Fod66uXXoAEu4kS.jpg']",0,0,0,"['vapeadores', 'revistacienciacofepris', 'vapeadoreslooculto']",[],https://twitter.com/slpcoepris/status/1623401341648240640,False,,1,https://pbs.twimg.com/media/Fod66jJXsAQ1bGg.jpg,,,,,,,[],,,,
1623397752884584450,1623397752884584450,2023-02-08 13:06:00 Central Standard Time,2023-02-08,13:06:00,-0600,1520099054952370178,dpcrs_qro,Riesgos Sanitarios Querétaro,,Los #vapeadores constituyen un riesgo para la salud de los jóvenes. La EVALI es un daño pulmonar potencialmente mortal causado por el vape.  Conoce más sobre como prevenirlo consultando el artículo de dos especialistas de  @CONADICmx 🔗  https://t.co/BvkRgLFdh4 #JuntosAdelante  https://t.co/c97DARk4dz,es,"[{'screen_name': 'conadicmx', 'name': 'conadic', 'id': '334747582'}]",['http://bit.ly/3ixu6JP'],['https://pbs.twimg.com/media/FoDdk9PWQAAVZsz.jpg'],0,2,4,"['vapeadores', 'juntosadelante']",[],https://twitter.com/DPCRS_Qro/status/1623397752884584450,False,,1,https://pbs.twimg.com/media/FoDdk9PWQAAVZsz.jpg,,,,,,,[],,,,
1623394879639363586,1623394879639363586,2023-02-08 12:54:35 Central Standard Time,2023-02-08,12:54:35,-0600,982441760868585473,coprisedoficial,COPRISED,,"👉El 31 de mayo de 2022, en el marco del Día Mundial Sin Tabaco, se estableció el decreto que prohíbe la circulación y comercialización de los #vapeadores  Conoce las acciones que se han ejecutado en la #RevistaCienciaCofepris  https://t.co/kmzDRrRXsA",es,[],[],['https://pbs.twimg.com/media/Fod079yWYAA2Iya.jpg'],1,0,3,"['vapeadores', 'revistacienciacofepris']",[],https://twitter.com/coprisedoficial/status/1623394879639363586,False,,1,https://pbs.twimg.com/media/Fod079yWYAA2Iya.jpg,,,,,,,[],,,,
1623360042509516800,1623360042509516800,2023-02-08 10:36:09 Central Standard Time,2023-02-08,10:36:09,-0600,1154401435,ssalud_tab,SSalud Tabasco,,Los #vapeadores constituyen un riesgo especialmente para la salud de los jóvenes. La EVALI es un daño pulmonar potencialmente mortal causado por el #vape   Conoce más sobre como prevenirlo consultando el artículo de dos especialistas de @CONADICmx    https://t.co/vIMqs3wAJq  https://t.co/p84foo30xM,es,"[{'screen_name': 'conadicmx', 'name': 'conadic', 'id': '334747582'}]",['http://bit.ly/3ixu6JP'],"['https://pbs.twimg.com/media/FodVWg5XwAAKFh8.jpg', 'https://pbs.twimg.com/media/FodVWg5XEAcEZ6l.jpg']",0,0,0,"['vapeadores', 'vape']",[],https://twitter.com/SSalud_Tab/status/1623360042509516800,False,,1,https://pbs.twimg.com/media/FodVWg5XwAAKFh8.jpg,,,,,,,[],,,,
1623349397101637633,1623349397101637633,2023-02-08 09:53:51 Central Standard Time,2023-02-08,09:53:51,-0600,194641267,cofepris,COFEPRIS,,Los #vapeadores constituyen un riesgo especialmente para la salud de los jóvenes. La EVALI es un daño pulmonar potencialmente mortal causado por el #vape   Conoce más sobre como prevenirlo consultando el artículo de dos especialistas de @CONADICmx    https://t.co/3KhtFiDD7K  https://t.co/N2dOul0lWk,es,"[{'screen_name': 'conadicmx', 'name': 'conadic', 'id': '334747582'}]",['http://bit.ly/3ixu6JP'],"['https://pbs.twimg.com/media/FodLmJAX0AAAz5e.jpg', 'https://pbs.twimg.com/media/FodLmI8XgAAZTle.jpg']",1,18,15,"['vapeadores', 'vape']",[],https://twitter.com/COFEPRIS/status/1623349397101637633,False,,1,https://pbs.twimg.com/media/FodLmJAX0AAAz5e.jpg,,,,,,,[],,,,
