id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623722224313151488,1623722224313151488,2023-02-09 10:35:20 Central Standard Time,2023-02-09,10:35:20,-0600,1326039369338159104,rvvigour,Vigour Rv,,Here are a few factors to take into account when looking for the best #vaporizer for your particular requirements. Read more -   https://t.co/CdgN7dxKsS  #vape #vapers #vapepen #vapejuice #vapemods  https://t.co/alwyNH7sPz,en,[],['https://buff.ly/40HuWbM'],['https://pbs.twimg.com/media/FoiewavX0AA2HIK.jpg'],0,0,0,"['vaporizer', 'vape', 'vapers', 'vapepen', 'vapejuice', 'vapemods']",[],https://twitter.com/RvVigour/status/1623722224313151488,False,,1,https://pbs.twimg.com/media/FoiewavX0AA2HIK.jpg,,,,,,,[],,,,
1623698668275613698,1623698668275613698,2023-02-09 09:01:44 Central Standard Time,2023-02-09,09:01:44,-0600,1229750255609974784,felicia74970108,Airis disposable wax pen dry herb vaporizer CBD,,It's time for something new - meet Airis Vict! Our mini-sized disposable vape offers 600 puffs in an innovative design that fits comfortably in your pocket. ❤️🔥   #vape #vapelife #vapeon #vapelyfe #vaper #vapelove #airis #airisvape #disposablevape #vapecloud #vapers  https://t.co/gTZL76U6kv,en,[],[],['https://pbs.twimg.com/media/FoiJVUdWcAERM96.jpg'],0,0,0,"['vape', 'vapelife', 'vapeon', 'vapelyfe', 'vaper', 'vapelove', 'airis', 'airisvape', 'disposablevape', 'vapecloud', 'vapers']",[],https://twitter.com/Felicia74970108/status/1623698668275613698,False,,1,https://pbs.twimg.com/media/FoiJVUdWcAERM96.jpg,,,,,,,[],,,,
1623659222318579712,1623659222318579712,2023-02-09 06:24:59 Central Standard Time,2023-02-09,06:24:59,-0600,4900929491,tmbnotes,TMB Notes,,"Did you know we have a YouTube channel? we regularly upload reviews, on all things vaping.  Click the link to subscribe ⬇  https://t.co/slldZejxaw  #youtube #vaping #vapereview #eliquids #shopvape #vapers #vapelife #vapelove #vapeshop #vapeinfluence  https://t.co/7SGfNYXdCh",en,[],['https://www.youtube.com/watch?v=GY293jQQEuo'],[],0,0,0,"['youtube', 'vaping', 'vapereview', 'eliquids', 'shopvape', 'vapers', 'vapelife', 'vapelove', 'vapeshop', 'vapeinfluence']",[],https://twitter.com/TMBNotes/status/1623659222318579712,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1623657952505733120/pu/img/C3UDJF8WdwL6ryo5.jpg,,,,,,,[],,,,
1623653157791203331,1623653157791203331,2023-02-09 06:00:53 Central Standard Time,2023-02-09,06:00:53,-0600,1421049396779651077,youmeitofficial,youmeit,,"What does the Suorin Air Mini Indicator's light Color mean？ who can know that?🤔🤔🤔  If you don't know, pls check the answer in the next post😉  Warnings: This product is only for adults.  #suorin #youmeit #Suorinairmini #vapersmexico #vapers #vapercommunity  https://t.co/oiktzHlNPw",en,[],[],['https://pbs.twimg.com/media/Fohf70SaYAAWzBi.jpg'],0,0,0,"['suorin', 'youmeit', 'suorinairmini', 'vapersmexico', 'vapers', 'vapercommunity']",[],https://twitter.com/youmeitofficial/status/1623653157791203331,False,,1,https://pbs.twimg.com/media/Fohf70SaYAAWzBi.jpg,,,,,,,[],,,,
1623645012226351187,1623645012226351187,2023-02-09 05:28:31 Central Standard Time,2023-02-09,05:28:31,-0600,1576409474138443776,ivapelands,Ivape Lands,,#vapedaily #vapers #ejuice #vapetricks #eliquid #disposablevape #ecig #cbdvape #purevape #vapelove #vapepen  https://t.co/VKWGYeInmx,qme,[],['https://www.instagram.com/p/CocKIMaLyCo/?igshid=YTgzYjQ4ZTY='],[],0,1,0,"['vapedaily', 'vapers', 'ejuice', 'vapetricks', 'eliquid', 'disposablevape', 'ecig', 'cbdvape', 'purevape', 'vapelove', 'vapepen']",[],https://twitter.com/IvapeLands/status/1623645012226351187,False,,0,,,,,,,,[],,,,
1623638974974550018,1623638974974550018,2023-02-09 05:04:32 Central Standard Time,2023-02-09,05:04:32,-0600,1570709452839391233,tu_vapeo,TuVapeo.com,,"Hemos publicado nuestro primer Blog,  aquí les contaremos información y novedades del mundo del Vapeo.     https://t.co/c34U4RCbPn  #tuvapeo #vaping #vapers #vapeadores #vaporizadores #pods #cigarrilloelectronio #ecigarette",es,[],['https://www.tuvapeo.com/que-son-los-vapeadores/'],[],0,0,0,"['tuvapeo', 'vaping', 'vapers', 'vapeadores', 'vaporizadores', 'pods', 'cigarrilloelectronio', 'ecigarette']",[],https://twitter.com/tu_vapeo/status/1623638974974550018,False,,0,,,,,,,,[],,,,
1623617342835134464,1623617342835134464,2023-02-09 03:38:34 Central Standard Time,2023-02-09,03:38:34,-0600,1351065430178332675,freetonofficial,Freeton,,You don't want one in your pocket? I don't believe you! #fresinpro2🤩   https://t.co/C4l4zdy0us Warning: This product contains nicotine. Nicotine is an addictive chemical. #freeton #vape #newvape #vapelife #vaping #lovevape #vapers #vapefam #vapelifestyle #vapecommunity #morepuffs  https://t.co/BCWtWGRxaw,en,[],['https://www.freetontech.com'],['https://pbs.twimg.com/media/Fog_WZkakAA_rmu.jpg'],0,0,2,"['fresinpro2', 'freeton', 'vape', 'newvape', 'vapelife', 'vaping', 'lovevape', 'vapers', 'vapefam', 'vapelifestyle', 'vapecommunity', 'morepuffs']",[],https://twitter.com/Freetonofficial/status/1623617342835134464,False,,1,https://pbs.twimg.com/media/Fog_WZkakAA_rmu.jpg,,,,,,,[],,,,
1623615193702883330,1623615193702883330,2023-02-09 03:30:02 Central Standard Time,2023-02-09,03:30:02,-0600,2237272016,vapekingsa,Vape King E-Cigs SA,,We are feeling a little green today! Suicide Bunny salts R160.00 for 30MLS   #vapekingsa #vapekingza #youthaccessprevention #vapers #ecigssa #vapelife #vapingisnotsmoking #vapenation #southafricanvapers #jozivapesociety  https://t.co/FQzmhl2DOx,en,[],[],['https://pbs.twimg.com/media/Fog9adAWcAEJ5TY.jpg'],0,1,1,"['vapekingsa', 'vapekingza', 'youthaccessprevention', 'vapers', 'ecigssa', 'vapelife', 'vapingisnotsmoking', 'vapenation', 'southafricanvapers', 'jozivapesociety']",[],https://twitter.com/VapeKingSA/status/1623615193702883330,False,,1,https://pbs.twimg.com/media/Fog9adAWcAEJ5TY.jpg,,,,,,,[],,,,
1623608081631309824,1623608081631309824,2023-02-09 03:01:46 Central Standard Time,2023-02-09,03:01:46,-0600,1458024713716916226,vapellab,Vapella Brand,,#Vap_ella #vapeshop #vapelife #vapelove #vapecommunity #vaping #instavape #vapefam #vapor #vapenation #ejuice #vapers #eliquid ⁠  https://t.co/4fBX0MfoM0,und,[],[],[],0,0,0,"['vap_ella', 'vapeshop', 'vapelife', 'vapelove', 'vapecommunity', 'vaping', 'instavape', 'vapefam', 'vapor', 'vapenation', 'ejuice', 'vapers', 'eliquid']",[],https://twitter.com/VapellaB/status/1623608081631309824,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1623607683780689922/pu/img/435FnKCcqajhylN8.jpg,,,,,,,[],,,,
1623607833353719809,1623607833353719809,2023-02-09 03:00:47 Central Standard Time,2023-02-09,03:00:47,-0600,1527923516003143681,mryvape,MRY Vape Official,,"MRY LONGELF 10000puffs, 0%~5% nicotine, Mesh coil, Capacity:18ml, Rechargeable Battery: 650mah, 10000puffs,  Primary source, looking for #ecig agents, wholesalers, #OEM available. . . . #vapelife #vapegirl #vapes #ukvapers #mryvape #Disposablevape #vapers #vapeon #vapormax  https://t.co/bcMEUR14HP",en,[],[],['https://pbs.twimg.com/media/Fog2j3rXoAA8bHF.jpg'],0,1,0,"['ecig', 'oem', 'vapelife', 'vapegirl', 'vapes', 'ukvapers', 'mryvape', 'disposablevape', 'vapers', 'vapeon', 'vapormax']",[],https://twitter.com/mryvape/status/1623607833353719809,False,,1,https://pbs.twimg.com/media/Fog2j3rXoAA8bHF.jpg,,,,,,,[],,,,
