,country
USA,3092
GBR,778
AUS,409
KEN,368
CAN,345
RUS,209
ZAF,195
UKR,162
FRA,134
IND,130
MEX,118
DEU,109
ESP,94
JPN,93
THA,87
NGA,79
ITA,78
NZL,56
CHN,53
IRN,49
NLD,46
COL,45
VIR,41
IRL,40
GEO,39
CUB,38
KOR,35
BRA,33
PAK,31
CHL,30
IDN,29
ARE,29
VEN,26
TUR,26
ZWE,24
ARG,24
ISR,23
JAM,20
GHA,20
ETH,19
PRT,19
PHL,19
AFG,18
CHE,18
MAR,17
QAT,17
GRC,17
POL,17
BEL,15
VNM,15
URY,14
SYR,12
EGY,12
PER,12
NOR,12
IRQ,12
ECU,11
AUT,11
SGP,11
VAT,11
PSE,10
HRV,9
TWN,9
SAU,9
NPL,9
BGD,9
MYS,8
MLT,8
SWE,7
CIV,7
CZE,7
COD,6
HKG,6
PRI,6
UGA,6
JEY,6
TZA,6
LKA,6
MOZ,5
GUM,5
CRI,5
BIH,5
PRK,5
ZMB,5
YEM,4
GNQ,4
FJI,4
KAZ,4
RWA,4
GUY,4
SVK,4
TCD,4
GTM,4
DZA,4
LBR,3
SRB,3
PAN,3
VCT,3
BGR,3
BHS,3
ROU,3
LSO,3
TUN,3
SLV,3
ESH,3
MNE,3
CYP,2
NAM,2
MLI,2
CMR,2
MKD,2
NIC,2
HND,2
GRL,2
BLZ,2
JOR,2
EST,2
KWT,2
BOL,2
SDN,2
STP,2
FIN,2
AZE,2
OMN,2
TGO,2
MNP,2
SOM,2
ALB,2
MHL,2
PYF,2
MDA,2
HUN,2
COM,1
UZB,1
TTO,1
GRD,1
BEN,1
GMB,1
GIN,1
VGB,1
SVN,1
SEN,1
BLR,1
NER,1
ATA,1
BMU,1
MAC,1
LBY,1
ISL,1
IOT,1
BHR,1
AND,1
MCO,1
PRY,1
DOM,1
TON,1
BDI,1
LVA,1
DNK,1
BRB,1
CUW,1
ARM,1
SSD,1
MMR,1
MWI,1
AGO,1
MSR,1
LTU,1
BWA,1
VUT,1
MDG,1
CXR,1
GNB,1
