,state
New York,354
Texas,253
California,162
Florida,137
Ohio,135
Wyoming,122
Illinois,109
Louisiana,108
Michigan,104
Maryland,99
Minnesota,87
Missouri,85
Pennsylvania,84
Massachusetts,77
Arizona,69
Oregon,63
Tennessee,60
Kentucky,56
Oklahoma,53
New Jersey,52
Connecticut,52
Georgia,51
Iowa,43
Alabama,42
Indiana,41
Washington,40
Kansas,38
Colorado,37
South Carolina,36
Arkansas,35
North Carolina,35
Nevada,33
Wisconsin,33
Virginia,29
South Dakota,24
Montana,22
Mississippi,21
New Mexico,21
Alaska,21
Hawaii,20
Nebraska,19
North Dakota,18
Utah,17
Rhode Island,14
Idaho,12
Vermont,11
New Hampshire,10
Maine,10
West Virginia,10
Delaware,7
"Washington, D.C.",4
