state,country
Punjab,PAK
NA,IDN
NCT,IND
Haryana,IND
Wyoming,USA
NCT,IND
NCT,IND
British Columbia,CAN
Maryland,USA
New York,USA
Wyoming,USA
Balearic Islands,ESP
NCT,IND
NA,RUS
Tennessee,USA
Massachusetts,USA
Louisiana,USA
NA,TUR
NA,TUR
New Jersey,USA
Texas,USA
NA,YEM
NA,SYR
NA,LBY
NA,PSE
Pennsylvania,USA
California,USA
NA,NA
Punjab,PAK
NA,CAN
Lagos,NGA
Wyoming,USA
Sermersooq,GRL
Lagos,NGA
Kerman,IRN
Bamyan,AFG
NA,AFG
New York,USA
Munster,IRL
Leinster,IRL
Guelmim-Es Smara,MAR
NA,MAR
NA,FRA
NA,FRA
New York,USA
New York,USA
NA,CAN
Wellington,NZL
Wellington,NZL
Arkansas,USA
West Bengal,IND
Leinster,IRL
Minnesota,USA
New York,USA
NA,GBR
NA,ZWE
Pennsylvania,USA
Illinois,USA
Uttar Pradesh,IND
England,GBR
Indiana,USA
New Jersey,USA
Gujarat,IND
Hauts-de-France,FRA
NA,GEO
Georgia,USA
Indiana,USA
Washington,USA
England,GBR
NA,ITA
Texas,USA
New York,USA
Ontario,CAN
NA,GBR
Texas,USA
NA,JPN
Louisiana,USA
England,GBR
England,GBR
Wyoming,USA
NA,RUS
California,USA
New Hampshire,USA
British Columbia,CAN
NA,AUS
NA,CAN
England,GBR
Gujarat,IND
British Columbia,CAN
Hải Dương,VNM
Minnesota,USA
NA,CAN
Florida,USA
Kentucky,USA
Tennessee,USA
Wyoming,USA
South Dakota,USA
NA,NA
California,USA
Texas,USA
NA,UKR
NA,BIH
NA,GEO
NA,ITA
Wyoming,USA
England,GBR
Abuja Federal Capital Territory,NGA
Wisconsin,USA
Scotland,GBR
NA,GBR
Quebec,CAN
Washington,USA
Pennsylvania,USA
Maryland,USA
Tennessee,USA
NA,RUS
NA,UKR
Texas,USA
Texas,USA
Texas,USA
Texas,USA
Pennsylvania,USA
NA,GBR
New York,USA
Maryland,USA
Kentucky,USA
Ohio,USA
Texas,USA
NCT,IND
NA,BRA
Eastern Cape,ZAF
NA,RUS
Lower Saxony,DEU
NA,GBR
Provence-Alpes-Côte d'Azur,FRA
