,Document,Topic,Name,Top_n_words,Probability,Representative_document
0,ML! YAA ALLAH KEREN BANGET GEEKFAM????? SUMPA CENGO W NNTNNYA ANJEENNGGG,3,3_86_whatsapp_vapeshop_vapelife,86 - whatsapp - vapeshop - vapelife - vapenation - vape - vapecommunity - vapeon - poland - hogwarts,0.9681719616832423,False
1,"BLACKLIST DIKASIH TELOR COO SAMA GEEKFAM, GGWP BOYS",0,0_uwelltech_vapetime_uwell_vapefam,uwelltech - vapetime - uwell - vapefam - vapedaily - caliburna - vapelove - caliburn - caliburna3 - caliburnak3,0.9398102562911279,False
2,": #Giveaway #CaliburnA3 The bunch has wonderful textured and cool functioning, featuring the Caliburn A series. Tell us what",0,0_uwelltech_vapetime_uwell_vapefam,uwelltech - vapetime - uwell - vapefam - vapedaily - caliburna - vapelove - caliburn - caliburna3 - caliburnak3,0.9983308585452343,False
3,Congratulations,4,4_congratulations_thank_winners_please,congratulations - thank - winners - please - much - great - us - send - love - gave,1.0,False
4,Whatsup To All Of Our Customers &amp; Followers : We Just Got TheseCBDMintPacksIn At : PalmasSmokeshop6711 Hollywood Blvd. Los Angeles CA 90028 #mints #cbdmints #palmassmokeshop #smokeaccessories #hollywood #losangeles #smokeproducts #hollywoodwwalkoffame,1,1_smokeshop_hollywood_smoke_smokeproducts,smokeshop - hollywood - smoke - smokeproducts - losangeles - high - angeles - dispensary - texas - customers,0.7851968579744655,True
5,Rolling Tray With Magnetic Lid update #AnnapolisMD near mall #Maryland #Annapolis #parole near wawa #DowntownAnnapolis near Anne Arundel Medical Center #wes #pipes #pipe Delta8 #oilrig #hookah #kratom #CBD #puffco #cigar #vapeshop Tobacco shop #vaporizer #eliquid,-1,-1_vape_vapeshop_vapelife_vaping,vape - vapeshop - vapelife - vaping - eliquid - vapecommunity - love - battery - cbd - near,0.0,True
6,Just posted a photo Area51 VapeStore Manado,0,0_uwelltech_vapetime_uwell_vapefam,uwelltech - vapetime - uwell - vapefam - vapedaily - caliburna - vapelove - caliburn - caliburna3 - caliburnak3,0.8149616107137102,False
7,Say Hi to ARGUS Z ! Believe me you will love it in your daily vaping life! #VOOPOO #ArgusZ #voopoolive #vapewithvoopoo #vapers #ukvaper #ukvaping #vapinguk #vapeshop #vapenation #vapelife #quitsmokingtoday,-1,-1_vape_vapeshop_vapelife_vaping,vape - vapeshop - vapelife - vaping - eliquid - vapecommunity - love - battery - cbd - near,0.0,False
8,"Hey friend, wanna try below milk tea cup disposable vape? I love it sooo much cuz it's sooo cute, and tastes really good~ Factory direct resource Mass production Competitive price #vape #ecig #vapewholesale #vapedistributor #Vaporeon #vape #ukvape #vapeusa #vapor",-1,-1_vape_vapeshop_vapelife_vaping,vape - vapeshop - vapelife - vaping - eliquid - vapecommunity - love - battery - cbd - near,0.0,False
9,"HelloI'm Bella from vigorbox vape company. We will attend the TPE23 show on February 22-24 2023 in Las Vegas , welcome to our booth, our booth NO.: 1253. My whatsapp008618680684875 Could you please tell me your whatsapp No.? So we can talk More convenient.",-1,-1_vape_vapeshop_vapelife_vaping,vape - vapeshop - vapelife - vaping - eliquid - vapecommunity - love - battery - cbd - near,0.0,False
10,"Trying to quit cigarettes or just looking for your favorite vape juice? Come check out our selection of juices, mods &amp; tanks, coils, CBD, &amp; glassware. Now open in Bryant, Arkansas! Limited time 15% discount storewide! #vape #vapeshop #vapelife #vapefam #QuitSMOKING #CBD",-1,-1_vape_vapeshop_vapelife_vaping,vape - vapeshop - vapelife - vaping - eliquid - vapecommunity - love - battery - cbd - near,0.0,False
11,Night show,0,0_uwelltech_vapetime_uwell_vapefam,uwelltech - vapetime - uwell - vapefam - vapedaily - caliburna - vapelove - caliburn - caliburna3 - caliburnak3,0.9796069564213047,False
12,Lost Vape Centaurus Q80 Pod Kit Thit B Vape Kit Chnh Hng WEBSITE: 27/16/1 Nguyn Ngc Lc-P14- Q10 339/39B1 L Vn S - P13- Q3 Hotline : 0971.829.269 ( Zalo ) #tinhdauvape #vapeshopquan3 #vapeshopquan10 #vape #vapeshop,-1,-1_vape_vapeshop_vapelife_vaping,vape - vapeshop - vapelife - vaping - eliquid - vapecommunity - love - battery - cbd - near,0.0,False
13,Fresh all day long #Uwell #Uwelltech #CaliburnA #vapedaily #vapetime #vapefam #vapelove #CaliburnA3 Only for adults(21+).,0,0_uwelltech_vapetime_uwell_vapefam,uwelltech - vapetime - uwell - vapefam - vapedaily - caliburna - vapelove - caliburn - caliburna3 - caliburnak3,0.9988999420410851,False
14,Peruvian is the Flavor of the Week: This super smooth cappuccino with a hint of hazelnut is perfect first thing in the morning. It's 50% off all week at the shops! #vape #vapeshop #ecig #ecigarettes #ejuice #eliquid,-1,-1_vape_vapeshop_vapelife_vaping,vape - vapeshop - vapelife - vaping - eliquid - vapecommunity - love - battery - cbd - near,0.0,False
15,": #CaliburnA3 Shhhh, just enjoy this Caliburn A3 oil injection in silence. Hopefully, it will take you to a whole new world",0,0_uwelltech_vapetime_uwell_vapefam,uwelltech - vapetime - uwell - vapefam - vapedaily - caliburna - vapelove - caliburn - caliburna3 - caliburnak3,0.9720491011031102,False
16,: Which one do you want to stay with you tonight? #Uwell #Uwelltech ##cravat #vapedaily #vapetime #vapefam #vapelove #Uw,0,0_uwelltech_vapetime_uwell_vapefam,uwelltech - vapetime - uwell - vapefam - vapedaily - caliburna - vapelove - caliburn - caliburna3 - caliburnak3,1.0,False
17,Uno 4K Disposable Vape Pod - 1PC WARNING: These Products Contain Nicotine. No Sales to under 21 yrs old. #vapestore #vapepics #vapesociety #vapes #vapeindonesia #vaporizer #ecig #vapefamily #vapemurah #vapeworld #vape #vapelife,2,2_vape_disposable_nicotine_warning,vape - disposable - nicotine - warning - yrs - sales - contain - old - products - 21,1.0,True
18,: im dead bitch im reading reviews for this smokeshop by my dads house and this one review has literally no words just this,1,1_smokeshop_hollywood_smoke_smokeproducts,smokeshop - hollywood - smoke - smokeproducts - losangeles - high - angeles - dispensary - texas - customers,1.0,False
