state,country
Guelmim-Es Smara,MAR
NA,MAR
Minnesota,USA
Texas,USA
Indiana,USA
New Brunswick,CAN
Maryland,USA
Wakayama,JPN
Texas,USA
California,USA
Michigan,USA
North Dakota,USA
Madhya Pradesh,IND
Ohio,USA
Quebec,CAN
Indiana,USA
Michigan,USA
New York,USA
NA,IRN
Texas,USA
Texas,USA
Texas,USA
Florida,USA
England,GBR
Kerala,IND
New York,USA
NA,NA
NA,NA
South Carolina,USA
NA,VIR
California,USA
Ohio,USA
Florida,USA
Florida,USA
NA,VIR
Arizona,USA
British Columbia,CAN
NA,VIR
Aquitaine-Limousin-Poitou-Charentes,FRA
Minnesota,USA
Kordestān,IRN
Kordestān,IRN
NA,CAN
Texas,USA
NA,THA
California,USA
Minnesota,USA
NA,USA
Texas,USA
NA,SAU
California,USA
Karnataka,IND
England,GBR
NA,IRN
NA,VIR
Kordestān,IRN
Kordestān,IRN
Scotland,GBR
Nova Scotia,CAN
NA,MKD
NA,KWT
New York,USA
Pays de la Loire,FRA
Louisiana,USA
Texas,USA
Republic of Crimea,UKR
Kordestān,IRN
Kordestān,IRN
Washington,USA
Texas,USA
North Rhine-Westphalia,DEU
Texas,USA
Colorado,USA
California,USA
Seoul,KOR
Seoul,KOR
Seoul,KOR
Texas,USA
NA,GRC
Alabama,USA
British Columbia,CAN
Georgia,USA
Campeche,MEX
New York,USA
NA,AUS
Kandahar,AFG
Chon Buri,THA
New York,USA
Lower Saxony,DEU
New York,USA
New York,USA
NA,NA
Kentucky,USA
Kentucky,USA
NA,VAT
New York,USA
Māzandarān,IRN
NA,SWE
Oregon,USA
Oregon,USA
Texas,USA
New York,USA
Western Australia,AUS
Washington,USA
NA,YEM
England,GBR
NA,MAR
NA,NA
Jigawa,NGA
Madhya Pradesh,IND
Virginia,USA
Osun,NGA
Camagüey,CUB
NA,KOR
Texas,USA
Florida,USA
Oklahoma,USA
Quebec,CAN
Pennsylvania,USA
NA,NA
Alabama,USA
Santa Catarina,BRA
Oklahoma,USA
Virginia,USA
North Dakota,USA
New York,USA
Île-de-France,FRA
North Dakota,USA
NA,ESP
NA,THA
England,GBR
Brussels Capital,BEL
NA,FIN
NA,AUS
NA,JPN
NA,JPN
England,GBR
England,GBR
England,GBR
England,GBR
England,GBR
NA,AUS
England,GBR
Quebec,CAN
NA,AUS
England,GBR
New South Wales,AUS
Upper West,GHA
NA,THA
Manitoba,CAN
England,GBR
NA,AUS
California,USA
Quebec,CAN
NA,AUS
NA,AUS
West Bengal,IND
Connecticut,USA
NA,AUS
NA,AUS
Cordillera,PHL
Bangkok,THA
NA,THA
Bangkok,THA
NA,THA
North Dakota,USA
North Dakota,USA
Karnataka,IND
Alberta,CAN
Alberta,CAN
NA,NOR
Alberta,CAN
Alberta,CAN
Pennsylvania,USA
North Dakota,USA
Nairobi Area,KEN
Florida,USA
NA,MEX
NA,MEX
Idaho,USA
NA,KEN
Alberta,CAN
Oregon,USA
NA,KOR
Seoul,KOR
Virginia,USA
Illinois,USA
New Hampshire,USA
Scotland,GBR
Leinster,IRL
Auckland,NZL
NA,VAT
Berlin,DEU
South Carolina,USA
Texas,USA
Wellington,NZL
Missouri,USA
New York,USA
New York,USA
Ohio,USA
Hubei,CHN
Michigan,USA
Georgia,USA
Iowa,USA
NA,NPL
Illinois,USA
Assam,IND
NA,CAN
NA,CAN
Indiana,USA
Valle del Cauca,COL
NA,CAN
NA,MEX
NA,MOZ
NA,NA
New Jersey,USA
NA,GBR
NA,AUS
Wales,GBR
Michigan,USA
New York,USA
West Bengal,IND
NA,AUS
Florida,USA
England,GBR
California,USA
Alabama,USA
Alabama,USA
Colorado,USA
North Dakota,USA
North Dakota,USA
NA,AUS
NA,JPN
NA,AUS
Texas,USA
Texas,USA
California,USA
NA,AUS
NA,JPN
NA,KOR
Maryland,USA
Maryland,USA
Maryland,USA
NA,JPN
Florida,USA
