,Document,Topic,Name,Top_n_words,Probability,Representative_document
0,": Persecucin matonesca en contra de la industria del vapeo en chile, con",3,3_colombia_cigarros_mexicanos_vapeadores,colombia - cigarros - mexicanos - vapeadores - uso - salud - hoy - priorizar - promueve - reforma,1.0,False
1,Las tabacaleras trabajan a full para desprestigiar y desinformar sobre el vapeo y gente ignorante da opiniones estpidas,0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,1.0,False
2,"Jajajajajajaja dos consejos: 1.- cuando te paguen por campaas pendejas, asegrate que lo vas a tuitear tenga fundamento cientfico. 2.- Cuando quieras atacar al vapeo, lee por lo menos dos ensayos clnicos que se contrapongan en los resultados y de ah partes para tu argumento",1,1_vapear_vapeo_fav_rubius,vapear - vapeo - fav - rubius - dejar - ahora - clase - cmo - hace - solo,0.8832733930344924,False
3,llevo tres aos vapeando y mis exmenes mdicos y pulmonares han sido excelentes gracias al vapeo he tenido una disminucin de dao en mis pulmones,2,2_vapeadores_salud_riesgo_uso,vapeadores - salud - riesgo - uso - vapeo - jvenes - constituyen - miocarditis - cientficos - especialmente,0.8679689916300393,False
4,"Vapeo desde el 2019 y veo muchas publicaciones de que le vape es malo y peor que le cigarro, es verdad es mucho ms adictivo y ms sencillo de utilizar en cualquier lado (no como el cigarro) pero todas esas publicaciones de que se hospitalizan pt1.",-1,-1_vapeadores_vapear_dao_vapeo,vapeadores - vapear - dao - vapeo - murieron - 180 - ayer - ms - salud - informacin,0.0,False
5,"Los peligros del cigarillo electrnico / vapeo. Nada es inocuo, y en especial inhalar humo a alta temperatura con sustancias txicas. FUMAR NO ES SALUDABLE.",0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,0.8994127185221534,False
6,"Se fueron en vola contra el vapo, andan muy aburridos? O cul es el plan? Que los que empezamos a vapear volvamos a fumar? #ISPcagandovidas",0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,0.9445955751651649,False
7,: O fumas o no fumas qu es eso de vapear? maricones de mierda.,0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,0.9663442768931184,False
8,La representante de la Carolina Giraldo asegur que a pesar de contar con el apoyo del sorpresivamente los dej plantados con la votacin para gravar los vapeadores y aumentar el impuesto al tabaco. Impuestos saludables?,0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,0.7794142949985375,False
9,: Por qu el presidente de la Cmara de Representantes no permiti la votacin para gravar los vapeadores y a,-1,-1_vapeadores_vapear_dao_vapeo,vapeadores - vapear - dao - vapeo - murieron - 180 - ayer - ms - salud - informacin,0.0,False
10,: El Gobierno opt por no gravar los cigarrillos electrnicos y vapeadores ni aumentar el impuesto al tabaco. Impuestos,0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,0.9775626118765359,False
11,: Pilas con los Vapeadores! Estn en tendencia en los jvenes. Esta mujer afect su salud por cigarrillos electrnicos. 'S,0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,0.8349353602330265,False
12,": Alto! #VapearTeDaa y a nuestro planeta tambin. Los vapeadores no slo perjudican tu salud, tambin afectan al medio am",-1,-1_vapeadores_vapear_dao_vapeo,vapeadores - vapear - dao - vapeo - murieron - 180 - ayer - ms - salud - informacin,0.0,False
13,No me vapeo eso ni con tu vaper,1,1_vapear_vapeo_fav_rubius,vapear - vapeo - fav - rubius - dejar - ahora - clase - cmo - hace - solo,0.7339032409813964,False
14,: publica un reportaje sobre los beneficios que tienen alternativas como el #vapeo para dejar de fumar.,0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,1.0,False
15,": pregunta seria, que fue peor? el vapeo o el holocausto?",-1,-1_vapeadores_vapear_dao_vapeo,vapeadores - vapear - dao - vapeo - murieron - 180 - ayer - ms - salud - informacin,0.0,False
16,"SEP_mx: RT : Muchas personas usan #vapeadores porque piensan que son una mejor alternativa al cigarro y otros productos, pero no saben de qu estn hechos y de dnde vienen estos materiales nocivos . #DejaloYa porque #VapearTeDaa y #V",-1,-1_vapeadores_vapear_dao_vapeo,vapeadores - vapear - dao - vapeo - murieron - 180 - ayer - ms - salud - informacin,0.0,False
17,"Claro que la venta de esa anfetamina est prohibida sin receta mdica y menos a un menor de edad. El Gobierno Federal hasta miles de pesos en campaas contra vapeadores, pero no tiene idea de lo es el perico y ms mezclado con bebidas energizantes, y menos para nios.",-1,-1_vapeadores_vapear_dao_vapeo,vapeadores - vapear - dao - vapeo - murieron - 180 - ayer - ms - salud - informacin,0.0,False
18,: #VapearTeDaa Alguna vez te has preguntado qu contienen los vapeadores? Aqu te lo contamos! Hay componentes que causa,2,2_vapeadores_salud_riesgo_uso,vapeadores - salud - riesgo - uso - vapeo - jvenes - constituyen - miocarditis - cientficos - especialmente,0.8157195019440943,False
19,"Mentiras y ms mentiras, los vapeadores ayudan a que dejemos de fumar y son menos dainos, esta cuenta est desmintiendo ese tweet, creamos esto, los venera ayudan",0,0_fumar_tabaco_vapear_vapeadores,fumar - tabaco - vapear - vapeadores - vapeo - dejar - nicotina - cigarrillos - ms - menos,1.0,False
20,": PILAS de LITIO y PLSTICOS, TIRADOS por la CALLE IGUAL que las #COLILLAS de #TABACO IRLANDA PROHIBIR los VAPEADORES #ECI",-1,-1_vapeadores_vapear_dao_vapeo,vapeadores - vapear - dao - vapeo - murieron - 180 - ayer - ms - salud - informacin,0.0,False
21,Buscan regular venta y uso de vapeadores en Colombia: las claves del proyecto,3,3_colombia_cigarros_mexicanos_vapeadores,colombia - cigarros - mexicanos - vapeadores - uso - salud - hoy - priorizar - promueve - reforma,1.0,False
22,A mi si me preocupa enormemente el consumo de vapeadores y cigarrillos electrnicos en adolescentes en Colombia. Aqu les comparto mi informe,-1,-1_vapeadores_vapear_dao_vapeo,vapeadores - vapear - dao - vapeo - murieron - 180 - ayer - ms - salud - informacin,0.0,False
