,Document,Topic,Name,Top_n_words,Probability,Representative_document
0,"rt : #giveaway #caliburna3 the bunch has wonderful textured and cool functioning, featuring the caliburn a series. tell us what",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8758715495477826,False
1,whatsup to all of our customers &amp; followers : we just got thesecbdmintpacksin at : palmassmokeshop6711 hollywood blvd. los angeles ca #mints #cbdmints #palmassmokeshop #smokeaccessories #hollywood #losangeles #smokeproducts #hollywoodwwalkoffame,1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.8552790582646872,False
2,rolling tray with magnetic lid update #annapolismd near mall #maryland #annapolis #parole near wawa #downtownannapolis near anne arundel medical center #wes #pipes #pipe delta8 #oilrig #hookah #kratom #cbd #puffco #cigar #vapeshop tobacco shop #vaporizer #eliquid,1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.6568654047184124,True
3,just posted a photo area51 vapestore manado,-1,-1_vape_vapeshop_pod_vapestore,vape - vapeshop - pod - vapestore - vapelife - vapecommunity - old - warning - yrs - contain,0.0,False
4,"trying to quit cigarettes or just looking for your favorite vape juice? come check out our selection of juices, mods &amp; tanks, coils, cbd, &amp; glassware. now open in bryant, arkansas! limited time % discount storewide! #vape #vapeshop #vapelife #vapefam #quitsmoking #cbd",-1,-1_vape_vapeshop_pod_vapestore,vape - vapeshop - pod - vapestore - vapelife - vapecommunity - old - warning - yrs - contain,0.0,False
5,smokeshop last sold me an edible,1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.9423581404010297,False
6,night show,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8683241703150221,False
7,lost vape centaurus q80 pod kit thit b vape kit chnh hng website: /16/1 nguyn ngc lc-p14- q10 /39b1 l vn s - p13- q3 hotline : ( zalo ) #tinhdauvape #vapeshopquan3 #vapeshopquan10 #vape #vapeshop,1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.6704452211474473,False
8,fresh all day long #uwell #uwelltech #caliburna #vapedaily #vapetime #vapefam #vapelove #caliburna3 only for adults(21+).,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8395088242000669,False
9,peruvian is the flavor of the week: this super smooth cappuccino with a hint of hazelnut is perfect first thing in the morning. it's % off all week at the shops! #vape #vapeshop #ecig #ecigarettes #ejuice #eliquid,-1,-1_vape_vapeshop_pod_vapestore,vape - vapeshop - pod - vapestore - vapelife - vapecommunity - old - warning - yrs - contain,0.0,False
10,"rt : #caliburna3 shhhh, just enjoy this caliburn a3 oil injection in silence. hopefully, it will take you to a whole new world",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8758715495477826,False
11,rt : which one do you want to stay with you tonight? #uwell #uwelltech ##cravat #vapedaily #vapetime #vapefam #vapelove #uw,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8994046752009749,False
12,uno k disposable vape pod - pc warning: these products contain nicotine. no sales to under yrs old. #vapestore #vapepics #vapesociety #vapes #vapeindonesia #vaporizer #ecig #vapefamily #vapemurah #vapeworld #vape #vapelife,-1,-1_vape_vapeshop_pod_vapestore,vape - vapeshop - pod - vapestore - vapelife - vapecommunity - old - warning - yrs - contain,0.0,True
13,rt : im dead bitch im reading reviews for this smokeshop by my dads house and this one review has literally no words just this,1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.9629061929243957,False
14,rt : #caliburna3 such an interesting product to make you live a wonderful life every day. #uwell #uwelltech #caliburna #vapedai,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8101698245041674,False
15,"believe in your infinite potential. your only limitations are those you set upon yourself. roy t. bennett, the light in the heart #waterpipe #glassofig #smokeshop #highsociety #glass #waterpipe #glassart #photooftheday",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.7480778513314019,False
16,"rt : #caliburnak3 it's not over yet! this time, it is about presenting an innovative beauty that combines art and technology. g",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8758715495477826,False
17,"element short shots available at wholesale flavours in ml, ml and litre sizes. take a look at the range here: #vape #ejuice #eliquid #vapeshop #vapeliquid #wholesaleflavours #element #longfill #shortshot",1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.6778916357492484,False
18,can you handle the red white version ageis? leave your comments and let me see how many there are. #geekvp #geekvape #geekup #aegis #aegisl200 #aegism100 #aegismax100 #aegiss100 #aegisb60,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.748680132343068,False
19,is this why i saw a vapeshop apologizing/ complaining about cra?,1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.7155918034488501,False
20,rt : exhale the fragrance for an ultimate treat. come and try the ageism100 #geekvp #geekvape #geekup #aegis #aegism100 https,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.7210101677925521,False
21,disposable vape factory more than flavors for you to choose from. #vape #vapes #vapepen #vapedisposable #disposablevape #vapepod #podmod #vapingcommunity #vapejuice #smoke #smoking #disposablepod #vapedisposable #odm #oem #vapeshop #vapewholesale #vapefactory #factory,1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.7109856059431273,True
22,rt : cerakin scarlett : strawberry + pear pilihan vapeshop semalaya. from to #flavacocartel #gamechanger #friendsan,-1,-1_vape_vapeshop_pod_vapestore,vape - vapeshop - pod - vapestore - vapelife - vapecommunity - old - warning - yrs - contain,0.0,False
23,"rt : the reason i love is because they helped me quit smoking. i smoked since i was , turned into a pack a day smoke",1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.7615925197894345,False
24,"rt : #caliburnak3 shhh, just quietly enjoying this caliburn ak3 out of the box. hope it takes you into a whole new world of rela",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8758715495477826,False
25,"if you're in san diego, come on down to see us. we're open from -10 pm every day of the week. #smokeshop #sandiego #eliquid #vapelife #chulavista #southsandiego #smoke",1,1_smokeshop_vape_vapeshop_near,smokeshop - vape - vapeshop - near - disposable - im - smoke - vaporizer - hollywood - pipes,0.7728083141990102,False
26,new water pipe. #headshop #smokeshop #cannabis #weed #smoke #glass #cannabiscommunity #cbd #glassforsale,-1,-1_vape_vapeshop_pod_vapestore,vape - vapeshop - pod - vapestore - vapelife - vapecommunity - old - warning - yrs - contain,0.0,False
27,this is a must have for me.,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.7228624829106854,False
28,rt : #caliburnak3 caliburn ak3 keep on keeping on -features logo-shaped light animation and interaction portability and wearabi,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.8758715495477826,False
